,t1,t2,ct
0,1,2,1
1,1,3,4
2,1,7,1
3,1,18,1
4,1,20,1
5,1,22,1
6,1,30,1
7,1,60,1
8,1,64,1
9,1,65,4
10,1,91,2
11,1,101,1
12,1,125,1
13,1,150,1
14,1,170,1
15,1,175,1
16,2,3,1
17,2,7,1
18,2,10,2
19,2,30,1
20,2,35,1
21,2,53,1
22,2,54,1
23,2,55,1
24,2,56,1
25,2,67,1
26,2,68,1
27,2,73,1
28,2,77,3
29,2,80,1
30,2,98,2
31,2,105,1
32,2,120,1
33,3,4,1
34,3,7,4
35,3,10,6
36,3,11,3
37,3,12,3
38,3,18,1
39,3,19,1
40,3,35,1
41,3,37,1
42,3,43,1
43,3,44,1
44,3,46,1
45,3,49,1
46,3,57,1
47,3,60,1
48,3,62,1
49,3,65,1
50,3,68,1
51,3,71,1
52,3,72,1
53,3,78,1
54,3,91,2
55,3,101,1
56,3,104,1
57,3,128,1
58,3,142,1
59,3,150,1
60,3,154,1
61,3,189,1
62,4,5,2
63,4,6,3
64,4,7,4
65,4,8,10
66,4,9,1
67,4,10,3
68,4,11,1
69,4,12,2
70,4,16,1
71,4,18,1
72,4,19,1
73,4,22,1
74,4,28,1
75,4,30,3
76,4,39,3
77,4,41,1
78,4,43,1
79,4,45,1
80,4,51,4
81,4,56,2
82,4,57,1
83,4,58,1
84,4,60,6
85,4,61,2
86,4,62,1
87,4,65,4
88,4,73,1
89,4,88,1
90,4,91,4
91,4,101,1
92,4,111,3
93,4,118,1
94,4,130,1
95,4,150,4
96,4,159,1
97,4,160,2
98,4,166,1
99,4,198,1
100,5,6,4
101,5,7,1
102,5,8,1
103,5,11,2
104,5,12,4
105,5,13,1
106,5,14,1
107,5,18,1
108,5,28,1
109,5,36,1
110,5,40,1
111,5,46,1
112,5,56,1
113,5,57,1
114,5,58,2
115,5,82,1
116,5,83,1
117,5,111,1
118,5,128,1
119,6,8,2
120,6,10,1
121,6,11,2
122,6,12,3
123,6,18,1
124,6,58,2
125,6,61,2
126,6,150,1
127,7,8,2
128,7,9,1
129,7,10,5
130,7,11,7
131,7,12,6
132,7,13,5
133,7,16,1
134,7,17,1
135,7,18,1
136,7,19,1
137,7,21,1
138,7,22,2
139,7,24,3
140,7,28,2
141,7,30,1
142,7,35,3
143,7,36,1
144,7,39,7
145,7,40,3
146,7,41,2
147,7,42,1
148,7,44,1
149,7,45,2
150,7,51,1
151,7,52,1
152,7,60,9
153,7,65,4
154,7,66,1
155,7,67,1
156,7,68,1
157,7,73,4
158,7,74,1
159,7,75,4
160,7,80,2
161,7,82,1
162,7,88,1
163,7,91,3
164,7,92,2
165,7,93,1
166,7,100,1
167,7,101,2
168,7,102,1
169,7,104,1
170,7,111,2
171,7,116,1
172,7,119,1
173,7,134,1
174,7,140,1
175,7,150,1
176,7,165,2
177,7,167,1
178,7,177,1
179,7,221,1
