,t1,t2,ct
0,1,2,4
1,1,3,6
2,1,5,20
3,1,6,7
4,1,8,2
5,1,9,1
6,1,10,3
7,1,11,32
8,1,15,19
9,1,16,1
10,1,19,4
11,1,21,6
12,1,22,2
13,1,23,24
14,1,24,149
15,1,28,1
16,1,30,9
17,1,31,2
18,1,32,21
19,1,33,2
20,1,34,6
21,1,35,73
22,1,36,3
23,1,37,4
24,1,39,1
25,1,40,3
26,1,41,1
27,1,42,1
28,1,44,5
29,1,45,106
30,1,46,7
31,1,47,12
32,1,48,3
33,1,49,1
34,1,50,1
35,1,52,2
36,1,53,1
37,1,54,11
38,1,55,2
39,1,56,1
40,1,60,3
41,1,61,13
42,1,62,8
43,1,63,1
44,1,65,1
45,1,66,29
46,1,71,6
47,1,72,4
48,1,73,7
49,1,75,1
50,1,76,1
51,1,77,15
52,1,78,1
53,1,79,2
54,1,80,2
55,1,81,1
56,1,82,13
57,1,83,3
58,1,85,1
59,1,87,2
60,1,89,35
61,1,90,5
62,1,91,3
63,1,93,2
64,1,94,38
65,1,95,1
66,1,96,15
67,1,97,3
68,1,99,3
69,1,100,3
70,1,101,4
71,1,102,21
72,1,105,13
73,1,107,5
74,1,108,8
75,1,109,16
76,1,110,25
77,1,114,2
78,1,117,4
79,1,120,1
80,1,122,2
81,1,123,2
82,1,124,1
83,1,125,12
84,1,127,3
85,1,129,1
86,1,130,1
87,1,132,2
88,1,133,2
89,1,134,2
90,1,136,3
91,1,137,2
92,1,138,8
93,1,139,8
94,1,140,8
95,1,143,6
96,1,146,3
97,1,147,1
98,1,148,1
99,1,150,3
100,1,152,3
101,1,153,10
102,1,154,17
103,1,161,7
104,1,162,1
105,1,165,2
106,1,166,17
107,1,168,2
108,1,170,1
109,1,171,3
110,1,173,15
111,1,174,3
112,1,175,1
113,1,176,1
114,1,178,5
115,1,179,3
116,1,181,1
117,1,186,16
118,1,194,2
119,1,199,1
120,1,202,1
121,1,203,1
122,1,205,1
123,1,206,1
124,1,210,5
125,1,217,3
126,1,220,4
127,1,230,8
128,1,232,2
129,1,233,1
130,1,236,1
131,1,242,1
132,1,246,1
133,1,247,1
134,1,261,1
135,1,267,1
136,1,272,2
137,1,274,1
138,1,285,1
139,2,3,8
140,2,8,3
141,2,9,3
142,2,13,1
143,2,15,2
144,2,16,1
145,2,17,1
146,2,18,1
147,2,20,1
148,2,21,1
149,2,24,2
150,2,26,1
151,2,31,1
152,2,32,2
153,2,34,1
154,2,35,1
155,2,39,1
156,2,41,1
157,2,44,1
158,2,54,2
159,2,57,1
160,2,64,2
161,2,77,1
162,2,82,1
163,2,94,1
164,2,102,1
165,2,113,1
166,2,118,1
167,2,134,1
168,2,145,1
169,2,151,1
170,2,164,1
171,2,167,1
172,2,168,1
173,2,230,1
174,2,240,1
175,2,287,1
176,3,5,1
177,3,8,2
178,3,9,2
179,3,13,4
180,3,14,1
181,3,15,3
182,3,21,1
183,3,23,2
184,3,24,3
185,3,31,2
186,3,32,4
187,3,34,1
188,3,35,1
189,3,44,2
190,3,45,3
191,3,46,1
192,3,54,1
193,3,60,1
194,3,62,1
195,3,66,1
196,3,72,1
197,3,79,1
198,3,89,1
199,3,104,1
200,3,120,1
201,3,134,1
202,3,147,2
203,3,151,1
204,3,153,1
205,3,154,1
206,3,155,1
207,3,161,1
208,3,167,2
209,3,183,1
210,3,186,1
211,3,208,1
212,3,209,1
213,3,230,3
214,3,239,1
215,3,240,1
216,3,241,1
217,4,5,1
218,5,6,1
219,5,9,2
220,5,10,1
221,5,11,8
222,5,13,2
223,5,15,1
224,5,16,2
225,5,19,1
226,5,21,1
227,5,23,2
228,5,24,9
229,5,28,2
230,5,30,3
231,5,32,3
232,5,34,1
233,5,35,8
234,5,39,1
235,5,40,1
236,5,43,1
237,5,44,2
238,5,45,29
239,5,46,1
240,5,47,4
241,5,50,2
242,5,54,3
243,5,55,2
244,5,57,1
245,5,60,1
246,5,61,2
247,5,63,1
248,5,66,2
249,5,73,1
250,5,82,1
251,5,89,3
252,5,96,1
253,5,97,1
254,5,102,3
255,5,107,1
256,5,108,2
257,5,109,3
258,5,110,2
259,5,111,1
260,5,115,1
261,5,125,1
262,5,138,2
263,5,152,1
264,5,153,2
265,5,154,1
266,5,166,3
267,5,168,2
268,5,170,1
269,5,173,1
270,5,174,1
271,5,186,1
272,5,220,1
273,5,230,1
274,5,232,3
275,5,272,1
276,5,285,1
277,6,8,2
278,6,24,1
279,6,30,1
280,6,46,1
281,6,71,1
282,6,82,2
283,6,90,1
284,6,94,1
285,6,96,4
286,6,101,1
287,6,108,1
288,6,117,1
289,6,137,1
290,6,151,1
291,6,210,2
292,6,242,1
293,8,9,2
294,8,11,1
295,8,12,1
296,8,13,4
297,8,19,1
298,8,20,3
299,8,22,5
300,8,24,3
301,8,29,1
302,8,31,2
303,8,32,1
304,8,33,1
305,8,36,1
306,8,37,1
307,8,41,1
308,8,46,2
309,8,50,7
310,8,54,1
311,8,56,1
312,8,57,6
313,8,58,1
314,8,59,1
315,8,61,2
316,8,64,4
317,8,76,1
318,8,82,3
319,8,92,1
320,8,96,1
321,8,100,1
322,8,102,3
323,8,105,1
324,8,106,1
325,8,113,1
326,8,117,1
327,8,119,3
328,8,120,1
329,8,137,1
330,8,147,1
331,8,149,1
332,8,150,5
333,8,151,3
334,8,157,1
335,8,162,7
336,8,165,1
337,8,167,1
338,8,172,1
339,8,173,1
340,8,176,1
341,8,177,1
342,8,182,1
343,8,185,1
344,8,196,3
345,8,208,1
346,8,210,2
347,8,211,1
348,8,214,1
349,8,231,1
350,8,235,1
351,8,240,1
352,8,241,1
353,8,242,1
354,8,253,1
355,9,12,1
356,9,13,2
357,9,14,1
358,9,19,1
359,9,22,1
360,9,24,6
361,9,29,1
362,9,32,2
363,9,34,1
364,9,43,1
365,9,44,1
366,9,45,1
367,9,46,1
368,9,50,2
369,9,54,1
370,9,57,1
371,9,64,1
372,9,72,1
373,9,77,2
374,9,82,1
375,9,83,1
376,9,87,1
377,9,89,1
378,9,102,6
379,9,106,1
380,9,107,1
381,9,109,1
382,9,115,2
383,9,129,1
384,9,134,1
385,9,140,2
386,9,146,1
387,9,150,2
388,9,153,2
389,9,157,1
390,9,168,2
391,9,186,3
392,9,193,1
