,t1,t2,ct
0,1,2,184
1,1,3,12
2,1,5,1
3,1,7,1
4,1,10,9
5,1,12,7
6,1,15,2
7,1,16,6
8,1,17,1
9,1,18,3
10,1,19,12
11,1,23,79
12,1,24,12
13,1,25,6
14,1,26,7
15,1,27,5
16,1,28,1
17,1,31,25
18,1,32,1
19,1,33,55
20,1,34,53
21,1,35,37
22,1,37,2
23,1,39,22
24,1,41,2
25,1,42,2
26,1,45,2
27,1,46,1
28,1,48,3
29,1,49,13
30,1,51,1
31,1,53,2
32,1,58,3
33,1,59,1
34,1,63,2
35,1,64,7
36,1,65,5
37,1,68,3
38,1,69,3
39,1,73,4
40,1,74,1
41,1,75,4
42,1,77,19
43,1,80,3
44,1,82,2
45,1,83,3
46,1,85,10
47,1,86,2
48,1,87,1
49,1,89,2
50,1,90,5
51,1,93,4
52,1,94,4
53,1,99,3
54,1,100,5
55,1,101,1
56,1,104,16
57,1,105,8
58,1,106,19
59,1,107,4
60,1,108,1
61,1,110,2
62,1,111,1
63,1,114,1
64,1,117,1
65,1,118,2
66,1,121,1
67,1,122,17
68,1,123,1
69,1,124,4
70,1,126,1
71,1,127,1
72,1,130,1
73,1,133,3
74,1,134,1
75,1,135,1
76,1,137,7
77,1,138,2
78,1,141,4
79,1,143,1
80,1,145,8
81,1,146,1
82,1,147,4
83,1,149,1
84,1,151,1
85,1,152,2
86,1,153,1
87,1,154,18
88,1,162,11
89,1,163,2
90,1,164,1
91,1,172,1
92,1,174,16
93,1,175,7
94,1,177,4
95,1,180,5
96,1,189,1
97,1,197,2
98,1,198,2
99,1,201,1
100,1,206,7
101,1,211,2
102,1,219,5
103,1,236,3
104,1,239,6
105,1,245,17
106,1,246,4
107,1,250,2
108,1,255,2
109,1,258,11
110,1,262,49
111,1,263,5
112,1,264,19
113,1,265,10
114,1,266,2
115,1,268,1
116,1,269,1
117,1,271,3
118,1,273,5
119,1,275,3
120,1,278,1
121,1,282,14
122,1,286,1
123,1,287,46
124,1,288,2
125,1,292,19
