,t1,t2,ct
0,1,4,2
1,1,8,1
2,1,20,3
3,1,21,2
4,1,28,1
5,1,29,2
6,1,30,3
7,1,36,1
8,1,37,2
9,1,47,1
10,1,56,1
11,1,58,2
12,1,70,1
13,1,71,1
14,1,79,3
15,1,113,1
16,1,120,36
17,1,282,1
18,1,473,2
19,1,966,1
20,2,8,1
21,2,29,1
22,2,37,1
23,2,56,1
24,4,5,1
25,4,7,1
26,4,8,3
27,4,9,1
28,4,15,3
29,4,16,2
30,4,17,1
31,4,18,9
32,4,19,1
33,4,20,30
34,4,21,8
35,4,28,11
36,4,29,2
37,4,30,1
38,4,32,1
39,4,34,2
40,4,36,1
41,4,37,4
42,4,44,1
43,4,47,8
44,4,49,2
45,4,56,1
46,4,59,1
47,4,64,1
48,4,67,1
49,4,70,33
50,4,79,9
51,4,92,1
52,4,97,1
53,4,99,7
54,4,101,1
55,4,116,1
56,4,120,5
57,4,122,1
58,4,126,1
59,4,127,1
60,4,136,1
61,4,140,2
62,4,147,1
63,4,152,1
64,4,153,1
65,4,157,1
66,4,159,1
67,4,167,1
68,4,176,2
69,4,194,1
70,4,196,2
71,4,203,1
72,4,204,1
73,4,212,1
74,4,213,1
75,4,222,1
76,4,223,1
77,4,228,1
78,4,231,1
79,4,249,1
80,4,254,1
81,4,267,1
82,4,282,2
83,4,291,1
84,4,299,1
85,4,313,1
86,4,314,1
87,4,319,1
88,4,346,1
89,4,362,2
90,4,377,2
91,4,410,1
92,4,414,1
93,4,448,1
94,4,460,1
95,4,470,1
96,4,474,1
97,4,479,1
98,4,493,4
99,4,494,1
100,4,497,1
101,4,507,1
102,4,508,1
103,4,517,1
104,4,532,3
105,4,618,1
106,4,621,1
107,4,659,1
108,4,674,1
109,4,699,1
110,4,731,1
111,4,763,2
112,4,768,1
113,4,797,1
114,4,884,1
115,4,910,1
116,4,959,1
117,4,968,1
118,4,1000,1
119,4,1007,1
120,4,1042,1
121,4,1043,1
122,4,1055,1
123,4,1093,1
124,4,1098,3
125,4,1102,1
126,4,1125,1
127,4,1140,1
128,4,1167,3
129,4,1205,1
130,4,1206,1
131,4,1228,1
132,4,1253,1
133,4,1270,1
134,4,1320,1
135,4,1324,1
136,4,1332,1
137,4,1344,1
138,4,1351,1
139,4,1355,1
140,5,6,52
141,5,7,4
142,5,37,1
143,5,47,1
144,5,76,12
145,5,105,2
146,5,120,5
147,5,532,19
148,5,1000,1
149,5,1068,5
150,6,7,8
151,6,21,1
152,6,37,6
153,6,76,18
154,6,79,2
155,6,105,1
156,6,120,1
157,6,298,1
158,6,532,154
159,6,1068,12
160,6,1244,10
161,6,1260,7
162,6,1370,1
163,7,37,1
164,7,76,4
165,7,532,2
166,7,1244,1
167,7,1260,3
168,8,15,2
169,8,18,1
170,8,20,1
171,8,21,4
172,8,23,1
173,8,28,1
174,8,37,8
175,8,42,1
176,8,47,6
177,8,58,3
178,8,70,1
179,8,71,1
180,8,76,1
181,8,79,3
182,8,100,1
183,8,120,50
184,8,196,1
185,8,282,2
186,8,395,2
187,8,595,1
188,8,915,4
189,8,939,17
190,8,1126,23
191,8,1202,1
192,9,37,2
193,9,776,1
194,9,1056,1
195,10,28,1
196,10,29,1
197,10,32,1
198,10,34,1
199,10,37,1
200,10,105,1
201,10,282,2
202,12,79,1
203,12,120,3
204,12,139,1
205,15,19,1
206,15,20,1
207,15,28,1
208,15,37,1
209,15,38,1
210,15,56,1
211,15,70,1
212,15,76,1
213,15,79,1
214,15,94,1
215,15,99,1
216,15,135,1
217,15,136,1
218,15,161,1
219,15,163,1
220,15,196,1
221,15,204,1
222,15,225,1
223,15,236,1
224,15,282,2
225,15,322,1
226,15,333,1
227,15,387,1
228,15,493,2
229,15,915,1
230,15,975,1
231,15,1091,1
232,15,1164,1
233,15,1247,1
234,15,1338,1
235,16,34,1
236,16,37,1
237,16,58,1
238,16,79,1
239,16,105,1
240,16,120,2
241,16,285,3
242,16,376,3
243,17,18,1
244,17,21,3
245,17,28,1
246,17,143,1
247,17,797,1
248,18,19,3
249,18,20,2
250,18,21,7
251,18,30,1
252,18,37,10
253,18,67,1
254,18,70,1
255,18,79,4
256,18,81,1
257,18,92,3
258,18,94,1
259,18,105,1
260,18,120,1
261,18,196,1
262,18,211,2
263,18,291,1
264,18,296,1
265,18,372,1
266,18,474,1
267,18,591,1
268,19,20,3
269,19,21,1
270,19,37,1
271,19,93,2
272,19,94,1
273,19,591,5
274,20,29,13
275,20,30,1
276,20,32,3
277,20,37,1
278,20,44,1
279,20,56,1
280,20,67,1
281,20,70,3
282,20,79,1
283,20,93,3
284,20,99,2
285,20,141,1
286,20,196,11
287,20,202,1
288,20,377,1
289,20,387,1
290,20,439,2
291,20,474,1
292,20,556,1
293,20,608,1
294,20,652,1
295,20,697,3
296,20,736,1
297,20,807,1
298,20,1074,1
299,20,1098,1
300,20,1102,1
301,21,22,1
302,21,23,2
303,21,36,2
304,21,37,5
305,21,42,1
306,21,47,3
307,21,58,2
308,21,60,1
309,21,64,2
310,21,69,1
311,21,70,19
312,21,75,1
313,21,79,17
314,21,90,1
315,21,98,1
316,21,103,1
317,21,105,2
318,21,109,1
319,21,120,1
320,21,143,1
321,21,158,1
322,21,163,1
323,21,164,1
324,21,167,1
325,21,196,5
326,21,211,1
327,21,232,1
328,21,234,1
329,21,249,1
330,21,259,1
331,21,273,1
332,21,274,1
333,21,275,2
334,21,279,1
335,21,293,1
336,21,298,1
337,21,322,1
338,21,378,1
339,21,414,1
340,21,415,1
341,21,419,1
342,21,440,1
343,21,441,1
344,21,474,1
345,21,532,1
346,21,545,1
347,21,604,1
348,21,605,1
349,21,622,1
350,21,635,2
351,21,731,1
352,21,749,1
353,21,769,1
354,21,888,1
355,21,1044,1
356,21,1174,1
357,21,1234,1
358,21,1249,1
359,21,1309,1
360,21,1310,1
361,21,1385,1
362,23,24,89
363,23,25,28
364,23,28,2
365,23,37,1
366,23,58,1
367,23,64,1
368,23,103,21
369,23,120,6
370,23,211,1
371,23,433,1
372,23,476,2
373,24,25,13
374,24,37,1
375,24,58,1
376,24,103,11
377,24,120,7
378,25,103,2
379,25,120,1
380,26,27,1
381,26,120,3
382,28,37,1
383,28,47,1
384,28,70,1
385,28,79,1
386,28,240,1
387,28,322,1
388,28,495,1
389,28,615,1
390,28,653,1
391,28,843,1
392,28,1098,2
393,28,1161,1
394,28,1205,1
395,29,30,1
396,29,32,2
397,29,56,2
398,29,60,1
399,29,61,1
400,29,79,1
401,29,196,1
402,29,267,1
403,29,699,1
404,30,58,1
405,30,120,14
406,30,282,1
407,30,581,2
408,30,655,1
409,30,954,1
410,31,1295,1
411,34,63,1
412,34,73,1
413,34,79,1
414,34,105,1
415,34,120,15
416,34,167,1
417,34,174,1
418,34,282,3
419,34,389,7
420,34,716,1
421,34,1098,1
422,36,37,3
423,36,47,1
424,36,70,1
425,36,120,1
426,36,532,1
427,37,38,1
428,37,42,2
429,37,47,1
430,37,51,2
431,37,57,2
432,37,62,2
433,37,63,1
434,37,64,1
435,37,67,1
436,37,73,1
437,37,75,2
438,37,76,1
439,37,79,10
440,37,90,1
441,37,92,1
442,37,105,1
443,37,120,2
444,37,126,1
445,37,140,1
446,37,141,1
447,37,157,1
448,37,162,1
449,37,167,4
450,37,176,1
451,37,203,1
452,37,222,1
453,37,225,1
454,37,229,1
455,37,245,1
456,37,255,1
457,37,273,2
458,37,279,1
459,37,287,1
460,37,291,1
461,37,295,1
462,37,296,2
463,37,305,1
464,37,308,1
465,37,310,1
466,37,321,2
467,37,322,2
468,37,327,1
469,37,350,2
470,37,363,1
471,37,405,1
472,37,409,1
473,37,424,1
474,37,438,1
475,37,447,1
476,37,468,1
477,37,495,2
478,37,497,1
479,37,514,1
480,37,517,1
481,37,527,1
482,37,531,1
483,37,532,8
484,37,556,2
485,37,596,1
486,37,608,1
487,37,626,1
488,37,628,1
489,37,651,1
490,37,658,2
491,37,660,2
492,37,664,1
493,37,680,1
494,37,699,3
495,37,718,1
496,37,731,1
497,37,733,1
498,37,744,1
499,37,769,1
500,37,791,1
501,37,807,1
502,37,818,1
503,37,846,1
504,37,888,1
505,37,906,1
506,37,912,1
507,37,983,1
508,37,995,1
509,37,1014,1
510,37,1037,1
511,37,1067,1
512,37,1083,2
513,37,1109,1
514,37,1138,1
515,37,1140,1
516,37,1144,1
517,37,1147,1
518,37,1152,1
519,37,1174,1
520,37,1178,2
521,37,1185,1
522,37,1191,1
523,37,1199,1
524,37,1202,1
525,37,1206,1
526,37,1215,2
527,37,1223,1
528,37,1238,2
529,37,1243,1
530,37,1244,2
531,37,1247,1
532,37,1252,1
533,37,1258,1
534,37,1260,1
535,37,1270,1
536,37,1277,1
537,37,1282,1
538,37,1286,1
539,37,1291,1
540,37,1294,1
541,37,1308,1
542,37,1320,1
543,37,1325,1
544,37,1328,1
545,37,1340,1
546,37,1371,1
547,38,71,1
548,38,79,1
549,38,120,3
550,38,165,2
551,38,174,1
552,38,282,1
553,38,479,1
