,t1,t2,ct
0,1,4,1
1,1,5,2
2,1,8,3
3,1,30,1
4,1,33,1
5,1,43,1
6,2,3,2
7,2,12,1
8,2,27,1
9,2,28,1
10,3,12,1
11,4,5,1
12,4,6,1
13,4,7,1
14,4,69,1
15,5,6,4
16,5,7,1
17,5,8,6
18,5,10,1
19,5,12,1
20,5,15,1
21,5,16,2
22,5,17,1
23,5,23,1
24,5,30,2
25,5,32,1
26,5,35,2
27,5,39,2
28,5,44,2
29,5,45,1
30,5,46,1
31,5,47,1
32,5,48,2
33,5,49,1
34,5,50,1
35,5,51,1
36,5,54,1
37,5,69,1
38,6,7,1
39,6,8,1
40,6,30,1
41,6,43,1
42,8,9,1
43,8,10,2
44,8,11,1
45,8,12,1
46,8,30,3
47,8,37,1
48,8,55,1
49,9,10,1
50,9,11,1
51,10,11,1
52,10,12,1
53,10,16,1
54,10,37,1
55,12,16,1
56,12,30,1
57,12,40,1
58,12,41,1
59,12,42,1
60,12,61,1
61,13,14,1
62,15,18,1
63,15,19,1
64,15,23,1
65,15,30,3
66,15,48,1
67,15,66,1
68,16,17,1
69,16,39,1
70,17,19,1
71,18,19,1
72,20,22,1
73,21,22,1
74,21,48,1
75,22,30,1
76,22,48,1
77,22,52,1
78,22,53,1
79,22,65,1
80,22,70,1
81,23,29,1
82,23,30,1
83,23,48,1
84,24,25,1
85,24,26,1
86,25,26,1
87,27,28,1
88,28,36,1
89,29,30,2
90,29,56,1
91,30,39,1
92,30,66,1
93,37,38,1
94,37,58,1
95,39,54,1
96,40,41,1
97,40,42,1
98,41,42,1
99,43,59,1
100,43,60,1
101,44,45,1
102,44,46,1
103,44,47,1
104,44,48,1
105,45,46,1
106,45,47,1
107,46,47,1
108,49,50,1
109,49,51,1
110,50,51,1
111,52,65,1
112,59,60,1
113,62,63,1
114,62,64,1
115,63,64,1
116,67,68,1
