,t1,t2,ct
0,1,2,15
1,1,4,1
2,1,5,2
3,1,6,7
4,1,7,1
5,1,9,43
6,1,10,9
7,1,11,2
8,1,16,11
9,1,17,5
10,1,19,3
11,1,22,7
12,1,23,16
13,1,25,1
14,1,26,48
15,1,27,2
16,1,28,1
17,1,29,1
18,1,31,10
19,1,32,2
20,1,34,1
21,1,36,1
22,1,39,3
23,1,41,47
24,1,42,2
25,1,48,4
26,1,49,1
27,1,51,3
28,1,53,23
29,1,57,3
30,1,65,3
31,1,67,3
32,1,68,1
33,1,69,4
34,1,71,1
35,1,72,8
36,1,73,1
37,1,78,3
38,1,79,8
39,1,81,5
40,1,84,7
41,1,88,7
42,1,91,38
43,1,92,3
44,1,94,3
45,1,98,5
46,1,99,1
47,1,100,11
48,1,102,13
49,1,105,2
50,1,118,1
51,1,121,1
52,1,122,1
53,1,123,1
54,1,125,1
55,1,126,38
56,1,128,2
57,1,129,1
58,1,130,11
59,1,134,1
60,1,135,52
61,1,137,4
62,1,143,1
63,1,144,12
64,1,148,6
65,1,154,31
66,1,155,410
67,1,157,18
68,1,158,3
69,1,160,9
70,1,161,52
71,1,162,489
72,1,164,33
73,1,165,4
74,1,175,1
75,1,177,2
76,1,181,18
77,1,186,1
78,1,187,1
79,1,191,17
80,1,193,3
81,1,196,1
82,1,197,1
83,1,200,4
84,1,206,154
85,1,207,31
86,1,208,55
87,1,209,1
88,1,210,1
89,1,211,6
90,1,212,2
91,1,222,1
92,1,224,2
93,1,227,1
94,1,238,3
95,1,239,3
96,1,241,1
97,1,243,7
98,1,246,52
99,1,248,1
100,1,252,5
101,1,253,1
102,1,254,1
103,1,259,1
104,1,261,3
105,1,262,20
106,1,263,8
107,1,265,2
108,1,267,2
109,1,269,5
110,1,273,9
111,1,274,111
112,1,275,39
113,1,276,7
114,1,278,3
115,1,280,1
116,1,282,29
117,1,286,1
118,1,287,1
119,1,291,30
120,1,295,1
121,1,296,1
122,1,297,2
123,1,302,1
124,1,308,1
125,1,309,1
126,1,311,51
127,1,312,1
128,1,321,1
129,1,325,3
130,1,326,6
131,1,328,36
132,1,332,1
133,1,333,2
134,1,335,1
135,1,340,5
136,1,341,1
137,1,349,1
138,1,362,41
139,1,363,2
140,1,364,2
141,1,369,236
142,1,370,9
143,1,371,26
144,1,374,9
145,1,379,11
146,1,381,2
147,1,382,5
148,1,385,9
149,1,390,1
150,1,392,1
151,1,401,4
152,1,413,1
153,1,418,22
154,1,420,1
155,1,430,2
156,1,431,2
157,1,433,1
158,1,434,1
159,1,446,3
160,1,447,10
161,1,457,4
162,1,458,1
163,1,459,4
164,1,462,2
165,1,465,3
166,1,467,1
167,1,475,1
168,1,482,29
169,1,483,2
170,1,487,1
171,1,494,1
172,1,497,1
173,1,500,2
174,1,501,55
175,1,503,2
176,1,506,21
177,1,507,4
178,1,510,3
179,1,529,1
180,1,534,7
181,1,539,40
182,1,540,1
183,1,543,47
184,1,544,1
185,1,553,1
186,1,557,1
187,1,572,1
188,1,575,1
189,1,580,1
190,1,591,1
191,1,593,48
192,1,594,1
193,1,601,1
194,1,603,2
195,1,604,29
196,1,605,1
197,1,612,5
198,1,614,1
199,1,622,1
200,1,631,2
201,1,635,5
202,1,637,1
203,1,639,3
204,1,644,5
205,1,649,1
206,1,658,10
207,1,659,1
208,1,660,1
209,1,663,1
210,1,670,49
211,1,675,2
212,1,677,1
213,1,680,15
214,1,681,1
215,1,682,3
216,1,693,9
217,1,698,16
218,1,699,1
219,1,704,2
220,1,708,1
221,1,710,12
222,1,717,2
223,1,719,4
224,1,724,23
225,1,728,1
226,1,740,6
227,1,747,38
228,1,765,1
229,1,766,2
230,1,769,2
231,1,773,1
232,1,775,1
233,1,776,1
234,1,780,3
235,1,784,2
236,1,785,19
237,1,789,2
238,1,790,13
239,1,791,3
240,1,792,1
241,1,797,11
242,1,804,1
243,1,812,1
244,1,818,2
245,1,819,50
246,1,834,1
247,1,850,8
248,1,857,2
249,1,877,5
250,1,883,11
251,1,888,1
252,1,891,8
253,1,893,4
254,1,895,2
255,1,904,2
256,1,909,1
257,1,915,1
258,1,921,22
259,1,925,13
260,1,927,2
261,1,928,14
262,1,946,1
263,1,967,1
264,1,971,2
265,1,976,1
266,1,986,1
267,1,1008,1
268,1,1009,1
269,1,1012,1
270,1,1013,3
271,1,1026,1
272,1,1073,7
273,1,1119,1
274,1,1121,1
275,1,1122,2
276,1,1124,6
277,1,1125,2
278,1,1126,7
279,1,1138,5
280,1,1147,4
281,1,1148,93
282,1,1157,5
283,1,1172,11
284,1,1174,1
285,1,1179,2
286,1,1183,1
287,1,1184,2
288,1,1185,2
289,1,1208,31
290,1,1214,1
291,1,1216,1
292,1,1218,6
293,1,1220,8
294,1,1234,2
295,1,1236,1
296,1,1237,1
297,1,1244,4
298,1,1246,42
299,1,1263,1
300,1,1266,2
301,1,1268,3
302,1,1283,1
303,1,1290,3
304,1,1294,1
305,1,1313,1
306,1,1328,7
307,1,1329,1
308,1,1334,3
309,1,1335,8
310,1,1342,3
311,1,1355,1
312,1,1367,3
313,1,1385,23
314,1,1395,1
315,1,1411,1
316,1,1417,1
317,1,1418,10
318,1,1420,2
319,1,1431,3
320,1,1433,4
321,1,1438,4
322,1,1444,1
323,1,1492,1
324,1,1501,1
325,1,1504,3
326,1,1511,2
327,1,1518,3
328,1,1546,22
329,1,1580,1
330,1,1581,3
331,1,1589,1
332,1,1600,2
333,1,1608,1
334,1,1610,8
335,1,1640,1
336,1,1651,2
337,1,1654,5
338,1,1667,1
339,1,1704,1
340,1,1731,3
341,1,1733,130
342,1,1738,12
343,1,1742,148
344,1,1743,4
345,1,1752,2
346,1,1755,1
347,1,1767,1
348,1,1769,10
349,1,1771,1
350,1,1793,2
351,1,1807,5
352,1,1808,2
353,1,1857,2
354,1,1858,1
355,1,1868,1
356,1,1891,3
357,1,1905,3
358,1,1912,1
359,1,1928,16
360,1,1948,8
361,1,1968,2
362,1,1980,1
363,1,2003,6
364,1,2010,13
365,1,2013,3
366,1,2032,1
367,1,2043,2
368,1,2048,1
369,1,2084,7
370,1,2104,82
371,1,2120,4
372,1,2148,3
373,1,2179,1
374,1,2180,4
375,1,2182,1
376,1,2202,1
377,1,2206,1
378,1,2234,2
379,1,2236,24
380,1,2239,2
381,1,2250,1
382,1,2260,1
383,1,2292,1
384,1,2304,1
385,1,2331,1
386,1,2398,9
387,1,2399,28
388,1,2404,1
389,1,2405,2
390,1,2420,1
391,1,2460,1
392,1,2471,1
393,1,2485,4
394,1,2502,34
395,1,2537,1
396,1,2561,1
397,1,2615,23
398,1,2681,1
399,1,2684,1
400,1,2688,1
401,1,2694,1
402,1,2713,2
403,1,2728,2
404,1,2802,1
405,1,2836,1
406,1,2841,1
407,1,2847,11
408,1,2866,6
409,1,2894,1
410,1,2915,25
411,1,3027,7
412,2,6,9
413,2,9,6
414,2,10,5
415,2,11,1
416,2,12,1
417,2,13,1
418,2,16,18
419,2,17,1
420,2,19,16
421,2,20,2
422,2,21,2
423,2,22,3
424,2,23,4
425,2,26,25
426,2,27,6
427,2,28,2
428,2,34,29
429,2,36,3
430,2,39,96
431,2,40,14
432,2,41,72
433,2,42,2
434,2,47,1
435,2,48,4
436,2,49,2
437,2,50,13
438,2,51,1
439,2,53,30
440,2,55,1
441,2,56,1
442,2,57,2
443,2,61,3
444,2,62,11
445,2,63,1
446,2,65,1
447,2,72,43
448,2,73,3
449,2,75,1
450,2,78,3
451,2,79,5
452,2,83,1
453,2,84,1
454,2,87,5
455,2,88,13
456,2,90,1
457,2,92,2
458,2,94,1
459,2,98,1
460,2,100,3
461,2,102,13
462,2,107,6
463,2,112,1
464,2,113,7
465,2,115,1
466,2,125,1
467,2,127,1
468,2,128,2
469,2,130,1
470,2,134,8
471,2,135,4
472,2,137,6
473,2,144,1
474,2,145,2
475,2,154,11
476,2,155,4
477,2,159,6
478,2,160,2
479,2,162,23
480,2,164,15
481,2,165,12
482,2,167,1
483,2,169,2
484,2,173,3
485,2,177,11
486,2,181,10
487,2,186,1
488,2,190,27
489,2,191,2
490,2,193,1
491,2,196,1
492,2,201,28
493,2,202,7
494,2,205,9
495,2,206,1
496,2,207,23
497,2,210,3
498,2,211,1
499,2,215,1
500,2,216,6
501,2,222,1
502,2,225,1
503,2,230,1
504,2,231,1
505,2,232,1
506,2,239,11
507,2,241,3
508,2,243,10
509,2,244,1
510,2,246,7
511,2,250,2
512,2,251,2
513,2,252,2
514,2,259,1
515,2,262,5
516,2,263,3
517,2,264,2
518,2,265,1
519,2,266,1
520,2,267,2
521,2,269,10
522,2,270,1
523,2,273,2
524,2,276,1
525,2,278,1
526,2,280,2
527,2,281,1
528,2,282,3
529,2,287,2
530,2,288,1
531,2,291,49
532,2,301,3
533,2,302,8
534,2,309,2
535,2,310,2
536,2,312,4
537,2,316,3
538,2,321,2
539,2,324,1
540,2,328,8
541,2,332,2
542,2,369,3
543,2,370,3
544,2,371,13
545,2,374,6
546,2,381,2
547,2,382,17
548,2,383,1
549,2,385,3
550,2,403,8
551,2,406,2
552,2,424,2
553,2,443,2
554,2,444,1
555,2,450,1
556,2,458,1
557,2,459,1
558,2,466,3
559,2,481,5
560,2,482,4
561,2,483,2
562,2,485,1
563,2,490,8
564,2,491,8
565,2,497,1
566,2,500,1
567,2,501,28
568,2,503,1
569,2,507,2
570,2,509,1
571,2,518,4
572,2,519,2
573,2,539,6
574,2,540,3
575,2,564,1
576,2,587,1
577,2,588,1
578,2,593,1
579,2,594,2
580,2,603,2
581,2,607,1
582,2,613,1
583,2,615,1
584,2,621,1
585,2,631,2
586,2,637,2
587,2,639,2
588,2,644,13
589,2,645,1
590,2,650,1
591,2,651,1
592,2,652,1
593,2,668,1
594,2,679,2
595,2,680,1
596,2,682,1
597,2,683,1
598,2,698,5
599,2,704,2
600,2,708,1
601,2,731,2
602,2,761,3
603,2,769,3
604,2,770,9
605,2,778,1
606,2,792,1
607,2,804,1
608,2,807,1
609,2,818,2
610,2,819,12
611,2,826,1
612,2,832,1
613,2,835,7
614,2,861,1
615,2,870,1
616,2,877,8
617,2,878,1
618,2,895,1
619,2,898,1
620,2,945,1
621,2,969,1
622,2,975,1
623,2,976,1
624,2,984,1
625,2,986,1
626,2,994,1
627,2,1008,1
628,2,1009,1
629,2,1013,1
630,2,1026,3
631,2,1034,1
632,2,1045,2
633,2,1046,1
634,2,1107,1
635,2,1112,5
636,2,1116,4
637,2,1125,1
638,2,1148,32
639,2,1153,5
640,2,1179,3
641,2,1214,1
642,2,1217,2
643,2,1218,1
644,2,1229,1
645,2,1244,1
646,2,1260,2
647,2,1262,4
648,2,1263,2
649,2,1266,5
650,2,1271,2
651,2,1276,1
652,2,1282,1
653,2,1283,1
654,2,1287,1
655,2,1303,1
656,2,1310,1
657,2,1313,7
658,2,1324,1
659,2,1333,1
660,2,1342,1
661,2,1380,1
662,2,1385,9
