,t1,t2,ct
0,1,13,2
1,1,14,1
2,1,15,1
3,1,17,1
4,1,18,3
5,1,19,2
6,1,20,1
7,1,21,1
8,1,22,2
9,1,28,1
10,1,31,4
11,1,33,1
12,1,39,2
13,1,56,2
14,1,57,2
15,1,58,1
16,1,65,1
17,1,67,2
18,1,73,1
19,1,74,1
20,1,89,1
21,2,6,1
22,2,7,3
23,2,8,1
24,2,13,1
25,2,14,1
26,2,17,1
27,2,18,1
28,2,22,1
29,2,23,5
30,2,24,3
31,2,25,1
32,2,26,1
33,2,27,2
34,2,28,4
35,2,30,4
36,2,31,6
37,2,33,1
38,2,35,1
39,2,43,1
40,2,44,3
41,2,45,1
42,2,51,4
43,2,52,1
44,2,55,1
45,2,58,2
46,2,62,6
47,2,63,6
48,2,64,2
49,2,70,1
50,2,74,1
51,2,83,3
52,4,8,1
53,4,23,1
54,4,33,1
55,4,63,1
56,4,64,1
57,6,43,1
58,6,44,1
59,6,53,2
60,6,64,1
61,7,8,1
62,7,11,1
63,7,13,1
64,7,16,2
65,7,17,1
66,7,19,1
67,7,22,4
68,7,24,1
69,7,25,1
70,7,26,2
71,7,27,5
72,7,28,2
73,7,30,2
74,7,31,5
75,7,37,3
76,7,38,2
77,7,39,1
78,7,47,1
79,7,48,1
80,7,49,1
81,7,50,1
82,7,51,2
83,7,52,1
84,7,62,4
85,7,63,1
86,7,66,3
87,7,76,2
88,7,79,2
89,7,86,1
90,7,87,1
91,7,88,1
92,8,16,1
93,8,17,1
94,8,21,1
95,8,23,1
96,8,26,1
97,8,51,1
98,8,72,1
99,8,75,1
100,8,78,1
101,11,28,1
102,11,62,1
103,11,66,1
104,12,51,1
105,13,21,1
106,13,27,1
107,13,37,2
108,13,44,1
109,13,52,1
110,13,70,1
111,14,15,1
112,14,62,2
113,16,17,1
114,16,47,1
115,17,37,1
116,17,66,1
117,17,68,1
118,18,19,2
119,18,20,3
120,18,21,1
121,18,31,2
122,18,45,1
123,18,58,2
124,18,63,1
125,19,20,2
126,19,21,1
127,19,31,3
128,19,54,2
129,19,58,2
130,19,62,1
131,19,63,1
132,20,21,1
133,20,31,1
134,20,45,1
135,20,58,2
136,21,27,1
137,21,31,1
138,21,41,1
139,21,58,1
140,21,62,1
141,21,72,1
142,21,75,1
143,21,78,1
144,22,23,2
145,22,24,1
146,22,39,1
147,22,81,1
148,22,84,1
149,22,85,1
150,22,86,1
151,22,87,1
152,22,88,1
153,22,89,2
154,23,24,2
155,23,25,1
156,23,28,1
157,23,54,2
158,23,55,1
159,23,59,3
160,23,65,2
161,23,71,2
162,23,72,1
163,23,81,1
164,24,25,1
165,24,30,1
166,26,27,4
167,26,30,1
168,27,30,2
169,27,43,1
170,27,59,1
171,27,64,1
172,28,29,1
173,28,31,1
174,28,33,1
175,28,34,2
176,28,41,1
177,28,42,1
178,28,48,1
179,28,58,1
180,28,62,3
181,28,63,2
182,28,66,1
183,29,30,1
184,29,32,1
185,29,33,1
186,29,34,1
187,30,34,1
188,30,44,1
189,30,52,1
190,30,64,1
191,30,66,1
192,30,70,1
193,30,83,1
194,31,36,1
195,31,37,1
196,31,38,2
197,31,45,2
198,31,58,5
199,31,62,1
200,31,63,2
201,31,74,2
202,31,75,1
203,31,77,1
204,31,78,1
205,32,33,1
206,32,36,1
207,33,48,1
208,33,62,2
209,33,63,3
210,35,43,1
211,35,44,1
212,37,43,1
213,37,49,1
214,37,50,1
215,37,59,1
216,37,62,1
217,37,66,1
218,37,76,1
219,38,51,1
220,38,65,1
221,39,56,1
222,40,59,1
223,41,42,1
224,42,47,1
225,43,44,5
226,43,49,1
227,43,50,1
228,43,59,1
229,44,52,2
230,44,66,1
231,44,70,2
232,45,58,2
233,45,62,1
234,46,60,1
235,47,65,1
236,47,66,1
237,48,49,1
238,48,50,1
239,48,51,2
240,48,64,2
241,49,50,2
242,49,51,1
243,49,59,1
244,50,51,1
245,50,59,1
246,51,59,1
247,51,64,1
248,51,72,1
249,51,81,1
250,51,82,1
251,52,59,1
252,52,66,1
253,52,70,2
254,56,57,1
255,58,59,1
256,58,62,1
257,58,63,1
258,58,66,1
259,58,74,1
260,58,75,1
261,59,61,2
262,59,66,1
263,59,71,1
264,59,80,1
265,59,81,2
266,59,82,1
267,61,64,1
268,62,63,7
269,62,66,1
270,62,76,2
271,63,77,1
272,63,78,1
273,65,66,1
274,65,67,1
275,65,71,1
276,66,68,1
277,66,69,1
278,66,70,1
279,68,69,2
280,74,75,2
281,75,78,2
282,77,78,1
283,81,82,1
