,t1,t2,ct
0,1,2,2
1,1,3,3
2,1,10,1
3,1,17,1
4,1,19,3
5,1,22,1
6,1,36,1
7,1,38,1
8,1,43,1
9,1,52,2
10,1,55,1
11,1,93,2
12,1,101,2
13,2,3,4
14,2,4,2
15,2,5,1
16,2,10,1
17,2,17,5
18,2,18,3
19,2,19,6
20,2,22,1
21,2,23,3
22,2,29,1
23,2,30,2
24,2,33,1
25,2,35,1
26,2,36,2
27,2,38,1
28,2,42,2
29,2,43,2
30,2,52,1
31,2,55,2
32,2,56,3
33,2,58,2
34,2,59,3
35,2,60,2
36,2,67,1
37,2,70,1
38,2,77,1
39,2,79,1
40,2,85,1
41,2,87,1
42,2,88,1
43,2,90,1
44,2,100,2
45,2,104,1
46,2,105,1
47,2,111,6
48,2,115,1
49,2,118,1
50,2,121,1
51,2,122,1
52,2,124,1
53,2,126,1
54,2,130,4
55,2,135,2
56,2,136,1
57,3,4,1
58,3,5,2
59,3,7,1
60,3,9,1
61,3,10,3
62,3,12,1
63,3,14,2
64,3,15,1
65,3,16,3
66,3,19,10
67,3,22,2
68,3,27,1
69,3,30,5
70,3,31,1
71,3,37,1
72,3,38,4
73,3,43,5
74,3,46,1
75,3,48,1
76,3,52,3
77,3,55,3
78,3,56,1
79,3,58,2
80,3,60,1
81,3,67,3
82,3,68,1
83,3,69,1
84,3,73,2
85,3,77,1
86,3,80,5
87,3,81,1
88,3,83,1
89,3,88,2
90,3,93,5
91,3,94,1
92,3,95,1
93,3,97,1
94,3,101,1
95,3,111,1
96,3,121,1
97,3,125,2
98,4,5,5
99,4,7,3
100,4,9,1
101,4,14,2
102,4,17,1
103,4,18,3
104,4,19,5
105,4,22,2
106,4,26,1
107,4,27,1
108,4,39,1
109,4,42,1
110,4,50,2
111,4,52,2
112,4,53,1
113,4,63,1
114,4,64,1
115,4,68,1
116,4,76,1
117,4,78,1
118,4,82,1
119,4,83,2
120,4,108,1
121,4,111,1
122,5,7,6
123,5,10,1
124,5,11,1
125,5,12,1
126,5,17,1
127,5,18,2
128,5,19,6
129,5,22,1
130,5,27,1
131,5,32,1
132,5,33,1
133,5,34,1
134,5,36,1
135,5,43,1
136,5,52,2
137,5,53,1
138,5,75,1
139,5,108,1
140,5,113,1
141,6,7,1
142,6,13,1
143,6,17,1
144,6,43,1
145,6,52,1
146,6,102,1
147,7,15,1
148,7,16,3
149,7,17,1
150,7,19,5
151,7,22,1
152,7,24,2
153,7,26,1
154,7,27,1
155,7,30,1
156,7,32,2
157,7,34,3
158,7,38,1
159,7,39,1
160,7,40,1
161,7,43,1
162,7,48,1
163,7,49,1
164,7,52,2
165,7,64,1
166,7,75,1
167,7,82,2
168,7,83,1
169,7,84,1
170,7,88,1
171,7,96,1
172,7,100,1
173,7,108,1
174,7,109,2
175,7,110,1
176,7,111,3
177,7,113,1
178,7,125,1
179,7,137,1
180,9,10,2
181,9,12,1
182,9,13,1
183,9,19,2
184,9,22,1
