,t1,t2,ct
0,1,2,49
1,1,3,15
2,1,5,2
3,1,6,4
4,1,8,1
5,1,9,1
6,1,15,6
7,1,21,1
8,1,22,3
9,1,23,5
10,1,25,1
11,1,27,2
12,1,36,11
13,1,38,1
14,1,44,1
15,1,45,4
16,1,49,6
17,1,50,1
18,1,52,4
19,1,53,14
20,1,54,24
21,1,60,5
22,1,71,6
23,1,72,1
24,1,73,1
25,1,89,1
26,1,98,3
27,1,106,2
28,1,115,1
29,1,119,1
30,1,126,2
31,1,133,2
32,1,142,1
33,1,146,3
34,1,147,1
35,1,148,2
36,1,151,1
37,1,178,1
38,1,191,16
39,1,223,1
40,1,247,1
41,1,258,1
42,2,3,160
43,2,4,1
44,2,5,31
45,2,6,100
46,2,7,1
47,2,8,4
48,2,9,68
49,2,12,2
50,2,15,20
51,2,16,2
52,2,19,7
53,2,20,4
54,2,21,24
55,2,22,38
56,2,23,11
57,2,25,4
58,2,26,1
59,2,27,39
60,2,28,1
61,2,30,5
62,2,31,3
63,2,32,1
64,2,33,1
65,2,36,144
66,2,37,1
67,2,38,10
68,2,42,2
69,2,43,1
70,2,44,10
71,2,45,4
72,2,46,1
73,2,47,1
74,2,49,34
75,2,50,4
76,2,51,3
77,2,52,17
78,2,53,63
79,2,54,170
80,2,57,1
81,2,58,2
82,2,60,33
83,2,61,11
84,2,66,1
85,2,67,2
86,2,68,1
87,2,70,16
88,2,71,59
89,2,72,2
90,2,73,3
91,2,74,3
92,2,78,2
93,2,79,3
94,2,81,1
95,2,85,3
96,2,86,1
97,2,89,6
98,2,94,3
99,2,95,4
100,2,98,2
101,2,99,1
102,2,102,26
103,2,104,1
104,2,106,30
105,2,107,2
106,2,108,3
107,2,112,1
108,2,113,2
109,2,115,19
110,2,123,1
111,2,125,1
112,2,126,16
113,2,127,23
114,2,132,2
115,2,133,1
116,2,137,1
117,2,139,3
118,2,142,10
119,2,146,13
120,2,147,5
121,2,148,1
122,2,150,1
123,2,151,1
124,2,152,1
125,2,154,1
126,2,156,1
127,2,159,1
128,2,165,3
129,2,166,4
130,2,179,1
131,2,180,1
132,2,191,41
133,2,195,1
134,2,197,1
135,2,209,1
136,2,214,1
137,2,221,1
138,2,228,1
139,2,232,1
140,2,233,1
141,2,258,6
142,3,5,11
143,3,6,24
144,3,9,15
145,3,12,2
146,3,15,15
147,3,20,1
148,3,21,6
149,3,22,11
150,3,23,5
151,3,25,2
152,3,27,13
153,3,28,1
154,3,36,25
155,3,37,1
156,3,38,1
157,3,39,1
158,3,40,2
159,3,44,5
160,3,45,5
161,3,49,20
162,3,50,1
163,3,51,2
164,3,52,8
165,3,53,13
166,3,54,79
167,3,60,13
168,3,61,6
169,3,67,1
170,3,70,3
171,3,71,23
172,3,73,1
173,3,78,1
174,3,83,1
175,3,86,2
176,3,89,5
177,3,99,1
178,3,102,3
179,3,106,32
180,3,107,3
181,3,108,1
182,3,112,1
183,3,113,1
184,3,114,1
185,3,115,10
186,3,119,2
187,3,125,1
188,3,126,10
189,3,127,1
190,3,130,1
191,3,132,1
192,3,136,1
193,3,139,2
194,3,142,1
195,3,146,10
196,3,147,2
197,3,148,1
198,3,152,1
199,3,160,1
200,3,165,1
201,3,166,3
202,3,179,1
203,3,191,22
204,3,229,2
205,3,258,5
206,4,5,6
207,4,6,4
208,4,7,1
209,4,10,5
210,4,12,2
211,4,13,5
212,4,14,1
213,4,15,7
214,4,17,8
215,4,19,5
216,4,20,8
217,4,21,7
218,4,22,6
219,4,23,3
220,4,24,1
221,4,25,1
222,4,26,8
223,4,27,9
224,4,29,3
225,4,30,1
226,4,31,1
227,4,32,1
228,4,33,3
229,4,34,2
230,4,36,3
231,4,37,13
232,4,38,15
233,4,39,5
234,4,40,9
235,4,42,1
236,4,44,2
237,4,45,1
238,4,46,2
239,4,47,9
240,4,48,4
241,4,49,15
242,4,50,1
243,4,51,2
244,4,52,2
245,4,54,11
246,4,55,20
247,4,56,1
248,4,57,2
249,4,58,1
250,4,59,1
251,4,60,14
252,4,61,11
253,4,63,8
254,4,64,3
255,4,65,6
256,4,66,2
257,4,67,1
258,4,70,14
259,4,71,32
260,4,73,5
261,4,74,8
262,4,82,1
263,4,83,1
264,4,85,1
265,4,89,5
266,4,91,1
267,4,95,5
268,4,101,1
269,4,102,1
270,4,106,3
271,4,107,23
272,4,108,1
273,4,113,1
274,4,114,2
275,4,115,1
276,4,117,2
277,4,126,2
278,4,130,1
279,4,132,1
280,4,139,1
281,4,143,1
282,4,145,1
283,4,146,1
284,4,147,2
285,4,152,1
286,4,154,3
287,4,155,1
288,4,156,4
289,4,159,1
290,4,160,1
291,4,166,1
292,4,171,1
293,4,173,1
294,4,199,1
295,4,208,1
296,4,223,5
297,4,226,2
298,4,227,1
299,4,256,1
300,4,257,1
301,4,261,3
302,5,6,183
303,5,7,14
304,5,8,16
305,5,9,38
306,5,10,25
307,5,11,24
308,5,12,9
309,5,13,3
310,5,14,11
311,5,15,13
312,5,16,338
313,5,17,13
314,5,19,1022
315,5,20,661
316,5,21,1558
317,5,22,84
318,5,23,70
319,5,24,4
320,5,25,84
321,5,26,20
322,5,27,142
323,5,28,13
324,5,29,173
325,5,30,660
326,5,31,11
327,5,32,21
328,5,33,79
329,5,34,8
330,5,35,35
331,5,36,24
332,5,37,22
333,5,38,33
334,5,39,8
335,5,40,9
336,5,42,11
337,5,43,5
338,5,44,7
339,5,45,15
340,5,46,195
341,5,47,103
342,5,48,3
343,5,49,64
344,5,50,6
345,5,51,7
346,5,52,11
347,5,53,9
348,5,54,214
349,5,55,10
350,5,56,5
351,5,57,3
352,5,58,2
353,5,59,1
354,5,60,62
355,5,61,52
356,5,63,1
357,5,64,3
358,5,65,13
359,5,67,2
360,5,68,3
361,5,70,186
362,5,71,124
363,5,72,223
364,5,73,15
365,5,74,23
366,5,75,1
367,5,76,1
368,5,77,6
369,5,78,207
370,5,79,20
371,5,80,1
372,5,81,1
373,5,82,303
374,5,83,18
375,5,84,22
376,5,85,7
377,5,86,13
378,5,87,1
379,5,88,33
380,5,89,26
381,5,90,22
382,5,91,5
383,5,92,1
384,5,93,12
385,5,94,31
386,5,95,8
387,5,96,9
388,5,98,6
389,5,99,2
390,5,101,9
391,5,102,130
392,5,103,19
393,5,104,119
394,5,105,13
395,5,106,7
396,5,107,10
397,5,108,42
398,5,110,143
399,5,111,8
400,5,112,4
401,5,113,71
402,5,115,6
403,5,116,23
404,5,117,36
405,5,119,6
406,5,120,15
407,5,121,1
408,5,122,7
409,5,124,39
410,5,125,2
411,5,126,93
412,5,128,2
413,5,129,40
414,5,130,6
415,5,131,71
416,5,132,16
417,5,133,1
418,5,135,5
419,5,136,4
420,5,137,2
421,5,139,4
422,5,140,19
423,5,141,1
424,5,142,35
425,5,143,5
426,5,144,36
427,5,145,3
428,5,146,15
429,5,147,4
430,5,148,9
431,5,149,2
432,5,150,80
433,5,152,2
434,5,153,2
435,5,154,1
436,5,155,27
437,5,156,13
438,5,158,6
439,5,159,15
440,5,160,2
441,5,161,4
442,5,162,2
443,5,163,4
444,5,164,45
445,5,165,1
446,5,166,10
447,5,168,44
448,5,169,4
449,5,170,4
450,5,171,3
451,5,172,3
452,5,173,4
453,5,174,25
454,5,175,4
455,5,177,1
456,5,178,17
457,5,179,52
458,5,180,1
459,5,181,10
460,5,183,1
461,5,184,1
462,5,185,64
463,5,187,6
464,5,188,24
465,5,189,36
466,5,191,3
467,5,193,5
468,5,195,8
469,5,196,2
470,5,197,1
471,5,198,1
472,5,199,36
473,5,202,3
474,5,203,1
475,5,205,24
476,5,206,4
477,5,208,4
478,5,209,1
479,5,210,10
480,5,211,3
481,5,212,1
482,5,213,2
483,5,215,4
484,5,216,7
485,5,218,2
486,5,220,3
487,5,221,8
488,5,223,19
489,5,225,2
490,5,226,1
491,5,227,1
492,5,229,1
493,5,230,10
494,5,231,29
495,5,232,15
496,5,233,2
497,5,234,9
498,5,235,1
499,5,236,9
500,5,238,9
501,5,241,1
502,5,242,5
503,5,245,1
504,5,255,1
505,5,263,1
506,5,264,4
507,5,265,1
508,5,266,7
509,6,7,2
510,6,8,9
511,6,9,24
512,6,10,1
513,6,11,3
514,6,14,1
515,6,15,16
516,6,16,14
517,6,19,50
518,6,20,50
519,6,21,106
520,6,22,68
521,6,23,43
522,6,24,3
523,6,25,10
524,6,26,3
525,6,27,66
526,6,28,6
527,6,29,5
528,6,30,19
529,6,31,3
530,6,32,1
531,6,33,7
532,6,36,12
533,6,37,3
534,6,38,15
535,6,40,2
536,6,42,7
537,6,44,3
538,6,45,18
539,6,46,10
540,6,47,3
541,6,49,29
542,6,50,10
543,6,51,8
544,6,52,6
545,6,53,10
546,6,54,124
547,6,55,1
548,6,56,4
549,6,57,2
550,6,58,1
551,6,60,14
552,6,61,7
553,6,65,1
554,6,66,2
555,6,67,1
556,6,70,44
557,6,71,50
558,6,72,4
559,6,73,5
560,6,74,3
561,6,76,2
562,6,77,3
563,6,78,6
564,6,79,3
565,6,81,1
566,6,82,12
567,6,83,2
568,6,84,2
569,6,85,3
570,6,86,3
571,6,89,14
572,6,90,1
573,6,91,1
574,6,94,1
575,6,95,2
576,6,98,15
577,6,101,2
578,6,102,40
579,6,103,2
580,6,104,9
581,6,106,5
582,6,107,7
583,6,108,5
584,6,110,3
585,6,111,3
586,6,112,9
587,6,113,11
588,6,114,2
589,6,115,30
590,6,116,2
591,6,117,5
592,6,119,1
593,6,120,1
594,6,123,2
595,6,125,2
596,6,126,10
597,6,127,4
598,6,130,3
599,6,131,3
600,6,132,9
601,6,135,2
602,6,136,16
603,6,137,1
604,6,139,3
605,6,142,170
606,6,144,1
607,6,145,1
608,6,146,7
609,6,147,8
610,6,148,5
611,6,152,2
612,6,154,1
613,6,156,4
614,6,159,2
615,6,165,3
616,6,166,15
617,6,167,1
618,6,170,2
619,6,171,5
620,6,174,7
621,6,178,1
622,6,179,9
623,6,186,1
624,6,187,2
625,6,188,1
626,6,189,6
627,6,191,33
628,6,195,2
629,6,196,1
630,6,197,1
631,6,208,2
632,6,214,1
633,6,216,1
634,6,221,1
635,6,223,7
636,6,225,5
637,6,228,1
638,6,231,6
639,6,232,4
640,6,233,1
641,6,234,1
642,6,238,1
643,6,258,1
644,6,266,1
645,7,8,1
646,7,9,2
647,7,14,1
648,7,19,2
649,7,20,5
650,7,21,17
651,7,22,2
652,7,23,2
653,7,26,1
654,7,27,1
655,7,30,1
656,7,33,1
657,7,34,1
658,7,36,2
659,7,42,1
660,7,47,1
661,7,49,2
662,7,51,2
663,7,54,3
664,7,60,1
665,7,61,4
666,7,65,3
667,7,70,3
668,7,71,6
669,7,72,6
670,7,79,1
671,7,83,1
672,7,101,1
673,7,102,2
674,7,107,2
675,7,108,5
676,7,112,2
677,7,113,1
678,7,124,1
679,7,126,3
680,7,140,1
681,7,142,1
682,7,147,2
683,7,156,1
684,7,159,1
685,7,181,1
686,7,189,1
687,7,206,1
688,7,212,1
689,7,223,3
690,7,233,1
691,8,9,4
692,8,19,7
693,8,20,1
694,8,21,4
695,8,22,1
696,8,23,4
697,8,27,1
698,8,30,3
699,8,33,1
700,8,46,3
701,8,47,2
702,8,51,1
703,8,53,1
704,8,54,4
705,8,60,1
706,8,70,1
707,8,71,3
708,8,74,1
709,8,78,1
710,8,83,1
711,8,90,1
712,8,93,1
713,8,95,1
714,8,102,2
715,8,107,1
716,8,110,2
717,8,117,1
718,8,119,3
719,8,126,2
720,8,130,1
721,8,132,1
722,8,136,4
723,8,142,1
724,8,170,1
725,8,174,2
726,8,186,1
727,8,189,1
728,8,197,1
729,8,232,1
730,9,12,1
731,9,15,1
732,9,19,13
733,9,20,5
734,9,21,18
735,9,22,7
736,9,23,8
737,9,27,11
738,9,28,1
739,9,29,1
740,9,30,3
741,9,31,3
742,9,32,1
743,9,33,2
744,9,36,2
745,9,37,4
746,9,38,1
747,9,39,1
748,9,42,1
749,9,44,1
750,9,45,1
751,9,49,5
752,9,50,1
753,9,52,2
754,9,53,1
755,9,54,56
756,9,55,2
757,9,61,6
758,9,67,2
759,9,68,1
760,9,70,5
761,9,71,3
762,9,72,3
763,9,73,1
764,9,74,1
765,9,76,1
766,9,78,2
767,9,82,1
768,9,84,2
769,9,102,8
770,9,106,1
771,9,107,1
772,9,113,2
773,9,115,3
774,9,119,5
775,9,125,1
776,9,126,34
777,9,133,1
778,9,142,1
779,9,146,6
780,9,147,4
781,9,156,2
782,9,165,1
783,9,178,1
784,9,181,1
785,9,188,1
786,9,189,1
787,9,191,1
788,9,195,2
789,9,223,1
790,9,227,1
791,9,231,2
792,10,11,1
793,10,12,5
794,10,13,5
795,10,14,2
796,10,17,2
797,10,21,25
798,10,27,3
799,10,29,1
800,10,32,1
801,10,33,1
802,10,35,6
803,10,36,5
804,10,38,4
805,10,39,5
806,10,42,1
807,10,54,2
808,10,57,8
809,10,60,5
810,10,61,1
811,10,65,2
812,10,70,5
813,10,71,8
814,10,72,24
815,10,74,9
816,10,83,3
817,10,89,6
818,10,95,1
819,10,108,3
820,10,125,1
821,10,132,1
822,10,139,2
823,10,143,17
824,10,144,1
825,10,159,1
826,10,163,1
827,10,173,1
828,10,179,1
829,10,185,1
830,10,211,2
831,10,223,1
832,10,225,2
833,11,12,1
834,11,16,1
835,11,19,2
836,11,20,3
837,11,21,50
838,11,22,4
839,11,23,5
840,11,26,1
841,11,27,5
842,11,28,1
843,11,29,7
844,11,31,1
845,11,34,1
846,11,38,4
847,11,43,1
848,11,46,1
849,11,47,1
850,11,49,3
851,11,51,1
852,11,53,1
853,11,54,4
854,11,60,2
855,11,61,2
856,11,62,1
857,11,69,1
858,11,70,22
859,11,71,9
860,11,78,4
861,11,90,1
862,11,93,3
863,11,95,2
864,11,96,10
865,11,102,2
866,11,104,1
867,11,107,2
868,11,110,1
869,11,116,1
870,11,130,1
871,11,131,3
872,11,145,1
873,11,159,1
874,11,169,7
875,11,179,2
876,11,185,1
877,11,189,1
878,11,197,1
879,11,198,1
880,11,211,1
881,11,221,1
882,11,223,1
883,11,264,1
884,12,13,4
885,12,14,1
886,12,17,1
887,12,19,4
888,12,20,3
889,12,21,13
890,12,23,1
891,12,29,1
892,12,32,2
893,12,33,7
894,12,34,2
895,12,35,1
896,12,36,4
897,12,37,5
898,12,38,5
899,12,39,9
900,12,45,1
901,12,47,2
902,12,49,2
903,12,50,1
904,12,54,2
905,12,57,2
906,12,60,8
907,12,61,2
908,12,63,2
909,12,64,4
910,12,65,3
911,12,70,7
912,12,71,17
913,12,72,9
914,12,74,15
915,12,78,1
916,12,83,3
917,12,89,2
918,12,91,2
919,12,108,10
920,12,110,1
921,12,126,2
922,12,129,1
923,12,132,1
924,12,139,6
925,12,143,38
926,12,146,1
927,12,147,1
928,12,150,1
929,12,156,1
930,12,174,1
931,12,181,3
932,12,183,2
933,12,204,1
934,12,205,1
935,12,211,1
936,12,223,8
937,12,225,3
938,12,231,1
939,13,14,5
940,13,17,3
941,13,18,1
942,13,19,1
943,13,20,1
944,13,21,6
945,13,22,1
946,13,23,2
947,13,25,1
948,13,28,1
949,13,29,1
950,13,32,1
951,13,33,3
952,13,34,3
953,13,36,1
954,13,37,2
955,13,41,1
956,13,42,1
957,13,47,1
958,13,51,1
959,13,53,1
960,13,54,1
961,13,55,1
962,13,57,1
963,13,60,1
964,13,61,2
965,13,64,2
966,13,65,2
967,13,66,1
968,13,71,4
969,13,74,4
970,13,82,2
971,13,83,1
972,13,91,1
973,13,102,1
974,13,117,2
975,13,143,11
976,13,160,1
977,13,166,1
978,13,170,1
979,13,198,1
980,13,204,1
981,13,211,1
982,13,214,1
983,13,216,2
984,13,223,1
985,13,227,1
986,13,267,1
987,14,17,11
988,14,21,17
989,14,27,3
990,14,32,1
991,14,33,2
992,14,34,1
993,14,35,3
994,14,36,4
995,14,37,1
996,14,38,5
997,14,39,4
998,14,42,1
999,14,47,2
1000,14,54,1
1001,14,55,1
1002,14,57,6
1003,14,58,1
