,t1,t2,ct
0,3,6,3
1,3,59,1
2,3,95,2
3,3,139,1
4,3,152,1
5,3,160,18
6,3,463,5
7,3,589,1
8,3,637,5
9,3,748,3
10,3,784,1
11,4,5,3
12,4,9,4
13,4,11,2
14,4,14,3
15,4,21,2
16,4,25,1
17,4,26,1
18,4,31,1
19,4,32,1
20,4,36,1
21,4,62,1
22,4,70,1
23,4,71,1
24,4,82,1
25,4,84,1
26,4,89,3
27,4,90,1
28,4,93,1
29,4,95,1
30,4,99,1
31,4,101,3
32,4,105,1
33,4,106,1
34,4,127,1
35,4,129,1
36,4,130,1
37,4,146,1
38,4,221,1
39,4,245,1
40,4,434,1
41,4,497,1
42,4,507,1
43,4,547,1
44,5,6,11
45,5,10,14
46,5,13,1
47,5,14,1
48,5,25,1
49,5,37,1
50,5,40,2
51,5,43,2
52,5,52,2
53,5,59,2
54,5,62,1
55,5,68,1
56,5,70,2
57,5,71,1
58,5,83,1
59,5,84,1
60,5,95,2
61,5,96,25
62,5,111,14
63,5,123,30
64,5,126,1
65,5,167,1
66,5,169,2
67,5,192,1
68,5,200,1
69,5,285,6
70,5,286,1
71,5,300,1
72,5,332,1
73,5,342,5
74,5,366,3
75,5,388,16
76,5,402,4
77,5,614,4
78,6,7,8
79,6,10,1
80,6,11,4
81,6,12,1
82,6,13,2
83,6,14,17
84,6,16,1
85,6,18,12
86,6,19,2
87,6,20,1
88,6,21,13
89,6,22,3
90,6,24,1
91,6,25,6
92,6,26,5
93,6,27,1
94,6,28,3
95,6,29,1
96,6,30,2
97,6,31,1
98,6,33,1
99,6,35,2
100,6,36,5
101,6,40,5
102,6,42,4
103,6,44,4
104,6,47,1
105,6,49,4
106,6,50,1
107,6,56,4
108,6,58,1
109,6,59,1
110,6,62,7
111,6,66,1
112,6,68,9
113,6,71,2
114,6,72,1
115,6,74,1
116,6,77,6
117,6,81,1
118,6,82,2
119,6,83,1
120,6,89,1
121,6,92,2
122,6,93,1
123,6,95,4
124,6,98,1
125,6,99,2
126,6,100,2
127,6,102,3
128,6,103,1
129,6,105,3
130,6,109,3
131,6,110,3
132,6,115,1
133,6,116,1
134,6,120,1
135,6,123,1
136,6,124,1
137,6,126,1
138,6,130,1
139,6,133,1
140,6,134,7
141,6,135,1
142,6,136,1
143,6,140,1
144,6,148,1
145,6,152,1
146,6,156,1
147,6,157,1
148,6,158,1
149,6,167,5
150,6,168,3
151,6,169,1
152,6,170,2
153,6,173,1
154,6,175,2
155,6,177,4
156,6,182,1
157,6,192,1
158,6,193,1
159,6,197,1
160,6,200,1
161,6,205,5
162,6,220,1
163,6,221,2
164,6,224,2
165,6,225,5
166,6,229,1
167,6,241,1
168,6,242,1
169,6,243,1
170,6,245,2
171,6,252,1
172,6,255,1
173,6,268,1
174,6,273,4
175,6,276,1
176,6,298,2
177,6,302,2
178,6,313,1
179,6,331,2
180,6,349,1
181,6,351,1
182,6,371,1
183,6,374,1
184,6,382,2
185,6,390,1
186,6,401,1
187,6,409,2
188,6,412,1
189,6,434,1
190,6,454,1
191,6,475,1
192,6,484,1
193,6,486,2
194,6,502,1
195,6,507,1
196,6,522,1
197,6,530,1
198,6,545,1
199,6,550,1
200,6,585,1
201,6,586,1
202,6,589,1
203,6,595,1
204,6,602,1
205,6,613,1
206,6,618,1
207,6,622,1
208,6,626,1
209,6,629,1
210,6,674,2
211,6,737,1
212,6,759,1
213,7,8,1
214,7,14,1
215,7,43,1
216,7,52,1
217,7,60,5
218,7,61,2
219,7,78,2
220,7,95,9
221,7,100,1
222,7,139,1
223,7,286,1
224,7,401,1
225,8,16,5
226,8,20,4
227,8,52,1
228,8,59,1
229,8,66,2
230,8,70,1
231,8,75,1
232,8,86,1
233,8,103,1
234,8,105,1
235,8,109,4
236,8,117,1
237,8,134,1
238,8,140,2
239,8,146,4
240,8,169,1
241,8,171,1
242,8,185,1
243,8,283,1
244,8,303,1
245,8,390,1
246,8,505,1
247,8,512,1
248,8,610,3
249,8,653,1
250,8,760,1
251,9,31,1
252,9,37,1
253,9,42,1
254,9,105,3
255,9,308,1
256,9,574,1
257,10,43,1
258,10,96,5
259,10,111,4
260,10,123,4
261,10,342,1
262,11,38,1
263,11,40,1
264,11,52,1
265,11,77,2
266,11,78,2
267,11,101,1
268,11,315,1
269,11,497,1
270,12,13,13
271,12,20,5
272,12,29,1
273,12,37,2
274,12,49,1
275,12,51,1
276,12,52,1
277,12,66,2
278,12,77,5
279,12,82,2
280,12,87,1
281,12,101,5
282,12,103,1
283,12,105,1
284,12,124,1
285,12,130,1
286,12,146,1
287,12,165,1
288,12,167,1
289,12,175,1
290,12,185,2
291,12,230,2
292,12,286,1
293,12,293,1
294,12,296,1
295,12,323,1
296,12,332,1
297,13,14,3
298,13,18,6
299,13,20,8
300,13,37,1
301,13,42,1
302,13,59,1
303,13,68,1
304,13,77,1
305,13,87,1
306,13,97,1
307,13,108,1
308,13,138,1
309,13,146,2
310,13,150,1
311,13,159,1
312,13,164,1
313,13,171,1
314,13,175,1
315,13,222,2
316,13,224,1
317,13,225,1
318,13,231,1
319,13,237,1
320,13,262,1
321,13,293,1
322,13,294,1
323,13,303,1
324,13,306,1
325,13,321,1
326,13,332,1
327,13,371,1
328,13,453,1
329,13,719,1
330,13,758,1
331,14,15,25
332,14,21,2
333,14,22,1
334,14,25,1
335,14,29,1
336,14,36,2
337,14,49,2
338,14,52,1
339,14,59,2
340,14,70,1
341,14,71,1
342,14,77,2
343,14,78,2
344,14,83,1
345,14,95,5
346,14,100,2
347,14,101,1
348,14,102,8
349,14,104,26
350,14,151,6
351,14,158,1
352,14,171,1
353,14,183,1
354,14,313,1
355,14,349,1
356,14,434,2
357,14,568,1
358,14,661,1
359,14,706,1
360,15,104,7
361,15,151,2
362,16,29,1
363,16,66,1
364,16,70,1
365,16,105,1
366,16,165,2
367,16,167,1
368,16,230,1
369,16,407,1
370,18,37,1
371,18,40,1
372,18,59,1
373,18,68,3
374,18,77,2
375,18,83,1
376,18,105,1
377,18,139,1
378,18,428,1
379,19,68,2
380,19,77,1
381,19,95,3
382,19,139,1
383,19,830,2
384,19,845,1
385,20,29,3
386,20,39,3
387,20,49,1
388,20,51,1
389,20,52,3
390,20,54,4
391,20,55,2
392,20,66,6
393,20,68,1
394,20,70,1
395,20,77,2
396,20,78,3
397,20,87,4
398,20,101,4
399,20,103,2
400,20,146,1
401,20,165,3
402,20,167,3
403,20,209,4
404,20,210,2
405,20,222,2
406,20,286,1
407,20,287,14
408,20,288,19
409,20,289,4
410,20,290,3
411,20,291,5
412,20,292,2
413,20,293,1
414,20,294,6
415,20,295,2
416,20,296,7
417,20,306,9
418,20,323,2
419,20,332,8
420,20,417,1
421,20,454,8
422,20,509,1
423,20,567,5
424,20,610,5
425,20,758,2
426,20,801,1
427,20,803,1
428,21,26,1
429,21,29,1
430,21,36,1
431,21,38,1
432,21,40,1
433,21,59,3
434,21,83,2
435,21,102,2
436,21,103,1
437,21,105,1
438,21,139,1
439,21,224,1
440,21,434,1
441,21,531,1
442,22,84,1
443,22,87,1
444,22,101,1
445,22,313,1
446,24,40,1
447,24,103,1
448,24,256,6
449,24,359,2
450,25,29,1
451,25,37,2
452,25,43,1
453,25,52,1
454,25,68,2
455,25,71,1
456,25,156,1
457,25,167,1
458,25,172,5
459,25,188,1
460,25,194,4
461,25,243,1
462,25,502,1
