,t1,t2,ct
0,1,2,2
1,1,9,2
2,1,13,1
3,1,20,1
4,1,22,3
5,1,24,8
6,1,30,1
7,1,31,1
8,1,32,1
9,1,34,1
10,1,35,1
11,1,39,5
12,1,42,1
13,1,58,1
14,1,70,1
15,1,102,2
16,1,117,1
17,1,122,1
18,1,127,3
19,1,150,1
20,1,153,2
21,1,163,2
22,2,4,2
23,2,5,2
24,2,6,2
25,2,8,1
26,2,9,1
27,2,10,1
28,2,13,2
29,2,15,1
30,2,16,1
31,2,17,3
32,2,19,1
33,2,22,5
34,2,24,1
35,2,26,2
36,2,29,1
37,2,30,3
38,2,35,2
39,2,38,1
40,2,47,2
41,2,51,1
42,2,55,3
43,2,58,1
44,2,72,1
45,2,86,2
46,2,98,1
47,2,102,1
48,2,103,1
49,2,110,1
50,2,118,1
51,3,4,4
52,3,5,1
53,3,6,1
54,3,10,4
55,3,12,3
56,3,13,2
57,3,15,15
58,3,19,4
59,3,20,2
60,3,22,9
61,3,24,32
62,3,29,4
63,3,30,1
64,3,31,2
65,3,32,2
66,3,33,1
67,3,34,1
68,3,35,1
69,3,38,2
70,3,40,6
71,3,44,3
72,3,45,1
73,3,47,1
74,3,48,1
75,3,51,1
76,3,52,3
77,3,54,1
78,3,55,2
79,3,62,17
80,3,72,3
81,3,77,4
82,3,78,1
83,3,82,1
84,3,86,2
85,3,90,1
86,3,92,1
87,3,100,1
88,3,104,1
89,3,114,2
90,3,115,16
91,3,128,2
92,3,132,1
93,3,138,1
94,3,142,1
95,3,145,1
96,3,152,1
97,3,153,5
98,3,162,1
99,3,172,1
100,4,5,8
101,4,8,1
102,4,10,2
103,4,13,3
104,4,20,1
105,4,22,11
106,4,24,4
107,4,26,2
108,4,30,1
109,4,34,7
110,4,35,1
111,4,37,1
112,4,38,2
113,4,41,1
114,4,47,1
115,4,51,1
116,4,61,1
117,4,62,20
118,4,70,2
119,4,74,1
120,4,77,3
121,4,79,7
122,4,99,1
123,4,104,1
124,4,108,1
125,4,109,2
126,4,117,1
127,4,138,1
128,4,152,1
129,4,168,1
130,5,6,1
131,5,8,1
132,5,9,3
133,5,10,1
134,5,12,2
135,5,13,1
136,5,15,6
137,5,17,2
138,5,18,4
139,5,19,2
140,5,20,1
141,5,22,13
142,5,24,3
143,5,29,1
144,5,30,3
145,5,32,2
146,5,33,4
147,5,34,15
148,5,37,1
149,5,38,2
150,5,40,1
151,5,42,1
152,5,44,2
153,5,45,2
154,5,47,4
155,5,52,1
156,5,54,1
157,5,55,3
158,5,62,1
159,5,66,1
160,5,68,9
161,5,69,2
162,5,70,6
163,5,72,1
164,5,77,10
165,5,79,1
166,5,89,1
167,5,91,2
168,5,92,2
169,5,94,1
170,5,95,1
171,5,98,2
172,5,101,2
173,5,106,1
174,5,108,3
175,5,109,6
176,5,112,1
177,5,115,3
178,5,127,1
179,5,133,2
180,5,153,2
181,5,171,1
182,6,8,1
183,6,9,1
184,6,13,1
185,6,15,1
186,6,22,1
187,6,23,1
188,6,34,1
189,6,36,1
190,6,38,1
191,6,51,2
192,6,53,1
193,6,61,1
194,6,62,1
195,6,117,2
196,7,8,10
197,7,9,4
198,7,10,1
199,7,13,2
200,7,15,5
201,7,23,2
202,7,36,1
203,8,12,1
204,8,13,2
205,8,15,11
206,8,18,1
207,8,22,1
208,8,23,2
209,8,24,1
210,8,48,1
211,8,51,2
212,8,63,1
213,8,73,1
214,8,86,1
215,8,98,1
216,9,10,5
217,9,11,2
218,9,13,3
219,9,14,1
220,9,15,5
221,9,18,26
222,9,24,1
223,9,29,1
224,9,30,1
225,9,33,2
226,9,35,1
227,9,36,1
228,9,40,1
229,9,42,18
230,9,46,6
231,9,50,1
232,9,55,1
233,9,58,6
234,9,62,1
235,9,63,1
236,9,65,12
237,9,68,1
238,9,85,1
239,9,86,1
240,9,88,1
241,9,91,1
242,9,95,8
243,9,107,2
244,9,110,1
245,9,113,3
246,9,114,5
247,9,116,5
248,9,127,26
249,9,130,4
250,9,131,1
251,9,137,1
252,9,142,1
253,9,144,2
254,9,147,1
255,9,151,4
256,9,170,1
257,10,11,1
258,10,13,7
259,10,15,7
260,10,18,1
261,10,24,2
262,10,30,1
263,10,32,1
264,10,33,2
265,10,34,5
266,10,35,3
267,10,36,1
268,10,38,2
269,10,40,2
270,10,44,2
271,10,45,1
272,10,47,3
273,10,52,1
274,10,55,2
275,10,58,1
276,10,60,1
277,10,62,7
278,10,80,1
279,10,81,1
280,10,86,2
281,10,88,3
282,10,97,1
283,10,103,2
284,10,108,1
285,10,109,1
286,10,114,4
287,10,116,1
288,10,125,1
289,10,127,3
290,10,131,1
291,10,142,1
292,10,146,1
293,10,149,1
294,10,158,1
295,11,12,9
296,11,13,7
297,11,15,8
298,11,17,2
299,11,18,8
300,11,19,4
301,11,22,3
302,11,24,3
303,11,26,1
304,11,29,1
305,11,31,1
306,11,34,4
307,11,38,1
308,11,42,6
309,11,44,2
310,11,47,1
311,11,52,1
312,11,55,9
313,11,56,2
314,11,63,1
315,11,65,2
316,11,85,1
317,11,86,1
318,11,90,1
319,11,94,2
320,11,103,2
321,11,113,1
322,11,115,10
323,11,117,2
324,11,118,2
325,11,119,1
326,11,120,2
327,11,127,7
328,11,146,1
329,11,151,2
330,11,153,3
331,12,13,2
332,12,19,2
333,12,22,1
334,12,24,3
335,12,26,3
336,12,29,1
337,12,34,1
338,12,35,1
339,12,40,1
340,12,51,2
341,12,55,11
342,12,57,2
343,12,60,1
344,12,63,1
345,12,90,1
346,12,91,1
347,12,98,1
348,12,105,1
349,12,107,1
350,12,114,1
351,12,115,1
352,12,119,3
353,12,146,1
354,12,153,1
355,12,177,1
356,13,14,8
357,13,15,37
358,13,17,3
359,13,18,5
360,13,19,1
361,13,20,1
362,13,21,2
363,13,22,4
364,13,24,9
365,13,26,2
366,13,28,2
367,13,29,1
368,13,30,1
369,13,31,1
370,13,32,1
371,13,33,1
372,13,34,11
373,13,35,17
374,13,36,1
375,13,37,2
376,13,38,9
377,13,39,2
378,13,42,6
379,13,43,1
380,13,44,2
381,13,45,1
382,13,46,1
383,13,47,2
384,13,48,5
385,13,50,3
386,13,55,2
387,13,57,2
388,13,60,2
389,13,61,1
390,13,62,5
391,13,63,5
392,13,64,5
393,13,65,1
394,13,66,1
395,13,71,1
396,13,73,3
397,13,74,2
398,13,75,3
399,13,78,2
400,13,82,2
401,13,83,3
402,13,84,2
403,13,86,2
404,13,88,2
405,13,89,4
406,13,90,9
407,13,92,1
408,13,97,1
409,13,99,1
410,13,102,1
411,13,105,1
412,13,106,1
413,13,114,2
414,13,115,5
415,13,117,1
416,13,118,1
417,13,119,2
418,13,122,1
419,13,127,2
420,13,136,2
421,13,142,1
422,13,152,3
423,13,153,6
424,13,155,1
425,13,164,1
426,13,165,1
427,13,177,1
428,14,15,1
429,14,24,1
430,14,31,1
431,14,38,1
432,14,58,1
433,14,64,1
434,15,16,9
435,15,17,26
436,15,18,12
437,15,19,2
438,15,20,1
439,15,23,3
440,15,24,18
441,15,26,3
442,15,28,1
443,15,29,5
444,15,31,4
445,15,32,1
446,15,33,1
447,15,34,5
448,15,35,7
449,15,36,2
450,15,38,3
451,15,42,3
452,15,44,1
453,15,45,3
454,15,46,1
455,15,47,1
456,15,48,3
457,15,50,3
458,15,51,2
459,15,54,1
460,15,55,2
461,15,56,1
462,15,58,2
463,15,60,1
464,15,62,8
465,15,63,2
