,t1,t2,ct
0,1,2,18
1,1,3,10
2,1,4,5
3,1,5,13
4,1,6,4
5,1,7,11
6,1,8,12
7,1,10,3
8,1,11,9
9,1,12,6
10,1,13,9
11,1,14,17
12,1,17,3
13,1,18,23
14,1,19,4
15,1,21,15
16,1,24,8
17,1,25,2
18,1,26,5
19,1,27,2
20,1,28,13
21,1,30,42
22,1,31,48
23,1,32,13
24,1,33,11
25,1,34,25
26,1,35,45
27,1,36,11
28,1,37,1
29,1,39,5
30,1,40,9
31,1,45,6
32,1,46,1
33,1,48,1
34,1,49,1
35,1,53,34
36,1,55,26
37,1,56,1
38,1,57,2
39,1,59,26
40,1,62,7
41,1,63,1
42,1,64,1
43,1,66,13
44,1,67,14
45,1,70,1
46,1,72,1
47,1,73,2
48,1,74,1
49,1,79,4
50,1,80,2
51,1,81,2
52,1,82,1
53,1,83,2
54,1,84,4
55,1,86,3
56,1,88,1
57,1,89,8
58,1,91,1
59,1,92,7
60,1,93,1
61,1,96,5
62,1,97,1
63,1,98,1
64,1,99,1
65,1,101,9
66,1,103,4
67,1,105,2
68,1,106,1
69,1,107,1
70,1,112,1
71,1,113,2
72,1,114,2
73,1,116,1
74,1,127,3
75,1,128,1
76,1,129,1
77,1,131,3
78,1,132,3
79,1,138,1
80,1,139,2
81,1,141,1
82,1,148,1
83,1,149,1
84,1,152,1
85,1,154,3
86,1,155,7
87,1,159,1
88,1,160,1
89,1,161,1
90,1,164,2
91,1,167,1
92,1,171,6
93,1,174,2
94,1,181,1
95,1,182,1
96,2,3,3
97,2,4,10
98,2,5,1
99,2,7,1
100,2,8,1
101,2,9,1
102,2,10,1
103,2,11,1
104,2,12,2
105,2,13,3
106,2,14,3
107,2,17,1
108,2,18,4
109,2,20,1
110,2,21,10
111,2,22,2
112,2,23,1
113,2,24,3
114,2,25,3
115,2,26,3
116,2,27,1
117,2,30,3
118,2,33,4
119,2,34,2
120,2,35,1
121,2,36,2
122,2,37,2
123,2,39,5
124,2,40,4
125,2,45,2
126,2,47,1
127,2,53,1
128,2,55,3
129,2,56,1
130,2,58,1
131,2,59,3
132,2,61,1
133,2,65,1
134,2,66,3
135,2,67,2
136,2,68,1
137,2,74,2
138,2,80,2
139,2,82,1
140,2,89,1
141,2,91,1
142,2,92,1
143,2,96,1
144,2,101,2
145,2,103,1
146,2,112,1
147,2,113,1
148,2,117,1
149,2,126,1
150,2,127,2
151,2,134,1
152,2,140,1
153,2,149,1
154,2,155,1
155,2,164,1
156,2,174,1
157,3,4,1
158,3,8,3
159,3,9,2
160,3,16,1
161,3,17,1
162,3,18,3
163,3,21,3
164,3,22,1
165,3,24,3
166,3,27,1
167,3,31,1
168,3,33,2
169,3,34,1
170,3,36,1
171,3,44,1
172,3,60,1
173,3,68,1
174,3,76,2
175,3,81,1
176,3,83,3
177,3,88,2
178,3,89,1
179,3,95,1
180,3,96,1
181,3,101,1
182,3,105,1
183,3,132,1
184,3,140,1
185,4,21,1
186,4,22,1
187,4,31,2
188,4,33,1
189,4,39,1
190,4,40,2
191,4,55,1
192,4,59,2
193,4,67,1
194,4,89,2
195,4,92,1
196,4,93,1
197,4,96,1
198,4,127,3
199,5,6,21
200,5,7,24
201,5,8,5
202,5,13,30
203,5,14,77
204,5,15,3
205,5,17,4
206,5,18,18
207,5,19,1
208,5,21,1
209,5,24,3
210,5,26,3
211,5,27,2
212,5,30,93
213,5,31,2
214,5,33,5
215,5,34,3
216,5,35,5
217,5,36,61
218,5,37,1
219,5,38,1
220,5,39,1
221,5,42,1
222,5,45,2
223,5,46,1
224,5,47,1
225,5,48,1
226,5,49,1
227,5,51,1
228,5,53,3
229,5,55,12
230,5,57,2
231,5,58,1
232,5,59,1
233,5,60,1
234,5,61,1
235,5,62,1
236,5,63,2
237,5,66,9
238,5,67,2
239,5,73,1
240,5,74,1
241,5,75,2
242,5,90,1
243,5,94,1
244,5,96,3
245,5,98,2
246,5,99,1
247,5,101,10
248,5,103,1
249,5,111,1
250,5,112,5
251,5,113,2
252,5,116,1
253,5,117,1
254,5,122,1
255,5,125,1
256,5,134,2
257,5,135,1
258,5,138,1
259,5,139,1
260,5,146,1
261,5,154,2
262,5,171,1
263,5,176,1
264,6,7,9
265,6,8,1
266,6,13,3
267,6,14,37
268,6,16,1
269,6,18,9
270,6,19,1
271,6,28,1
272,6,30,17
273,6,32,1
274,6,35,4
275,6,36,9
276,6,48,1
277,6,49,1
278,6,53,1
279,6,55,4
280,6,56,1
281,6,57,2
282,6,58,1
283,6,63,1
284,6,66,3
285,6,73,1
286,6,91,1
287,6,98,3
288,6,99,1
289,6,101,3
290,6,103,3
291,6,109,1
292,6,113,2
293,6,114,2
294,6,122,1
295,6,123,1
296,6,131,1
297,6,135,1
298,6,146,2
299,6,150,1
300,7,8,6
301,7,11,1
302,7,12,3
303,7,13,48
304,7,14,45
305,7,17,4
306,7,18,30
307,7,19,3
308,7,21,1
309,7,22,1
310,7,26,3
311,7,27,7
312,7,28,8
313,7,30,37
314,7,31,2
315,7,32,2
316,7,33,8
317,7,34,3
318,7,35,7
319,7,36,34
320,7,38,2
321,7,39,7
322,7,43,1
323,7,44,1
324,7,45,1
325,7,49,2
326,7,52,3
327,7,55,61
328,7,59,1
329,7,62,1
330,7,66,7
331,7,70,2
332,7,72,1
333,7,73,5
334,7,75,1
335,7,79,2
336,7,80,1
337,7,81,1
338,7,83,2
339,7,84,4
340,7,91,1
341,7,96,1
342,7,97,1
343,7,98,2
344,7,101,11
345,7,102,1
346,7,103,10
347,7,107,2
348,7,108,1
349,7,111,2
350,7,112,3
351,7,113,1
352,7,114,10
353,7,117,1
354,7,122,3
355,7,126,1
356,7,131,1
357,7,133,1
358,7,138,1
359,7,140,6
360,7,141,3
361,7,142,2
362,7,143,1
363,7,148,1
364,7,151,1
365,7,163,2
366,7,169,2
367,7,180,1
368,8,12,8
369,8,13,3
370,8,14,2
371,8,18,31
372,8,19,1
373,8,21,4
374,8,22,1
375,8,23,6
376,8,24,21
377,8,26,8
378,8,27,36
379,8,28,1
380,8,30,9
381,8,31,1
382,8,32,4
383,8,33,2
384,8,34,3
385,8,35,9
386,8,36,3
387,8,39,1
388,8,45,21
389,8,48,3
390,8,49,3
391,8,53,1
392,8,54,1
393,8,55,7
394,8,57,2
395,8,58,1
396,8,60,1
397,8,62,4
398,8,65,9
399,8,66,2
400,8,67,1
401,8,68,1
402,8,77,2
403,8,78,3
404,8,79,1
405,8,80,1
406,8,81,3
407,8,86,6
408,8,87,2
409,8,88,2
410,8,89,1
411,8,91,4
412,8,93,1
413,8,94,1
414,8,101,3
415,8,105,1
416,8,106,2
417,8,107,2
418,8,113,3
419,8,117,8
420,8,118,3
421,8,121,1
422,8,124,4
