,t1,t2,ct
0,1,2,12
1,1,3,34
2,1,4,18
3,1,5,1
4,1,6,12
5,1,7,17
6,1,8,30
7,1,9,9
8,1,12,1
9,1,15,23
10,1,17,55
11,1,19,21
12,1,20,42
13,1,21,5
14,1,22,96
15,1,23,1
16,1,24,1
17,1,26,11
18,1,28,7
19,1,29,6
20,1,31,7
21,1,32,1
22,1,33,1
23,1,34,18
24,1,35,8
25,1,37,7
26,1,38,2
27,1,39,3
28,1,40,2
29,1,41,2
30,1,43,29
31,1,44,16
32,1,46,7
33,1,48,4
34,1,50,1
35,1,51,2
36,1,53,11
37,1,54,3
38,1,55,1
39,1,56,2
40,1,57,6
41,1,58,2
42,1,60,2
43,1,64,2
44,1,65,1
45,1,66,27
46,1,67,3
47,1,69,5
48,1,70,1
49,1,72,1
50,1,73,16
51,1,74,6
52,1,77,1
53,1,78,5
54,1,80,3
55,1,81,13
56,1,82,4
57,1,83,3
58,1,84,1
59,1,85,8
60,1,90,1
61,1,91,1
62,1,92,10
63,1,94,1
64,1,95,2
65,1,98,1
66,1,99,5
67,1,100,1
68,1,104,26
69,1,105,1
70,1,107,10
71,1,112,1
72,1,113,3
73,1,116,1
74,1,117,1
75,1,118,6
76,1,126,1
77,1,129,1
78,1,132,2
79,1,134,1
80,1,135,14
81,1,136,1
82,1,137,1
83,1,138,13
84,1,139,1
85,1,140,3
86,1,145,2
87,1,146,3
88,1,147,2
89,1,148,30
90,1,152,14
91,1,156,2
92,1,158,2
93,1,161,1
94,1,162,1
95,1,167,2
96,1,170,1
97,1,173,3
98,1,182,4
99,1,184,1
100,1,189,1
101,1,196,1
102,1,197,2
103,1,199,1
104,1,202,1
105,1,207,1
106,1,209,1
107,1,212,2
108,1,216,2
109,1,220,2
110,1,228,1
111,1,231,1
112,1,235,1
113,1,236,1
114,1,238,4
115,1,241,14
116,1,242,3
117,1,247,3
118,1,253,2
119,1,256,5
120,1,258,2
121,1,259,2
122,1,264,1
123,1,265,1
124,1,272,1
125,1,275,4
126,1,278,1
127,1,284,1
128,1,288,1
129,1,296,1
130,1,303,1
131,1,307,1
132,1,308,2
133,1,315,1
134,1,316,1
135,1,324,1
136,1,331,1
137,1,341,1
138,1,345,1
139,1,351,1
140,1,352,2
141,1,360,3
142,1,366,1
143,1,372,1
144,1,374,1
145,1,375,2
146,1,382,1
147,1,406,1
148,2,3,10
149,2,4,8
150,2,5,4
151,2,6,9
152,2,7,4
153,2,8,24
154,2,9,6
155,2,11,1
156,2,14,1
157,2,15,6
158,2,17,10
159,2,19,18
160,2,20,14
161,2,21,1
162,2,22,12
163,2,23,1
164,2,24,9
165,2,26,1
166,2,28,10
167,2,29,4
168,2,30,1
169,2,31,1
170,2,34,21
171,2,35,15
172,2,36,1
173,2,38,15
174,2,39,2
175,2,40,1
176,2,41,1
177,2,42,5
178,2,43,6
179,2,44,1
180,2,46,1
181,2,48,3
182,2,53,3
183,2,54,25
184,2,55,5
185,2,56,4
186,2,57,4
187,2,58,1
188,2,59,2
189,2,61,1
190,2,66,14
191,2,68,2
192,2,69,14
193,2,70,2
194,2,72,8
195,2,73,3
196,2,74,4
197,2,77,1
198,2,80,1
199,2,81,1
200,2,82,1
201,2,83,5
202,2,85,7
203,2,86,28
204,2,88,1
205,2,91,4
206,2,93,10
207,2,94,2
208,2,95,3
209,2,99,2
210,2,100,1
211,2,102,1
212,2,103,1
213,2,104,2
214,2,105,3
215,2,106,1
216,2,107,1
217,2,117,2
218,2,118,3
219,2,119,1
220,2,126,3
221,2,135,1
222,2,136,3
223,2,138,1
224,2,143,1
