,t1,t2,ct
0,1,2,4
1,1,3,9
2,1,6,5
3,1,7,2
4,1,10,2
5,1,13,1
6,1,18,3
7,1,19,8
8,1,21,1
9,1,23,3
10,1,24,2
11,1,28,1
12,1,36,1
13,1,37,1
14,1,41,1
15,1,42,1
16,1,56,2
17,1,59,1
18,1,62,2
19,1,67,1
20,1,70,1
21,1,72,1
22,1,75,1
23,1,77,2
24,1,84,1
25,1,86,1
26,1,102,1
27,2,19,2
28,2,24,1
29,2,43,1
30,2,71,1
31,2,83,1
32,2,96,1
33,3,4,6
34,3,5,1
35,3,6,8
36,3,7,9
37,3,10,2
38,3,11,4
39,3,13,5
40,3,15,1
41,3,17,1
42,3,18,3
43,3,19,2
44,3,21,2
45,3,23,2
46,3,24,3
47,3,29,1
48,3,36,7
49,3,37,3
50,3,38,2
51,3,41,1
52,3,42,1
53,3,43,2
54,3,44,1
55,3,57,2
56,3,58,1
57,3,59,3
58,3,60,1
59,3,62,1
60,3,67,2
61,3,70,1
62,3,72,1
63,3,77,1
64,3,79,1
65,3,84,3
66,3,86,1
67,3,90,3
68,3,94,1
69,3,97,1
70,4,5,8
71,4,6,7
72,4,7,9
73,4,13,1
74,4,14,2
75,4,15,1
76,4,16,1
77,4,17,2
78,4,19,1
79,4,20,1
80,4,21,1
81,4,24,1
82,4,26,1
83,4,27,1
84,4,28,3
85,4,34,1
86,4,41,4
87,4,57,1
88,4,60,1
89,4,67,5
90,4,72,1
91,4,73,1
92,4,77,1
93,4,79,7
94,4,84,1
95,4,87,1
96,4,90,1
97,4,97,1
98,5,6,2
99,5,7,7
100,5,15,1
101,5,16,1
102,5,20,1
103,5,27,3
104,5,36,1
105,5,37,1
106,5,41,4
107,5,60,1
108,5,67,2
109,5,73,2
110,5,79,4
111,5,88,3
112,5,103,1
113,6,7,17
114,6,8,1
115,6,10,2
116,6,11,9
117,6,13,2
118,6,14,2
119,6,15,3
120,6,16,1
121,6,18,2
122,6,19,6
123,6,21,6
124,6,23,1
125,6,24,1
126,6,25,1
127,6,27,4
128,6,28,1
129,6,29,2
130,6,34,1
131,6,35,8
132,6,36,3
133,6,37,1
134,6,38,1
135,6,41,1
136,6,42,1
137,6,43,2
138,6,44,3
139,6,47,1
140,6,51,2
141,6,52,1
142,6,55,3
143,6,57,3
144,6,58,1
145,6,60,1
146,6,62,3
147,6,67,2
148,6,72,3
149,6,78,1
150,6,79,1
151,6,84,4
152,6,86,1
153,6,87,5
154,6,88,3
155,6,90,1
156,6,91,1
157,6,96,1
158,6,97,1
159,6,100,1
160,6,102,1
161,6,103,1
162,7,8,5
163,7,9,2
164,7,10,3
165,7,11,17
166,7,12,2
167,7,13,1
168,7,14,6
169,7,15,7
170,7,17,1
171,7,18,3
172,7,19,3
173,7,21,6
174,7,22,2
175,7,24,3
176,7,26,2
177,7,28,4
178,7,32,1
179,7,34,1
180,7,35,1
181,7,36,10
182,7,37,3
183,7,38,6
184,7,39,1
185,7,40,1
186,7,41,8
187,7,49,2
188,7,57,4
189,7,58,2
190,7,59,3
191,7,60,2
192,7,63,1
193,7,64,1
194,7,65,1
195,7,67,8
196,7,72,3
197,7,73,4
198,7,75,1
199,7,77,1
200,7,78,1
201,7,79,3
202,7,80,1
203,7,81,2
204,7,84,6
205,7,85,1
206,7,88,2
207,7,90,1
208,7,92,1
209,7,96,1
210,7,97,2
211,7,99,1
212,8,9,1
213,8,11,21
214,8,12,3
215,8,13,3
216,8,16,5
217,8,18,1
218,8,20,8
219,8,22,1
220,8,24,1
221,8,28,1
222,8,33,2
223,8,36,1
224,8,37,1
225,8,38,2
226,8,39,1
227,8,44,1
228,8,45,1
229,8,49,1
230,8,50,1
231,8,53,2
232,8,59,1
233,8,60,1
234,8,61,3
235,8,62,1
236,8,67,4
237,8,74,1
238,8,75,1
239,8,84,1
240,8,86,1
241,8,93,4
242,8,103,1
243,9,11,3
244,9,15,1
245,9,28,1
246,9,67,1
247,10,11,2
248,10,16,1
249,10,18,2
250,10,19,7
251,10,20,1
252,10,24,1
253,10,26,1
254,10,34,1
255,10,35,3
256,10,51,1
257,10,55,1
258,10,56,12
259,10,59,2
260,10,67,1
261,10,77,1
262,10,89,3
263,10,98,1
264,10,101,2
265,10,102,1
266,11,12,9
267,11,13,6
268,11,15,1
269,11,16,1
270,11,17,3
271,11,18,4
272,11,19,4
273,11,20,1
274,11,21,1
275,11,24,3
276,11,28,4
277,11,31,1
278,11,33,3
279,11,34,2
280,11,38,7
281,11,44,1
282,11,45,2
283,11,50,1
284,11,51,1
285,11,53,4
286,11,54,1
287,11,59,1
288,11,60,1
289,11,61,2
290,11,62,1
291,11,67,7
292,11,70,2
293,11,72,1
294,11,74,1
295,11,78,2
296,11,82,1
297,11,84,6
298,11,86,1
299,11,87,1
300,11,89,1
301,11,90,4
302,11,93,1
303,11,99,1
304,11,103,1
305,12,21,2
306,12,33,1
307,12,36,1
308,12,38,3
309,12,74,1
310,12,84,1
311,13,14,1
312,13,17,8
313,13,19,6
314,13,20,3
315,13,21,2
316,13,22,1
317,13,24,1
318,13,38,1
319,13,42,1
320,13,67,1
321,13,88,1
322,13,99,1
323,13,100,1
324,13,103,1
325,14,15,2
326,14,21,1
327,14,28,2
328,14,31,1
329,14,36,1
330,14,41,3
331,14,56,1
332,14,59,1
333,14,63,1
334,14,67,3
335,14,88,1
336,14,91,1
337,14,99,1
338,14,102,1
339,14,104,1
340,15,21,2
341,15,24,1
342,15,28,2
343,15,38,1
344,15,44,1
345,15,49,2
346,15,50,1
347,15,61,2
348,15,67,1
349,15,72,1
350,15,78,1
351,15,82,1
352,16,17,1
353,16,19,1
354,16,20,5
355,16,38,5
356,16,41,1
357,16,46,2
358,16,51,1
359,16,53,1
360,16,60,1
361,16,62,1
362,16,67,4
363,16,84,1
364,16,88,1
365,16,93,2
366,17,19,2
367,17,20,1
368,17,36,1
369,17,37,1
370,17,99,1
371,18,19,7
372,18,21,1
373,18,23,1
374,18,24,27
375,18,26,1
376,18,28,2
377,18,36,2
378,18,37,2
379,18,43,1
380,18,44,2
381,18,45,2
382,18,48,1
383,18,52,1
384,18,70,1
385,18,71,1
386,18,77,2
387,18,84,1
388,18,86,1
389,18,87,1
390,19,24,6
391,19,26,1
392,19,28,2
393,19,29,2
394,19,30,1
