,t1,t2,ct
0,1,2,9
1,1,3,3
2,1,4,1
3,1,8,1
4,1,10,2
5,1,11,1
6,1,16,1
7,1,17,1
8,1,19,1
9,1,25,3
10,1,30,3
11,1,48,10
12,1,73,1
13,1,86,1
14,1,90,1
15,1,91,1
16,1,99,1
17,1,103,1
18,1,114,2
19,1,119,1
20,1,124,1
21,1,127,1
22,1,131,1
23,1,136,4
24,1,139,1
25,1,141,12
26,1,148,1
27,1,153,1
28,1,160,6
29,1,167,1
30,1,170,2
31,1,186,1
32,1,193,2
33,1,198,1
34,1,199,2
35,1,204,1
36,2,3,16
37,2,4,2
38,2,6,3
39,2,7,1
40,2,8,2
41,2,10,8
42,2,11,8
43,2,22,2
44,2,25,5
45,2,27,1
46,2,28,1
47,2,30,3
48,2,32,1
49,2,34,1
50,2,36,1
51,2,37,5
52,2,38,1
53,2,39,3
54,2,42,1
55,2,48,24
56,2,53,1
57,2,64,4
58,2,71,2
59,2,73,1
60,2,75,1
61,2,76,2
62,2,79,3
63,2,81,1
64,2,83,5
65,2,84,1
66,2,85,2
67,2,86,1
68,2,94,1
69,2,99,1
70,2,105,1
71,2,109,1
72,2,110,1
73,2,114,10
74,2,115,1
75,2,119,2
76,2,121,3
77,2,124,1
78,2,127,1
79,2,129,11
80,2,136,10
81,2,139,4
82,2,141,7
83,2,142,1
84,2,146,2
85,2,147,1
86,2,153,10
87,2,155,2
88,2,160,24
89,2,167,3
90,2,168,4
91,2,170,1
92,2,171,1
93,2,172,1
94,2,174,1
95,2,178,1
96,2,181,5
97,2,186,1
98,2,193,6
99,2,199,5
100,2,204,1
101,3,4,55
102,3,6,2
103,3,7,10
104,3,9,4
105,3,10,9
106,3,11,6
107,3,13,2
108,3,14,4
109,3,17,2
110,3,18,6
111,3,19,6
112,3,20,2
113,3,21,1
114,3,22,5
115,3,23,2
116,3,24,2
117,3,25,38
118,3,26,15
119,3,27,15
120,3,28,5
121,3,30,7
122,3,34,1
123,3,35,11
124,3,37,72
125,3,38,1
126,3,39,4
127,3,40,1
128,3,41,1
129,3,45,4
130,3,47,1
131,3,48,9
132,3,53,7
133,3,54,4
134,3,55,1
135,3,56,7
136,3,59,4
137,3,60,3
138,3,61,1
139,3,62,1
140,3,64,59
141,3,65,16
142,3,66,3
143,3,68,1
144,3,72,4
145,3,74,5
146,3,75,1
147,3,76,1
148,3,81,2
149,3,83,1
150,3,84,2
151,3,85,5
152,3,86,2
153,3,87,2
154,3,89,2
155,3,90,5
156,3,91,1
157,3,93,3
158,3,94,2
159,3,95,3
160,3,96,9
161,3,99,2
162,3,100,2
163,3,101,1
164,3,102,1
165,3,103,5
166,3,104,2
167,3,105,7
168,3,106,11
169,3,110,3
170,3,111,2
171,3,112,3
172,3,114,2
173,3,115,2
174,3,117,1
175,3,118,1
176,3,120,1
177,3,121,1
178,3,122,1
179,3,123,6
180,3,124,1
181,3,125,3
182,3,126,4
183,3,129,2
184,3,131,1
185,3,133,9
186,3,134,1
187,3,136,1
188,3,137,6
189,3,139,3
190,3,141,3
191,3,143,2
192,3,144,1
193,3,145,1
194,3,146,2
195,3,147,1
196,3,150,1
197,3,151,1
198,3,152,4
199,3,153,6
200,3,155,41
201,3,158,8
202,3,159,7
203,3,160,6
204,3,162,2
205,3,163,1
206,3,167,1
207,3,170,5
208,3,172,4
209,3,174,3
210,3,178,2
211,3,181,4
212,3,183,4
213,3,184,1
214,3,186,7
215,3,190,4
216,3,191,2
217,3,192,3
218,3,193,3
219,3,196,1
220,3,197,4
221,3,199,2
222,3,200,5
223,3,201,3
224,3,202,1
225,3,204,4
226,3,206,1
227,3,209,1
228,3,210,1
229,3,211,2
230,3,212,2
231,3,214,2
232,3,215,1
233,3,220,1
234,3,221,2
235,3,224,1
236,3,230,1
237,4,5,1
238,4,6,1
239,4,7,3
240,4,8,4
241,4,10,3
242,4,11,8
243,4,16,1
244,4,17,2
245,4,21,1
246,4,22,3
247,4,23,3
248,4,24,2
249,4,25,18
250,4,27,8
251,4,28,5
252,4,29,1
253,4,30,7
254,4,31,1
255,4,34,3
256,4,35,1
257,4,36,3
258,4,37,16
259,4,39,2
260,4,40,4
261,4,41,1
262,4,43,1
263,4,45,1
264,4,48,10
265,4,53,1
266,4,56,2
267,4,59,2
268,4,64,16
269,4,65,6
270,4,66,3
271,4,68,2
272,4,74,3
273,4,81,2
274,4,83,1
275,4,85,5
276,4,86,1
277,4,89,1
278,4,90,2
279,4,96,2
280,4,101,1
281,4,102,1
282,4,103,17
283,4,105,3
284,4,106,3
285,4,110,6
286,4,114,2
287,4,115,1
288,4,120,1
289,4,126,3
290,4,131,1
291,4,134,2
292,4,135,2
293,4,136,1
294,4,137,6
295,4,139,5
296,4,141,2
297,4,143,3
298,4,144,1
299,4,145,2
300,4,146,3
301,4,153,4
302,4,155,4
