,t1,t2,ct
0,1,3,1
1,1,7,1
2,1,8,1
3,1,35,1
4,1,39,1
5,1,40,1
6,1,49,1
7,1,80,1
8,2,3,1
9,3,6,1
10,3,10,3
11,3,11,2
12,3,13,1
13,3,14,1
14,3,16,1
15,3,18,2
16,3,20,1
17,3,22,1
18,3,24,3
19,3,29,1
20,3,30,1
21,3,35,2
22,3,47,1
23,3,54,1
24,3,61,1
25,3,64,2
26,3,65,2
27,3,75,1
28,3,78,1
29,3,80,1
30,3,83,1
31,3,84,1
32,4,5,1
33,4,6,2
34,4,10,1
35,4,15,1
36,4,17,2
37,4,18,2
38,4,23,1
39,4,24,3
40,4,25,1
41,4,26,2
42,4,28,2
43,4,29,1
44,4,30,1
45,4,31,1
46,4,32,3
47,4,33,1
48,4,49,2
49,4,60,1
50,4,61,1
51,4,70,1
52,4,87,1
53,5,21,1
54,5,24,7
55,5,25,1
56,5,27,1
57,5,55,2
58,5,59,1
59,5,71,1
60,5,79,1
61,5,84,1
62,5,86,1
63,5,92,1
64,6,8,1
65,6,22,1
66,6,40,1
67,7,8,1
68,7,13,1
69,7,18,1
70,7,34,1
71,7,35,1
72,7,39,1
73,9,36,1
74,10,11,2
75,10,12,1
76,10,18,2
77,10,24,1
78,10,29,1
79,10,35,1
80,10,61,3
81,10,67,1
82,10,83,1
83,10,84,1
84,11,12,3
85,11,13,1
86,11,16,1
87,11,17,1
88,11,20,2
89,11,24,5
90,11,27,2
91,11,29,1
92,11,30,1
93,11,45,1
94,11,49,1
95,11,57,2
96,11,59,1
97,11,81,1
98,12,85,1
99,13,16,1
100,17,18,1
101,17,19,1
102,17,20,3
103,17,23,1
104,17,25,1
105,17,26,1
106,17,27,1
107,17,32,2
108,17,37,1
109,17,52,1
110,17,60,2
111,18,24,1
112,18,25,2
113,18,27,1
114,18,29,1
115,18,30,2
116,18,36,1
117,18,54,1
118,18,69,1
119,18,70,1
120,18,83,1
121,19,20,1
122,20,42,1
123,20,47,1
124,20,48,2
125,20,52,2
126,20,64,1
127,20,81,1
128,20,89,1
129,20,90,1
130,21,24,2
131,21,30,1
132,21,55,1
133,21,64,1
134,21,65,1
135,23,24,1
136,23,30,1
137,23,36,2
138,23,53,2
139,24,25,1
140,24,27,1
141,24,30,2
142,24,32,1
143,24,49,6
144,24,50,1
145,24,51,1
146,24,53,1
147,24,55,6
148,24,59,4
149,24,60,1
150,24,64,1
151,24,66,1
152,24,70,1
153,24,71,1
154,24,77,1
155,24,79,2
156,24,86,1
157,25,26,2
158,25,27,3
159,25,29,1
160,25,30,2
161,25,31,1
162,25,32,1
163,25,33,2
164,25,42,1
165,25,49,1
166,25,55,1
167,25,58,2
168,25,69,1
169,25,73,1
170,25,79,1
171,25,84,1
172,26,32,2
173,26,33,1
174,27,29,1
175,27,30,1
176,27,33,2
177,27,34,1
178,27,42,3
179,27,44,1
180,27,49,2
181,27,50,1
182,27,55,3
183,27,69,1
184,27,76,1
185,27,88,2
186,27,91,1
187,27,92,1
188,29,30,1
189,29,31,2
190,29,32,1
191,29,41,1
192,29,61,1
193,29,62,1
194,29,64,1
195,29,78,1
196,29,83,1
197,30,31,1
198,30,33,1
199,30,42,1
200,30,49,2
201,30,51,1
202,30,53,1
203,30,64,1
204,30,68,1
205,30,70,1
206,30,73,1
207,32,33,1
208,32,60,1
209,33,42,1
210,33,58,1
211,33,64,1
212,33,65,1
213,33,73,1
214,33,74,1
215,33,75,2
216,33,88,1
217,35,39,2
218,36,37,1
219,36,38,1
220,36,39,1
221,36,54,1
222,37,60,1
223,38,41,1
224,40,93,1
225,41,82,1
226,42,66,1
227,42,86,1
228,42,88,1
229,44,45,1
230,48,64,1
231,48,89,1
232,48,90,1
233,49,50,2
234,49,55,1
235,49,58,1
236,49,68,1
237,49,70,1
238,52,71,1
239,55,64,1
240,55,65,1
241,55,71,1
242,55,79,2
243,55,86,1
244,59,60,1
245,61,84,1
246,62,63,1
247,64,65,4
248,64,75,3
249,64,78,1
250,64,89,1
251,64,90,1
252,65,75,4
253,66,86,1
254,74,75,1
255,79,86,1
256,88,91,1
257,89,90,1
