,t1,t2,ct
0,1,2,2
1,1,3,1
2,1,5,3
3,1,6,1
4,1,8,1
5,1,11,1
6,1,14,3
7,1,21,1
8,1,23,3
9,1,24,1
10,1,25,2
11,1,38,2
12,1,39,2
13,1,40,2
14,1,42,1
15,1,47,2
16,1,58,4
17,1,59,3
18,1,60,48
19,1,61,2
20,1,64,1
21,1,68,5
22,1,71,3
23,1,78,2
24,1,85,3
25,1,88,2
26,1,96,1
27,1,101,1
28,1,102,3
29,1,104,5
30,1,106,1
31,1,112,1
32,1,117,1
33,1,118,1
34,1,126,4
35,1,132,1
36,1,152,1
37,1,165,2
38,1,173,33
39,1,182,9
40,1,186,1
41,1,189,2
42,1,193,4
43,1,196,1
44,1,205,1
45,1,212,1
46,1,217,2
47,1,227,1
48,1,234,1
49,1,236,2
50,1,239,1
51,1,246,1
52,1,256,1
53,1,259,3
54,1,267,1
55,1,279,5
56,1,285,3
57,1,289,2
58,1,306,1
59,1,328,1
60,1,331,1
61,1,333,8
62,1,337,5
63,1,377,1
64,1,378,1
65,1,422,1
66,1,445,1
67,2,3,1
68,2,5,3
69,2,7,1
70,2,8,2
71,2,9,1
72,2,10,7
73,2,11,7
74,2,12,1
75,2,14,1
76,2,20,1
77,2,21,1
78,2,25,1
79,2,35,1
80,2,39,2
81,2,40,2
82,2,46,1
83,2,49,1
84,2,56,2
85,2,58,3
86,2,59,3
87,2,60,6
88,2,64,6
89,2,71,1
90,2,78,1
91,2,82,1
92,2,91,1
93,2,94,1
94,2,95,1
95,2,97,3
96,2,109,1
97,2,112,1
98,2,114,1
99,2,117,1
100,2,125,9
101,2,143,1
102,2,146,2
103,2,147,1
104,2,162,1
105,2,171,1
106,2,175,1
107,2,176,3
108,2,184,1
109,2,186,1
110,2,190,1
111,2,193,1
112,2,203,3
113,2,214,1
114,2,217,2
115,2,220,1
116,2,224,1
117,2,225,7
118,2,234,1
119,2,236,6
120,2,239,2
121,2,241,1
122,2,248,1
123,2,253,1
124,2,256,2
125,2,259,1
126,2,262,1
127,2,279,4
128,2,282,1
129,2,294,1
130,2,302,2
131,2,303,1
132,2,330,1
133,3,58,3
134,3,131,1
135,3,285,1
136,4,5,54
137,4,6,4
138,4,7,1
139,4,10,3
140,4,12,3
141,4,14,14
142,4,17,20
143,4,20,79
144,4,21,1
145,4,23,6
146,4,24,7
147,4,25,8
148,4,27,18
149,4,28,2
150,4,30,8
151,4,32,7
152,4,34,8
153,4,35,2
154,4,36,4
155,4,40,4
156,4,47,5
157,4,48,2
158,4,49,7
159,4,50,1
160,4,51,1
161,4,52,1
162,4,53,7
163,4,54,16
164,4,60,9
165,4,62,49
166,4,63,7
167,4,64,1
168,4,66,1
169,4,68,16
170,4,69,5
171,4,70,4
172,4,71,12
173,4,72,10
174,4,75,2
175,4,76,2
176,4,78,5
177,4,86,2
178,4,88,4
179,4,90,3
180,4,91,11
181,4,96,2
182,4,99,6
183,4,100,3
184,4,102,1
185,4,103,2
186,4,104,1
187,4,106,1
188,4,107,8
189,4,108,4
190,4,111,9
191,4,118,1
192,4,119,2
193,4,120,1
194,4,128,6
195,4,137,1
196,4,148,3
197,4,150,1
198,4,151,2
199,4,152,1
200,4,153,1
201,4,161,30
202,4,167,2
203,4,169,6
204,4,172,3
205,4,173,2
206,4,175,1
207,4,178,8
208,4,180,1
209,4,181,1
210,4,185,2
211,4,186,1
212,4,187,1
213,4,192,2
214,4,193,4
215,4,194,2
216,4,199,2
217,4,200,1
218,4,212,1
219,4,213,1
220,4,218,2
221,4,219,1
222,4,222,1
223,4,227,1
224,4,230,8
225,4,247,2
226,4,250,1
227,4,259,2
228,4,269,3
229,4,275,1
230,4,279,14
231,4,285,5
232,4,292,2
233,4,302,1
234,4,303,1
235,4,304,4
236,4,308,2
237,4,309,11
238,4,328,2
239,4,335,1
240,4,342,2
241,4,353,23
242,4,357,1
243,4,384,2
244,4,402,2
245,4,428,2
246,5,6,2
247,5,7,3
248,5,8,1
249,5,10,11
250,5,11,11
251,5,12,4
252,5,14,72
253,5,15,6
