,t1,t2,ct
0,1,2,5
1,1,3,2
2,1,6,3
3,1,9,4
4,1,10,1
5,1,13,5
6,1,14,4
7,1,18,3
8,1,19,17
9,1,24,3
10,1,27,2
11,1,29,1
12,1,31,1
13,1,32,8
14,1,37,1
15,1,38,1
16,1,39,1
17,1,41,1
18,1,44,2
19,1,50,8
20,1,51,3
21,1,53,1
22,1,56,2
23,1,57,5
24,1,59,5
25,1,61,1
26,1,62,1
27,1,66,4
28,1,70,2
29,1,73,2
30,1,77,1
31,1,79,1
32,1,86,1
33,1,91,1
34,1,92,1
35,1,93,1
36,1,98,1
37,1,106,1
38,1,108,1
39,1,115,2
40,1,136,1
41,1,139,1
42,2,3,1
43,2,6,3
44,2,7,1
45,2,9,1
46,2,13,2
47,2,17,1
48,2,20,5
49,2,27,7
50,2,28,1
51,2,32,1
52,2,36,1
53,2,51,2
54,2,56,1
55,2,57,2
56,2,73,1
57,2,86,1
58,2,108,2
59,3,8,1
60,3,9,1
61,3,32,6
62,3,60,2
63,3,77,1
64,3,106,2
65,4,9,2
66,4,19,2
67,4,21,3
68,4,22,1
69,4,24,3
70,4,25,13
71,4,26,13
72,4,52,1
73,4,57,7
74,4,58,1
75,4,65,1
76,4,66,3
77,4,71,8
78,4,74,1
79,4,76,3
80,4,77,1
81,4,86,1
82,4,94,3
83,4,97,1
84,4,108,1
85,4,111,1
86,4,133,4
87,4,140,2
88,4,145,1
89,5,8,1
90,5,45,1
91,6,7,1
92,6,9,1
93,6,11,1
94,6,15,1
95,6,18,1
96,6,19,1
97,6,20,1
98,6,27,2
99,6,29,3
100,6,30,1
101,6,32,4
102,6,44,1
103,6,47,1
104,6,51,2
105,6,54,2
106,6,57,1
107,6,59,1
108,6,61,2
109,6,62,1
110,6,79,1
111,6,85,1
112,6,100,2
113,6,115,1
114,6,128,1
115,6,131,1
116,7,9,1
117,7,20,2
118,7,28,1
119,7,32,1
120,7,40,1
121,7,56,1
122,7,79,1
123,7,81,1
124,7,87,1
125,8,9,1
126,8,30,5
127,8,35,5
128,8,42,1
129,8,45,1
130,8,46,3
131,8,66,1
132,8,77,2
133,8,85,1
134,8,86,1
135,8,117,1
136,8,133,1
137,9,13,1
138,9,14,3
139,9,16,1
140,9,18,1
141,9,19,4
142,9,20,1
143,9,22,1
144,9,24,5
145,9,27,1
146,9,32,7
147,9,33,1
148,9,44,2
149,9,49,1
150,9,53,1
151,9,54,1
152,9,57,2
153,9,58,1
154,9,62,1
155,9,63,5
156,9,65,1
157,9,67,2
158,9,68,2
