,t1,t2,ct
0,1,2,31
1,1,3,2
2,1,4,6
3,1,6,3
4,1,9,16
5,1,12,1
6,1,16,4
7,1,22,7
8,1,26,1
9,1,27,1
10,1,30,1
11,1,31,2
12,1,33,1
13,1,35,7
14,1,36,2
15,1,40,4
16,1,47,2
17,1,48,1
18,1,51,3
19,1,60,1
20,1,61,1
21,1,62,3
22,1,63,1
23,1,64,2
24,1,66,1
25,1,67,3
26,1,70,54
27,1,71,1
28,1,72,2
29,1,73,1
30,1,79,1
31,1,82,1
32,1,87,16
33,1,89,1
34,1,90,2
35,1,92,1
36,1,103,1
37,1,104,1
38,1,108,1
39,1,109,2
40,1,113,2
41,1,115,1
42,1,123,1
43,1,129,1
44,1,140,2
45,1,142,1
46,1,143,1
47,1,148,2
48,1,161,1
49,1,193,1
50,1,205,1
51,1,218,2
52,1,220,1
53,1,272,1
54,1,274,1
55,1,278,8
56,1,284,2
57,1,290,2
58,1,301,1
59,1,337,2
60,1,340,1
61,1,363,1
62,1,382,1
63,1,415,2
64,1,420,1
65,1,421,1
66,1,432,2
67,1,452,1
68,1,453,1
69,1,488,1
70,1,536,2
71,1,555,2
72,1,556,2
73,2,3,1
74,2,4,1
75,2,9,1
76,2,22,1
77,2,26,1
78,2,27,1
79,2,31,1
80,2,37,1
81,2,47,1
82,2,48,1
83,2,56,1
84,2,59,1
85,2,63,1
86,2,67,1
87,2,70,15
88,2,79,1
89,2,92,1
90,2,100,1
91,2,109,1
92,2,142,1
93,2,290,1
94,2,301,2
95,2,308,1
96,2,409,1
97,2,472,1
98,2,485,1
99,2,488,1
100,2,500,1
101,2,521,1
102,2,536,1
103,2,555,1
104,2,556,1
105,3,11,1
106,3,14,1
107,3,19,2
108,3,27,3
109,3,31,2
110,3,55,1
111,3,57,1
112,3,58,2
113,3,62,1
114,3,66,1
115,3,67,1
116,3,109,1
117,3,164,1
118,3,290,1
119,3,488,1
120,4,5,305
121,4,6,20
122,4,7,11
123,4,8,32
124,4,9,369
125,4,10,271
126,4,11,31
127,4,12,7
128,4,13,28
129,4,14,21
130,4,15,14
131,4,16,295
132,4,17,12
133,4,18,2
134,4,19,5
135,4,20,15
136,4,21,8
137,4,22,112
138,4,23,117
139,4,24,14
140,4,25,2
141,4,26,2
142,4,27,35
143,4,28,50
144,4,29,5
145,4,30,2
146,4,31,320
147,4,32,54
148,4,33,30
149,4,34,3
150,4,35,60
151,4,36,15
152,4,38,97
153,4,39,3
154,4,40,184
155,4,41,2
156,4,44,3
157,4,45,5
158,4,46,106
159,4,47,544
160,4,48,140
161,4,49,114
162,4,50,3
163,4,51,2
164,4,52,1
165,4,53,18
166,4,54,19
167,4,55,30
168,4,56,20
169,4,57,19
170,4,58,38
171,4,59,18
172,4,60,74
173,4,61,57
174,4,64,471
175,4,65,4
176,4,66,21
177,4,67,163
178,4,68,1
179,4,69,2
180,4,70,9
181,4,71,12
182,4,72,21
183,4,73,83
184,4,74,582
185,4,75,187
186,4,76,244
187,4,77,14
188,4,79,112
189,4,80,36
190,4,81,13
191,4,82,18
192,4,84,2
193,4,85,11
194,4,86,3
195,4,87,21
196,4,89,23
197,4,90,7
198,4,91,12
199,4,92,40
200,4,94,63
201,4,95,20
202,4,96,22
203,4,97,15
204,4,98,104
205,4,99,8
206,4,100,3
207,4,101,24
208,4,102,3
209,4,103,246
210,4,104,109
211,4,105,1
212,4,106,6
213,4,108,48
214,4,109,940
215,4,110,162
216,4,111,56
217,4,112,9
218,4,113,44
219,4,114,6
220,4,115,59
221,4,116,6
222,4,117,7
223,4,118,70
224,4,119,95
225,4,120,131
226,4,121,5
227,4,123,1
228,4,124,2
229,4,125,1
230,4,126,3
231,4,128,1
232,4,129,1
233,4,130,1
234,4,131,1
235,4,133,17
236,4,134,3
237,4,135,5
238,4,137,18
239,4,138,10
240,4,140,61
241,4,141,5
242,4,142,3
243,4,143,51
244,4,144,13
245,4,145,23
246,4,146,29
247,4,147,1
248,4,148,8
249,4,149,1
250,4,150,6
251,4,151,1
252,4,152,1
253,4,154,49
254,4,155,7
255,4,156,176
256,4,157,11
257,4,158,18
258,4,159,48
259,4,160,20
260,4,161,4
261,4,162,3
262,4,163,59
263,4,164,39
264,4,167,21
265,4,169,17
266,4,170,1
267,4,171,5
268,4,172,44
269,4,173,12
270,4,174,17
271,4,175,22
272,4,176,12
273,4,177,268
274,4,178,22
275,4,179,39
276,4,181,4
277,4,182,1
278,4,183,39
279,4,184,1
280,4,185,7
281,4,186,4
282,4,187,1
283,4,188,10
284,4,189,3
285,4,190,3
286,4,191,21
287,4,192,3
288,4,193,29
289,4,194,1
290,4,195,41
291,4,197,3
292,4,199,1
293,4,201,13
294,4,202,68
295,4,203,111
296,4,204,24
297,4,205,32
298,4,206,3
299,4,207,6
300,4,208,3
301,4,209,16
302,4,210,43
303,4,211,52
304,4,212,64
305,4,214,48
306,4,215,1
307,4,216,81
308,4,217,4
309,4,218,3
310,4,220,44
311,4,221,64
312,4,222,18
313,4,223,2
314,4,224,10
315,4,225,1
316,4,226,4
317,4,227,6
318,4,228,22
319,4,229,4
320,4,230,9
321,4,231,21
322,4,232,1
323,4,235,4
324,4,236,14
325,4,237,2
326,4,238,12
327,4,239,1
328,4,240,17
329,4,241,74
330,4,242,9
331,4,243,6
332,4,244,2
333,4,246,2
334,4,247,1
335,4,248,1
336,4,249,21
337,4,250,4
338,4,251,4
339,4,252,16
340,4,253,9
341,4,254,1
342,4,256,3
343,4,257,55
344,4,258,3
345,4,259,38
346,4,260,3
347,4,261,6
348,4,263,42
349,4,264,46
