,t1,t2,ct
0,1,2,1
1,1,3,1
2,1,5,5
3,1,6,2
4,1,7,7
5,1,8,2
6,1,12,1
7,1,15,1
8,1,16,5
9,1,17,4
10,1,20,1
11,1,22,2
12,1,25,1
13,1,28,1
14,1,29,1
15,1,33,1
16,1,41,1
17,1,45,2
18,1,47,2
19,1,51,2
20,1,60,1
21,1,65,1
22,1,67,6
23,1,71,1
24,1,76,1
25,1,77,1
26,1,79,1
27,1,80,1
28,1,85,2
29,1,88,1
30,1,89,1
31,1,94,1
32,1,96,3
33,1,101,2
34,1,102,1
35,1,110,1
36,1,111,1
37,1,121,1
38,1,135,1
39,1,139,1
40,1,145,2
41,1,151,2
42,1,152,1
43,1,154,1
44,1,155,1
45,1,193,1
46,2,3,4
47,2,7,1
48,2,12,3
49,2,15,1
50,2,17,1
51,2,38,2
52,2,43,1
53,2,44,4
54,2,45,2
55,2,53,2
56,2,67,3
57,2,69,1
58,2,72,1
59,2,96,1
60,2,97,1
61,2,98,1
62,2,157,2
63,3,12,1
64,3,38,2
65,4,12,1
66,4,53,1
67,4,76,1
68,4,132,1
69,5,6,1
70,5,7,1
71,5,8,3
72,5,12,1
73,5,16,6
74,5,17,2
75,5,28,1
76,5,29,1
77,5,41,1
78,5,43,1
79,5,45,1
80,5,50,1
81,5,60,1
82,5,67,3
83,5,74,1
84,5,76,1
85,5,78,1
86,5,85,2
87,5,87,1
88,5,96,1
89,5,97,1
90,5,102,2
91,5,114,2
92,5,120,1
93,5,145,1
94,5,191,1
95,5,193,1
96,6,7,3
97,6,8,1
98,6,9,1
99,6,12,2
100,6,13,1
101,6,14,1
102,6,27,1
103,6,28,1
104,6,53,1
105,6,66,1
106,6,67,1
107,6,71,1
108,6,73,1
109,6,82,1
110,6,101,1
111,6,109,1
112,6,110,1
113,6,143,1
114,6,144,2
115,6,145,1
116,6,148,1
117,6,151,1
118,6,169,1
119,6,176,1
120,7,8,1
121,7,17,1
122,7,25,1
123,7,33,1
124,7,45,1
125,7,65,1
126,7,67,1
127,7,72,1
128,7,80,1
129,7,97,1
130,7,98,2
131,7,109,1
132,7,151,1
133,7,154,1
134,7,155,1
135,8,9,3
136,8,10,2
137,8,12,3
138,8,15,2
139,8,16,5
140,8,17,7
141,8,20,3
142,8,21,1
143,8,22,8
144,8,23,1
145,8,25,1
146,8,27,7
147,8,28,2
148,8,35,2
149,8,38,1
150,8,41,3
151,8,42,1
152,8,43,1
153,8,45,1
154,8,47,4
155,8,50,2
156,8,53,1
157,8,54,1
158,8,57,2
159,8,58,1
160,8,60,1
161,8,62,1
162,8,65,1
163,8,66,2
164,8,67,8
165,8,68,2
166,8,69,1
167,8,72,1
168,8,74,3
169,8,76,1
170,8,78,1
171,8,79,1
172,8,85,2
173,8,86,1
174,8,87,3
175,8,96,2
176,8,98,1
177,8,101,1
178,8,103,1
179,8,104,1
180,8,108,1
181,8,111,1
182,8,113,2
183,8,125,1
184,8,128,1
185,8,134,1
186,8,135,1
187,8,140,2
188,8,144,1
189,8,146,1
190,8,148,2
191,8,162,2
192,8,169,2
193,8,170,1
194,8,175,1
195,8,178,1
196,8,182,1
197,8,188,1
198,8,190,1
199,9,10,2
200,9,27,2
201,9,35,1
202,9,60,1
203,9,61,1
204,9,66,1
205,9,87,1
206,9,101,1
207,9,122,1
208,9,139,1
209,9,140,1
210,10,96,1
211,11,27,2
212,11,112,1
213,12,13,4
214,12,14,1
215,12,16,3
216,12,17,7
217,12,20,1
218,12,22,1
219,12,23,1
220,12,25,1
221,12,28,7
222,12,33,1
223,12,38,5
224,12,39,1
225,12,43,2
226,12,44,1
227,12,45,5
228,12,47,1
229,12,51,1
230,12,53,3
231,12,62,1
232,12,67,8
233,12,73,7
234,12,76,2
235,12,78,1
236,12,81,1
237,12,82,3
238,12,96,1
239,12,116,1
240,12,125,1
241,12,129,1
242,12,134,3
243,12,137,1
244,12,142,1
245,12,145,1
246,12,147,1
247,12,184,1
248,12,191,1
249,12,192,1
250,13,14,1
251,13,17,3
252,13,40,2
253,13,49,1
254,13,147,1
255,15,16,1
256,15,28,1
257,15,67,1
258,15,96,1
259,15,157,1
260,16,22,3
261,16,28,1
262,16,40,1
263,16,47,1
264,16,60,1
265,16,67,7
266,16,69,1
267,16,72,1
268,16,74,1
269,16,75,1
270,16,77,1
271,16,87,1
272,16,96,1
273,16,102,1
274,16,120,1
275,16,122,1
276,16,127,1
277,16,134,1
278,16,138,1
279,16,164,1
280,16,166,1
281,16,175,1
282,17,18,2
283,17,19,1
284,17,20,2
285,17,22,2
286,17,23,1
287,17,24,1
288,17,27,1
289,17,28,3
290,17,31,1
291,17,35,3
292,17,36,1
293,17,37,1
294,17,38,2
295,17,40,1
296,17,42,1
297,17,43,1
298,17,44,1
299,17,45,8
300,17,46,1
301,17,47,3
302,17,50,1
303,17,51,3
304,17,53,1
305,17,67,8
306,17,68,1
307,17,72,2
308,17,73,3
309,17,75,1
310,17,76,4
311,17,77,1
312,17,85,1
313,17,86,1
314,17,90,1
315,17,92,1
316,17,93,1
317,17,95,1
318,17,96,6
319,17,98,1
320,17,102,1
321,17,111,1
322,17,113,1
323,17,115,1
324,17,119,1
325,17,121,1
326,17,124,1
327,17,126,2
328,17,132,1
329,17,133,1
330,17,135,3
331,17,138,1
332,17,149,1
333,17,151,2
334,17,153,1
335,17,160,1
336,17,161,1
337,17,168,1
338,17,191,2
339,19,51,1
340,19,164,1
341,20,21,1
342,20,22,1
343,20,23,5
344,20,24,1
345,20,25,1
346,20,26,1
347,20,28,1
348,20,40,1
349,20,45,1
350,20,46,1
351,20,47,1
352,20,51,1
353,20,52,1
354,20,53,1
355,20,57,1
356,20,60,1
357,20,61,1
358,20,62,2
359,20,67,1
360,20,68,1
361,20,71,1
362,20,204,1
363,21,22,1
364,21,99,1
365,21,100,1
366,22,28,1
367,22,30,1
368,22,41,1
369,22,47,1
370,22,50,1
371,22,57,1
372,22,58,1
373,22,67,2
374,22,72,2
375,22,79,1
376,22,98,1
377,22,101,1
378,22,137,1
379,22,140,1
380,22,152,1
381,23,24,1
382,23,28,1
383,23,52,1
384,23,53,1
385,23,62,1
386,23,67,1
387,23,68,1
388,25,26,1
389,25,38,1
390,25,39,1
391,25,41,1
392,25,65,1
393,25,186,1
394,26,67,1
395,26,76,1
396,26,96,1
397,26,138,1
398,26,178,1
399,27,29,1
400,27,35,1
401,27,45,1
402,27,50,1
403,27,66,1
404,27,86,1
405,27,87,2
406,27,97,1
407,27,101,1
408,27,112,1
409,27,198,1
410,28,29,1
411,28,30,1
412,28,31,2
413,28,45,1
414,28,49,1
415,28,50,1
416,28,51,1
417,28,53,2
418,28,54,1
419,28,56,1
420,28,67,2
421,28,68,2
422,28,70,1
423,28,72,3
424,28,73,3
425,28,74,1
426,28,76,2
427,28,82,3
428,28,97,1
429,28,118,1
430,28,122,1
431,28,129,2
432,28,145,1
433,28,151,1
434,28,158,4
435,28,176,1
436,28,179,1
437,28,184,2
438,28,193,1
439,28,201,1
440,29,30,1
441,29,31,1
442,29,43,1
443,29,88,1
444,29,89,1
445,29,198,1
446,30,31,1
447,30,96,1
448,30,148,1
449,32,76,1
450,32,95,1
451,32,96,1
452,32,145,1
453,33,34,1
454,33,45,1
455,33,67,1
456,33,129,1
457,34,53,1
458,34,67,1
459,34,76,1
460,34,96,1
461,34,105,1
462,35,36,1
463,35,37,1
464,35,53,1
465,35,76,2
466,35,87,1
467,35,96,1
468,35,146,1
469,35,186,1
470,36,37,2
471,36,67,1
472,36,96,1
473,37,96,1
474,38,39,1
475,38,47,1
476,38,76,1
477,40,49,1
478,40,67,1
479,40,95,1
480,40,96,1
481,40,126,1
482,40,138,1
483,40,194,1
484,41,46,1
485,41,67,1
486,41,76,1
487,41,135,1
488,42,68,1
489,42,96,1
490,43,44,1
491,43,45,1
492,43,46,1
493,43,47,1
494,43,66,1
495,43,67,2
496,43,74,1
497,43,93,1
498,43,98,1
499,43,135,1
500,44,45,1
501,44,72,1
502,44,74,1
503,44,83,1
504,44,96,1
505,44,113,2
506,44,157,1
507,45,46,1
508,45,47,3
509,45,50,3
510,45,53,2
511,45,67,3
512,45,73,2
513,45,76,3
514,45,84,1
515,45,87,1
516,45,95,1
517,45,97,2
518,45,115,1
519,45,119,1
520,45,124,1
521,45,129,1
522,45,137,1
523,45,157,1
524,45,188,1
525,46,47,1
526,46,51,1
527,46,53,1
528,46,57,1
529,46,62,1
530,46,67,2
531,46,76,1
532,46,98,1
533,46,135,1
534,46,166,1
535,46,196,1
536,47,66,1
537,47,74,1
538,47,78,1
539,47,79,1
540,47,98,1
541,47,190,1
542,48,49,3
543,49,70,1
544,49,96,1
545,49,98,1
546,50,51,1
547,50,53,1
548,50,72,1
549,50,76,1
550,50,83,1
551,50,84,2
552,50,86,2
553,51,54,2
554,51,55,1
555,51,56,1
556,51,67,1
557,51,75,1
558,51,76,1
559,51,84,1
560,51,86,1
561,51,118,1
562,51,193,1
563,52,53,1
564,53,56,1
565,53,67,2
566,53,76,3
567,53,82,1
568,53,115,1
569,53,126,1
570,53,137,1
571,53,157,1
572,53,167,1
573,53,186,1
574,53,196,1
575,54,55,1
576,54,56,1
577,54,66,1
578,54,118,1
579,54,135,1
580,55,56,1
581,56,98,1
582,56,153,1
583,56,159,1
584,57,58,1
585,57,62,2
586,60,61,1
587,60,76,1
588,60,87,1
589,60,96,4
590,60,169,1
591,60,182,1
592,60,204,1
593,61,71,1
594,65,72,1
595,66,74,2
596,66,101,1
597,67,68,2
598,67,72,1
599,67,73,4
600,67,75,1
601,67,76,1
602,67,77,2
603,67,78,1
604,67,82,1
605,67,85,2
606,67,94,1
607,67,96,2
608,67,98,4
609,67,102,1
610,67,103,1
611,67,104,1
612,67,110,1
613,67,115,1
614,67,118,1
615,67,119,1
616,67,120,1
617,67,121,1
618,67,123,1
619,67,127,1
620,67,128,1
621,67,129,1
622,67,134,1
623,67,135,1
624,67,136,1
625,67,139,1
626,67,151,1
627,67,153,1
628,67,157,1
629,67,166,1
630,67,188,1
631,67,194,1
632,67,200,1
633,68,82,1
634,68,96,1
635,68,103,1
636,68,104,1
637,72,96,1
638,72,129,1
639,72,157,1
640,72,158,1
641,74,113,1
642,74,175,1
643,75,76,1
644,75,91,1
645,75,96,1
646,75,166,1
647,76,81,1
648,76,96,11
649,76,105,1
650,76,115,1
651,76,119,1
652,76,129,1
653,76,132,1
654,76,134,1
655,76,145,3
656,76,146,1
657,76,149,2
658,76,150,1
659,76,156,1
660,76,157,1
661,76,158,1
662,76,184,3
663,76,195,1
664,76,204,1
665,78,79,1
666,79,101,1
667,82,85,1
668,82,116,1
669,82,137,1
670,82,148,1
671,82,179,1
672,82,203,1
673,83,84,2
674,83,86,1
675,83,101,1
676,84,86,1
677,84,96,1
678,84,151,1
679,84,157,1
680,84,167,1
681,85,94,1
682,85,97,2
683,85,110,1
684,85,151,1
685,85,157,1
686,85,193,1
687,86,96,1
688,87,169,1
689,87,182,1
690,88,89,1
691,92,141,1
692,93,173,1
693,95,138,1
694,95,174,1
695,96,98,1
696,96,105,1
697,96,116,1
698,96,118,1
699,96,119,1
700,96,126,1
701,96,129,1
702,96,138,1
703,96,145,5
704,96,148,1
705,96,149,1
706,96,151,2
707,96,178,1
708,96,183,1
709,96,184,1
710,96,186,2
711,96,187,1
712,96,194,1
713,96,195,1
714,96,199,1
715,96,202,1
716,97,98,1
717,97,113,1
718,97,151,1
719,97,157,1
720,97,193,1
721,98,135,1
722,99,100,1
723,101,148,1
724,102,191,1
725,103,104,1
726,105,106,1
727,105,107,1
728,106,107,1
729,112,177,1
730,115,116,1
731,115,157,1
732,119,161,1
733,129,145,1
734,129,158,2
735,129,172,1
736,130,131,1
737,132,133,1
738,134,135,1
739,134,136,1
740,134,145,1
741,136,163,1
742,136,196,1
743,136,197,1
744,138,178,1
745,139,140,1
746,140,148,1
747,143,144,1
748,143,158,1
749,143,184,1
750,145,151,1
751,148,178,1
752,149,150,1
753,151,154,1
754,151,155,1
755,151,157,2
756,151,160,1
757,151,161,1
758,151,200,1
759,154,155,1
760,157,167,1
761,158,184,2
762,158,196,1
763,160,161,1
764,162,188,1
765,167,171,1
766,169,170,1
767,169,176,1
768,169,182,1
769,180,181,1
770,184,185,1
771,194,199,1
772,196,197,1
