,t1,t2,ct
0,1,2,3
1,1,3,1
2,1,5,11
3,1,6,36
4,1,8,6
5,1,10,3
6,1,11,1
7,1,12,52
8,1,13,3
9,1,15,16
10,1,16,7
11,1,17,2
12,1,18,3
13,1,19,1
14,1,20,3
15,1,21,1
16,1,22,1
17,1,25,2
18,1,26,1
19,1,28,1
20,1,29,5
21,1,30,26
22,1,33,1
23,1,34,8
24,1,36,6
25,1,37,3
26,1,41,2
27,1,45,3
28,1,46,1
29,1,51,7
30,1,52,4
31,1,53,1
32,1,55,3
33,1,56,6
34,1,59,2
35,1,63,1
36,1,64,1
37,1,67,1
38,1,68,1
39,1,69,1
40,1,75,7
41,1,76,1
42,1,77,1
43,1,80,1
44,1,85,1
45,1,89,1
46,1,92,2
47,1,94,1
48,1,97,2
49,1,101,3
50,1,104,3
51,1,114,9
52,1,115,2
53,1,116,4
54,1,117,1
55,1,118,1
56,1,121,1
57,1,124,4
58,1,125,1
59,1,127,1
60,1,137,1
61,1,143,3
62,1,144,2
63,1,148,11
64,1,154,2
65,1,158,5
66,1,159,2
67,1,161,3
68,1,162,4
69,1,163,1
70,1,165,5
71,1,167,2
72,1,168,21
73,1,169,9
74,1,170,61
75,1,171,6
76,1,174,7
77,1,179,1
78,1,183,1
79,1,184,2
80,1,185,5
81,1,191,1
82,1,202,4
83,1,211,1
84,1,219,2
85,1,222,1
86,1,223,1
87,1,225,3
88,1,226,1
89,1,227,3
90,1,228,5
91,1,229,2
92,1,230,1
93,1,232,2
94,1,238,1
95,1,239,1
96,1,242,2
97,1,247,1
98,1,250,3
99,1,251,1
100,1,252,1
101,1,258,1
102,1,266,1
103,1,268,1
104,1,276,1
105,1,277,1
106,1,295,1
107,1,300,1
108,1,309,2
109,1,314,1
110,1,315,1
111,1,319,1
112,2,6,1
113,2,36,1
114,2,158,1
115,3,4,2
116,3,5,14
117,3,6,1
118,3,13,1
119,3,15,1
120,3,16,1
121,3,20,1
122,3,25,1
123,3,45,1
124,3,66,1
125,3,70,1
126,3,71,1
127,3,89,2
128,3,127,1
129,3,134,2
130,3,189,1
131,3,312,1
132,3,319,1
133,4,5,1
134,4,20,1
