,t1,t2,ct
0,1,2,534
1,1,3,2164
2,1,4,295
3,1,5,62
4,1,6,47
5,1,7,10
6,1,8,191
7,1,9,854
8,1,10,109
9,1,11,131
10,1,12,124
11,1,13,7
12,1,14,35
13,1,15,716
14,1,16,391
15,1,17,4
16,1,18,244
17,1,19,224
18,1,20,296
19,1,21,896
20,1,22,4
21,1,23,4
22,1,24,2
23,1,25,4303
24,1,26,162
25,1,27,977
26,1,28,2247
27,1,29,281
28,1,30,1080
29,1,31,2681
30,1,32,333
31,1,33,119
32,1,34,10
33,1,35,712
34,1,36,140
35,1,37,2661
36,1,38,363
37,1,39,68
38,1,40,178
39,1,41,213
40,1,42,77
41,1,43,48
42,1,44,320
43,1,45,15
44,1,46,203
45,1,47,267
46,1,48,2008
47,1,49,791
48,1,50,71
49,1,51,10
50,1,52,908
51,1,53,29
52,1,54,237
53,1,55,11
54,1,56,16
55,1,57,45
56,1,58,82
57,1,59,59
58,1,60,103
59,1,61,23
60,1,62,27
61,1,63,1
62,1,64,11
63,1,65,33
64,1,66,43
65,1,67,43
66,1,68,328
67,1,69,870
68,1,70,794
69,1,71,68
70,1,72,540
71,1,73,91
72,1,74,35
73,1,75,34
74,1,76,22
75,1,77,383
76,1,78,11
77,1,79,442
78,1,80,49
79,1,81,43
80,1,82,21
81,1,83,241
82,1,84,24
83,1,85,124
84,1,86,44
85,1,87,57
86,1,88,3
87,1,89,12
88,1,90,5
89,1,91,4
90,1,92,37
91,1,93,157
92,1,94,584
93,1,95,43
94,1,96,30
95,1,97,140
96,1,98,86
97,1,99,63
98,1,100,11
99,1,101,1
100,1,102,823
101,1,103,21
102,1,104,22
103,1,105,205
104,1,106,24
105,1,107,171
106,1,108,29
107,1,109,2
108,1,110,120
109,1,111,187
110,1,112,27
111,1,113,27
112,1,114,9
113,1,115,22
114,1,116,78
115,1,117,62
116,1,118,49
117,1,119,117
118,1,120,71
119,1,121,11
120,1,122,26
121,1,123,25
122,1,124,57
123,1,125,42
124,1,126,8
125,1,127,93
126,1,128,48
127,1,129,20
128,1,130,35
129,1,131,24
130,1,132,75
131,1,133,7
132,1,134,28
133,1,135,2
134,1,136,27
135,1,137,36
136,1,138,31
137,1,139,73
138,1,140,78
139,1,142,97
140,1,143,37
141,1,144,8
142,1,145,38
143,1,146,14
144,1,147,3
145,1,148,8
146,1,149,6
147,1,150,7
148,1,151,87
149,1,152,20
150,1,153,21
151,1,154,14
152,1,155,13
153,1,156,27
154,1,158,4
155,1,159,37
156,1,160,8
157,1,161,10
158,1,162,9
159,1,163,39
160,1,164,6
161,1,165,7
162,1,166,34
163,1,167,5
164,1,168,16
165,1,169,19
166,1,170,5
167,1,171,19
168,1,172,1
169,1,173,10
170,1,174,2
171,1,175,9
172,1,176,2
173,1,177,9
174,1,178,11
175,1,179,28
176,1,181,5
177,1,182,12
178,1,183,7
179,1,184,6
180,1,185,8
181,1,186,8
182,1,187,12
183,1,188,3
184,1,189,20
185,1,190,18
186,1,191,4
187,1,192,3
188,1,193,30
189,1,194,5
190,1,195,6
191,1,196,6
192,1,197,2
193,1,198,2
194,1,199,20
195,1,200,8
196,1,201,2
197,1,202,6
198,1,203,7
199,1,204,15
200,1,205,6
201,1,207,4
202,1,208,5
203,1,209,3
204,1,210,8
205,1,211,6
206,1,212,5
207,1,213,2
208,1,214,2
209,1,215,2
210,1,216,19
211,1,217,2
212,1,218,5
213,1,219,16
214,1,220,1
215,1,221,6
216,1,222,3
217,1,223,4
218,1,224,5
219,1,225,8
220,1,226,25
221,1,227,19
222,1,229,18
223,1,231,2
224,2,3,43
225,2,4,7
226,2,8,10
227,2,9,32
228,2,11,61
229,2,12,1
230,2,15,12
231,2,16,5
232,2,18,8
233,2,19,4
234,2,20,1
235,2,21,65
236,2,25,378
237,2,26,1
238,2,27,42
239,2,28,68
240,2,29,3
241,2,30,83
242,2,31,79
243,2,32,7
244,2,33,2
245,2,35,8
246,2,36,20
247,2,37,93
248,2,38,15
249,2,40,1
250,2,41,1
251,2,44,3
252,2,46,4
253,2,47,6
254,2,48,62
255,2,49,5
256,2,50,1
257,2,52,14
258,2,54,3
259,2,55,2
260,2,58,2
261,2,60,2
262,2,61,157
263,2,68,21
264,2,69,8
265,2,70,42
266,2,71,2
267,2,72,29
268,2,73,8
269,2,77,8
270,2,79,2
271,2,80,3
272,2,82,2
273,2,83,4
274,2,85,5
275,2,86,12
276,2,90,2
277,2,93,4
278,2,94,7
279,2,97,13
280,2,102,38
281,2,104,2
282,2,105,3
283,2,106,1
284,2,107,7
285,2,110,15
286,2,111,1
287,2,112,1
288,2,116,4
289,2,118,1
290,2,119,3
291,2,124,2
292,2,125,1
293,2,127,2
294,2,130,1
295,2,132,1
296,2,139,3
297,2,142,1
298,2,149,1
299,2,151,7
300,2,154,4
301,2,156,1
302,2,163,4
303,2,166,1
304,2,169,1
305,2,179,1
306,2,187,1
307,2,190,2
308,2,192,1
309,2,196,1
310,2,209,2
311,2,211,4
312,2,222,2
313,2,226,4
314,2,227,1
315,2,229,2
316,3,4,39
317,3,5,21
318,3,6,5
319,3,7,4
320,3,8,11
321,3,9,170
322,3,10,8
323,3,11,261
324,3,12,26
325,3,13,2
326,3,14,3
327,3,15,90
328,3,16,24
329,3,17,3
330,3,18,114
331,3,19,35
332,3,20,63
333,3,21,114
334,3,25,588
335,3,26,8
336,3,27,118
337,3,28,535
338,3,29,13
339,3,30,133
340,3,31,493
341,3,32,32
342,3,33,60
343,3,34,13
344,3,35,175
345,3,36,18
346,3,37,285
347,3,38,49
348,3,39,9
349,3,40,14
350,3,41,37
351,3,42,11
352,3,43,2
353,3,44,65
354,3,46,16
355,3,47,142
356,3,48,399
357,3,49,107
358,3,50,11
359,3,52,57
360,3,53,11
361,3,54,79
362,3,55,10
363,3,56,9
364,3,57,30
365,3,58,4
366,3,59,4
367,3,60,19
368,3,61,468
369,3,64,1
370,3,65,28
371,3,67,9
372,3,68,61
373,3,69,271
374,3,70,118
375,3,71,2
376,3,72,52
377,3,73,8
378,3,74,8
379,3,75,1
380,3,76,4
381,3,77,67
382,3,78,1
383,3,79,189
384,3,80,7
385,3,81,6
386,3,82,30
387,3,83,20
388,3,84,24
389,3,85,27
390,3,86,14
391,3,87,6
392,3,89,4
393,3,91,1
394,3,92,2
395,3,93,27
396,3,94,67
397,3,95,6
398,3,96,5
399,3,98,10
400,3,99,54
401,3,100,3
402,3,101,2
403,3,102,57
404,3,103,31
405,3,105,41
406,3,106,3
407,3,107,57
408,3,108,1
409,3,110,16
410,3,111,6
411,3,112,1
412,3,113,1
