,t1,t2,ct
0,1,2,4
1,1,3,5
2,1,4,25
3,1,5,4
4,1,6,15
5,1,7,30
6,1,8,21
7,1,9,3
8,1,13,18
9,1,14,12
10,1,15,11
11,1,16,14
12,1,17,6
13,1,18,24
14,1,19,1
15,1,20,10
16,1,21,47
17,1,22,2
18,1,24,19
19,1,25,5
20,1,26,6
21,1,27,6
22,1,28,2
23,1,30,2
24,1,31,1
25,1,32,6
26,1,35,1
27,1,36,7
28,1,37,5
29,1,38,9
30,1,40,7
31,1,42,2
32,1,45,1
33,1,46,8
34,1,47,1
35,1,48,3
36,1,49,2
37,1,50,2
38,1,51,2
39,1,54,1
40,1,55,5
41,1,56,1
42,1,58,2
43,1,59,1
44,1,60,4
45,1,61,8
46,1,62,3
47,1,63,4
48,1,64,1
49,1,65,8
50,1,66,1
51,1,67,3
52,1,70,1
53,1,73,1
54,1,74,1
55,1,76,19
56,1,78,2
57,1,80,1
58,1,81,44
59,1,82,4
60,1,85,2
61,1,87,2
62,1,88,2
63,1,89,3
64,1,90,4
65,1,91,2
66,1,92,2
67,1,93,1
68,1,94,1
69,1,95,2
70,1,97,1
71,1,100,3
72,1,102,1
73,1,104,6
74,1,105,3
75,1,106,1
76,1,109,1
77,1,111,1
78,1,112,3
79,1,114,1
80,1,115,1
81,1,116,7
82,1,117,3
83,1,120,1
84,1,125,2
85,1,130,2
86,1,131,1
87,1,132,1
88,1,133,1
89,1,134,7
90,1,136,1
91,1,137,1
92,1,138,1
93,1,139,1
94,1,140,3
95,1,142,1
96,1,144,3
97,1,145,2
98,1,147,2
99,1,149,1
100,1,150,2
101,1,151,1
102,1,152,1
103,1,153,2
104,1,157,6
105,1,159,2
106,1,160,4
107,1,163,4
108,1,166,3
109,1,167,2
110,1,169,3
111,1,170,1
112,1,174,1
113,2,3,2
114,2,21,1
115,2,22,1
116,2,81,1
117,3,13,1
118,3,18,1
119,3,81,2
120,3,138,2
121,4,5,4
122,4,6,11
123,4,7,30
124,4,8,3
125,4,13,12
126,4,15,2
127,4,16,1
128,4,18,3
129,4,20,3
130,4,21,7
131,4,22,1
132,4,24,3
133,4,27,1
134,4,31,1
135,4,36,1
136,4,37,2
137,4,38,2
138,4,40,5
139,4,46,9
140,4,48,1
141,4,49,1
142,4,51,2
143,4,52,1
144,4,55,2
145,4,61,1
146,4,65,1
147,4,67,1
148,4,78,1
149,4,81,6
150,4,82,1
151,4,86,1
152,4,87,1
153,4,89,5
154,4,95,1
155,4,100,1
156,4,110,1
157,4,115,1
158,4,116,2
159,4,117,1
160,4,134,1
161,4,137,1
162,4,140,1
163,4,144,1
164,4,151,1
165,4,153,1
166,4,160,2
167,4,163,1
168,4,169,2
169,5,6,7
170,5,7,27
171,5,8,2
172,5,9,2
173,5,13,4
174,5,15,1
175,5,16,1
176,5,18,2
177,5,33,1
178,5,45,1
179,5,46,2
180,5,48,2
181,5,49,1
182,5,51,8
183,5,55,3
184,5,58,1
185,5,65,2
186,5,70,2
187,5,91,1
188,5,102,1
189,5,126,1
190,5,134,13
191,5,137,1
192,5,144,3
193,5,150,1
194,5,152,2
195,5,153,4
196,5,157,4
197,5,163,1
198,5,169,1
199,6,7,28
200,6,8,12
201,6,9,2
202,6,13,15
203,6,14,1
204,6,16,5
205,6,18,2
206,6,20,3
207,6,21,1
208,6,22,2
209,6,23,2
210,6,24,1
211,6,27,1
212,6,29,1
213,6,31,1
214,6,34,1
215,6,36,2
216,6,38,2
217,6,40,6
218,6,46,2
219,6,48,2
220,6,50,1
221,6,51,1
222,6,55,5
223,6,65,4
224,6,70,3
225,6,74,1
226,6,75,1
227,6,76,1
228,6,80,1
229,6,81,4
230,6,86,2
231,6,87,3
232,6,90,1
233,6,102,1
234,6,120,1
235,6,137,2
236,6,139,1
237,6,143,1
238,6,149,1
239,6,152,1
240,6,153,3
241,6,154,1
242,6,157,1
243,6,160,1
244,6,161,1
245,6,169,1
246,7,8,17
247,7,9,9
248,7,11,3
249,7,13,34
250,7,14,2
251,7,15,14
252,7,16,8
253,7,17,1
254,7,18,22
255,7,20,8
256,7,21,2
257,7,22,5
258,7,24,2
259,7,27,1
260,7,31,1
261,7,33,1
262,7,34,1
263,7,36,3
264,7,37,1
265,7,38,5
266,7,40,6
267,7,41,1
268,7,43,5
269,7,45,1
270,7,46,11
271,7,48,9
272,7,49,2
273,7,50,1
274,7,51,33
275,7,52,7
276,7,53,8
277,7,55,21
278,7,59,1
279,7,60,1
280,7,61,2
281,7,62,1
282,7,65,16
283,7,66,1
284,7,67,1
285,7,70,2
286,7,74,1
287,7,80,4
288,7,81,2
289,7,86,2
290,7,87,1
291,7,89,1
292,7,90,3
293,7,92,6
294,7,93,1
295,7,94,3
296,7,95,2
297,7,96,1
298,7,98,8
299,7,100,3
300,7,102,2
301,7,110,2
302,7,117,1
303,7,119,1
304,7,121,1
305,7,123,1
306,7,125,4
307,7,126,1
308,7,127,1
309,7,134,21
310,7,135,1
311,7,137,5
312,7,140,1
313,7,144,12
314,7,149,4
315,7,151,3
316,7,152,9
317,7,153,14
318,7,154,1
319,7,155,4
320,7,156,1
321,7,157,5
322,7,158,1
323,7,159,1
324,7,160,4
325,7,161,1
326,7,163,2
327,7,164,4
