,t1,t2,ct
0,1,2,3
1,1,3,21
2,1,4,8
3,1,5,3
4,1,6,30
5,1,9,4
6,1,10,34
7,1,11,1
8,1,12,19
9,1,22,1
10,1,28,1
11,1,31,2
12,1,33,3
13,1,34,3
14,1,41,5
15,1,42,1
16,1,46,1
17,1,47,2
18,1,48,3
19,1,55,1
20,1,58,1
21,1,59,5
22,1,60,2
23,1,62,5
24,1,66,1
25,1,74,2
26,1,76,2
27,1,78,12
28,1,80,1
29,1,85,4
30,1,92,3
31,1,93,13
32,1,94,13
33,1,95,9
34,1,98,12
35,1,99,3
36,1,100,1
37,1,101,5
38,1,112,16
39,1,118,5
40,1,124,1
41,1,127,4
42,1,143,1
43,1,146,1
44,1,149,3
45,1,156,4
46,1,158,4
47,1,178,1
48,1,186,5
49,1,188,1
50,1,189,1
51,1,190,1
52,1,197,3
53,1,207,12
54,1,215,1
55,1,218,2
56,1,221,3
57,1,228,3
58,1,232,5
59,1,237,1
60,1,244,1
61,1,247,1
62,1,248,1
63,1,269,2
64,1,271,2
65,1,279,1
66,1,281,2
67,1,282,1
68,1,284,1
69,1,315,1
70,1,316,3
71,1,327,5
72,1,328,8
73,1,348,1
74,2,3,3
75,2,4,2
76,2,10,3
77,2,12,1
78,2,16,1
79,2,22,1
80,2,26,1
81,2,31,1
82,2,37,1
83,2,39,1
84,2,41,1
85,2,42,1
86,2,43,1
87,2,49,2
88,2,56,1
89,2,59,1
90,2,60,1
91,2,62,3
92,2,69,1
93,2,73,1
94,2,74,1
95,2,76,1
96,2,87,1
97,2,93,1
98,2,97,1
99,2,100,3
100,2,103,2
101,2,107,3
102,2,112,1
103,2,114,1
104,2,118,6
105,2,121,1
106,2,127,6
107,2,129,1
108,2,143,1
109,2,146,2
110,2,149,2
111,2,151,1
112,2,158,1
113,2,171,1
114,2,177,1
115,2,178,1
116,2,179,2
117,2,184,1
118,2,186,1
119,2,190,1
120,2,193,1
121,2,207,2
122,2,209,1
123,2,210,1
124,2,228,1
125,2,244,1
126,2,245,1
127,2,251,1
128,2,253,1
129,2,274,2
130,2,281,3
131,2,291,1
132,2,293,1
133,2,301,1
134,2,305,1
135,2,316,1
136,2,341,1
137,3,4,12
138,3,5,1
139,3,6,17
140,3,9,4
141,3,10,69
142,3,11,5
143,3,12,29
144,3,14,2
145,3,22,5
146,3,24,4
147,3,28,3
148,3,31,3
149,3,32,1
150,3,33,5
151,3,36,4
152,3,37,1
153,3,41,4
154,3,47,10
155,3,48,2
156,3,56,1
157,3,59,5
158,3,60,1
159,3,62,6
160,3,70,1
161,3,73,1
162,3,74,2
163,3,78,3
164,3,79,7
165,3,85,2
166,3,86,1
167,3,87,2
168,3,88,1
169,3,91,1
170,3,92,7
171,3,93,12
172,3,94,19
173,3,98,3
174,3,99,1
175,3,101,2
176,3,106,2
177,3,108,1
178,3,112,3
179,3,116,1
180,3,118,5
181,3,119,1
182,3,121,1
183,3,122,1
184,3,125,2
185,3,127,11
186,3,128,3
187,3,130,1
188,3,135,1
189,3,137,1
190,3,138,1
191,3,142,3
192,3,143,2
193,3,146,3
194,3,147,2
195,3,149,1
196,3,156,2
197,3,158,1
198,3,161,2
199,3,162,1
200,3,163,2
201,3,164,5
202,3,165,1
203,3,167,9
204,3,169,1
205,3,176,4
206,3,180,1
207,3,186,37
208,3,189,2
209,3,190,3
210,3,196,1
211,3,197,4
212,3,206,1
213,3,207,4
214,3,213,1
215,3,215,1
216,3,225,1
217,3,228,4
218,3,240,1
219,3,242,1
220,3,243,1
221,3,244,1
222,3,245,2
223,3,265,2
224,3,269,1
225,3,271,2
226,3,281,3
227,3,301,1
228,3,311,5
229,3,316,2
230,3,317,1
231,3,319,2
232,3,327,3
233,3,328,1
234,3,348,1
235,3,354,1
236,4,6,1
237,4,10,8
238,4,12,1
239,4,14,1
240,4,22,1
241,4,24,1
242,4,33,2
243,4,59,1
244,4,60,1
245,4,62,1
246,4,78,2
247,4,92,1
248,4,93,3
249,4,112,1
250,4,121,1
251,4,127,1
252,4,145,1
253,4,149,1
254,4,172,1
255,4,184,1
256,4,186,3
257,4,195,1
258,4,209,1
259,4,215,1
260,4,228,2
261,4,244,1
262,4,271,1
263,4,281,1
264,5,6,5
265,5,10,5
266,5,24,3
267,5,74,1
268,5,85,2
269,5,98,1
270,5,112,1
271,5,127,7
272,5,138,1
273,5,142,1
274,5,164,1
275,5,177,1
276,5,206,1
277,5,301,1
278,5,311,1
279,5,315,1
280,5,327,1
281,5,337,1
282,6,9,1
283,6,10,25
284,6,11,1
285,6,12,4
286,6,22,2
287,6,23,1
288,6,31,1
289,6,41,4
290,6,48,3
291,6,59,1
292,6,62,2
293,6,66,1
294,6,68,1
295,6,74,2
296,6,78,2
297,6,79,3
298,6,85,2
299,6,93,3
300,6,94,1
301,6,95,9
302,6,98,9
303,6,99,2
304,6,100,1
305,6,101,3
306,6,112,10
307,6,118,1
