,t1,t2,ct
0,1,2,7
1,1,3,1
2,1,6,1
3,1,8,47
4,1,10,2
5,1,13,5
6,1,15,10
7,1,16,2
8,1,17,7
9,1,18,3
10,1,19,2
11,1,22,1
12,1,25,1
13,1,26,4
14,1,28,9
15,1,29,1
16,1,31,2
17,1,33,2
18,1,34,1
19,1,35,6
20,1,38,14
21,1,40,1
22,1,42,1
23,1,44,6
24,1,45,1
25,1,46,8
26,1,47,14
27,1,51,1
28,1,53,1
29,1,54,1
30,1,55,1
31,1,56,2
32,1,59,1
33,1,60,2
34,1,61,11
35,1,62,16
36,1,65,1
37,1,66,1
38,1,67,1
39,1,69,1
40,1,70,7
41,1,72,34
42,1,74,20
43,1,75,3
44,1,78,5
45,1,79,1
46,1,80,1
47,1,83,3
48,1,84,4
49,1,85,1
50,1,86,1
51,1,88,2
52,1,89,10
53,1,92,1
54,1,95,2
55,1,96,12
56,1,98,1
57,1,100,6
58,1,101,1
59,1,103,12
60,1,105,1
61,1,109,1
62,1,110,22
63,1,112,3
64,1,113,1
65,1,114,1
66,1,116,1
67,1,117,2
68,1,118,3
69,1,122,15
70,1,123,23
71,1,124,5
72,1,125,5
73,1,126,2
74,1,127,3
75,1,128,1
76,1,130,1
77,1,131,5
78,1,135,24
79,1,138,4
80,1,139,2
81,1,140,2
82,1,145,1
83,1,148,3
84,1,149,1
85,1,150,1
86,1,151,1
87,1,152,10
88,1,153,1
89,1,154,1
90,1,159,4
91,1,160,4
92,1,161,1
93,1,165,1
94,1,166,9
95,1,169,1
96,1,173,4
97,1,174,1
98,1,175,2
99,1,177,1
100,1,179,1
101,1,183,1
102,1,184,1
103,1,186,3
104,1,187,7
105,1,192,6
106,1,193,2
107,1,197,4
108,1,198,4
109,1,205,1
110,1,208,1
111,1,209,6
112,1,210,7
113,1,213,1
114,1,214,1
115,1,217,1
116,1,218,2
117,1,221,3
118,1,222,5
119,1,226,2
120,1,227,4
121,1,230,1
122,1,231,3
123,1,235,1
124,1,237,1
125,1,241,1
126,1,243,1
127,1,248,2
128,1,251,1
129,1,257,22
130,1,260,1
131,1,265,4
132,1,266,1
133,1,268,1
134,1,270,1
135,1,274,1
136,1,283,2
137,1,285,2
138,1,286,1
139,1,287,1
140,1,289,1
141,1,290,2
142,1,294,20
143,1,302,1
144,1,303,2
145,1,308,2
146,1,315,10
147,1,316,3
148,1,319,1
149,1,321,3
150,1,323,1
151,1,326,3
152,1,328,1
153,1,330,9
154,1,334,1
155,1,335,1
156,1,336,1
157,1,344,2
158,1,353,1
159,1,354,3
160,1,355,17
161,1,356,5
162,1,362,1
163,1,364,1
164,1,367,1
165,1,377,1
166,1,391,1
167,1,407,1
168,1,421,5
169,1,425,1
170,1,435,3
171,1,437,3
172,1,442,1
173,1,444,1
174,1,447,1
175,1,451,1
176,1,457,2
177,1,461,16
178,1,465,1
179,1,467,1
180,1,475,3
181,1,482,1
182,1,492,1
183,1,494,1
184,1,499,3
185,1,502,1
186,1,503,1
187,1,505,2
188,1,507,2
189,1,510,1
190,1,520,1
191,1,521,1
192,1,541,1
193,1,542,2
194,1,545,1
195,1,566,2
196,1,569,1
197,1,578,1
198,1,582,1
199,1,597,3
200,1,604,7
201,1,605,1
202,1,614,1
203,1,615,2
204,1,617,2
205,1,625,1
206,1,632,1
207,1,635,1
208,1,640,1
209,1,646,1
210,1,658,3
211,1,662,2
212,1,693,4
213,1,694,1
214,2,3,1
215,2,5,1
216,2,7,3
217,2,8,17
218,2,16,1
219,2,17,1
220,2,21,2
221,2,24,3
222,2,26,1
223,2,30,2
224,2,31,1
225,2,38,4
226,2,39,2
227,2,41,5
228,2,42,3
229,2,44,14
230,2,46,10
231,2,47,19
232,2,51,1
233,2,53,2
234,2,56,9
235,2,57,7
236,2,58,1
237,2,62,1
238,2,74,2
239,2,75,1
240,2,78,1
241,2,80,1
242,2,86,3
243,2,89,1
244,2,91,1
245,2,99,2
246,2,100,2
247,2,103,1
248,2,105,11
249,2,110,10
250,2,115,11
251,2,116,1
252,2,118,1
253,2,123,1
254,2,124,1
255,2,135,1
256,2,143,1
257,2,147,1
258,2,150,1
259,2,152,27
260,2,153,2
261,2,156,5
262,2,160,20
263,2,169,8
264,2,173,1
265,2,184,1
266,2,186,1
267,2,187,10
268,2,192,2
269,2,193,1
270,2,195,2
271,2,196,1
272,2,197,5
273,2,208,1
274,2,213,1
275,2,217,2
276,2,226,2
277,2,229,1
278,2,231,1
279,2,239,2
280,2,241,4
281,2,253,1
282,2,264,2
283,2,266,16
284,2,268,12
285,2,269,2
286,2,272,1
287,2,274,2
288,2,282,1
289,2,283,1
290,2,285,4
291,2,296,2
292,2,297,5
293,2,299,1
294,2,301,1
295,2,303,1
296,2,304,1
297,2,305,2
298,2,308,25
299,2,313,4
300,2,314,20
301,2,317,3
302,2,318,1
303,2,332,2
304,2,334,1
305,2,351,1
306,2,355,12
307,2,362,3
308,2,364,2
309,2,366,2
310,2,378,4
311,2,385,2
312,2,395,1
313,2,398,2
314,2,408,2
315,2,429,1
316,2,434,1
317,2,442,2
318,2,445,1
319,2,447,1
320,2,448,3
321,2,470,1
322,2,475,2
323,2,484,3
324,2,499,1
325,2,505,1
326,2,509,1
327,2,521,2
328,2,531,1
329,2,543,1
330,2,573,4
331,2,620,2
332,2,630,1
333,2,718,1
334,2,726,1
335,3,4,2
336,3,5,8
337,3,7,4
338,3,8,7
339,3,13,1
340,3,15,1
341,3,23,1
342,3,26,1
343,3,28,2
344,3,33,1
345,3,40,1
346,3,41,1
347,3,42,2
348,3,49,4
349,3,53,2
350,3,62,7
351,3,70,2
352,3,72,1
353,3,74,5
354,3,75,1
355,3,82,1
356,3,84,1
357,3,86,2
358,3,87,2
359,3,88,2
360,3,95,2
361,3,98,1
362,3,101,1
363,3,105,1
364,3,110,3
365,3,115,2
366,3,131,5
367,3,135,1
368,3,140,4
369,3,143,1
370,3,146,2
371,3,147,11
372,3,154,2
373,3,157,1
374,3,164,1
375,3,182,5
376,3,183,1
377,3,187,9
378,3,214,1
379,3,224,1
380,3,226,1
381,3,233,1
382,3,237,1
383,3,250,1
384,3,252,2
385,3,265,1
386,3,266,1
