,t1,t2,ct
0,1,2,9
1,1,3,1
2,1,4,1
3,1,5,1
4,1,7,7
5,1,8,1
6,1,10,10
7,1,11,3
8,1,12,2
9,1,13,12
10,1,14,6
11,1,15,9
12,1,17,9
13,1,18,2
14,1,20,1
15,1,24,7
16,1,28,2
17,1,29,1
18,1,31,1
19,1,37,6
20,1,40,1
21,1,41,3
22,1,44,1
23,1,47,1
24,1,48,1
25,1,49,7
26,1,51,15
27,1,60,2
28,1,61,12
29,1,66,1
30,1,73,1
31,1,81,9
32,1,83,5
33,1,84,3
34,1,92,9
35,1,95,2
36,1,98,4
37,1,99,3
38,1,101,1
39,1,106,1
40,1,107,4
41,1,108,3
42,1,109,1
43,1,114,3
44,1,119,1
45,1,120,1
46,1,121,7
47,1,122,1
48,1,123,1
49,1,133,1
50,1,134,1
51,1,135,1
52,1,137,1
53,1,138,2
54,1,140,2
55,1,143,1
56,1,145,1
57,1,153,5
58,1,154,6
59,1,155,11
60,1,157,5
61,1,159,2
62,1,162,1
63,1,164,2
64,1,166,2
65,1,170,3
66,1,176,4
67,1,193,3
68,1,197,1
69,1,205,3
70,1,207,1
71,1,215,11
72,1,220,1
73,1,231,1
74,1,232,2
75,1,234,2
76,1,237,1
77,1,242,1
78,2,3,1
79,2,4,1
80,2,5,1
81,2,8,1
82,2,13,2
83,2,29,1
84,2,49,3
85,2,51,1
86,2,73,1
87,2,77,1
88,2,81,1
89,2,87,3
90,2,88,2
91,2,98,4
92,2,121,2
93,3,4,1
94,3,5,1
95,3,7,1
96,3,24,1
97,3,121,1
98,4,5,1
99,4,12,1
100,4,158,1
101,5,51,1
102,6,23,1
103,6,119,1
104,7,13,1
105,7,14,2
106,7,17,1
107,7,20,1
108,7,24,6
109,7,28,1
110,7,32,1
111,7,37,1
112,7,44,1
113,7,50,2
114,7,51,2
115,7,60,3
116,7,61,3
117,7,66,1
118,7,78,1
119,7,79,1
120,7,80,1
121,7,87,1
122,7,88,1
123,7,94,1
124,7,97,1
125,7,98,4
126,7,120,1
127,7,122,7
128,7,140,1
129,7,155,4
130,7,158,1
131,7,159,1
132,7,191,2
133,7,207,1
134,7,215,2
135,7,217,1
136,7,221,1
137,7,237,1
138,8,13,1
139,8,20,1
140,8,24,6
141,8,25,1
142,8,47,1
143,8,50,1
144,8,60,1
145,8,77,1
146,8,121,3
147,8,160,1
148,8,198,2
149,8,237,1
150,9,37,1
151,9,73,1
152,10,11,1
153,10,12,2
154,10,13,4
155,10,14,2
156,10,15,8
157,10,16,1
158,10,49,1
159,10,61,1
160,10,81,1
161,10,170,2
162,11,12,1
163,11,13,1
164,11,14,1
165,11,15,2
166,11,24,1
167,11,26,1
168,11,30,1
169,11,37,1
170,11,61,1
171,11,66,1
172,11,171,1
173,11,172,1
174,11,173,1
175,11,215,1
176,11,241,1
177,12,81,1
178,12,135,1
179,12,158,1
180,12,170,1
181,13,14,7
182,13,15,3
183,13,16,1
184,13,18,1
185,13,20,1
186,13,24,10
187,13,25,1
188,13,34,1
189,13,35,1
190,13,41,2
191,13,46,1
192,13,51,7
193,13,60,1
194,13,61,1
195,13,65,1
196,13,73,1
197,13,81,1
198,13,83,2
199,13,92,2
200,13,95,2
201,13,96,1
202,13,101,1
203,13,102,1
204,13,103,1
205,13,105,1
206,13,106,1
207,13,114,2
208,13,121,3
209,13,123,1
210,13,124,1
211,13,125,1
212,13,132,1
213,13,133,2
214,13,141,1
215,13,145,1
216,13,153,1
217,13,154,1
218,13,155,2
219,13,165,1
220,14,15,2
221,14,16,1
222,14,17,1
223,14,18,1
224,14,24,2
225,14,26,1
226,14,37,1
227,14,49,1
228,14,51,7
229,14,87,1
230,14,88,2
231,14,92,1
232,14,98,2
233,14,106,2
234,14,121,1
235,14,124,2
236,14,125,1
237,14,137,1
238,14,141,1
239,14,153,1
240,14,154,1
241,14,155,4
242,14,165,1
243,14,174,1
244,14,175,1
245,14,176,2
246,14,180,1
247,15,16,1
248,15,24,3
249,15,88,1
250,15,98,2
251,15,107,1
252,15,108,3
253,15,122,1
254,15,124,1
255,15,155,1
256,15,215,1
257,16,24,1
258,16,73,1
259,17,18,5
260,17,20,1
261,17,24,1
262,17,28,1
263,17,29,1
264,17,34,1
265,17,35,1
266,17,49,3
267,17,52,1
268,17,59,2
269,17,60,3
270,17,61,1
271,17,71,1
272,17,72,1
273,17,73,3
274,17,74,1
275,17,92,1
276,17,107,2
277,17,122,1
278,17,126,1
279,17,127,1
280,17,138,1
