,t1,t2,ct
0,1,10,1
1,1,14,2
2,1,65,1
3,2,3,4
4,2,6,2
5,2,10,1
6,2,15,2
7,2,16,6
8,2,25,2
9,2,26,1
10,2,31,1
11,2,32,5
12,2,33,4
13,2,34,2
14,2,35,3
15,2,36,3
16,2,38,2
17,2,41,13
18,2,45,8
19,2,47,1
20,2,51,6
21,2,52,1
22,2,55,7
23,2,57,1
24,2,58,1
25,2,60,1
26,2,66,1
27,2,78,1
28,2,79,1
29,3,16,1
30,3,32,1
31,3,33,1
32,3,34,1
33,3,35,2
34,3,38,2
35,3,68,1
36,4,5,1
37,4,7,2
38,4,9,2
39,4,13,1
40,4,14,1
41,4,15,1
42,4,16,2
43,4,63,1
44,4,65,1
45,5,8,6
46,5,12,5
47,5,13,1
48,5,29,1
49,5,61,1
50,5,63,1
51,6,9,1
52,6,16,1
53,6,33,3
54,6,34,3
55,6,35,1
56,6,55,1
57,6,68,1
58,7,9,2
59,7,12,1
60,7,14,1
61,7,15,1
62,7,45,1
63,7,64,1
64,8,12,4
65,8,18,1
66,8,27,1
67,8,48,1
68,8,61,1
69,9,10,2
70,9,12,1
71,9,14,6
72,9,16,1
73,9,18,1
74,9,32,1
75,9,38,1
76,9,50,1
77,9,54,1
78,9,55,1
79,9,85,1
80,10,11,1
81,10,14,3
82,10,54,1
83,11,14,2
84,11,15,1
85,11,18,1
86,11,27,3
87,11,44,7
88,11,48,2
89,11,52,1
90,11,56,3
91,11,68,1
92,12,13,1
93,12,50,1
94,13,63,1
95,14,16,1
96,14,18,7
97,14,28,1
98,14,31,1
99,14,32,2
100,14,48,2
101,14,52,1
102,14,55,1
103,14,56,2
104,14,67,2
105,15,16,2
106,15,32,1
107,15,33,1
108,15,35,2
109,15,38,2
110,15,41,1
111,15,51,1
112,15,52,4
113,15,55,4
114,16,17,1
115,16,29,1
116,16,32,2
117,16,33,1
118,16,35,2
119,16,39,1
120,16,41,2
121,16,52,1
122,16,55,1
123,16,62,1
124,16,65,1
125,16,77,1
126,17,29,1
127,17,35,2
128,17,36,3
129,17,49,2
130,17,52,1
131,17,77,1
132,17,81,2
133,18,27,2
134,18,31,1
135,18,32,1
136,18,48,2
137,18,61,1
138,18,77,1
139,19,45,1
140,19,70,1
141,21,22,1
142,22,50,1
143,24,45,1
144,25,26,1
145,25,41,1
146,25,86,1
147,27,32,2
148,27,45,1
149,27,48,2
150,27,56,2
151,27,70,1
152,29,46,2
153,29,52,1
154,29,72,1
155,29,90,1
156,30,83,1
157,31,32,1
158,31,33,2
159,31,35,1
160,31,52,2
161,31,58,1
162,31,71,1
163,32,33,1
164,32,34,1
165,32,35,4
166,32,36,1
167,32,37,1
168,32,38,1
169,32,39,1
170,32,41,9
171,32,43,1
172,32,45,31
173,32,47,5
174,32,48,2
175,32,51,2
176,32,52,1
177,32,55,1
178,32,56,2
179,32,61,1
180,32,64,1
181,32,68,1
182,32,71,1
183,32,73,1
184,32,75,1
185,32,76,1
186,32,80,1
187,32,82,2
188,32,89,1
189,32,94,1
190,33,34,9
191,33,35,1
192,33,36,1
193,33,41,4
194,33,45,1
195,33,51,1
196,33,52,2
197,33,55,1
198,33,59,1
199,33,71,1
200,33,79,1
201,34,35,2
202,34,41,1
203,34,86,1
204,35,36,2
205,35,37,1
206,35,39,3
207,35,41,2
208,35,45,8
209,35,51,1
210,35,52,2
211,35,55,4
212,35,59,1
213,35,66,1
214,35,68,1
215,35,81,2
216,36,39,2
217,36,41,3
218,36,45,3
219,36,47,1
220,36,49,1
221,36,55,2
222,36,60,2
223,36,75,1
224,36,79,1
225,36,80,1
226,37,43,1
227,37,68,1
228,38,41,2
229,38,50,1
230,38,54,1
231,38,55,2
232,39,59,1
233,39,86,1
234,39,87,2
235,40,48,1
236,41,45,1
237,41,47,1
238,41,51,4
239,41,52,2
240,41,53,1
241,41,55,5
242,44,56,1
243,45,47,3
244,45,51,1
245,45,52,3
246,45,53,1
247,45,54,1
248,45,55,2
249,45,62,1
250,45,64,2
251,46,52,1
252,47,66,1
253,47,68,1
254,47,75,1
255,48,74,1
256,50,54,1
257,50,55,1
258,51,55,3
259,51,58,1
260,51,85,1
261,52,54,1
262,52,55,4
263,52,57,1
264,52,61,1
265,52,64,1
266,52,66,1
267,54,55,1
268,54,74,1
269,55,57,2
270,58,85,1
271,58,89,1
272,59,60,1
273,69,71,1
274,75,79,1
275,78,79,1
276,85,88,1
277,91,92,1
278,91,93,1
279,92,93,1
