,t1,t2,ct
0,1,2,14
1,1,3,2
2,1,4,7
3,1,5,6
4,1,6,1
5,1,7,5
6,1,8,1
7,1,10,6
8,1,14,23
9,1,15,5
10,1,16,1
11,1,18,3
12,1,19,6
13,1,21,2
14,1,22,1
15,1,26,38
16,1,27,1
17,1,28,72
18,1,29,2
19,1,30,1
20,1,34,1
21,1,38,4
22,1,39,1
23,1,41,29
24,1,42,3
25,1,45,2
26,1,46,2
27,1,47,1
28,1,48,1
29,1,51,1
30,1,52,2
31,1,53,7
32,1,54,1
33,1,55,1
34,1,56,1
35,1,57,3
36,1,59,1
37,1,62,1
38,1,65,2
39,1,66,3
40,1,69,4
41,1,70,4
42,1,72,4
43,1,74,3
44,1,78,1
45,1,79,2
46,1,82,1
47,1,84,1
48,1,90,1
49,1,94,3
50,1,97,1
51,1,99,45
52,1,100,1
53,1,101,7
54,1,102,2
55,1,103,1
56,1,108,1
57,1,111,1
58,1,114,2
59,1,118,1
60,1,120,1
61,1,121,3
62,1,122,12
63,1,127,3
64,1,128,9
65,1,132,3
66,1,135,1
67,1,137,1
68,1,139,1
69,1,140,2
70,1,141,4
71,1,143,1
72,1,144,1
73,1,146,1
74,1,147,16
75,1,148,9
76,1,151,1
77,1,153,1
78,1,155,12
79,1,156,2
80,1,160,5
81,1,161,1
82,1,167,4
83,1,168,3
84,1,170,2
85,1,178,1
86,1,186,1
87,1,187,1
88,1,188,25
89,1,189,3
90,1,197,1
91,1,198,1
92,1,205,2
93,1,210,1
94,1,213,1
95,1,216,1
96,1,218,22
97,1,223,2
98,1,225,1
99,1,231,3
100,1,236,4
101,1,249,3
102,1,250,1
103,1,254,2
104,1,263,1
105,1,281,1
106,1,286,2
107,2,3,2
108,2,4,4
109,2,5,10
110,2,7,30
111,2,14,37
112,2,15,4
113,2,21,1
114,2,22,1
115,2,25,2
116,2,28,1
117,2,36,1
118,2,38,1
119,2,41,1
120,2,42,8
121,2,46,1
122,2,47,5
123,2,48,17
124,2,49,1
125,2,50,1
126,2,52,8
127,2,53,9
128,2,60,4
129,2,65,4
130,2,66,4
131,2,71,1
132,2,84,1
133,2,93,1
134,2,98,1
135,2,99,3
136,2,102,3
137,2,105,1
138,2,117,2
139,2,118,1
140,2,119,1
141,2,122,2
142,2,125,8
143,2,127,12
144,2,128,6
145,2,131,1
146,2,135,1
147,2,137,1
148,2,141,1
149,2,143,2
150,2,144,4
151,2,145,1
152,2,151,1
153,2,156,1
154,2,163,1
155,2,164,1
156,2,166,2
157,2,170,1
158,2,184,1
159,2,188,2
160,2,189,2
161,2,192,1
162,2,194,1
163,2,214,1
164,2,217,1
165,2,230,1
166,2,238,1
167,2,245,1
168,2,249,2
169,2,274,1
170,2,281,1
171,3,4,1
172,3,5,1
173,3,7,2
174,3,8,1
175,3,10,1
176,3,11,1
177,3,12,1
178,3,14,4
179,3,18,1
180,3,21,1
181,3,22,1
182,3,28,2
183,3,38,1
184,3,41,1
185,3,42,2
186,3,46,2
187,3,47,1
188,3,48,2
189,3,52,1
190,3,53,2
191,3,71,1
192,3,99,2
193,3,128,1
194,3,137,1
195,3,143,3
196,3,174,1
197,3,188,1
198,3,189,1
199,3,202,2
200,3,238,1
201,3,262,1
202,4,28,1
203,4,218,1
204,5,6,8
205,5,7,36
206,5,8,1
207,5,9,7
208,5,10,36
209,5,12,10
210,5,13,1
211,5,14,29
212,5,15,2
213,5,17,3
214,5,18,1
215,5,19,10
216,5,21,3
217,5,22,1
218,5,23,1
219,5,25,1
220,5,26,22
221,5,27,1
222,5,28,12
223,5,34,1
224,5,35,1
225,5,36,6
226,5,37,1
227,5,38,7
228,5,39,3
229,5,40,1
230,5,41,8
231,5,42,14
232,5,45,1
233,5,46,4
234,5,47,3
235,5,48,13
236,5,51,4
237,5,52,3
