,t1,t2,ct
0,1,2,47
1,1,3,7
2,1,6,2
3,1,8,18
4,1,9,11
5,1,10,37
6,1,11,6
7,1,12,10
8,1,20,9
9,1,27,7
10,1,28,1
11,1,29,22
12,1,31,7
13,1,32,1
14,1,33,7
15,1,34,16
16,1,37,7
17,1,38,2
18,1,40,5
19,1,42,4
20,1,43,2
21,1,45,1
22,1,49,11
23,1,53,1
24,1,58,2
25,1,60,1
26,1,62,12
27,1,64,19
28,1,66,3
29,1,67,2
30,1,68,1
31,1,69,1
32,1,77,3
33,1,80,1
34,1,84,1
35,1,86,6
36,1,88,1
37,1,90,26
38,1,93,2
39,1,94,8
40,1,99,1
41,1,100,1
42,1,102,3
43,1,111,8
44,1,114,1
45,1,119,3
46,1,121,1
47,1,122,1
48,1,125,3
49,1,131,1
50,1,132,1
51,1,133,1
52,1,134,1
53,1,137,1
54,1,143,2
55,1,154,3
56,1,158,9
57,1,170,1
58,1,175,1
59,1,176,23
60,1,180,2
61,1,187,3
62,1,190,2
63,1,191,2
64,1,192,1
65,1,206,1
66,1,211,2
67,1,213,1
68,1,226,2
69,1,234,1
70,1,253,3
71,1,263,1
72,1,271,1
73,1,275,1
74,1,277,1
75,1,280,1
76,1,287,8
77,1,340,1
78,1,347,1
79,1,349,2
80,1,369,1
81,1,378,5
82,2,3,21
83,2,4,3
84,2,5,1
85,2,6,19
86,2,8,21
87,2,9,35
88,2,10,68
89,2,11,5
90,2,12,19
91,2,20,18
92,2,27,3
93,2,29,19
94,2,31,9
95,2,32,5
96,2,33,5
97,2,34,21
98,2,37,7
99,2,38,10
100,2,40,1
101,2,42,13
102,2,44,1
103,2,49,4
104,2,50,1
105,2,53,1
106,2,57,1
107,2,58,6
108,2,60,1
109,2,62,11
110,2,64,18
111,2,65,1
112,2,66,7
113,2,67,3
114,2,68,1
115,2,69,1
116,2,73,1
117,2,76,1
118,2,77,7
119,2,84,1
120,2,86,4
121,2,87,1
122,2,89,2
123,2,90,11
124,2,91,3
125,2,93,3
126,2,95,2
127,2,99,1
128,2,100,1
129,2,101,2
130,2,102,3
131,2,103,8
132,2,105,1
133,2,109,1
134,2,111,5
135,2,114,4
136,2,116,1
137,2,119,14
138,2,120,2
139,2,122,1
140,2,124,4
141,2,125,2
142,2,129,1
143,2,131,2
144,2,134,3
145,2,136,1
146,2,138,1
147,2,143,4
148,2,144,1
149,2,145,1
150,2,154,12
151,2,155,3
152,2,158,2
153,2,173,1
154,2,175,3
155,2,176,11
156,2,180,2
157,2,187,1
158,2,189,1
159,2,190,3
160,2,191,2
161,2,192,4
162,2,193,1
163,2,205,5
164,2,211,1
165,2,218,2
166,2,221,1
167,2,223,1
168,2,226,1
169,2,227,3
170,2,234,2
171,2,236,2
172,2,237,4
173,2,238,2
174,2,240,1
175,2,245,1
176,2,246,1
177,2,250,2
178,2,252,1
179,2,253,2
180,2,261,1
181,2,268,3
182,2,273,2
183,2,287,8
184,2,293,1
185,2,299,5
186,2,308,1
187,2,318,1
188,2,323,2
189,2,327,1
190,2,338,1
191,2,340,2
192,2,347,1
193,2,349,1
194,2,364,1
195,2,369,1
196,2,378,3
197,3,4,4
198,3,5,12
199,3,6,44
200,3,7,6
201,3,8,48
202,3,9,75
203,3,10,41
204,3,11,5
205,3,12,8
206,3,14,9
207,3,15,5
208,3,16,3
209,3,17,2
210,3,18,2
211,3,19,12
212,3,20,20
213,3,21,2
214,3,22,4
215,3,23,2
216,3,24,1
217,3,25,4
218,3,27,41
219,3,28,6
220,3,29,46
221,3,31,14
222,3,32,4
223,3,33,1
224,3,34,19
225,3,35,3
226,3,36,16
227,3,37,41
228,3,38,56
229,3,40,12
230,3,41,4
231,3,42,27
232,3,43,3
233,3,44,4
234,3,45,16
235,3,46,2
236,3,47,3
237,3,48,10
238,3,49,6
239,3,50,4
240,3,51,5
241,3,52,1
242,3,53,18
243,3,54,4
244,3,56,1
245,3,57,7
246,3,58,1
247,3,59,9
248,3,61,8
249,3,62,1
250,3,64,5
251,3,65,1
252,3,66,15
253,3,67,2
254,3,68,1
255,3,69,5
256,3,70,3
257,3,71,3
258,3,72,2
259,3,73,1
260,3,74,1
261,3,76,2
262,3,77,14
263,3,80,13
264,3,81,13
265,3,83,1
266,3,84,1
267,3,85,3
268,3,88,4
269,3,90,61
270,3,91,2
271,3,92,1
272,3,93,1
273,3,95,4
274,3,97,2
275,3,98,3
276,3,99,2
277,3,102,29
278,3,103,3
279,3,104,42
280,3,105,9
281,3,106,5
282,3,107,1
283,3,111,18
284,3,112,2
285,3,113,1
286,3,114,10
287,3,115,1
288,3,116,2
289,3,117,3
290,3,120,1
291,3,121,5
292,3,122,2
293,3,123,10
294,3,124,6
295,3,126,1
296,3,128,5
297,3,129,2
298,3,132,6
299,3,134,2
300,3,136,4
301,3,137,2
302,3,139,8
303,3,140,1
304,3,141,7
305,3,144,1
306,3,147,6
307,3,148,1
308,3,149,2
309,3,150,2
310,3,153,1
311,3,154,20
312,3,157,1
313,3,158,6
314,3,160,1
315,3,164,17
316,3,167,3
317,3,168,1
318,3,169,3
319,3,170,10
320,3,171,2
321,3,172,3
322,3,174,2
323,3,175,1
324,3,176,2
325,3,177,21
326,3,178,3
327,3,179,1
328,3,182,2
329,3,183,1
330,3,184,4
331,3,185,1
332,3,186,4
333,3,187,2
334,3,188,4
335,3,189,1
336,3,191,2
337,3,192,5
338,3,194,1
339,3,198,3
340,3,202,1
341,3,203,1
342,3,205,1
343,3,206,9
344,3,207,1
345,3,208,2
346,3,209,2
347,3,210,1
348,3,214,1
349,3,215,1
350,3,216,2
351,3,218,1
352,3,221,1
353,3,222,3
354,3,224,2
355,3,227,3
356,3,230,1
357,3,234,2
358,3,235,1
359,3,237,1
360,3,238,4
361,3,239,1
362,3,240,4
363,3,242,4
364,3,244,1
365,3,248,1
366,3,249,1
367,3,250,3
368,3,252,3
369,3,255,1
370,3,257,1
371,3,258,2
372,3,262,1
373,3,263,1
374,3,267,1
375,3,272,12
376,3,274,2
377,3,275,1
378,3,279,1
379,3,283,1
380,3,284,1
381,3,285,1
382,3,287,9
383,3,288,2
384,3,291,7
385,3,295,3
386,3,296,2
387,3,297,1
388,3,301,9
389,3,302,2
390,3,303,1
391,3,305,1
392,3,311,1
393,3,317,1
394,3,322,1
395,3,324,1
396,3,325,1
397,3,339,1
398,3,345,1
399,3,352,1
400,3,355,3
401,3,357,1
402,3,359,1
403,3,360,1
404,3,364,1
405,3,366,1
406,3,367,2
407,3,369,2
408,3,373,1
409,3,374,1
410,3,375,1
411,3,381,2
412,3,383,1
413,3,388,1
414,3,389,1
415,4,5,2
416,4,6,1
417,4,8,1
418,4,9,2
419,4,10,1
420,4,11,1
421,4,14,1
422,4,27,1
423,4,29,4
424,4,31,1
425,4,34,1
426,4,37,4
427,4,38,3
428,4,42,3
429,4,43,1
430,4,45,1
431,4,50,1
432,4,59,1
433,4,66,1
434,4,69,1
435,4,81,1
436,4,90,1
437,4,95,1
438,4,121,1
439,4,123,2
440,4,136,1
441,4,154,2
442,4,156,1
443,4,184,1
444,4,199,1
445,4,216,1
446,4,238,2
447,4,251,1
448,4,262,1
449,4,264,1
450,4,287,1
451,4,316,1
452,4,323,1
453,4,348,1
