,t1,t2,ct
0,1,2,1
1,1,3,8
2,1,4,7
3,1,5,2
4,1,6,16
5,1,7,2
6,1,8,2
7,1,10,4
8,1,11,10
9,1,12,32
10,1,13,1
11,1,14,7
12,1,17,3
13,1,18,1
14,1,19,1
15,1,21,20
16,1,22,4
17,1,23,3
18,1,24,5
19,1,25,2
20,1,26,1
21,1,27,11
22,1,28,10
23,1,29,8
24,1,30,2
25,1,31,1
26,1,32,3
27,1,33,2
28,1,34,16
29,1,35,1
30,1,36,6
31,1,37,1
32,1,39,14
33,1,40,3
34,1,41,2
35,1,42,6
36,1,43,36
37,1,44,2
38,1,46,5
39,1,48,2
40,1,49,16
41,1,50,3
42,1,51,2
43,1,52,5
44,1,53,7
45,1,54,1
46,1,55,1
47,1,58,3
48,1,59,1
49,1,61,4
50,1,64,4
51,1,65,13
52,1,67,3
53,1,68,5
54,1,69,2
55,1,72,5
56,1,73,1
57,1,75,1
58,1,76,4
59,1,77,2
60,1,78,3
61,1,80,1
62,1,84,3
63,1,86,16
64,1,88,1
65,1,89,9
66,1,91,5
67,1,93,2
68,1,95,1
69,1,96,3
70,1,98,7
71,1,104,1
72,1,105,2
73,1,107,1
74,1,108,2
75,1,110,2
76,1,111,1
77,1,117,1
78,2,3,1
79,2,4,1
80,2,8,1
81,2,10,1
82,2,34,1
83,2,51,1
84,2,66,1
85,2,78,1
86,2,79,1
87,3,4,3
88,3,6,3
89,3,8,1
90,3,10,1
91,3,11,3
92,3,14,1
93,3,15,1
94,3,21,1
95,3,27,1
96,3,29,3
97,3,34,9
98,3,39,1
99,3,40,1
100,3,43,3
101,3,44,3
102,3,49,1
103,3,50,1
104,3,53,1
105,3,54,2
106,3,55,1
107,3,56,3
108,3,65,4
109,3,68,3
110,3,72,1
111,3,78,3
112,3,84,4
113,3,86,1
114,3,93,1
115,3,96,2
116,3,105,1
117,4,5,2
118,4,6,3
119,4,7,5
120,4,8,1
121,4,10,2
122,4,11,16
123,4,12,6
124,4,14,3
125,4,15,22
126,4,17,1
127,4,21,3
128,4,22,1
129,4,25,2
130,4,26,1
131,4,27,2
132,4,33,1
133,4,34,23
134,4,35,3
135,4,36,1
136,4,38,5
137,4,39,1
138,4,40,5
139,4,41,3
140,4,43,1
141,4,44,3
142,4,45,2
143,4,46,2
144,4,48,1
145,4,49,4
146,4,51,5
147,4,52,1
148,4,53,1
149,4,54,8
150,4,58,7
151,4,61,1
152,4,64,1
153,4,65,2
154,4,68,1
155,4,69,1
156,4,74,1
157,4,78,5
158,4,84,1
159,4,86,4
160,4,89,4
161,4,92,2
162,4,99,1
163,4,101,1
164,4,107,1
165,4,108,1
166,4,109,1
167,4,113,1
168,5,6,2
169,5,7,5
170,5,8,1
171,5,10,2
172,5,11,3
173,5,15,1
174,5,22,1
175,5,24,1
176,5,26,1
177,5,34,3
178,5,39,1
179,5,43,2
180,5,44,2
181,5,45,1
182,5,46,1
183,5,49,2
184,5,51,1
185,5,52,1
186,5,53,1
187,5,65,1
188,5,84,1
189,5,86,2
190,5,88,1
191,5,89,1
192,6,7,1
193,6,8,5
194,6,10,3
195,6,11,14
196,6,12,14
197,6,13,1
198,6,14,2
199,6,15,1
200,6,17,1
201,6,21,1
202,6,22,1
203,6,23,2
204,6,24,1
205,6,27,5
206,6,28,6
207,6,34,12
208,6,36,1
209,6,37,3
210,6,39,8
211,6,40,3
212,6,42,1
213,6,43,19
214,6,44,1
215,6,49,2
216,6,52,2
217,6,53,2
218,6,55,2
219,6,56,1
220,6,65,1
221,6,68,2
222,6,76,7
223,6,78,2
224,6,84,2
225,6,86,10
226,6,87,1
227,6,88,1
228,6,89,1
229,6,93,1
230,6,96,3
231,6,101,1
232,6,104,1
233,6,105,2
234,6,108,1
235,7,12,1
236,7,14,1
237,7,15,1
238,7,21,1
239,7,24,1
240,7,27,2
241,7,34,11
242,7,39,1
243,7,40,1
244,7,42,2
245,7,44,1
246,7,46,2
247,7,49,1
248,7,53,2
249,7,58,1
250,7,59,1
251,7,65,2
252,7,68,1
253,7,88,1
254,8,9,5
255,8,10,5
256,8,11,7
257,8,12,1
258,8,15,1
259,8,21,1
260,8,23,2
261,8,27,2
262,8,34,4
263,8,38,1
264,8,39,4
265,8,40,1
266,8,42,1
267,8,43,2
268,8,44,1
269,8,45,1
270,8,51,1
271,8,52,1
272,8,53,1
273,8,58,2
274,8,59,1
275,8,65,2
276,8,66,1
277,8,69,1
278,8,72,1
279,8,84,2
280,8,86,2
281,8,89,3
282,8,91,1
283,8,96,2
284,8,105,2
285,8,111,1
286,9,21,1
287,9,34,1
288,9,42,1
289,9,43,1
290,9,50,1
291,9,52,1
292,9,53,2
293,9,68,1
294,9,69,1
295,9,74,1
296,9,84,2
297,9,87,1
298,9,89,1
299,9,96,1
300,10,11,3
301,10,21,1
302,10,24,1
303,10,27,1
304,10,34,4
305,10,35,1
306,10,39,3
307,10,40,1
308,10,43,3
309,10,44,4
310,10,46,1
311,10,52,1
312,10,53,1
313,10,59,1
314,10,65,1
315,10,66,1
316,10,68,2
317,10,69,4
318,10,72,2
319,10,76,1
320,10,78,2
321,10,80,1
322,10,84,1
323,10,86,1
324,10,89,2
325,10,91,1
326,10,105,1
327,11,12,1
328,11,15,5
329,11,23,1
330,11,24,1
331,11,27,5
332,11,28,4
333,11,33,1
334,11,34,7
335,11,37,1
336,11,39,7
337,11,40,2
338,11,41,1
339,11,43,1
340,11,44,3
341,11,46,1
342,11,49,2
343,11,51,2
344,11,52,3
345,11,53,1
346,11,55,1
347,11,56,1
348,11,58,3
349,11,61,1
350,11,65,2
351,11,66,1
352,11,68,2
353,11,73,1
354,11,76,1
355,11,78,2
356,11,79,1
357,11,80,1
