,t1,t2,ct
0,1,2,10
1,1,3,3
2,1,4,41
3,1,5,9
4,1,6,1
5,1,7,3
6,1,8,45
7,1,9,2
8,1,10,6
9,1,11,4
10,1,12,12
11,1,13,4
12,1,16,64
13,1,17,105
14,1,18,16
15,1,19,35
16,1,20,12
17,1,21,6
18,1,22,4
19,1,23,8
20,1,24,9
21,1,26,16
22,1,27,21
23,1,29,6
24,1,30,5
25,1,32,3
26,1,33,6
27,1,34,25
28,1,35,5
29,1,36,16
30,1,37,5
31,1,38,2
32,1,39,1
33,1,40,2
34,1,41,14
35,1,44,66
36,1,45,2
37,1,47,9
38,1,51,2
39,1,52,1
40,1,53,4
41,1,55,7
42,1,56,7
43,1,58,11
44,1,59,7
45,1,60,6
46,1,61,2
47,1,62,9
48,1,64,2
49,1,69,11
50,1,70,9
51,1,71,1
52,1,73,2
53,1,74,5
54,1,76,9
55,1,77,16
56,1,78,1
57,1,79,2
58,1,80,3
59,1,81,1
60,1,82,3
61,1,83,1
62,1,86,11
63,1,87,1
64,1,88,6
65,1,90,4
66,1,91,5
67,1,92,1
68,1,93,3
69,1,94,1
70,1,95,2
71,1,96,1
72,1,98,2
73,1,100,2
74,1,101,1
75,1,102,2
76,1,103,2
77,1,104,2
78,1,106,1
79,1,107,1
80,1,108,2
81,1,110,1
82,1,113,2
83,1,115,4
84,1,117,2
85,1,118,1
86,1,119,1
87,1,120,2
88,1,121,1
89,1,122,3
90,1,123,2
91,1,125,2
92,1,126,1
93,1,128,1
94,1,130,1
95,1,131,4
96,1,132,2
97,1,134,1
98,1,135,2
99,1,137,3
100,1,138,5
101,1,140,5
102,1,141,2
103,1,142,1
104,1,143,5
105,1,144,1
106,1,148,2
107,1,149,1
108,1,150,2
109,1,151,1
110,1,153,5
111,1,155,2
112,1,156,3
113,1,157,3
114,1,160,1
115,1,161,1
116,1,167,3
117,1,168,1
118,1,169,2
119,1,170,2
120,1,173,1
121,1,174,1
122,1,177,1
123,1,181,1
124,1,182,1
125,1,183,1
126,1,184,3
127,1,188,4
128,1,190,5
129,1,197,4
130,1,202,1
131,1,204,1
132,1,207,1
133,1,209,1
134,1,210,1
135,1,211,3
136,1,215,2
137,1,216,1
138,1,221,1
139,1,223,1
140,1,224,2
141,1,225,1
142,1,227,1
143,1,232,1
144,1,239,1
145,1,244,1
146,1,247,2
147,1,254,1
148,1,255,1
149,1,259,1
150,1,270,1
151,1,271,1
152,1,276,1
153,1,280,1
154,2,3,2
155,2,4,14
156,2,5,2
157,2,7,1
158,2,8,1
159,2,9,2
160,2,10,1
161,2,12,2
162,2,13,3
163,2,16,6
164,2,17,20
165,2,18,3
166,2,19,3
167,2,20,1
168,2,22,1
169,2,23,1
170,2,24,2
171,2,26,5
172,2,27,6
173,2,28,1
174,2,29,3
175,2,30,1
176,2,32,4
177,2,33,1
178,2,34,4
179,2,36,2
180,2,37,17
181,2,38,3
182,2,41,9
183,2,42,7
184,2,43,7
185,2,44,12
186,2,45,9
187,2,47,18
188,2,49,1
189,2,50,5
190,2,53,1
191,2,55,1
192,2,56,2
193,2,58,2
194,2,59,2
195,2,60,8
196,2,62,5
197,2,63,2
198,2,64,4
199,2,65,1
200,2,66,1
201,2,69,1
202,2,70,4
203,2,72,1
204,2,73,3
205,2,76,9
206,2,77,23
207,2,81,1
208,2,82,6
209,2,85,5
210,2,86,2
211,2,87,1
212,2,88,2
213,2,90,1
214,2,91,5
215,2,92,1
216,2,95,1
217,2,97,1
218,2,100,1
219,2,101,1
220,2,102,1
221,2,103,1
222,2,106,2
223,2,114,2
224,2,121,1
225,2,122,2
226,2,131,1
227,2,132,1
228,2,138,4
229,2,140,1
230,2,142,1
231,2,148,1
232,2,149,3
233,2,157,2
234,2,161,1
235,2,163,1
236,2,164,1
237,2,165,3
238,2,167,2
239,2,170,2
240,2,173,2
241,2,178,1
242,2,181,1
243,2,184,9
244,2,190,2
245,2,197,2
246,2,210,1
247,2,241,1
248,2,242,1
249,2,243,1
250,2,249,1
251,3,4,2
252,3,8,2
253,3,11,1
254,3,17,1
255,3,23,2
256,3,24,1
257,3,26,1
258,3,29,2
259,3,32,1
260,3,39,1
261,3,45,1
262,3,58,2
263,3,74,1
264,3,91,1
265,3,113,6
266,3,117,1
267,3,122,1
268,3,149,3
269,3,232,1
270,4,5,83
271,4,6,14
272,4,7,5
273,4,8,37
274,4,9,11
275,4,12,49
276,4,13,40
277,4,14,23
278,4,15,4
279,4,16,51
280,4,17,78
281,4,18,18
282,4,19,157
283,4,20,23
284,4,21,10
285,4,22,9
286,4,23,3
287,4,26,40
288,4,27,30
289,4,29,43
290,4,30,15
291,4,32,1
292,4,33,3
293,4,34,67
294,4,35,2
295,4,36,16
296,4,37,17
297,4,40,2
298,4,41,204
299,4,42,4
300,4,43,2
301,4,44,44
302,4,45,36
303,4,46,3
304,4,47,7
305,4,48,5
306,4,49,23
307,4,50,2
308,4,51,50
309,4,52,55
310,4,53,40
311,4,54,30
312,4,55,85
313,4,56,44
314,4,57,5
315,4,58,59
316,4,59,15
317,4,60,2
318,4,62,27
319,4,63,2
320,4,64,10
321,4,65,2
322,4,69,2
323,4,70,4
324,4,73,4
325,4,74,4
326,4,76,1
327,4,77,6
328,4,78,1
329,4,79,2
330,4,81,38
331,4,82,4
332,4,86,111
333,4,87,67
334,4,88,5
335,4,91,1
336,4,93,21
337,4,94,20
338,4,98,5
339,4,99,18
340,4,101,2
341,4,103,20
342,4,104,1
343,4,108,17
344,4,109,1
345,4,110,1
346,4,111,10
347,4,118,1
348,4,119,1
349,4,120,4
350,4,122,15
351,4,125,18
352,4,128,1
353,4,129,1
354,4,131,3
355,4,132,16
356,4,133,5
357,4,134,13
358,4,135,5
359,4,137,15
360,4,138,1
361,4,139,1
362,4,141,5
363,4,143,2
364,4,144,7
365,4,145,14
366,4,146,2
367,4,149,51
368,4,150,14
369,4,152,24
370,4,153,3
371,4,154,1
372,4,155,23
373,4,156,14
374,4,161,14
375,4,162,7
376,4,163,10
377,4,168,9
378,4,169,2
379,4,176,1
380,4,179,1
381,4,181,1
382,4,183,8
383,4,184,2
384,4,186,13
385,4,187,6
386,4,188,9
387,4,190,1
388,4,193,4
389,4,194,2
390,4,195,1
391,4,197,1
392,4,198,2
393,4,200,4
394,4,202,1
395,4,204,19
396,4,206,2
397,4,208,1
398,4,209,11
399,4,210,2
400,4,213,1
401,4,214,8
402,4,215,3
403,4,216,18
404,4,217,8
405,4,218,2
406,4,221,1
407,4,222,1
408,4,227,7
409,4,229,1
410,4,230,1
