,t1,t2,ct
0,1,2,116
1,1,4,30
2,1,5,60
3,1,6,1
4,1,7,3
5,1,8,41
6,1,9,1
7,1,10,1
8,1,13,1
9,1,14,73
10,1,15,2
11,1,17,53
12,1,18,1
13,1,19,10
14,1,20,3
15,1,21,59
16,1,22,21
17,1,23,14
18,1,27,48
19,1,28,4
20,1,31,2
21,1,32,8
22,1,33,5
23,1,35,2
24,1,38,4
25,1,41,9
26,1,44,1
27,1,49,4
28,1,51,2
29,1,53,1
30,1,59,1
31,1,60,10
32,1,61,1
33,1,63,3
34,1,70,40
35,1,73,1
36,1,76,1
37,1,77,15
38,1,78,33
39,1,80,5
40,1,81,1
41,1,83,13
42,1,84,71
43,1,86,1
44,1,87,1
45,1,88,2
46,1,89,39
47,1,90,9
48,1,91,9
49,1,92,1
50,1,93,1
51,1,95,4
52,1,96,4
53,1,102,14
54,1,105,3
55,1,106,3
56,1,107,13
57,1,109,73
58,1,113,9
59,1,114,1
60,1,115,20
61,1,118,8
62,1,120,3
63,1,121,23
64,1,124,2
65,1,126,3
66,1,127,2
67,1,138,2
68,1,141,7
69,1,142,4
70,1,143,1
71,1,145,102
72,1,149,2
73,1,152,2
74,1,154,3
75,1,155,16
76,1,156,1
77,1,157,1
78,1,161,1
79,1,163,4
80,1,166,21
81,1,167,19
82,1,168,1
83,1,169,1
84,1,171,7
85,1,172,1
86,1,174,4
87,1,179,2
88,1,180,28
89,1,181,10
90,1,182,2
91,1,184,1
92,1,189,43
93,1,190,1
94,1,196,2
95,1,197,9
96,1,198,3
97,1,200,1
98,1,202,3
99,1,203,12
100,1,204,2
101,1,205,2
102,1,206,1
103,1,210,2
104,1,211,3
105,1,212,8
106,1,213,2
107,1,215,2
108,1,218,2
109,1,220,6
110,1,224,1
111,1,225,2
112,1,229,2
113,1,232,18
114,1,235,12
115,1,236,2
116,1,238,1
117,1,239,4
118,1,240,1
119,1,244,6
120,1,249,1
121,1,250,1
122,1,251,1
123,1,261,2
124,1,263,3
125,1,265,8
126,1,268,3
127,1,270,1
128,1,271,1
129,1,273,3
130,1,274,5
131,1,275,1
132,1,276,1
133,1,277,5
134,1,278,3
135,1,280,2
136,1,281,1
137,1,282,1
138,1,283,1
139,1,284,1
140,1,285,2
141,1,286,22
142,1,288,1
143,1,293,19
144,1,294,2
145,1,295,1
146,1,296,2
147,1,299,7
148,1,301,1
149,1,303,4
150,1,304,8
151,1,306,1
152,1,308,7
153,1,310,5
154,1,313,6
155,1,314,5
156,1,316,23
157,1,318,1
158,1,320,3
159,1,323,2
160,1,329,1
161,1,330,1
162,1,331,5
163,1,332,2
164,1,333,4
165,1,335,3
166,1,336,10
167,1,337,5
168,1,338,3
169,1,340,5
170,1,341,1
171,1,348,17
172,1,350,2
173,1,355,8
174,1,358,1
175,1,359,3
176,1,361,5
177,1,363,13
178,1,364,1
179,1,365,2
180,1,367,3
181,1,369,2
182,1,371,2
183,1,372,1
184,1,373,33
185,1,377,20
186,1,379,2
187,1,381,1
188,1,382,2
189,1,383,4
190,1,385,1
191,1,387,2
192,1,390,6
193,1,396,3
194,1,398,1
195,1,402,3
196,1,406,2
197,1,407,1
198,1,408,1
199,1,411,1
200,1,417,7
201,1,420,5
202,1,421,1
203,1,423,5
204,1,425,2
205,1,428,1
206,1,430,7
207,1,432,3
208,1,439,2
209,1,444,2
210,1,448,1
211,1,449,2
212,1,453,1
213,1,457,2
214,1,458,1
215,1,461,2
216,1,462,2
217,1,463,1
218,1,470,33
219,1,479,1
220,1,480,2
221,1,487,2
222,1,489,2
223,1,492,1
224,1,498,5
225,1,501,1
226,1,506,3
227,1,515,1
228,1,519,5
229,1,521,1
230,1,527,2
231,1,529,1
232,1,532,2
233,1,533,1
234,1,535,1
235,1,538,3
236,1,540,9
237,1,542,1
238,1,544,1
239,1,545,1
240,1,546,1
241,1,547,4
242,1,551,1
243,1,558,1
244,1,565,1
245,1,566,12
246,1,572,1
247,1,573,2
248,1,578,2
249,1,579,1
250,1,582,1
251,1,583,2
252,1,594,1
253,1,595,1
254,1,598,11
255,1,599,1
256,1,602,1
257,1,603,2
258,1,604,1
259,1,607,2
260,1,611,1
261,1,612,1
262,1,614,3
263,1,615,1
264,1,617,5
265,1,618,1
266,1,619,1
267,1,635,1
268,1,639,2
269,1,642,2
270,1,643,2
271,1,647,1
272,1,655,1
273,1,658,1
274,1,667,2
275,1,671,1
276,1,674,2
277,1,688,1
278,1,691,1
279,1,694,1
280,1,696,1
281,1,697,1
282,1,703,1
283,1,706,1
284,1,707,2
285,1,737,7
286,1,748,1
287,1,768,1
288,1,777,1
289,1,780,4
290,1,786,2
291,1,788,2
292,1,789,1
293,1,790,1
294,1,820,2
295,1,832,2
296,1,833,1
297,1,848,1
298,1,850,1
299,1,858,2
300,1,862,4
301,1,863,2
302,1,865,1
303,1,868,1
304,1,875,1
305,1,878,2
306,1,881,1
307,1,885,4
308,1,895,4
309,1,902,1
310,1,908,1
311,1,910,1
312,1,913,1
313,1,925,3
314,1,931,1
315,1,944,1
316,1,950,1
317,1,954,1
318,1,965,1
319,1,967,1
320,1,976,1
321,2,4,22
322,2,5,52
323,2,8,15
324,2,14,42
325,2,17,34
326,2,19,5
327,2,20,1
328,2,21,25
329,2,27,68
330,2,28,14
331,2,31,3
332,2,32,5
333,2,33,1
334,2,35,2
335,2,38,5
336,2,50,1
337,2,54,3
338,2,57,1
339,2,59,5
340,2,63,2
341,2,67,2
342,2,70,9
343,2,78,10
344,2,83,3
345,2,84,97
346,2,85,1
347,2,89,16
348,2,90,3
349,2,91,1
350,2,95,1
351,2,102,5
352,2,106,2
353,2,107,4
354,2,109,8
355,2,113,1
356,2,115,1
357,2,118,1
358,2,120,2
359,2,121,14
360,2,126,2
361,2,127,2
362,2,145,11
363,2,149,1
364,2,153,1
365,2,154,1
366,2,155,12
367,2,157,1
368,2,161,1
369,2,166,17
370,2,167,13
371,2,171,1
372,2,174,6
373,2,177,1
374,2,178,3
375,2,180,8
376,2,181,2
377,2,184,1
378,2,189,5
379,2,197,9
380,2,203,14
381,2,212,6
382,2,218,4
383,2,220,2
384,2,232,13
385,2,249,1
386,2,261,1
387,2,262,1
388,2,263,1
389,2,265,2
390,2,273,2
391,2,274,4
392,2,275,1
393,2,277,4
394,2,278,5
395,2,282,1
396,2,285,1
397,2,286,6
398,2,293,10
399,2,302,1
400,2,303,2
401,2,308,2
402,2,310,5
403,2,313,3
404,2,314,1
405,2,316,5
406,2,319,1
407,2,320,2
408,2,323,1
409,2,324,1
410,2,331,1
411,2,332,1
412,2,336,2
413,2,340,3
414,2,346,2
415,2,348,20
416,2,355,3
417,2,363,6
418,2,365,3
419,2,371,2
420,2,372,1
421,2,373,7
422,2,377,2
423,2,381,1
424,2,384,2
425,2,385,5
426,2,387,3
427,2,392,1
428,2,402,1
429,2,417,1
430,2,419,2
431,2,425,1
432,2,432,2
433,2,439,1
434,2,449,2
435,2,457,3
436,2,461,2
437,2,463,1
438,2,470,24
439,2,481,1
440,2,489,4
441,2,498,1
442,2,506,1
443,2,519,1
444,2,521,2
445,2,535,3
446,2,538,9
447,2,540,2
448,2,546,2
449,2,558,2
450,2,566,12
451,2,571,1
452,2,573,38
453,2,576,1
454,2,583,2
455,2,587,1
456,2,594,1
457,2,602,1
458,2,603,2
459,2,607,2
460,2,614,1
461,2,615,1
