,t1,t2,ct
0,1,4,93
1,1,5,17
2,1,10,1
3,1,17,3
4,1,21,12
5,1,34,16
6,1,36,3
7,1,45,20
8,1,57,3
9,1,60,1
10,1,61,1
11,1,62,2
12,1,67,1
13,1,79,31
14,1,80,3
15,1,83,4
16,1,94,14
17,1,96,1
18,1,99,2
19,1,131,15
20,1,132,2
21,1,145,2
22,1,157,16
23,1,186,1
24,1,189,1
25,1,198,22
26,1,209,22
27,1,212,14
28,1,271,14
29,1,276,21
30,1,324,1
31,1,328,1
32,1,334,43
33,1,362,33
34,1,380,1
35,1,405,1
36,1,463,1
37,1,488,1
38,1,524,1
39,1,527,8
40,1,651,3
41,1,761,3
42,1,796,1
43,1,1002,14
44,1,1048,1
45,1,1554,2
46,1,1799,1
47,1,1831,26
48,1,2279,1
49,1,2355,4
50,1,2990,2
51,2,3,85
52,2,21,17
53,2,34,64
54,2,36,3
55,2,39,2
56,2,49,5
57,2,57,3
58,2,70,1
59,2,71,5
60,2,80,2
61,2,81,8
62,2,82,117
63,2,83,7
64,2,96,4
65,2,97,3
66,2,107,1
67,2,138,1
68,2,145,2
69,2,157,24
70,2,169,1
71,2,173,26
72,2,182,90
73,2,186,7
74,2,195,1
75,2,198,9
76,2,216,1
77,2,233,4
78,2,248,38
79,2,253,1
80,2,259,21
81,2,312,1
82,2,328,2
83,2,383,1
84,2,405,2
85,2,463,2
86,2,523,1
87,2,524,1
88,2,527,1
89,2,559,1
90,2,608,1
91,2,700,4
92,2,703,2
93,2,704,2
94,2,1048,4
95,2,1145,5
96,2,1358,1
97,2,1399,1
98,2,1657,1
99,2,2044,1
100,2,2730,1
101,2,2988,1
102,2,3080,1
103,2,3622,1
104,2,4186,2
105,3,81,1
106,3,82,16
107,3,173,4
108,3,182,11
109,3,700,2
110,4,5,11
111,4,7,1
112,4,8,1
113,4,10,1
114,4,13,2
115,4,15,6
116,4,17,28
117,4,21,68
118,4,22,2
119,4,23,1
120,4,24,1
121,4,34,80
122,4,35,4
123,4,36,98
124,4,39,6
125,4,40,1
126,4,42,1
127,4,46,7
128,4,49,1
129,4,50,1
130,4,57,1
131,4,58,2
132,4,60,5
133,4,61,10
134,4,62,30
135,4,63,6
136,4,68,1
137,4,69,2
138,4,70,16
139,4,72,1
140,4,75,2
141,4,80,3
142,4,83,30
143,4,84,2
144,4,85,13
145,4,87,2
146,4,92,2
147,4,95,8
148,4,97,2
149,4,99,5
150,4,102,2
151,4,105,1
152,4,106,1
153,4,107,22
154,4,120,3
155,4,121,2
156,4,122,3
157,4,123,1
158,4,125,5
159,4,127,2
160,4,132,4
161,4,135,2
162,4,138,2
163,4,140,1
164,4,143,2
165,4,145,5
166,4,146,1
167,4,152,1
168,4,157,3
169,4,160,1
170,4,166,9
171,4,176,1
172,4,186,2
173,4,189,9
174,4,193,1
175,4,194,1
176,4,195,9
177,4,198,101
178,4,209,2
179,4,220,1
180,4,221,3
181,4,232,1
182,4,233,15
183,4,237,3
184,4,240,2
185,4,241,1
186,4,246,1
187,4,248,3
188,4,249,1
189,4,253,2
190,4,260,2
191,4,264,2
192,4,268,7
193,4,270,2
194,4,276,7
195,4,283,1
196,4,286,3
197,4,288,2
198,4,291,1
199,4,298,1
200,4,307,3
201,4,311,1
202,4,314,7
203,4,315,1
204,4,317,1
205,4,320,6
206,4,323,1
207,4,324,13
208,4,327,3
209,4,328,4
210,4,335,2
211,4,338,2
212,4,343,2
213,4,345,2
214,4,355,3
215,4,376,1
216,4,379,1
217,4,380,39
218,4,390,2
219,4,391,7
220,4,394,8
221,4,405,18
222,4,428,1
223,4,438,4
224,4,448,1
225,4,456,1
226,4,463,1
227,4,465,2
228,4,476,2
229,4,488,20
230,4,505,1
231,4,519,2
232,4,524,1
233,4,527,54
234,4,540,1
235,4,559,2
236,4,560,1
237,4,567,1
238,4,583,1
239,4,590,2
240,4,597,1
241,4,605,1
242,4,621,1
243,4,624,1
244,4,626,1
245,4,647,1
246,4,651,24
247,4,683,1
248,4,685,9
249,4,702,1
250,4,714,1
251,4,722,1
252,4,733,1
253,4,740,2
254,4,755,3
255,4,760,1
256,4,761,16
257,4,762,1
258,4,764,2
259,4,772,1
260,4,785,1
261,4,794,1
262,4,796,14
263,4,806,1
264,4,821,1
265,4,824,2
266,4,826,2
267,4,830,2
268,4,838,1
269,4,841,1
270,4,870,1
271,4,872,1
272,4,886,7
273,4,901,1
274,4,904,6
275,4,915,2
276,4,925,1
277,4,935,14
278,4,941,1
279,4,945,7
280,4,953,1
281,4,955,1
282,4,959,2
283,4,970,2
284,4,977,1
285,4,981,1
286,4,986,4
287,4,987,1
288,4,990,1
289,4,994,1
290,4,1001,1
291,4,1002,13
292,4,1003,1
293,4,1011,1
294,4,1024,1
295,4,1030,2
296,4,1032,2
297,4,1038,1
298,4,1046,2
299,4,1048,34
300,4,1063,4
301,4,1067,2
302,4,1079,1
303,4,1086,1
304,4,1092,2
305,4,1100,3
306,4,1108,4
307,4,1116,3
308,4,1117,18
309,4,1118,10
310,4,1122,3
311,4,1133,1
312,4,1134,1
313,4,1137,57
314,4,1145,1
315,4,1153,1
316,4,1157,2
317,4,1159,1
318,4,1169,11
319,4,1170,4
320,4,1173,3
321,4,1175,1
322,4,1183,1
323,4,1201,1
324,4,1204,1
325,4,1222,1
326,4,1224,10
327,4,1281,2
328,4,1305,1
329,4,1306,1
330,4,1358,1
331,4,1359,1
332,4,1365,2
333,4,1389,1
334,4,1400,2
335,4,1429,1
336,4,1440,1
337,4,1455,1
338,4,1460,1
339,4,1502,1
340,4,1540,1
341,4,1554,50
342,4,1573,1
343,4,1582,1
344,4,1622,7
345,4,1626,2
346,4,1631,2
347,4,1638,1
348,4,1644,1
349,4,1648,1
350,4,1659,2
351,4,1719,1
352,4,1727,1
353,4,1728,1
354,4,1729,2
355,4,1742,2
356,4,1777,1
357,4,1781,2
358,4,1818,1
359,4,1824,1
360,4,1835,1
361,4,1857,1
362,4,1872,10
363,4,1876,2
364,4,1878,3
365,4,1887,1
366,4,1891,3
367,4,1910,4
368,4,1915,1
369,4,1928,2
370,4,1939,4
371,4,1955,3
372,4,1961,2
373,4,1975,1
374,4,1981,1
375,4,1990,2
376,4,2007,2
377,4,2020,1
378,4,2036,2
379,4,2054,1
380,4,2058,1
381,4,2063,1
382,4,2087,1
383,4,2145,2
384,4,2149,1
385,4,2167,2
386,4,2169,3
387,4,2195,1
388,4,2205,1
389,4,2215,2
390,4,2247,5
391,4,2249,1
392,4,2270,1
393,4,2277,1
394,4,2279,65
395,4,2286,1
396,4,2301,1
397,4,2303,1
398,4,2316,1
399,4,2334,1
400,4,2349,1
401,4,2355,10
402,4,2374,2
403,4,2396,4
404,4,2419,1
405,4,2439,6
406,4,2440,1
407,4,2443,3
408,4,2458,1
409,4,2460,1
410,4,2482,1
411,4,2488,1
412,4,2496,1
413,4,2503,19
414,4,2513,3
415,4,2553,2
416,4,2557,1
417,4,2565,42
418,4,2574,2
419,4,2576,1
420,4,2591,1
421,4,2616,2
422,4,2633,2
423,4,2637,1
424,4,2659,3
425,4,2669,2
426,4,2672,2
427,4,2676,2
428,4,2712,1
429,4,2713,1
430,4,2725,1
431,4,2759,1
432,4,2769,1
433,4,2774,3
434,4,2795,2
435,4,2810,1
436,4,2828,2
437,4,2885,1
438,4,2900,1
439,4,2901,1
440,4,2909,1
441,4,2956,10
442,4,2962,1
443,4,2983,13
444,4,2990,1
445,4,3014,1
446,4,3051,2
447,4,3061,1
448,4,3062,1
449,4,3153,1
450,4,3159,4
451,4,3181,1
452,4,3199,2
453,4,3201,1
454,4,3214,1
455,4,3219,3
456,4,3239,1
457,4,3248,1
458,4,3260,1
459,4,3261,1
460,4,3272,8
461,4,3292,1
462,4,3299,2
463,4,3315,2
464,4,3352,1
465,4,3383,1
466,4,3384,1
467,4,3388,1
468,4,3404,2
469,4,3408,1
470,4,3430,2
471,4,3441,1
472,4,3450,1
473,4,3458,12
474,4,3466,2
475,4,3469,1
476,4,3487,4
477,4,3531,2
478,4,3542,2
479,4,3546,1
480,4,3575,8
481,4,3615,1
482,4,3621,2
483,4,3651,2
484,4,3672,1
485,4,3684,3
486,4,3721,9
487,4,3723,1
488,4,3724,7
489,4,3758,7
490,4,3763,1
491,4,3789,1
492,4,3796,3
493,4,3800,1
494,4,3822,1
495,4,3834,1
496,4,3858,1
497,4,3890,1
498,4,3899,2
499,4,3900,3
500,4,3933,1
501,4,3944,2
502,4,3988,3
503,4,4001,2
504,4,4008,1
505,4,4013,1
506,4,4033,4
507,4,4098,1
508,4,4154,1
509,4,4156,1
510,4,4178,1
511,4,4184,2
512,4,4196,1
513,4,4210,1
514,4,4211,1
515,4,4212,2
516,4,4232,1
517,4,4235,1
518,4,4264,1
519,4,4286,1
520,4,4304,1
521,4,4325,1
522,4,4329,1
523,4,4390,1
524,4,4435,1
525,4,4454,1
526,4,4475,1
527,4,4493,1
528,4,4590,1
529,4,4614,1
530,4,4685,1
531,4,4804,1
532,4,4822,2
533,5,21,5
534,5,34,1
535,5,36,2
536,5,40,1
537,5,61,3
538,5,62,1
539,5,71,1
540,5,83,3
541,5,96,1
542,5,99,7
543,5,107,1
544,5,125,1
