,t1,t2,ct
0,1,4,12
1,1,8,1
2,1,9,2
3,1,12,17
4,1,14,2
5,1,15,2
6,1,16,3
7,1,20,1
8,1,21,23
9,1,22,3
10,1,23,4
11,1,24,2
12,1,25,3
13,1,26,1
14,1,29,4
15,1,31,1
16,1,32,1
17,1,33,2
18,1,34,1
19,1,36,2
20,1,38,6
21,1,42,1
22,1,43,1
23,1,46,3
24,1,47,2
25,1,50,1
26,1,51,10
27,1,52,3
28,1,54,2
29,1,56,6
30,1,59,1
31,1,62,5
32,1,63,1
33,1,64,1
34,1,65,3
35,1,73,1
36,1,86,1
37,1,87,2
38,1,89,1
39,1,90,1
40,1,91,1
41,1,93,6
42,1,96,1
43,1,97,1
44,1,99,1
45,1,100,1
46,1,101,3
47,1,105,1
48,1,116,2
49,1,123,1
50,1,125,1
51,1,128,1
52,1,129,1
53,1,135,1
54,1,136,2
55,1,137,1
56,1,138,1
57,1,139,14
58,1,145,2
59,1,150,1
60,1,162,1
61,1,167,1
62,1,170,1
63,1,192,1
64,1,193,1
65,1,199,2
66,1,206,2
67,1,211,1
68,1,223,1
69,2,3,1
70,2,4,4
71,2,5,12
72,2,6,2
73,2,8,1
74,2,12,4
75,2,15,2
76,2,19,4
77,2,20,1
78,2,21,4
79,2,25,1
80,2,31,5
81,2,34,2
82,2,36,2
83,2,39,2
84,2,45,1
85,2,48,8
86,2,49,1
87,2,51,2
88,2,52,1
89,2,66,2
90,2,67,2
91,2,71,1
92,2,83,1
93,2,85,2
94,2,87,1
95,2,90,2
96,2,96,3
97,2,105,3
98,2,108,1
99,2,121,1
100,2,124,1
101,2,139,1
102,2,142,3
103,2,145,5
104,2,147,1
105,2,148,2
106,2,177,1
107,2,182,2
108,2,189,1
109,2,193,1
110,2,226,1
111,3,7,5
112,3,9,1
113,3,20,1
114,3,24,1
115,3,39,1
116,3,53,2
117,3,54,1
118,3,62,1
119,3,66,1
120,3,70,1
121,3,84,2
122,3,89,5
123,3,90,3
124,3,96,1
125,3,101,2
126,3,106,1
127,3,117,1
128,3,133,1
129,3,151,1
