,t1,t2,ct
0,1,2,203
1,1,3,24
2,1,4,10
3,1,7,8
4,1,8,5
5,1,11,209
6,1,12,89
7,1,13,6
8,1,16,44
9,1,17,7
10,1,20,3
11,1,21,2
12,1,22,2
13,1,25,53
14,1,26,1
15,1,28,1
16,1,31,21
17,1,34,10
18,1,37,1
19,1,39,54
20,1,40,6
21,1,41,94
22,1,42,9
23,1,43,3
24,1,46,1
25,1,48,5
26,1,50,1
27,1,53,721
28,1,54,96
29,1,55,12
30,1,57,20
31,1,59,2
32,1,60,24
33,1,61,12
34,1,62,1
35,1,63,1
36,1,64,1
37,1,65,17
38,1,66,13
39,1,67,2
40,1,68,2
41,1,69,1
42,1,70,18
43,1,71,1
44,1,72,3
45,1,73,65
46,1,76,83
47,1,77,58
48,1,78,6
49,1,80,366
50,1,81,6
51,1,82,1
52,1,83,3
53,1,84,41
54,1,85,6
55,1,86,11
56,1,88,10
57,1,92,1
58,1,93,5
59,1,95,75
60,1,97,1
61,1,98,3
62,1,99,3
63,1,100,13
64,1,101,19
65,1,103,2
66,1,106,3
67,1,108,3
68,1,110,2
69,1,111,12
70,1,112,4
71,1,117,2
72,1,119,2
73,1,120,407
74,1,121,3
75,1,125,27
76,1,127,14
77,1,128,3
78,1,129,1
79,1,130,5
80,1,133,3
81,1,135,1
82,1,136,1
83,1,137,1
84,1,139,59
85,1,143,8
86,1,144,6
87,1,147,1
88,1,148,6
89,1,152,35
90,1,153,5
91,1,155,7
92,1,158,1
93,1,159,2
94,1,163,8
95,1,164,15
96,1,166,13
97,1,168,23
98,1,169,7
99,1,171,16
100,1,172,9
101,1,176,1
102,1,178,2
103,1,179,3
104,1,180,2
105,1,187,23
106,1,188,36
107,1,189,9
108,1,191,2
109,1,192,12
110,1,195,2
111,1,196,6
112,1,199,3
113,1,200,3
114,1,203,2
115,1,204,1
116,1,205,3
117,1,206,1
118,1,207,1
119,1,208,1
120,1,210,1
121,1,216,1
122,1,220,8
123,1,221,2
124,1,222,17
125,1,225,3
126,1,227,1
127,1,232,4
128,1,233,1
129,1,240,2
130,1,241,3
131,1,242,1
132,1,244,5
133,1,246,3
134,1,248,5
135,1,249,1
136,1,251,2
137,1,253,3
138,1,254,7
139,1,260,8
140,1,261,4
141,1,264,8
142,1,266,16
143,1,267,168
144,1,269,28
145,1,270,2
146,1,271,25
147,1,272,1
148,1,275,3
149,1,276,2
150,1,279,69
151,1,281,1
152,1,282,2
153,1,284,1
154,1,286,4
155,1,287,5
156,1,288,1
157,1,291,2
158,1,292,1
159,1,294,7
160,1,295,8
161,1,297,4
162,1,299,1
163,1,300,147
164,1,302,1
165,1,306,2
166,1,308,1
167,1,309,13
168,1,310,7
169,1,311,1
170,1,317,1
171,1,322,1
172,1,323,2
173,1,324,3
174,1,328,1
175,1,330,1
176,1,332,116
177,1,340,4
178,1,341,1
179,1,343,2
180,1,346,172
181,1,347,20
182,1,349,2
183,1,351,4
184,1,353,1
185,1,354,5
186,1,356,2
187,1,357,2
188,1,359,10
189,1,365,12
190,1,366,2
191,1,370,1
192,1,378,7
193,1,383,11
194,1,389,8
195,1,390,16
196,1,393,9
197,1,394,5
198,1,396,1
199,1,400,9
200,1,402,1
201,1,405,1
202,1,406,1
203,1,409,4
204,1,410,2
205,1,413,3
206,1,414,1
207,1,415,2
208,1,416,2
209,1,420,6
210,1,424,12
211,1,426,6
212,1,427,6
213,1,428,27
214,1,429,2
215,1,434,1
216,1,437,173
