,t1,t2,ct
0,1,2,54
1,1,3,8
2,1,4,37
3,1,5,6
4,1,6,8
5,1,7,2
6,1,8,2
7,1,9,30
8,1,10,12
9,1,11,12
10,1,12,3
11,1,13,20
12,1,14,1
13,1,16,8
14,1,18,1
15,1,19,1
16,1,21,9
17,1,22,5
18,1,23,44
19,1,24,14
20,1,25,4
21,1,26,2
22,1,27,1
23,1,29,2
24,1,30,16
25,1,31,17
26,1,33,2
27,1,34,1
28,1,35,1
29,1,36,58
30,1,37,19
31,1,39,1
32,1,40,10
33,1,41,1
34,1,42,2
35,1,45,1
36,1,47,12
37,1,50,126
38,1,51,21
39,1,52,4
40,1,53,2
41,1,54,4
42,1,55,2
43,1,56,4
44,1,59,1
45,1,61,2
46,1,62,46
47,1,63,2
48,1,64,6
49,1,65,12
50,1,66,3
51,1,68,8
52,1,73,1
53,1,74,1
54,1,75,9
55,1,76,8
56,1,77,2
57,1,79,13
58,1,80,4
59,1,82,5
60,1,83,2
61,1,84,16
62,1,85,9
63,1,86,8
64,1,87,2
65,1,89,12
66,1,90,4
67,1,92,12
68,1,93,3
69,1,94,6
70,1,95,2
71,1,98,1
72,1,99,3
73,1,100,6
74,1,104,2
75,1,106,37
76,1,107,15
77,1,109,3
78,1,110,9
79,1,111,1
80,1,114,11
81,1,124,1
82,1,126,1
83,1,127,3
84,1,128,9
85,1,131,1
86,1,132,5
87,1,133,3
88,1,136,8
89,1,138,2
90,1,140,1
91,1,141,3
92,1,143,1
93,1,145,8
94,1,146,2
95,1,147,3
96,1,148,1
97,1,150,1
98,1,151,2
99,1,152,10
100,1,155,7
101,1,156,6
102,1,157,1
103,1,160,1
104,1,161,1
105,1,164,2
106,1,165,5
107,1,166,7
108,1,169,6
109,1,170,2
110,1,171,1
111,1,174,7
112,1,175,2
113,1,178,1
114,1,179,3
115,1,181,5
116,1,184,1
117,1,185,6
118,1,186,2
119,1,187,1
120,1,188,5
121,1,190,3
122,1,192,3
123,1,193,1
124,1,200,4
125,1,203,3
126,1,204,6
127,1,209,1
128,1,210,2
129,1,211,1
130,1,212,1
131,1,215,1
132,1,224,4
133,1,225,3
134,1,227,1
135,1,229,5
136,1,233,1
137,1,237,8
138,1,238,1
139,1,239,5
140,1,240,1
141,1,243,1
142,1,247,1
143,1,250,3
144,1,258,1
145,1,260,1
146,1,262,1
147,1,264,7
148,1,272,1
149,1,276,2
150,1,282,1
151,1,290,1
152,1,293,2
153,1,300,6
154,2,3,1
155,2,4,91
156,2,5,24
157,2,6,2
158,2,8,1
159,2,9,10
160,2,11,1
161,2,12,25
162,2,13,7
163,2,14,15
164,2,15,2
165,2,16,1
166,2,18,22
167,2,19,2
168,2,20,1
169,2,21,1
170,2,22,6
171,2,23,8
172,2,24,7
173,2,25,2
174,2,26,7
175,2,27,1
176,2,29,7
177,2,30,9
178,2,31,5
179,2,32,17
180,2,33,1
181,2,35,10
182,2,36,12
183,2,37,3
184,2,39,1
185,2,40,7
186,2,41,3
187,2,42,2
188,2,45,9
189,2,46,4
190,2,47,11
191,2,48,2
192,2,49,4
193,2,50,35
194,2,51,9
195,2,52,2
196,2,53,1
197,2,55,3
198,2,59,2
199,2,62,7
200,2,63,1
201,2,64,2
202,2,65,1
203,2,67,1
204,2,68,2
205,2,69,5
206,2,72,6
207,2,73,2
208,2,74,2
209,2,75,2
210,2,76,13
211,2,77,1
212,2,78,2
213,2,79,6
214,2,80,5
215,2,81,1
216,2,82,5
217,2,84,3
218,2,85,6
219,2,86,2
220,2,87,1
221,2,89,2
222,2,90,3
223,2,92,3
224,2,93,2
225,2,94,2
226,2,96,1
227,2,98,2
228,2,100,3
229,2,101,1
230,2,104,3
231,2,105,2
232,2,106,10
233,2,107,1
234,2,108,2
235,2,109,6
236,2,110,3
237,2,111,12
238,2,114,6
239,2,115,3
240,2,117,2
241,2,119,6
242,2,120,2
243,2,121,1
244,2,122,3
245,2,127,3
246,2,128,3
247,2,130,2
248,2,132,2
249,2,133,1
250,2,135,3
251,2,136,3
252,2,137,2
253,2,142,1
254,2,143,4
255,2,145,1
256,2,147,2
257,2,148,3
258,2,152,1
259,2,156,1
260,2,157,2
261,2,162,1
262,2,165,2
263,2,166,3
264,2,167,1
265,2,169,1
266,2,170,1
267,2,172,1
268,2,174,3
269,2,178,1
270,2,180,1
271,2,181,4
272,2,183,1
273,2,184,1
274,2,187,2
275,2,190,1
276,2,192,3
277,2,196,4
278,2,197,1
279,2,201,3
280,2,203,4
281,2,206,1
282,2,207,1
283,2,208,1
284,2,209,7
285,2,210,6
286,2,214,3
287,2,215,1
288,2,216,3
289,2,217,4
290,2,218,4
291,2,219,2
292,2,221,1
293,2,224,1
294,2,227,3
295,2,229,2
296,2,232,1
297,2,233,2
298,2,234,1
299,2,235,1
300,2,238,3
301,2,240,1
302,2,241,1
303,2,244,1
304,2,250,1
305,2,251,2
306,2,257,2
307,2,259,6
308,2,262,1
309,2,266,1
310,2,267,2
311,2,269,1
312,2,282,1
313,2,283,1
314,2,286,2
315,2,290,5
316,2,293,1
317,2,295,2
318,2,297,1
319,2,300,3
320,3,13,1
321,3,18,1
322,3,21,1
323,3,22,2
324,3,31,1
325,3,33,1
326,3,40,4
327,3,41,1
328,3,42,1
329,3,54,1
330,3,66,2
331,3,94,1
332,3,100,1
333,3,113,1
334,3,120,1
335,3,137,1
336,3,148,1
337,3,154,1
338,3,203,1
339,3,237,1
340,3,240,1
341,3,256,1
342,3,276,3
343,3,287,6
344,4,5,57
345,4,8,1
346,4,9,43
347,4,10,12
348,4,11,5
349,4,12,93
350,4,13,24
351,4,14,54
352,4,15,16
353,4,16,7
354,4,18,42
355,4,19,6
356,4,20,3
357,4,21,2
358,4,22,8
359,4,23,3
360,4,24,1
361,4,25,1
362,4,26,25
363,4,27,8
364,4,29,3
365,4,30,5
366,4,31,23
367,4,32,43
368,4,33,1
369,4,34,2
370,4,35,33
371,4,36,100
372,4,37,18
373,4,40,8
374,4,41,34
375,4,42,1
376,4,45,31
377,4,46,18
378,4,47,7
379,4,48,19
380,4,49,4
381,4,50,2
382,4,51,3
383,4,52,1
384,4,53,3
385,4,54,3
386,4,55,3
387,4,58,5
388,4,59,11
389,4,60,3
390,4,61,1
391,4,62,2
392,4,63,2
393,4,64,1
394,4,65,1
395,4,68,1
396,4,69,19
397,4,70,1
398,4,71,1
399,4,72,32
400,4,73,2
401,4,74,4
402,4,75,1
403,4,76,10
404,4,78,10
405,4,79,21
406,4,80,3
407,4,85,2
408,4,87,4
409,4,88,1
410,4,89,2
411,4,93,6
412,4,94,1
413,4,95,1
414,4,98,4
415,4,100,3
416,4,101,1
417,4,103,1
418,4,104,5
419,4,105,3
420,4,106,6
421,4,107,1
422,4,108,10
423,4,109,38
424,4,111,34
425,4,112,1
426,4,113,3
427,4,114,1
428,4,115,13
429,4,116,3
430,4,117,6
431,4,118,1
432,4,119,16
433,4,120,7
434,4,121,1
435,4,122,11
436,4,123,1
437,4,125,1
438,4,127,4
439,4,128,1
440,4,130,1
441,4,135,5
442,4,136,6
443,4,137,7
444,4,139,1
445,4,140,1
446,4,143,8
447,4,146,1
448,4,147,1
449,4,148,2
450,4,149,1
451,4,152,4
452,4,153,5
453,4,154,1
454,4,155,2
455,4,157,2
456,4,158,1
457,4,159,1
458,4,161,1
459,4,162,8
460,4,165,1
461,4,166,1
462,4,180,5
463,4,181,1
464,4,182,1
465,4,184,2
466,4,185,1
467,4,186,1
468,4,187,1
469,4,188,1
470,4,192,1
471,4,193,2
472,4,194,1
473,4,196,7
474,4,197,6
475,4,198,2
476,4,199,1
477,4,200,2
478,4,203,11
479,4,210,5
480,4,214,3
