,t1,t2,ct
0,1,2,27
1,1,4,1
2,1,5,11
3,1,6,4
4,1,7,1
5,1,8,32
6,1,9,35
7,1,11,3
8,1,12,3
9,1,13,4
10,1,14,2
11,1,16,85
12,1,17,28
13,1,18,25
14,1,19,1
15,1,20,100
16,1,21,20
17,1,22,2
18,1,23,28
19,1,24,43
20,1,28,1
21,1,32,8
22,1,33,4
23,1,34,4
24,1,36,20
25,1,37,8
26,1,38,30
27,1,39,7
28,1,42,5
29,1,44,6
30,1,45,15
31,1,46,2
32,1,47,3
33,1,48,11
34,1,49,3
35,1,56,2
36,1,57,1
37,1,61,4
38,1,62,27
39,1,63,4
40,1,66,1
41,1,68,1
42,1,70,2
43,1,71,10
44,1,72,2
45,1,73,2
46,1,74,1
47,1,77,1
48,1,79,3
49,1,80,10
50,1,81,4
51,1,82,4
52,1,83,8
53,1,87,9
54,1,91,24
55,1,92,1
56,1,94,12
57,1,99,7
58,1,100,3
59,1,101,15
60,1,102,4
61,1,103,1
62,1,104,3
63,1,111,1
64,1,112,9
65,1,113,2
66,1,114,5
67,1,120,3
68,1,121,1
69,1,122,10
70,1,123,3
71,1,124,2
72,1,125,1
73,1,126,1
74,1,128,5
75,1,129,4
76,1,131,3
77,1,132,8
78,1,133,1
79,1,135,1
80,1,138,9
81,1,139,2
82,1,141,2
83,1,142,16
84,1,143,2
85,1,145,1
86,1,146,1
87,1,147,3
88,1,149,3
89,1,150,1
90,1,153,11
91,1,155,5
92,1,158,11
93,1,159,1
94,1,160,1
95,1,162,1
96,1,163,2
97,1,165,12
98,1,166,3
99,1,169,4
100,1,170,1
101,1,171,1
102,1,172,3
103,1,173,2
104,1,174,1
105,1,175,7
106,1,177,1
107,1,179,2
108,1,181,1
109,1,183,3
110,1,189,2
111,1,191,1
112,1,195,1
113,1,196,3
114,1,197,2
115,1,198,1
116,1,200,3
117,1,203,3
118,1,204,7
119,1,207,1
120,1,208,1
121,1,210,3
122,1,211,1
123,1,216,2
124,1,217,2
125,1,219,2
126,1,221,1
127,1,222,4
128,1,226,3
129,1,229,5
130,1,230,2
131,1,232,1
132,1,233,15
133,1,234,2
134,1,236,2
135,1,237,1
136,1,238,3
137,1,239,1
138,1,241,1
139,1,242,1
140,1,244,3
141,1,247,4
142,1,248,1
143,1,250,1
144,1,251,1
145,1,253,2
146,1,257,5
147,1,259,1
148,1,260,3
149,1,264,1
150,1,265,1
151,1,266,4
152,1,271,5
153,1,272,1
154,1,273,3
155,1,274,3
156,1,275,1
157,1,276,6
158,1,278,1
159,1,279,6
160,1,281,1
161,1,282,2
162,1,286,5
163,1,288,2
164,1,290,2
165,1,292,2
166,1,293,2
167,1,294,2
168,1,295,5
169,1,298,1
170,1,300,1
171,1,301,6
172,1,302,4
173,1,303,2
174,1,304,1
175,1,305,2
176,1,306,4
177,1,308,3
178,1,312,4
179,1,314,1
180,1,318,2
181,1,319,3
182,1,320,2
183,1,321,1
184,1,324,1
185,1,329,2
186,1,331,2
187,1,334,2
188,1,336,5
189,1,343,7
190,1,345,2
191,1,346,1
192,1,347,1
193,1,349,5
194,1,350,2
195,1,358,4
196,1,360,2
197,1,363,4
198,1,366,2
199,1,368,1
200,1,372,1
201,1,373,5
202,1,388,1
203,1,390,1
204,1,391,3
205,1,392,2
206,1,398,1
207,1,402,3
208,1,404,1
209,1,412,1
210,1,415,1
211,1,416,4
212,1,418,1
213,1,426,1
214,1,427,1
215,1,428,1
216,1,431,1
217,1,435,1
218,1,438,2
219,1,440,1
220,1,442,4
221,1,444,2
222,1,445,2
223,1,448,1
224,1,449,1
225,1,450,1
226,1,451,1
227,1,456,2
228,1,458,1
229,1,459,1
230,1,461,1
231,1,466,1
232,1,468,1
233,1,477,2
234,1,478,3
235,1,479,3
236,1,485,2
237,1,493,2
238,1,497,1
239,1,502,1
240,1,504,1
241,1,507,1
242,1,510,1
243,1,513,1
244,1,519,1
245,1,521,1
246,1,527,1
247,1,529,1
248,1,531,1
249,1,533,6
250,1,538,3
251,1,539,1
252,1,545,1
253,1,546,1
254,1,551,1
255,1,552,1
256,1,553,1
257,1,555,2
258,1,558,2
259,1,569,1
260,1,570,1
261,1,573,1
262,1,576,7
263,1,578,6
264,1,591,2
265,1,614,1
266,1,625,1
267,1,628,1
268,1,662,1
269,1,667,1
270,1,676,1
271,1,680,1
272,1,681,1
273,1,691,1
274,2,4,1
275,2,5,5
276,2,6,8
277,2,7,2
278,2,9,1
279,2,11,1
280,2,13,2
281,2,16,35
282,2,17,4
283,2,18,35
284,2,20,11
285,2,21,1
286,2,23,3
287,2,24,2
288,2,32,2
289,2,36,9
290,2,38,23
291,2,39,6
292,2,42,1
293,2,44,1
294,2,45,9
295,2,46,1
296,2,48,7
297,2,61,1
298,2,62,7
299,2,63,1
300,2,64,1
301,2,65,1
302,2,67,1
303,2,70,18
304,2,71,10
305,2,72,1
306,2,73,4
307,2,80,7
308,2,81,4
309,2,83,5
310,2,86,3
311,2,87,3
312,2,89,2
313,2,91,15
314,2,92,2
315,2,94,15
316,2,99,1
317,2,100,5
318,2,101,10
319,2,102,1
320,2,112,9
321,2,115,1
322,2,123,1
323,2,124,1
324,2,128,2
325,2,133,2
326,2,141,2
327,2,142,2
328,2,144,2
329,2,145,1
330,2,146,1
331,2,150,1
332,2,153,4
333,2,155,2
334,2,158,5
335,2,166,1
336,2,169,1
337,2,171,1
338,2,173,1
