,t1,t2,ct
0,1,2,24
1,1,3,22
2,1,4,9
3,1,5,55
4,1,6,48
5,1,7,34
6,1,8,1
7,1,9,16
8,1,10,4
9,1,11,11
10,1,12,1
11,1,13,4
12,1,14,10
13,1,15,3
14,1,16,1
15,1,17,14
16,1,18,1
17,1,19,15
18,1,20,3
19,1,21,6
20,1,22,11
21,1,24,11
22,1,25,2
23,1,26,8
24,1,27,2
25,1,28,18
26,1,29,10
27,1,30,38
28,1,31,16
29,1,32,19
30,1,33,4
31,1,34,1
32,1,35,7
33,1,37,3
34,1,39,7
35,1,40,11
36,1,41,15
37,1,42,4
38,1,43,4
39,1,44,16
40,1,47,9
41,1,48,7
42,1,49,1
43,1,50,2
44,1,51,2
45,1,52,3
46,1,53,3
47,1,55,23
48,1,56,1
49,1,57,11
50,1,58,2
51,1,59,5
52,1,60,24
53,1,61,1
54,1,65,5
55,1,67,3
56,1,70,14
57,1,71,1
58,1,73,16
59,1,74,2
60,1,76,8
61,1,77,2
62,1,78,2
63,1,80,2
64,1,81,2
65,1,82,8
66,1,83,21
67,1,84,3
68,1,85,1
69,1,86,13
70,1,87,2
71,1,89,1
72,1,91,3
73,1,92,5
74,1,93,6
75,1,95,16
76,1,96,3
77,1,97,2
78,1,99,1
79,1,100,3
80,1,101,4
81,1,102,1
82,1,103,2
83,1,105,1
84,1,106,3
85,1,107,2
86,1,108,9
87,1,109,2
88,1,110,9
89,1,111,1
90,1,112,2
91,1,113,3
92,1,114,2
93,1,115,1
94,1,116,2
95,1,117,4
96,1,118,4
97,1,119,1
98,1,120,3
99,1,123,1
100,1,124,1
101,1,125,1
102,1,126,3
103,1,127,1
104,1,128,2
105,1,129,5
106,1,131,1
107,1,134,1
108,1,135,1
109,1,140,5
110,1,141,4
111,1,142,2
112,1,145,8
113,1,146,3
114,1,147,2
115,1,148,4
116,1,150,4
117,1,151,1
118,1,152,3
119,1,153,1
120,1,154,1
121,1,157,2
122,1,158,4
123,1,161,4
124,1,162,4
125,1,165,7
126,1,166,4
127,1,167,6
128,1,168,6
129,1,172,1
130,1,175,4
131,1,176,1
132,1,177,8
133,1,178,8
134,1,181,2
135,1,183,3
136,1,184,3
137,1,185,3
138,1,189,1
139,1,191,1
140,1,192,1
141,1,193,5
142,1,195,3
143,1,196,2
144,1,198,1
145,1,199,2
146,1,201,2
147,1,202,1
148,1,203,6
149,1,204,1
150,1,210,1
151,1,212,6
152,1,213,2
153,1,217,1
154,1,219,4
155,1,220,1
156,1,223,4
157,1,224,1
158,1,225,2
159,1,228,5
160,1,230,1
161,1,231,1
162,1,233,1
163,1,234,3
164,1,235,7
165,1,238,2
166,1,239,5
167,1,242,4
168,1,243,2
169,1,245,1
170,1,246,1
171,1,248,3
172,1,249,1
173,1,251,3
174,1,252,3
175,1,253,2
176,1,254,3
177,1,255,3
178,1,256,1
179,1,258,1
180,1,261,1
181,1,262,1
182,1,263,3
183,1,266,2
184,1,268,1
185,1,271,1
186,1,272,2
187,1,273,5
188,1,274,1
189,1,275,1
190,1,276,1
191,1,277,1
192,1,278,17
193,1,280,4
194,1,283,1
195,1,286,2
196,1,288,4
197,1,289,1
198,1,291,1
199,1,298,1
200,1,300,1
201,1,301,1
202,1,302,1
203,1,304,2
204,1,306,1
205,1,307,2
206,1,309,1
207,1,310,3
208,1,313,3
209,1,316,1
210,1,317,2
211,1,321,1
212,1,322,1
213,1,323,1
214,1,324,2
215,1,325,1
216,1,326,1
217,1,328,4
218,1,329,1
219,1,330,1
220,1,331,2
221,1,332,1
222,1,333,2
223,1,337,2
224,1,338,1
225,1,339,1
226,1,341,1
227,1,345,1
228,1,346,1
229,1,354,1
230,1,359,1
231,1,364,1
232,1,368,1
233,1,373,1
234,1,378,1
235,1,383,1
236,1,389,1
237,1,404,1
238,1,417,1
239,2,3,3
240,2,4,2
241,2,5,22
242,2,6,4
243,2,7,21
244,2,9,1
245,2,10,4
246,2,11,4
247,2,17,8
248,2,19,1
249,2,21,5
250,2,22,7
251,2,23,1
252,2,24,2
253,2,25,1
254,2,26,11
255,2,28,3
256,2,29,2
257,2,30,2
258,2,31,2
259,2,32,7
260,2,35,2
261,2,36,2
262,2,37,3
263,2,38,1
264,2,39,3
265,2,40,3
266,2,41,16
267,2,42,2
268,2,43,1
269,2,44,8
270,2,45,5
271,2,46,5
272,2,48,2
273,2,49,4
274,2,52,5
275,2,55,4
276,2,60,11
277,2,61,1
278,2,63,1
279,2,65,5
280,2,68,9
281,2,70,1
282,2,73,5
283,2,74,7
284,2,75,1
285,2,76,19
286,2,78,1
287,2,79,1
288,2,81,1
289,2,83,5
290,2,86,1
291,2,90,1
292,2,95,1
293,2,100,1
294,2,101,1
295,2,105,1
296,2,106,1
297,2,113,1
298,2,116,1
299,2,117,8
300,2,123,2
301,2,127,3
302,2,128,3
303,2,131,1
304,2,132,1
305,2,134,1
306,2,140,2
307,2,141,2
308,2,145,2
309,2,148,1
310,2,149,5
311,2,151,1
312,2,152,5
313,2,158,1
314,2,159,1
315,2,160,2
316,2,161,1
317,2,165,5
318,2,167,7
319,2,175,5
320,2,176,1
321,2,177,1
322,2,178,10
323,2,183,1
324,2,185,1
325,2,186,10
326,2,189,2
327,2,191,1
328,2,193,4
329,2,195,1
330,2,197,1
331,2,202,3
332,2,204,1
333,2,205,6
334,2,206,1
335,2,208,2
336,2,209,6
337,2,210,3
338,2,212,3
339,2,213,2
340,2,214,1
341,2,216,10
342,2,220,1
343,2,224,2
344,2,225,3
345,2,234,2
346,2,235,2
347,2,240,3
348,2,245,3
349,2,246,1
350,2,260,1
351,2,264,2
352,2,268,1
353,2,269,6
354,2,272,1
355,2,274,1
356,2,276,1
357,2,277,1
358,2,278,2
359,2,279,1
360,2,289,3
361,2,291,4
362,2,301,1
363,2,304,1
364,2,308,1
365,2,313,1
366,2,314,1
367,2,340,1
368,2,342,1
369,2,351,1
370,2,355,1
371,2,386,1
372,3,4,4
373,3,5,34
374,3,6,26
375,3,7,4
376,3,10,3
377,3,11,2
378,3,13,2
379,3,14,2
380,3,15,2
381,3,17,1
382,3,19,7
383,3,21,3
384,3,22,11
385,3,26,4
386,3,28,4
387,3,31,5
388,3,34,1
389,3,35,2
390,3,37,1
391,3,40,1
392,3,47,4
393,3,52,3
394,3,53,1
395,3,55,3
396,3,56,1
397,3,57,3
398,3,59,2
399,3,60,10
400,3,64,2
401,3,67,1
402,3,70,4
403,3,73,12
404,3,75,1
405,3,76,1
406,3,77,1
407,3,78,1
408,3,82,2
409,3,83,6
410,3,84,1
411,3,85,1
412,3,86,2
413,3,91,2
414,3,92,3
415,3,93,2
416,3,95,1
417,3,100,2
418,3,101,1
419,3,102,3
420,3,103,1
421,3,106,5
422,3,107,1
423,3,108,3
424,3,117,2
425,3,134,1
426,3,140,4
427,3,141,1
428,3,142,3
429,3,143,2
430,3,144,1
431,3,145,2
432,3,146,1
433,3,147,1
434,3,150,1
435,3,151,3
436,3,152,2
437,3,157,2
438,3,159,2
439,3,161,4
440,3,165,2
441,3,178,3
442,3,182,1
443,3,187,1
444,3,191,1
445,3,195,2
446,3,204,1
447,3,212,3
448,3,213,2
449,3,219,2
450,3,234,1
451,3,235,1
452,3,238,1
453,3,241,1
454,3,244,1
455,3,249,1
456,3,253,1
457,3,257,1
458,3,258,2
459,3,265,2
460,3,266,1
461,3,272,2
462,3,273,2
463,3,278,10
464,3,280,1
465,3,286,1
466,3,295,1
467,3,309,2
468,3,312,1
469,3,317,2
470,3,318,2
471,3,319,1
472,3,321,3
473,3,331,1
474,3,335,1
475,3,338,1
476,3,358,1
477,3,360,1
478,3,363,1
479,3,367,2
480,3,369,1
481,3,378,2
482,3,383,2
483,4,5,2
484,4,6,3
485,4,7,3
486,4,9,1
487,4,11,1
488,4,14,1
489,4,21,1
490,4,22,1
491,4,24,1
492,4,26,2
493,4,30,2
494,4,32,1
495,4,36,1
496,4,40,1
497,4,41,1
498,4,44,1
499,4,47,1
500,4,57,1
501,4,60,2
502,4,65,3
503,4,73,1
504,4,83,3
505,4,86,2
506,4,89,1
507,4,95,1
508,4,102,1
509,4,110,1
510,4,117,2
511,4,146,1
512,4,148,1
513,4,158,1
514,4,167,3
515,4,168,1
516,4,177,2
517,4,186,1
518,4,209,1
519,4,213,1
520,4,217,1
521,4,228,2
522,4,243,1
523,4,256,1
524,4,257,1
525,4,262,1
526,4,269,2
527,4,273,1
528,4,278,1
529,4,288,1
530,4,304,1
531,4,310,1
532,4,312,1
533,4,322,1
534,4,328,1
535,4,360,1
536,5,6,123
537,5,7,32
538,5,9,4
539,5,10,9
540,5,11,25
541,5,12,1
542,5,13,1
543,5,14,6
544,5,17,8
545,5,19,15
546,5,21,2
547,5,22,28
548,5,23,6
549,5,24,4
550,5,26,8
551,5,28,7
552,5,29,6
553,5,30,11
554,5,31,30
555,5,32,4
556,5,33,5
557,5,35,17
558,5,36,3
559,5,37,11
560,5,40,1
561,5,41,6
562,5,42,1
563,5,43,2
564,5,44,10
565,5,45,1
566,5,47,19
567,5,48,13
568,5,49,12
569,5,52,5
570,5,55,8
571,5,57,8
572,5,58,2
573,5,59,3
574,5,60,24
575,5,64,3
576,5,65,2
577,5,66,1
578,5,67,2
579,5,70,14
580,5,71,1
581,5,73,15
582,5,74,5
583,5,76,4
584,5,77,7
585,5,78,2
586,5,79,7
587,5,82,3
588,5,83,6
589,5,84,2
590,5,86,5
591,5,89,1
592,5,91,4
593,5,92,4
594,5,93,4
595,5,95,1
596,5,100,2
597,5,101,5
598,5,103,2
599,5,106,6
600,5,107,7
601,5,108,7
602,5,110,4
603,5,112,1
604,5,114,1
605,5,117,6
606,5,119,6
607,5,120,8
608,5,126,1
609,5,130,1
610,5,131,3
611,5,133,1
612,5,134,3
613,5,136,1
614,5,137,2
615,5,140,12
616,5,141,3
617,5,143,1
618,5,145,20
619,5,146,6
620,5,148,2
621,5,150,9
622,5,151,23
623,5,152,15
624,5,153,1
625,5,157,3
626,5,158,9
627,5,159,3
628,5,160,1
629,5,161,3
630,5,162,1
631,5,165,58
632,5,166,1
633,5,167,6
634,5,168,4
635,5,172,1
636,5,173,1
637,5,175,1
638,5,176,1
639,5,177,7
640,5,178,5
641,5,180,2
642,5,182,2
643,5,183,3
644,5,184,1
645,5,189,1
646,5,193,6
647,5,195,1
648,5,197,1
649,5,201,1
650,5,202,1
651,5,205,1
652,5,206,1
653,5,209,1
654,5,211,6
655,5,212,14
656,5,213,6
657,5,217,8
658,5,218,1
659,5,219,1
660,5,220,9
661,5,222,2
662,5,223,10
663,5,224,4
664,5,225,1
665,5,228,3
666,5,229,1
667,5,231,1
668,5,233,3
669,5,234,1
670,5,235,4
671,5,236,1
672,5,238,1
673,5,239,1
674,5,240,1
675,5,241,3
676,5,242,1
677,5,245,1
678,5,248,1
679,5,250,1
680,5,251,2
681,5,253,5
682,5,254,4
683,5,257,2
684,5,258,3
685,5,261,2
686,5,271,1
687,5,272,3
688,5,273,6
689,5,276,2
690,5,278,19
691,5,280,6
692,5,282,1
693,5,288,7
694,5,291,2
695,5,292,1
696,5,294,2
697,5,295,1
698,5,297,1
699,5,301,1
700,5,304,1
701,5,309,1
702,5,310,3
703,5,317,2
704,5,320,1
705,5,321,2
706,5,326,3
707,5,328,3
708,5,329,1
709,5,334,2
710,5,338,1
711,5,341,1
712,5,343,4
713,5,344,2
714,5,346,5
715,5,351,2
716,5,354,2
717,5,356,2
718,5,357,1
719,5,358,4
720,5,362,1
721,5,363,1
722,5,367,2
723,5,368,1
724,5,369,2
725,5,370,3
726,5,375,1
727,5,378,1
728,5,380,1
729,5,382,5
730,5,383,3
731,5,388,1
732,5,389,2
733,5,390,1
734,5,397,1
735,5,400,1
736,5,404,1
737,5,407,1
738,6,7,31
739,6,9,2
740,6,10,15
741,6,11,18
742,6,12,4
743,6,14,17
744,6,17,2
745,6,19,3
746,6,21,2
747,6,22,17
748,6,23,3
749,6,24,6
750,6,26,3
751,6,28,9
752,6,29,4
753,6,30,4
754,6,31,10
755,6,32,1
756,6,33,5
757,6,35,6
758,6,37,1
759,6,39,1
760,6,40,6
761,6,41,3
762,6,42,4
763,6,43,2
764,6,44,8
765,6,45,2
766,6,47,13
767,6,48,15
768,6,49,1
769,6,52,1
770,6,55,6
771,6,57,19
772,6,58,2
773,6,59,1
774,6,60,16
775,6,65,5
776,6,66,2
777,6,67,6
778,6,68,1
779,6,70,8
780,6,71,1
781,6,73,14
782,6,76,2
783,6,77,4
784,6,78,1
785,6,79,60
786,6,82,1
787,6,83,5
788,6,86,5
789,6,89,1
790,6,90,2
791,6,92,3
792,6,93,4
793,6,95,3
794,6,101,6
795,6,103,2
796,6,105,1
797,6,106,2
798,6,107,4
799,6,108,5
800,6,110,2
801,6,111,1
802,6,114,2
803,6,116,1
804,6,117,2
805,6,119,14
806,6,120,9
807,6,121,2
808,6,122,3
809,6,125,1
810,6,126,2
811,6,129,1
812,6,130,2
813,6,131,2
814,6,134,4
815,6,137,2
816,6,140,14
817,6,141,3
818,6,143,1
819,6,145,3
820,6,146,4
821,6,150,5
822,6,151,12
823,6,152,6
824,6,153,1
825,6,157,1
826,6,158,7
827,6,159,3
828,6,161,3
829,6,162,1
830,6,165,33
831,6,168,2
832,6,171,3
833,6,173,1
834,6,177,1
835,6,178,1
836,6,180,5
837,6,182,1
838,6,183,4
839,6,184,1
840,6,191,2
841,6,193,4
842,6,195,24
843,6,199,5
844,6,203,1
845,6,211,1
846,6,212,3
847,6,217,1
848,6,218,1
849,6,219,34
850,6,220,4
851,6,222,13
852,6,223,3
853,6,224,2
854,6,225,1
855,6,228,2
856,6,231,18
857,6,232,1
858,6,233,1
859,6,234,2
860,6,235,10
861,6,238,1
862,6,241,1
863,6,242,1
864,6,247,1
865,6,248,2
866,6,250,1
867,6,251,1
868,6,253,3
869,6,258,3
870,6,261,1
871,6,271,1
872,6,272,1
873,6,273,3
874,6,275,1
875,6,276,1
876,6,277,2
877,6,278,11
878,6,280,1
879,6,282,1
880,6,288,9
881,6,291,1
882,6,294,1
883,6,295,1
884,6,300,1
885,6,309,14
886,6,310,6
887,6,317,3
888,6,323,1
889,6,324,4
890,6,326,1
891,6,327,2
892,6,328,1
893,6,329,4
894,6,331,1
895,6,333,1
896,6,341,1
897,6,342,1
898,6,343,1
899,6,344,1
900,6,346,6
901,6,349,6
902,6,350,1
903,6,353,1
904,6,354,2
905,6,357,1
906,6,358,1
907,6,360,9
908,6,364,1
909,6,369,3
910,6,372,8
911,6,373,1
912,6,374,1
913,6,377,4
914,6,379,2
915,6,380,1
916,6,382,9
917,6,383,1
918,6,389,1
919,6,390,1
