,t1,t2,ct
0,1,2,36
1,1,3,21
2,1,4,28
3,1,5,2
4,1,6,5
5,1,7,94
6,1,8,10
7,1,9,12
8,1,10,21
9,1,11,12
10,1,12,1
11,1,15,40
12,1,16,1
13,1,17,4
14,1,18,13
15,1,19,30
16,1,20,5
17,1,21,3
18,1,22,52
19,1,23,1
20,1,24,1
21,1,25,1
22,1,26,21
23,1,27,27
24,1,28,3
25,1,29,1
26,1,31,14
27,1,32,5
28,1,34,2
29,1,35,1
30,1,36,69
31,1,37,6
32,1,39,2
33,1,41,47
34,1,42,5
35,1,43,15
36,1,44,27
37,1,45,6
38,1,47,3
39,1,48,2
40,1,50,15
41,1,54,1
42,1,56,9
43,1,57,1
44,1,59,52
45,1,60,1
46,1,61,12
47,1,63,1
48,1,65,1
49,1,67,1
50,1,68,1
51,1,70,3
52,1,71,3
53,1,72,2
54,1,73,12
55,1,77,10
56,1,78,2
57,1,79,1
58,1,80,8
59,1,81,1
60,1,83,3
61,1,84,15
62,1,85,1
63,1,89,1
64,1,91,7
65,1,92,2
66,1,93,2
67,1,94,1
68,1,95,1
69,1,97,25
70,1,98,11
71,1,99,1
72,1,101,1
73,1,106,7
74,1,107,26
75,1,108,4
76,1,109,1
77,1,112,12
78,1,113,2
79,1,114,1
80,1,115,3
81,1,116,3
82,1,117,4
83,1,118,3
84,1,120,2
85,1,121,1
86,1,123,3
87,1,124,1
88,1,126,5
89,1,128,1
90,1,132,1
91,1,134,3
92,1,137,2
93,1,141,1
94,1,142,2
95,1,143,1
96,1,144,2
97,1,145,2
98,1,146,2
99,2,3,3
100,2,4,4
101,2,7,36
102,2,8,6
103,2,9,1
104,2,10,3
105,2,11,2
106,2,15,24
107,2,16,3
108,2,17,2
109,2,18,2
110,2,19,9
111,2,20,1
112,2,21,3
113,2,22,15
114,2,23,1
115,2,24,1
116,2,25,3
117,2,26,5
118,2,27,6
119,2,31,2
120,2,32,2
121,2,33,2
122,2,36,1
123,2,40,2
124,2,41,2
125,2,42,5
126,2,43,2
127,2,45,1
128,2,47,2
129,2,50,2
130,2,51,1
131,2,57,1
132,2,63,5
133,2,65,1
134,2,66,2
135,2,67,1
136,2,68,1
137,2,70,2
138,2,73,13
139,2,74,1
140,2,77,1
141,2,79,3
142,2,80,6
143,2,84,3
144,2,90,2
145,2,92,1
146,2,93,3
147,2,97,2
148,2,98,2
149,2,100,1
150,2,106,2
151,2,107,4
152,2,109,4
153,2,113,2
154,2,114,2
155,2,115,1
156,2,118,1
157,2,120,4
158,2,123,1
159,2,124,1
160,2,125,1
161,2,126,1
162,2,130,1
163,2,134,1
164,2,135,1
165,2,141,1
166,3,4,4
167,3,6,1
168,3,7,3
169,3,9,1
170,3,15,6
171,3,19,1
172,3,22,8
173,3,25,1
174,3,26,3
175,3,27,1
176,3,28,2
177,3,31,1
178,3,32,8
179,3,33,1
180,3,45,1
181,3,48,1
182,3,58,1
183,3,73,1
184,3,74,2
185,3,79,1
186,3,85,3
187,3,92,1
188,3,93,1
189,3,97,12
190,3,102,1
191,3,107,7
192,3,109,1
193,3,112,1
194,3,116,1
195,3,121,2
196,3,123,1
197,4,5,1
198,4,6,2
199,4,7,3
200,4,8,1
201,4,9,1
202,4,15,1
203,4,19,3
204,4,22,3
205,4,26,1
206,4,27,1
207,4,31,1
208,4,36,6
209,4,39,1
210,4,41,1
211,4,43,3
212,4,44,1
213,4,50,1
214,4,52,1
215,4,59,5
216,4,61,1
217,4,73,1
218,4,83,1
219,4,84,3
220,4,98,1
221,4,106,1
222,4,123,1
223,5,6,1
224,5,15,1
225,5,25,1
226,5,26,1
227,5,36,1
228,5,55,1
229,5,73,1
230,5,92,1
231,6,7,1
232,6,43,1
233,6,59,1
234,6,92,1
235,7,9,4
236,7,10,3
237,7,11,1
238,7,13,1
239,7,15,7
240,7,17,2
241,7,18,7
242,7,19,6
243,7,21,2
