,t1,t2,ct
0,1,2,7
1,1,3,2
2,1,4,22
3,1,5,5
4,1,7,3
5,1,10,1
6,1,11,2
7,1,13,16
8,1,14,12
9,1,15,1
10,1,16,2
11,1,19,1
12,1,20,3
13,1,22,32
14,1,23,26
15,1,24,4
16,1,26,3
17,1,27,10
18,1,28,1
19,1,32,12
20,1,33,9
21,1,34,4
22,1,35,1
23,1,36,2
24,1,38,11
25,1,40,36
26,1,41,3
27,1,43,2
28,1,44,4
29,1,46,2
30,1,47,1
31,1,48,2
32,1,49,1
33,1,50,1
34,1,52,7
35,1,53,1
36,1,54,2
37,1,55,7
38,1,57,4
39,1,58,3
40,1,60,2
41,1,61,1
42,1,62,8
43,1,63,2
44,1,69,1
45,1,71,4
46,1,73,7
47,1,74,1
48,1,77,2
49,1,78,1
50,1,79,12
51,1,82,1
52,1,83,3
53,1,84,1
54,1,85,2
55,1,86,2
56,1,89,4
57,1,94,1
58,1,96,1
59,1,98,2
60,1,99,5
61,1,105,4
62,1,107,5
63,1,109,2
64,1,113,3
65,1,116,24
66,1,117,4
67,1,119,3
68,1,120,1
69,1,122,3
70,1,123,3
71,1,125,2
72,1,127,3
73,1,132,1
74,1,141,2
75,1,144,1
76,1,145,2
77,1,147,1
78,1,148,3
79,1,151,1
80,1,152,1
81,1,155,1
82,1,157,1
83,1,158,1
84,1,160,1
85,1,161,2
86,1,163,1
87,1,164,1
88,1,165,2
89,1,168,1
90,1,172,3
91,1,174,2
92,1,176,1
93,1,181,6
94,1,182,2
95,1,183,2
96,1,185,1
97,1,186,1
98,1,188,1
99,1,189,4
100,1,193,1
101,1,194,1
102,1,195,2
103,1,196,1
104,1,201,2
105,1,202,1
106,1,203,1
107,1,204,1
108,1,206,1
109,1,210,7
110,1,211,1
111,1,213,2
112,1,216,1
113,1,217,1
114,1,222,1
115,1,227,2
116,1,228,1
117,1,230,2
118,1,235,41
119,1,239,2
120,1,240,1
121,1,247,1
122,1,277,1
123,2,3,3
124,2,4,28
125,2,5,5
126,2,6,2
127,2,10,1
128,2,13,3
129,2,14,2
130,2,19,1
131,2,20,1
132,2,22,19
133,2,23,6
134,2,26,2
135,2,27,20
136,2,32,1
137,2,34,1
138,2,35,4
139,2,37,3
140,2,38,5
141,2,40,9
142,2,43,1
143,2,45,2
144,2,46,1
145,2,48,2
146,2,50,8
147,2,51,2
148,2,52,17
149,2,55,5
150,2,57,2
151,2,60,1
152,2,62,6
153,2,63,1
154,2,68,1
155,2,71,2
156,2,72,2
157,2,73,2
158,2,74,2
159,2,77,1
160,2,79,7
161,2,86,2
162,2,91,1
163,2,98,1
164,2,99,5
165,2,105,1
166,2,109,1
167,2,110,1
168,2,112,2
169,2,116,3
170,2,117,1
171,2,119,4
172,2,127,1
173,2,137,1
174,2,144,2
175,2,149,1
176,2,156,1
177,2,158,1
178,2,159,2
179,2,164,1
180,2,165,3
181,2,167,2
182,2,172,2
183,2,181,1
184,2,186,2
185,2,205,1
186,2,215,1
187,2,217,2
188,2,222,2
189,2,223,1
190,2,227,2
191,2,228,1
192,2,235,4
193,2,240,1
194,2,246,1
195,2,261,4
196,3,4,5
197,3,5,2
198,3,6,3
199,3,11,1
200,3,12,1
201,3,13,1
202,3,14,1
203,3,16,1
204,3,19,11
205,3,20,1
206,3,22,7
207,3,23,6
208,3,26,2
209,3,27,5
210,3,32,1
211,3,33,9
212,3,34,1
213,3,36,2
214,3,37,3
215,3,38,1
216,3,40,20
217,3,44,1
218,3,47,1
219,3,52,3
220,3,55,1
221,3,62,3
222,3,63,1
223,3,69,1
224,3,71,1
225,3,72,1
226,3,73,1
227,3,77,2
228,3,78,4
229,3,79,3
230,3,80,1
231,3,82,1
232,3,86,3
233,3,93,2
234,3,94,4
235,3,95,3
236,3,97,4
237,3,99,1
238,3,100,1
239,3,101,1
240,3,104,1
241,3,105,1
242,3,108,1
243,3,109,2
244,3,111,1
245,3,116,8
246,3,119,1
247,3,126,2
248,3,140,1
249,3,145,1
250,3,154,1
251,3,157,1
252,3,165,1
253,3,169,1
254,3,180,1
255,3,189,3
256,3,213,1
257,3,237,1
258,4,5,7
259,4,6,2
260,4,7,2
261,4,8,1
262,4,9,1
263,4,10,6
264,4,13,9
265,4,14,7
266,4,19,4
267,4,20,1
268,4,22,45
269,4,23,24
270,4,24,1
271,4,26,2
272,4,27,33
273,4,32,2
274,4,33,4
275,4,34,5
276,4,35,10
277,4,36,2
278,4,37,2
279,4,38,17
280,4,40,33
281,4,44,1
282,4,45,2
283,4,46,4
284,4,48,3
285,4,50,38
286,4,51,2
287,4,52,20
288,4,54,4
289,4,55,29
290,4,56,1
291,4,57,6
292,4,58,1
293,4,60,1
294,4,61,1
295,4,62,17
296,4,63,2
297,4,66,1
298,4,68,1
299,4,69,4
300,4,71,5
301,4,72,9
302,4,73,2
303,4,74,2
304,4,77,2
305,4,79,27
306,4,80,1
307,4,81,1
308,4,82,3
309,4,83,2
310,4,84,3
311,4,85,4
312,4,86,3
313,4,89,1
314,4,91,4
315,4,97,2
316,4,98,2
317,4,99,5
318,4,101,1
319,4,105,3
320,4,109,4
321,4,110,2
322,4,111,1
323,4,112,2
324,4,116,21
325,4,117,1
326,4,119,4
327,4,120,2
328,4,121,8
329,4,122,1
330,4,128,2
331,4,129,1
332,4,132,1
333,4,133,1
334,4,144,4
