,t1,t2,ct
0,1,2,6
1,1,3,8
2,1,4,1
3,1,5,1
4,1,6,10
5,1,7,1
6,1,10,1
7,1,11,2
8,1,12,4
9,1,13,13
10,1,14,2
11,1,15,2
12,1,16,1
13,1,18,1
14,1,19,1
15,1,20,14
16,1,22,2
17,1,27,2
18,1,29,2
19,1,31,3
20,1,32,4
21,1,34,1
22,1,36,3
23,1,38,10
24,1,39,1
25,1,40,3
26,1,41,10
27,1,42,2
28,1,46,2
29,1,47,2
30,1,50,1
31,1,51,14
32,1,52,1
33,1,55,2
34,1,57,2
35,1,58,1
36,1,64,1
37,1,65,3
38,1,66,1
39,1,67,3
40,1,69,1
41,1,71,13
42,1,72,2
43,1,76,1
44,1,78,1
45,1,79,8
46,1,85,1
47,1,86,2
48,1,87,3
49,1,88,3
50,1,89,1
51,1,93,2
52,1,94,1
53,1,95,1
54,1,98,1
55,1,99,5
56,1,101,1
57,1,102,16
58,1,104,1
59,1,105,1
60,1,107,2
61,1,109,4
62,1,117,1
63,1,118,5
64,1,119,1
65,1,123,1
66,1,125,2
67,1,132,1
68,1,135,1
69,1,137,1
70,1,138,2
71,1,139,1
72,1,140,1
73,1,141,2
74,1,142,1
75,1,145,1
76,1,146,1
77,2,3,4
78,2,6,3
79,2,14,1
80,2,20,3
81,2,22,2
82,2,29,1
83,2,32,1
84,2,42,1
85,2,46,1
86,2,51,10
87,2,61,1
88,2,62,1
89,2,69,1
90,2,91,1
91,2,92,2
92,2,99,1
93,2,102,1
94,2,133,1
95,2,145,1
96,2,146,1
97,3,4,1
98,3,5,1
99,3,6,7
100,3,7,5
101,3,13,2
102,3,14,3
103,3,16,5
104,3,18,1
105,3,19,2
106,3,20,21
107,3,21,2
108,3,22,3
109,3,31,1
110,3,32,3
111,3,34,1
112,3,38,2
113,3,41,3
114,3,42,4
115,3,48,1
116,3,50,1
117,3,51,4
118,3,55,10
119,3,64,1
120,3,66,2
121,3,67,1
122,3,70,1
123,3,71,4
124,3,72,4
125,3,74,1
126,3,76,2
127,3,78,1
128,3,79,1
129,3,84,1
130,3,87,1
131,3,91,3
132,3,92,2
133,3,94,1
134,3,99,4
135,3,102,12
136,3,104,3
137,3,113,3
138,3,114,2
139,3,116,5
140,3,119,1
141,3,122,1
142,3,134,1
143,3,135,1
144,3,138,1
145,3,142,1
146,4,5,2
147,4,6,1
148,4,14,1
149,4,19,1
150,4,20,1
151,4,29,1
152,4,36,1
153,4,50,1
154,4,64,1
155,4,71,1
156,4,77,1
157,4,81,3
158,4,82,2
159,4,87,1
160,5,6,18
161,5,13,1
162,5,14,3
163,5,20,3
164,5,26,1
165,5,30,1
166,5,34,2
167,5,41,16
168,5,42,11
169,5,43,1
170,5,44,1
171,5,45,1
172,5,52,3
173,5,56,2
174,5,64,1
175,5,67,1
176,5,68,2
177,5,69,3
178,5,71,2
179,5,76,1
180,5,96,1
181,5,106,1
182,5,110,1
183,6,10,1
184,6,11,1
185,6,12,1
186,6,13,2
187,6,14,2
188,6,16,2
189,6,19,2
190,6,20,7
191,6,21,2
192,6,25,1
193,6,26,1
194,6,31,1
195,6,32,4
196,6,34,1
197,6,41,9
198,6,42,7
199,6,49,2
200,6,50,3
201,6,55,6
202,6,56,3
203,6,57,2
204,6,59,1
205,6,60,2
206,6,62,2
207,6,64,2
208,6,67,1
209,6,68,2
210,6,69,13
211,6,70,1
212,6,71,5
213,6,91,1
214,6,92,2
215,6,94,1
216,6,95,1
217,6,97,1
218,6,98,2
219,6,101,1
220,6,102,5
221,6,110,4
222,6,111,2
223,6,113,1
224,6,114,2
225,6,116,1
226,6,132,1
227,7,20,1
228,7,32,1
229,7,36,1
230,7,55,3
231,7,59,1
232,7,63,1
233,7,76,1
234,7,99,1
235,7,102,2
236,7,113,1
237,8,9,1
238,8,10,1
239,8,26,3
240,8,35,1
241,8,53,1
242,8,54,1
243,9,10,1
244,9,29,1
245,9,30,1
246,10,19,1
247,10,20,2
248,10,27,1
249,10,50,2
250,10,92,1
251,10,98,1
252,10,101,1
253,10,128,1
254,10,129,1
255,11,12,1
256,11,13,2
257,12,13,2
258,12,15,1
259,12,20,1
260,12,27,1
261,12,51,1
262,13,14,1
263,13,20,4
264,13,21,1
265,13,31,1
266,13,34,1
267,13,38,5
268,13,40,1
269,13,41,2
270,13,46,1
271,13,51,1
272,13,58,1
273,13,65,1
274,13,67,1
275,13,71,1
276,13,79,2
