,t1,t2,ct
0,1,2,5
1,1,3,2
2,1,5,16
3,1,7,3
4,1,8,49
5,1,9,1
6,1,10,3
7,1,11,32
8,1,13,1
9,1,15,1
10,1,16,1
11,1,17,2
12,1,18,11
13,1,19,2
14,1,23,2
15,1,24,102
16,1,27,1
17,1,29,3
18,1,31,5
19,1,32,1
20,1,37,3
21,1,39,1
22,1,40,3
23,1,41,3
24,1,43,3
25,1,44,22
26,1,45,7
27,1,46,31
28,1,49,6
29,1,50,8
30,1,51,4
31,1,52,10
32,1,56,9
33,1,59,1
34,1,62,1
35,1,63,1
36,1,65,23
37,1,80,1
38,2,5,17
39,2,7,2
40,2,10,1
41,2,13,1
42,2,23,1
43,2,24,11
44,2,39,1
45,2,41,2
46,2,43,2
47,2,44,1
48,2,46,6
49,2,48,1
50,2,49,1
51,2,50,4
52,2,51,3
53,2,60,3
54,2,61,3
55,2,62,1
56,3,4,3
57,3,5,4
58,3,6,1
59,3,7,2
60,3,8,1
61,3,10,1
62,3,11,9
63,3,13,2
64,3,15,3
65,3,16,2
66,3,21,1
67,3,23,4
68,3,24,28
69,3,29,19
70,3,31,2
71,3,34,2
72,3,35,3
73,3,37,1
74,3,42,1
75,3,43,10
76,3,45,1
77,3,46,1
78,3,48,1
79,3,49,1
80,3,50,1
81,3,51,2
82,3,52,2
83,3,53,4
84,3,55,1
85,3,56,2
86,3,57,3
87,3,59,1
88,3,60,1
89,3,61,2
90,3,62,1
91,3,65,1
92,3,70,1
93,3,71,1
94,3,78,1
95,3,79,1
96,4,5,1
97,4,23,5
98,4,24,1
99,4,29,5
100,4,43,1
101,4,44,2
102,4,45,2
103,4,48,1
104,4,65,1
105,4,69,2
106,5,6,6
107,5,7,1
108,5,8,8
109,5,9,7
110,5,10,21
111,5,11,4
112,5,12,1
113,5,13,5
114,5,14,6
115,5,15,1
116,5,16,2
117,5,17,1
118,5,18,43
119,5,19,4
120,5,20,3
121,5,21,4
122,5,23,5
123,5,24,45
124,5,25,5
125,5,26,9
126,5,29,2
127,5,30,2
128,5,31,6
129,5,32,7
130,5,35,1
131,5,36,1
132,5,37,1
133,5,39,2
134,5,40,3
135,5,41,6
136,5,42,1
137,5,43,4
138,5,44,13
139,5,45,4
140,5,46,35
141,5,48,7
142,5,49,3
143,5,50,13
144,5,51,10
145,5,52,3
146,5,53,1
147,5,55,1
148,5,56,2
149,5,59,4
150,5,62,3
151,5,63,8
152,5,64,1
153,5,66,13
154,5,70,1
155,5,72,1
156,5,73,4
157,5,75,5
158,5,77,3
