,t1,t2,ct
0,1,2,2
1,1,8,4
2,1,10,9
3,1,11,1
4,1,12,4
5,1,14,1
6,1,16,3
7,1,20,11
8,1,21,8
9,1,26,2
10,1,30,2
11,1,31,1
12,1,39,3
13,1,41,2
14,1,42,1
15,1,44,1
16,1,49,2
17,1,50,1
18,1,52,1
19,1,55,1
20,1,58,1
21,1,60,1
22,1,61,1
23,1,62,1
24,1,65,2
25,1,71,1
26,1,77,2
27,1,83,1
28,1,89,1
29,1,97,1
30,1,102,1
31,1,104,1
32,1,107,1
33,1,111,2
34,1,118,2
35,1,123,1
36,1,141,1
37,1,145,2
38,1,152,1
39,1,157,1
40,1,171,1
41,1,188,1
42,1,194,1
43,2,3,39
44,2,4,3
45,2,5,10
46,2,6,1
47,2,7,204
48,2,8,244
49,2,9,16
50,2,10,76
51,2,11,3
52,2,12,13
53,2,13,4
54,2,14,1
55,2,16,9
56,2,17,9
57,2,18,8
58,2,19,6
59,2,20,6
60,2,21,9
61,2,22,2
62,2,23,9
63,2,24,335
64,2,25,7
65,2,26,280
66,2,27,45
67,2,28,7
68,2,29,7
69,2,30,128
70,2,31,16
71,2,32,3
72,2,33,21
73,2,34,5
74,2,35,4
75,2,36,5
76,2,37,1
77,2,39,11
78,2,40,6
79,2,42,9
80,2,43,27
81,2,44,142
82,2,45,16
83,2,46,2
84,2,47,1
85,2,48,3
86,2,49,28
87,2,50,7
88,2,51,5
89,2,52,20
90,2,53,1
91,2,54,4
92,2,55,59
93,2,56,11
94,2,59,57
95,2,60,9
96,2,61,17
97,2,62,1
98,2,64,4
99,2,65,1
100,2,66,10
101,2,67,1
102,2,68,3
103,2,70,1
104,2,71,8
105,2,72,4
106,2,73,3
107,2,74,2
108,2,75,37
109,2,76,12
110,2,77,6
111,2,78,34
112,2,79,1
113,2,80,4
114,2,81,4
115,2,82,18
116,2,83,3
117,2,84,1
118,2,85,2
119,2,86,2
120,2,87,9
121,2,88,6
122,2,89,20
123,2,90,36
124,2,91,31
125,2,92,1
126,2,93,2
127,2,94,1
128,2,95,23
129,2,96,9
130,2,97,7
131,2,99,4
132,2,100,1
133,2,101,2
134,2,102,3
135,2,103,2
136,2,104,13
137,2,105,3
138,2,106,3
139,2,107,27
140,2,109,3
141,2,110,2
142,2,111,2
143,2,112,1
144,2,113,2
145,2,114,6
146,2,115,2
147,2,116,3
148,2,117,37
149,2,118,6
150,2,120,1
151,2,121,1
152,2,125,2
153,2,126,7
154,2,127,2
155,2,128,2
156,2,129,8
157,2,130,2
158,2,131,11
159,2,132,1
160,2,134,1
161,2,135,2
162,2,136,1
163,2,138,1
164,2,139,1
165,2,140,1
166,2,141,9
167,2,142,1
168,2,145,2
169,2,146,2
170,2,148,2
171,2,151,5
172,2,152,6
173,2,153,10
174,2,154,11
175,2,155,1
176,2,156,1
177,2,157,2
178,2,159,9
179,2,161,5
180,2,162,2
181,2,163,8
182,2,164,1
183,2,165,7
184,2,167,3
185,2,168,1
186,2,169,2
187,2,172,4
188,2,173,1
189,2,174,1
190,2,175,2
191,2,178,3
192,2,180,1
193,2,182,2
194,2,183,1
195,2,184,8
196,2,190,5
197,2,196,4
198,2,198,1
199,2,199,1
200,2,200,1
201,2,202,5
202,2,204,1
203,2,206,1
204,2,207,1
205,2,208,1
206,2,211,2
207,2,214,1
208,2,215,3
209,2,216,18
210,2,218,4
211,2,219,1
212,2,223,3
213,2,227,1
214,2,229,1
215,2,230,3
216,2,233,3
217,2,234,2
218,2,235,1
219,2,236,1
220,2,241,1
221,2,243,3
222,2,246,1
223,2,252,1
224,2,254,1
225,2,255,2
226,2,257,1
227,2,271,7
228,2,273,1
