,t1,t2,ct
0,1,2,10
1,1,3,1
2,1,5,3
3,1,7,1
4,1,8,8
5,1,9,27
6,1,10,6
7,1,15,1
8,1,16,4
9,1,20,1
10,1,21,3
11,1,22,2
12,1,23,1
13,1,27,1
14,1,28,7
15,1,32,2
16,1,33,1
17,1,35,4
18,1,38,1
19,1,43,3
20,1,46,4
21,1,52,2
22,1,56,3
23,1,57,2
24,1,58,1
25,1,59,1
26,1,60,1
27,1,65,1
28,1,66,1
29,1,67,1
30,1,69,1
31,1,70,3
32,1,71,2
33,1,72,1
34,1,75,2
35,1,83,1
36,1,84,1
37,1,90,1
38,1,91,2
39,1,93,4
40,1,94,4
41,1,95,1
42,1,96,1
43,1,114,1
44,1,128,3
45,1,131,6
46,1,137,1
47,1,139,1
48,1,143,1
49,1,144,4
50,1,145,1
51,1,146,1
52,1,150,1
53,1,152,1
54,1,162,1
55,1,170,1
56,1,177,1
57,2,3,2
58,2,8,3
59,2,9,13
60,2,11,2
61,2,13,1
62,2,15,3
63,2,22,7
64,2,23,3
65,2,25,1
66,2,28,4
67,2,30,1
68,2,33,1
69,2,39,1
70,2,41,1
71,2,43,1
72,2,44,1
73,2,46,1
74,2,49,1
75,2,52,1
76,2,54,1
77,2,57,2
78,2,58,1
79,2,59,1
80,2,69,1
81,2,70,3
82,2,71,1
83,2,75,3
84,2,77,1
85,2,79,1
86,2,84,1
87,2,87,2
88,2,88,1
89,2,89,2
90,2,90,1
91,2,94,3
92,2,101,1
93,2,116,1
94,2,119,1
95,2,120,1
96,2,123,1
97,2,128,2
98,2,131,1
99,2,138,1
100,2,149,1
101,2,179,1
102,2,183,2
103,2,190,1
104,2,191,1
105,3,15,1
106,3,21,1
107,3,22,1
108,3,89,1
109,3,94,1
110,3,138,2
111,3,183,3
112,4,5,1
113,4,15,1
114,4,41,1
115,4,57,1
116,4,65,1
117,4,87,1
118,4,128,1
119,4,132,1
120,5,8,1
121,5,9,2
122,5,10,1
123,5,28,1
124,5,53,1
125,5,65,1
126,5,90,1
127,5,107,1
128,5,120,1
129,5,127,1
130,5,144,2
131,6,7,2
132,6,9,1
133,6,28,2
134,6,44,1
135,6,69,1
136,7,9,3
137,7,28,3
138,7,33,1
139,7,46,1
140,7,69,1
141,7,91,1
142,7,93,1
143,7,134,1
144,8,9,28
145,8,10,5
146,8,11,2
147,8,16,1
148,8,22,6
149,8,23,1
150,8,28,5
151,8,29,1
152,8,30,1
153,8,31,2
154,8,33,1
155,8,35,8
156,8,36,2
157,8,38,1
158,8,41,1
159,8,46,1
160,8,53,1
161,8,56,7
162,8,57,1
163,8,62,1
164,8,65,2
165,8,69,2
166,8,72,5
167,8,75,1
168,8,79,1
169,8,87,2
170,8,90,1
171,8,91,1
172,8,94,4
173,8,100,2
174,8,105,1
175,8,106,1
176,8,107,3
177,8,114,7
178,8,116,3
179,8,123,2
180,8,126,2
181,8,128,2
182,8,134,1
183,8,135,2
184,8,140,1
185,8,143,1
186,8,150,1
187,8,153,1
188,9,10,4
189,9,11,6
190,9,12,1
191,9,13,1
192,9,15,4
193,9,16,5
194,9,20,2
195,9,21,4
196,9,22,37
197,9,23,6
198,9,24,1
199,9,25,2
200,9,26,2
201,9,27,1
202,9,28,18
203,9,30,1
204,9,32,9
205,9,33,3
206,9,35,8
207,9,36,3
208,9,37,1
209,9,38,2
210,9,39,1
211,9,40,1
212,9,42,1
213,9,43,4
214,9,44,3
215,9,45,4
216,9,46,7
217,9,48,2
218,9,49,1
219,9,51,2
220,9,52,2
221,9,53,3
222,9,56,5
223,9,57,1
224,9,58,1
225,9,59,1
226,9,60,1
227,9,61,1
228,9,62,4
229,9,65,4
230,9,69,3
231,9,70,6
232,9,72,3
233,9,75,5
234,9,77,2
235,9,78,3
236,9,79,1
237,9,80,1
238,9,87,2
239,9,90,3
240,9,91,5
241,9,92,1
242,9,93,4
243,9,94,8
244,9,95,1
245,9,97,1
246,9,98,2
247,9,105,1
248,9,106,1
249,9,107,2
250,9,109,4
251,9,110,3
252,9,112,1
253,9,114,3
254,9,116,3
255,9,118,1
256,9,120,1
257,9,121,1
258,9,122,1
259,9,123,3
260,9,124,1
261,9,126,2
262,9,127,2
263,9,128,4
264,9,131,10
265,9,134,2
266,9,135,2
267,9,140,2
268,9,147,2
269,9,150,1
270,9,152,1
271,9,153,4
272,9,154,1
273,9,159,1
274,9,162,1
275,9,163,1
276,9,170,1
277,9,171,1
278,9,175,1
279,9,197,1
280,9,200,1
281,10,11,2
282,10,12,2
283,10,22,5
284,10,23,3
285,10,25,1
286,10,28,1
287,10,35,1
288,10,43,1
289,10,46,1
290,10,56,3
291,10,57,1
292,10,64,2
293,10,65,2
294,10,67,2
295,10,75,3
296,10,83,1
297,10,87,5
298,10,90,2
299,10,107,1
300,10,114,2
301,10,116,1
302,10,120,2
303,10,123,2
304,10,128,2
305,10,131,1
306,10,139,1
307,10,140,1
308,10,149,1
309,10,152,1
310,10,166,2
311,11,12,1
312,11,22,4
313,11,23,2
314,11,24,1
315,11,25,1
316,11,30,1
317,11,32,2
318,11,34,1
319,11,35,1
320,11,43,1
321,11,45,1
322,11,46,1
323,11,57,2
324,11,69,1
325,11,70,3
326,11,72,1
327,11,75,1
328,11,87,5
329,11,90,2
330,11,91,1
331,11,93,1
332,11,98,2
333,11,100,1
334,11,105,1
335,11,107,2
336,11,120,1
337,11,123,2
338,11,127,1
339,11,130,1
340,11,131,1
341,11,139,1
342,11,153,1
343,11,180,1
344,11,192,1
345,11,196,1
346,12,46,1
347,12,128,1
348,12,140,1
349,13,14,1
350,13,49,1
351,13,94,1
352,13,108,1
353,13,147,1
354,15,21,1
355,15,22,1
356,15,35,1
357,15,41,1
358,15,89,1
359,15,138,2
360,15,183,2
361,16,17,1
362,16,18,1
363,16,19,1
364,16,23,5
365,16,32,1
366,16,41,1
367,16,46,4
368,16,50,1
369,16,55,1
370,16,57,1
371,16,59,1
372,16,71,1
373,16,85,1
374,16,86,2
375,16,87,5
376,16,90,6
377,16,93,1
378,16,94,3
379,16,99,1
380,16,108,1
381,16,109,1
382,16,111,1
383,16,116,1
384,16,120,4
385,16,122,1
386,16,124,1
387,16,126,3
388,16,128,1
389,16,131,3
390,16,134,2
391,16,135,1
392,16,158,1
393,16,159,1
394,16,172,1
395,16,194,1
396,17,18,1
397,17,19,1
398,18,19,1
399,19,23,1
400,20,22,1
401,20,131,2
402,21,24,1
403,21,28,1
404,21,32,1
405,21,116,1
406,21,138,1
407,21,152,1
408,21,183,1
409,22,23,1
410,22,24,4
411,22,25,1
412,22,28,2
413,22,30,2
414,22,32,4
415,22,38,1
416,22,44,3
417,22,46,1
418,22,49,1
419,22,51,2
420,22,52,4
421,22,55,1
422,22,56,2
423,22,57,2
424,22,60,1
425,22,61,1
426,22,63,1
427,22,65,7
428,22,75,1
429,22,77,1
430,22,78,2
431,22,87,7
432,22,90,6
433,22,94,3
434,22,109,1
435,22,110,1
436,22,114,2
437,22,116,5
438,22,120,2
439,22,122,1
440,22,123,4
441,22,126,2
442,22,128,3
443,22,130,1
444,22,131,2
445,22,138,1
446,22,142,1
447,22,147,1
448,22,148,1
449,22,162,1
450,22,166,1
451,22,183,1
452,22,200,1
453,23,24,1
454,23,28,1
455,23,30,3
456,23,32,3
457,23,34,2
458,23,45,1
459,23,46,6
460,23,47,1
461,23,59,2
462,23,65,1
463,23,69,2
464,23,75,3
465,23,87,2
466,23,90,4
467,23,94,4
468,23,114,1
469,23,120,2
