,t1,t2,ct
0,1,2,18
1,1,3,80
2,1,4,11
3,1,5,6
4,1,6,5
5,1,7,5
6,1,9,3
7,1,10,2
8,1,11,1
9,1,12,1
10,1,13,11
11,1,14,34
12,1,15,4
13,1,16,22
14,1,17,4
15,1,18,12
16,1,19,7
17,1,20,7
18,1,21,4
19,1,23,2
20,1,24,4
21,1,25,5
22,1,26,7
23,1,27,9
24,1,28,4
25,1,31,5
26,1,32,4
27,1,33,2
28,1,34,7
29,1,35,2
30,1,36,23
31,1,37,5
32,1,39,4
33,1,40,20
34,1,41,9
35,1,42,30
36,1,43,9
37,1,44,4
38,1,45,3
39,1,46,1
40,1,48,1
41,1,49,1
42,1,50,34
43,1,51,1
44,1,52,1
45,1,53,2
46,1,54,6
47,1,55,9
48,1,56,18
49,1,57,1
50,1,58,3
51,1,59,4
52,1,60,8
53,1,61,48
54,1,62,4
55,1,63,3
56,1,64,1
57,1,66,4
58,1,67,2
59,1,68,1
60,1,69,5
61,1,70,4
62,1,71,24
63,1,72,1
64,1,73,9
65,1,74,3
66,1,75,3
67,1,76,2
68,1,78,2
69,1,79,1
70,1,80,24
71,1,81,13
72,1,82,11
73,1,83,9
74,1,84,4
75,1,85,7
76,1,86,2
77,1,87,1
78,1,88,19
79,1,89,3
80,1,90,4
81,1,91,4
82,1,92,8
83,1,93,7
84,1,95,2
85,1,96,4
86,1,99,2
87,1,100,1
88,1,101,3
89,1,103,14
90,1,104,3
91,1,107,6
92,1,108,2
93,1,109,1
94,1,110,21
95,1,111,1
96,1,112,5
97,1,113,3
98,1,114,2
99,1,115,7
100,1,116,1
101,1,117,1
102,1,120,4
103,1,121,1
104,1,123,1
105,1,124,1
106,1,125,2
107,1,126,4
108,1,127,6
109,1,129,10
110,1,130,3
111,1,131,3
112,1,132,11
113,1,133,1
114,1,135,13
115,1,136,1
116,1,138,5
117,1,139,2
118,1,140,6
119,1,142,1
120,1,143,1
121,1,144,1
122,1,146,2
123,1,147,2
124,1,148,1
125,1,149,2
126,1,150,2
127,1,151,5
128,1,152,6
129,1,153,2
130,1,154,3
131,1,155,2
132,1,158,7
133,1,159,5
134,1,160,4
135,1,161,2
136,1,162,3
137,1,163,2
138,1,164,6
139,1,166,1
