,t1,t2,ct
0,1,2,12
1,1,3,3
2,1,4,16
3,1,5,6
4,1,6,8
5,1,10,1
6,1,11,2
7,1,12,5
8,1,13,1
9,1,17,37
10,1,19,180
11,1,20,4
12,1,22,14
13,1,23,23
14,1,29,2
15,1,30,1
16,1,33,3
17,1,34,4
18,1,35,9
19,1,38,3
20,1,39,3
21,1,41,49
22,1,43,13
23,1,44,2
24,1,45,4
25,1,46,1
26,1,48,2
27,1,51,3
28,1,53,8
29,1,57,2
30,1,60,2
31,1,61,41
32,1,62,3
33,1,63,2
34,1,64,29
35,1,66,11
36,1,70,1
37,1,71,1
38,1,73,8
39,1,74,8
40,1,75,67
41,1,76,21
42,1,77,5
43,1,78,2
44,1,79,5
45,1,80,3
46,1,82,3
47,1,84,6
48,1,85,6
49,1,86,5
50,1,90,1
51,1,92,8
52,1,93,12
53,1,94,1
54,1,95,1
55,1,96,8
56,1,98,2
57,1,102,1
58,1,108,16
59,1,109,4
60,1,110,2
61,1,111,4
62,1,112,1
63,1,114,1
64,1,115,1
65,1,116,1
66,1,126,1
67,1,127,1
68,1,128,1
69,1,129,44
70,1,131,3
71,1,132,1
72,1,133,4
73,1,136,3
74,1,138,21
75,1,139,2
76,1,140,5
77,1,145,1
78,1,148,7
79,1,149,3
80,1,150,8
81,1,153,1
82,1,156,10
83,1,157,1
84,1,158,2
85,1,164,4
86,1,172,1
87,1,176,2
88,1,177,10
89,1,181,5
90,1,184,6
91,1,185,7
92,1,191,2
93,1,192,5
94,1,194,1
95,1,195,4
96,1,197,6
97,1,200,1
98,1,205,2
99,1,207,12
100,1,209,4
101,1,211,5
102,1,212,2
103,1,215,2
104,1,217,1
105,1,218,8
106,1,222,1
107,1,223,18
108,1,224,4
109,1,225,5
110,1,226,1
111,1,229,6
112,1,230,2
113,1,231,3
114,1,237,2
115,1,254,3
116,1,255,3
117,1,257,5
118,1,259,2
119,1,261,1
120,1,264,2
121,1,265,1
122,1,271,1
123,1,272,1
124,1,275,6
125,1,276,1
126,1,279,1
127,1,284,1
128,1,286,3
129,1,294,1
130,1,299,1
131,1,300,1
132,1,301,2
133,1,302,1
134,1,319,1
135,1,325,1
136,1,337,3
137,1,338,2
138,1,339,2
139,1,341,2
140,1,345,1
141,1,346,1
142,1,349,3
143,1,352,1
144,1,356,3
145,1,357,1
146,1,360,1
147,1,364,1
148,1,372,1
149,1,373,2
150,1,375,26
151,1,377,2
152,1,380,6
153,1,381,4
154,1,382,1
155,1,385,1
156,1,386,1
157,1,390,14
158,1,392,1
159,1,398,1
160,1,406,1
161,1,408,1
162,1,416,4
163,1,422,2
164,1,425,1
165,1,433,2
166,1,434,1
167,1,435,1
168,1,438,2
169,1,440,1
170,1,445,3
171,1,452,1
172,1,453,2
173,1,460,1
174,1,467,5
175,1,469,1
176,1,470,1
177,1,490,1
178,1,492,1
179,1,523,1
180,2,3,2
181,2,4,2
182,2,5,1
183,2,6,12
184,2,9,1
185,2,10,2
186,2,11,8
187,2,12,4
188,2,14,2
189,2,16,1
190,2,17,4
191,2,18,2
192,2,19,11
193,2,20,3
194,2,23,7
195,2,24,3
196,2,26,1
197,2,29,3
198,2,30,1
199,2,31,2
200,2,32,3
201,2,33,20
202,2,34,2
203,2,35,1
204,2,36,1
205,2,38,5
206,2,39,3
207,2,41,11
208,2,43,11
209,2,45,4
210,2,46,1
211,2,49,1
212,2,50,2
213,2,51,4
214,2,53,1
215,2,54,1
216,2,55,1
217,2,57,1
218,2,60,3
219,2,61,1
220,2,63,2
221,2,64,1
222,2,66,5
223,2,67,1
224,2,70,1
225,2,73,2
226,2,75,1
227,2,76,1
228,2,78,12
229,2,79,2
230,2,84,7
231,2,85,14
232,2,86,1
233,2,87,1
234,2,88,1
235,2,93,1
236,2,96,2
237,2,97,2
238,2,98,3
239,2,100,3
240,2,102,3
241,2,109,2
242,2,112,2
243,2,114,1
244,2,122,1
245,2,123,4
246,2,126,1
247,2,127,1
248,2,130,1
249,2,133,4
250,2,135,1
251,2,142,1
252,2,144,5
253,2,147,5
254,2,148,1
255,2,149,1
256,2,150,2
257,2,152,1
258,2,153,2
259,2,156,1
260,2,157,1
261,2,164,1
262,2,165,1
263,2,166,1
264,2,168,1
265,2,170,1
266,2,172,1
267,2,175,2
268,2,176,3
269,2,177,1
270,2,184,1
271,2,189,3
272,2,190,3
273,2,192,3
274,2,197,3
275,2,198,2
276,2,199,3
277,2,200,1
278,2,205,3
279,2,206,1
280,2,207,1
281,2,209,2
282,2,219,1
283,2,224,1
284,2,226,1
285,2,228,1
286,2,229,2
287,2,244,1
288,2,245,1
289,2,246,2
290,2,252,2
291,2,257,2
292,2,269,1
293,2,272,1
294,2,278,2
295,2,281,1
296,2,282,3
297,2,284,1
298,2,285,2
299,2,287,1
300,2,288,1
301,2,299,1
302,2,301,1
303,2,302,1
304,2,308,1
305,2,309,1
306,2,311,2
307,2,313,3
308,2,315,2
309,2,316,1
310,2,319,1
311,2,323,2
312,2,330,1
313,2,339,1
314,2,350,1
315,2,351,2
316,2,356,1
317,2,367,1
318,2,368,1
319,2,370,1
320,2,377,1
321,2,379,1
322,2,384,1
323,2,396,1
324,2,401,1
325,2,409,1
326,2,425,2
327,2,453,2
328,2,454,1
329,2,459,1
330,2,481,1
331,2,504,1
332,3,4,2
333,3,5,1
334,3,6,2
335,3,11,1
336,3,24,1
337,3,64,1
338,3,70,1
339,3,93,1
340,3,147,1
341,3,164,1
342,3,282,1
343,4,5,1
344,4,17,3
345,4,19,4
346,4,22,3
347,4,23,3
348,4,61,1
349,4,62,1
350,4,64,2
351,4,75,2
352,4,109,1
353,4,129,1
354,4,131,1
355,4,138,1
356,4,157,1
357,4,212,1
358,4,230,2
359,4,319,1
360,4,349,1
361,4,380,1
362,4,392,1
363,4,445,1
364,4,452,1
365,5,22,4
366,5,41,1
367,5,75,1
368,5,138,4
369,5,139,2
370,5,231,1
371,5,254,3
372,5,275,1
373,5,301,1
374,5,321,2
375,5,375,2
376,5,380,3
377,5,381,1
378,6,7,1
379,6,8,1
380,6,9,1
381,6,11,57
382,6,12,1
383,6,14,1
384,6,16,1
385,6,17,1
386,6,18,1
387,6,19,17
388,6,20,5
389,6,23,34
390,6,24,22
391,6,26,2
392,6,28,7
393,6,29,3
394,6,30,9
395,6,31,2
396,6,32,15
397,6,33,17
398,6,35,3
399,6,36,9
400,6,37,1
401,6,38,5
402,6,39,12
403,6,40,1
404,6,41,18
405,6,42,2
406,6,43,13
407,6,44,1
408,6,45,7
409,6,46,1
410,6,48,1
411,6,51,2
412,6,53,4
413,6,55,3
414,6,57,1
415,6,60,2
416,6,61,3
417,6,62,2
418,6,63,1
419,6,66,8
420,6,67,2
421,6,69,2
422,6,70,7
423,6,71,3
424,6,72,1
425,6,73,1
426,6,74,1
427,6,75,1
428,6,78,16
429,6,84,8
430,6,85,26
431,6,87,8
432,6,88,2
433,6,90,1
434,6,94,2
435,6,96,6
436,6,97,1
437,6,98,1
438,6,99,1
439,6,100,1
440,6,102,6
441,6,103,5
442,6,107,2
443,6,108,1
444,6,109,1
445,6,111,1
446,6,113,1
447,6,116,2
448,6,117,20
449,6,118,2
450,6,122,3
451,6,123,2
452,6,124,1
453,6,127,1
454,6,128,1
455,6,129,3
456,6,132,1
457,6,133,15
458,6,134,1
459,6,135,4
460,6,136,1
461,6,137,1
462,6,140,8
463,6,141,3
464,6,142,2
465,6,144,2
466,6,147,3
467,6,150,2
468,6,151,5
469,6,152,4
470,6,153,2
471,6,154,1
472,6,155,2
473,6,160,13
474,6,166,4
475,6,167,2
476,6,168,1
477,6,171,1
478,6,176,1
479,6,180,1
480,6,181,5
481,6,182,2
482,6,184,2
483,6,185,1
484,6,187,1
485,6,188,4
486,6,190,4
487,6,192,1
488,6,196,1
489,6,197,3
490,6,198,4
491,6,199,5
492,6,201,2
493,6,205,5
494,6,206,9
495,6,209,1
496,6,210,5
497,6,214,1
498,6,215,1
499,6,216,1
500,6,219,1
501,6,222,2
502,6,223,2
503,6,224,3
504,6,229,3
505,6,234,1
506,6,236,1
507,6,237,1
508,6,238,2
509,6,240,2
510,6,241,1
511,6,243,2
512,6,244,16
513,6,245,1
514,6,246,8
515,6,250,1
516,6,252,2
517,6,260,1
518,6,263,3
519,6,265,1
520,6,273,1
521,6,276,1
522,6,278,1
523,6,282,4
524,6,284,4
525,6,285,1
526,6,295,1
527,6,305,8
528,6,312,10
529,6,315,2
530,6,325,1
531,6,326,1
532,6,343,1
533,6,349,2
534,6,350,1
535,6,351,1
536,6,354,8
537,6,359,3
538,6,367,2
539,6,368,2
540,6,369,2
541,6,383,3
542,6,385,1
543,6,387,3
544,6,394,1
545,6,395,1
546,6,399,3
547,6,405,1
548,6,410,1
549,6,419,1
550,6,421,1
551,6,425,1
552,6,427,2
553,6,429,1
554,6,459,2
555,6,465,1
556,6,468,1
557,6,490,2
558,6,492,1
559,6,504,1
560,6,508,1
561,6,522,1
562,6,524,1
563,7,12,1
564,7,30,1
565,7,33,2
566,7,39,1
567,7,40,1
568,7,43,1
569,7,85,1
570,7,109,1
571,7,112,1
572,7,135,1
573,7,177,2
574,7,324,1
575,7,378,1
576,8,23,2
577,8,30,1
578,8,31,1
579,8,32,1
580,8,49,1
581,8,70,1
582,8,79,1
583,8,85,1
584,8,102,1
585,8,109,1
586,8,111,1
587,8,116,1
588,8,136,1
589,8,148,1
590,8,162,1
591,8,241,1
592,8,244,1
593,8,259,1
594,8,264,1
595,8,268,1
596,8,319,1
597,9,10,1
598,9,46,1
599,9,47,1
600,9,48,1
601,9,53,1
602,9,84,2
603,9,147,1
604,9,192,1
605,9,244,1
606,9,304,1
607,9,376,1
608,9,427,1
609,9,459,1
610,9,468,1
611,9,480,1
612,10,17,1
613,10,19,1
614,10,22,1
615,10,38,1
616,10,41,1
617,10,51,1
618,10,62,1
619,10,73,1
620,10,74,1
621,10,78,1
622,10,84,2
623,10,91,1
624,10,96,1
625,10,101,1
626,10,110,1
627,10,176,1
628,10,190,1
629,10,198,1
630,10,205,1
631,10,218,1
632,10,270,1
633,10,390,1
634,10,445,1
635,11,12,5
636,11,13,5
637,11,14,1
638,11,15,4
639,11,16,12
640,11,19,6
641,11,20,3
642,11,23,53
643,11,24,31
644,11,26,6
645,11,27,23
646,11,29,1
647,11,30,46
648,11,31,1
649,11,32,22
650,11,33,1
651,11,36,3
652,11,38,8
653,11,39,4
654,11,40,1
655,11,41,81
656,11,43,5
657,11,44,2
658,11,45,18
659,11,46,24
660,11,47,8
661,11,49,1
662,11,51,2
663,11,52,6
664,11,53,6
665,11,60,9
666,11,62,3
667,11,63,4
668,11,65,6
669,11,66,18
670,11,67,4
671,11,70,3
672,11,71,2
673,11,72,1
674,11,73,1
675,11,74,1
676,11,76,1
677,11,78,63
678,11,79,2
679,11,84,19
680,11,85,31
681,11,86,1
682,11,87,7
683,11,88,2
684,11,89,19
685,11,90,3
686,11,91,2
687,11,94,1
688,11,96,2
689,11,98,1
690,11,101,4
691,11,102,15
692,11,103,10
693,11,109,5
694,11,116,1
695,11,117,4
696,11,119,2
697,11,121,2
698,11,123,31
699,11,124,1
700,11,125,2
701,11,127,1
702,11,128,1
703,11,129,1
704,11,130,1
705,11,133,17
706,11,134,1
707,11,135,1
708,11,136,2
709,11,140,1
710,11,142,1
711,11,145,2
712,11,147,4
713,11,148,1
714,11,150,1
715,11,151,1
716,11,152,3
717,11,153,6
718,11,154,2
719,11,155,2
720,11,160,2
721,11,162,1
722,11,164,1
723,11,166,4
724,11,167,1
725,11,169,2
726,11,181,1
727,11,183,7
728,11,185,1
729,11,187,1
730,11,188,1
731,11,190,3
732,11,192,5
733,11,196,4
734,11,197,1
735,11,198,5
736,11,199,9
737,11,201,2
738,11,202,3
739,11,204,5
740,11,205,3
741,11,206,1
742,11,207,1
743,11,209,3
744,11,210,2
745,11,213,2
746,11,217,1
747,11,219,8
748,11,222,1
749,11,223,1
750,11,224,4
751,11,226,1
752,11,229,4
753,11,233,2
754,11,234,2
755,11,235,6
756,11,236,1
757,11,239,1
758,11,240,7
759,11,241,12
760,11,242,11
761,11,243,1
762,11,244,16
763,11,245,68
764,11,249,1
765,11,250,1
766,11,252,15
767,11,253,3
768,11,257,1
769,11,261,1
770,11,263,10
771,11,264,2
772,11,265,1
773,11,269,1
774,11,271,2
775,11,274,3
776,11,278,1
777,11,280,2
778,11,281,4
779,11,282,8
780,11,284,1
781,11,285,1
782,11,288,3
783,11,299,1
784,11,302,3
785,11,304,1
786,11,308,2
787,11,309,22
788,11,310,1
789,11,311,1
790,11,316,3
791,11,317,2
792,11,318,1
793,11,319,1
794,11,326,3
795,11,328,8
796,11,329,9
797,11,330,1
798,11,333,2
799,11,339,1
800,11,353,1
801,11,355,1
802,11,364,1
803,11,365,5
804,11,366,1
805,11,367,2
806,11,368,8
807,11,383,1
808,11,387,8
809,11,389,1
810,11,393,4
811,11,394,10
812,11,401,7
813,11,402,7
814,11,403,2
815,11,404,5
816,11,405,2
817,11,409,1
818,11,412,4
819,11,413,5
820,11,415,8
821,11,421,1
822,11,424,3
823,11,425,1
824,11,426,7
825,11,427,1
826,11,428,2
827,11,429,3
