,t1,t2,ct
0,1,2,12
1,1,3,4
2,1,22,4
3,1,28,2
4,1,30,24
5,1,38,4
6,1,47,3
7,1,58,1
8,1,60,2
9,1,63,1
10,1,64,3
11,1,65,1
12,1,82,1
13,1,86,3
14,1,89,4
15,1,121,4
16,1,134,1
17,1,135,2
18,1,141,1
19,1,151,2
20,1,157,1
21,1,210,2
22,1,218,1
23,1,219,1
24,1,230,15
25,1,249,1
26,1,251,3
27,1,252,5
28,1,285,1
29,1,304,2
30,1,377,2
31,1,378,2
32,1,410,2
33,1,457,2
34,1,458,2
35,1,489,1
36,1,492,3
37,1,518,1
38,1,573,1
39,1,745,1
40,1,757,2
41,1,773,1
42,1,774,1
43,1,783,2
44,1,784,2
45,1,829,1
46,1,830,1
47,1,833,1
48,1,834,1
49,1,876,1
50,1,877,1
51,1,940,1
52,1,962,1
53,1,969,4
54,1,1020,1
55,2,3,4
56,2,22,2
57,2,48,1
58,2,58,1
59,2,82,1
60,2,134,1
61,2,135,2
62,2,492,3
63,2,541,1
64,3,82,1
65,4,15,1
66,4,22,4
67,4,35,1
68,4,47,4
69,4,58,1
70,4,63,1
71,4,67,1
72,4,71,3
73,4,74,1
74,4,75,5
75,4,82,1
76,4,102,2
77,4,136,1
78,4,137,1
79,4,151,3
80,4,176,1
81,4,201,2
82,4,202,1
83,4,219,1
84,4,272,7
85,4,285,1
86,4,354,5
87,4,368,2
88,4,396,1
89,4,401,3
90,4,415,1
91,4,521,4
92,4,529,1
93,4,536,4
94,4,678,1
95,4,839,1
96,4,840,1
97,4,845,1
98,4,895,1
99,4,971,1
100,4,989,1
101,4,992,1
102,4,1008,1
103,4,1060,1
104,4,1061,1
105,4,1062,2
106,4,1109,1
107,5,6,2
108,5,320,1
109,7,8,5
110,7,22,1
111,7,151,1
112,7,329,1
113,7,832,1
114,8,22,1
115,8,329,1
116,9,10,2
117,9,12,1
118,9,22,2
119,9,31,1
120,9,35,1
121,9,63,1
122,9,67,1
123,9,71,5
124,9,86,7
125,9,121,1
126,9,172,4
127,9,173,1
128,9,368,1
129,9,500,1
130,9,501,1
131,10,13,1
132,10,14,1
133,10,44,1
134,10,53,1
135,10,62,1
136,10,68,1
137,10,69,1
138,10,71,1
139,10,73,1
140,10,76,2
141,10,77,1
142,10,78,1
143,10,86,2
144,10,91,1
145,10,92,1
146,10,116,1
147,10,121,1
148,10,151,1
149,10,152,1
150,10,157,1
151,10,170,1
152,10,174,1
153,10,219,1
154,10,382,1
155,10,383,1
156,10,470,1
157,10,471,1
158,10,608,1
159,10,609,1
160,10,666,1
161,10,687,1
162,10,731,1
163,10,732,1
164,10,797,1
165,11,12,1
166,11,31,1
167,11,32,1
168,11,48,1
169,12,47,1
170,12,86,1
171,12,177,1
172,12,178,1
173,12,255,1
174,12,611,1
175,12,612,1
176,12,921,1
177,12,922,1
178,13,14,19
179,13,15,1
180,13,35,2
181,13,44,1
182,13,47,3
183,13,58,1
184,13,86,2
185,13,121,1
186,13,219,3
187,13,238,1
188,13,283,1
189,14,15,1
190,14,35,1
191,14,44,1
192,14,47,2
193,14,58,1
194,14,86,1
195,14,219,3
196,15,33,1
197,15,34,1
198,15,47,3
199,15,127,1
200,15,128,1
201,15,354,1
202,15,524,1
203,15,525,1
204,15,725,1
205,16,17,5
206,16,219,1
207,17,219,1
208,18,19,4
209,18,22,1
210,18,35,1
211,18,58,1
212,18,86,1
213,19,22,1
214,19,58,1
215,20,21,4
216,20,22,1
217,20,35,1
218,20,47,1
219,20,50,1
220,20,67,1
221,20,71,4
222,20,90,1
223,20,122,1
224,20,123,2
225,20,124,1
226,20,247,3
227,20,262,1
228,20,372,1
229,20,388,2
230,20,398,1
231,20,448,1
232,20,577,3
233,21,35,1
234,21,48,1
235,21,67,1
236,21,71,4
237,21,87,1
238,21,122,1
239,21,123,13
240,21,124,7
241,21,134,1
242,21,151,1
243,21,162,2
244,21,163,1
245,21,176,1
246,21,219,1
247,21,368,1
248,21,372,5
249,21,381,1
250,21,442,1
251,21,570,3
252,21,789,1
253,21,1112,1
254,21,1113,1
255,22,23,2
256,22,24,2
257,22,30,1
258,22,31,1
259,22,33,3
260,22,34,3
261,22,35,1
262,22,42,1
263,22,43,1
264,22,47,4
265,22,49,1
266,22,53,6
267,22,57,2
268,22,58,3
269,22,59,2
270,22,61,6
271,22,62,2
272,22,70,4
273,22,71,20
274,22,72,2
275,22,86,9
276,22,99,1
277,22,107,2
278,22,116,1
279,22,118,1
280,22,127,5
281,22,128,4
282,22,151,3
283,22,154,1
284,22,155,1
285,22,156,1
286,22,157,3
287,22,167,1
288,22,172,1
289,22,174,5
290,22,177,1
291,22,178,1
292,22,183,5
293,22,189,1
294,22,190,1
295,22,191,2
296,22,192,1
297,22,200,2
298,22,223,5
299,22,230,1
300,22,231,1
301,22,232,1
302,22,247,5
303,22,251,2
304,22,252,2
305,22,258,2
306,22,279,1
307,22,280,1
308,22,288,1
309,22,292,1
310,22,295,1
311,22,300,1
312,22,321,1
313,22,329,3
314,22,336,1
315,22,340,1
316,22,349,1
317,22,350,2
318,22,353,1
319,22,357,1
320,22,366,1
321,22,367,1
322,22,384,2
323,22,385,2
324,22,396,1
325,22,397,1
326,22,421,1
327,22,431,1
328,22,448,4
329,22,476,1
330,22,477,1
331,22,485,1
332,22,486,1
333,22,487,1
334,22,490,1
335,22,491,1
336,22,492,2
337,22,493,1
338,22,521,1
339,22,524,1
340,22,536,1
341,22,539,1
342,22,540,1
343,22,602,1
344,22,615,1
345,22,616,1
346,22,642,1
347,22,653,1
348,22,654,1
