,t1,t2,ct
0,1,2,7
1,1,3,2
2,1,4,1
3,1,5,1
4,1,7,1
5,1,8,2
6,1,9,2
7,1,15,1
8,1,18,3
9,1,20,1
10,1,21,1
11,1,24,1
12,1,26,1
13,1,28,2
14,1,30,1
15,1,32,2
16,1,34,1
17,1,36,1
18,1,40,3
19,1,41,2
20,1,44,1
21,1,45,4
22,1,46,1
23,1,51,1
24,1,52,2
25,1,56,1
26,1,65,2
27,1,69,1
28,1,70,1
29,1,73,6
30,1,75,1
31,1,84,3
32,1,97,1
33,1,120,2
34,2,3,2
35,2,5,2
36,2,7,4
37,2,9,4
38,2,10,12
39,2,16,2
40,2,18,1
41,2,19,2
42,2,20,1
43,2,21,2
44,2,24,1
45,2,26,1
46,2,28,3
47,2,34,1
48,2,36,7
49,2,37,3
50,2,40,2
51,2,44,2
52,2,45,1
53,2,46,5
54,2,48,4
55,2,50,1
56,2,51,2
57,2,52,3
58,2,56,1
59,2,60,1
60,2,65,2
61,2,69,14
62,2,70,6
63,2,71,2
64,2,73,1
65,2,100,1
66,2,103,1
67,2,104,1
68,2,106,1
69,2,120,10
70,2,132,1
71,2,135,2
72,2,170,1
73,3,4,1
74,3,9,1
75,3,36,1
76,3,37,1
77,3,40,1
78,3,46,2
79,3,47,1
80,3,120,1
81,4,5,2
82,4,6,2
83,4,7,1
84,4,8,3
85,4,9,6
86,4,10,7
87,4,11,1
88,4,12,2
89,4,13,1
90,4,14,3
91,4,15,3
92,4,16,11
93,4,18,3
94,4,19,3
95,4,22,14
96,4,24,3
97,4,26,2
98,4,27,6
99,4,28,1
100,4,32,1
101,4,33,1
102,4,34,1
103,4,35,2
104,4,36,1
105,4,40,4
106,4,41,2
107,4,45,1
108,4,49,1
109,4,52,1
110,4,56,2
111,4,66,1
112,4,70,1
113,4,73,1
114,4,75,1
115,4,81,1
116,4,82,3
117,4,84,1
118,4,87,3
119,4,94,4
120,4,96,1
121,4,97,2
122,4,98,2
123,4,101,1
124,4,103,1
125,4,104,1
126,4,113,1
127,4,133,9
128,4,137,2
129,4,142,2
130,4,149,1
131,4,155,1
132,4,157,1
133,4,161,8
134,4,167,1
135,5,9,5
136,5,10,1
137,5,14,1
138,5,17,1
139,5,18,1
140,5,19,1
141,5,20,4
142,5,22,2
143,5,27,1
144,5,30,1
145,5,32,6
146,5,36,2
147,5,37,3
148,5,38,2
149,5,40,1
150,5,41,2
151,5,42,2
152,5,45,7
153,5,47,1
154,5,48,2
155,5,51,1
156,5,56,1
157,5,65,2
158,5,69,2
159,5,73,1
160,5,84,1
161,5,87,1
162,5,120,1
163,5,127,1
164,6,9,2
165,6,16,1
166,6,26,3
167,6,35,3
168,6,40,3
169,6,76,2
170,6,77,2
171,6,99,4
172,6,152,1
173,6,156,1
174,7,8,1
175,7,9,10
176,7,10,1
177,7,11,3
178,7,12,2
179,7,13,3
180,7,15,3
181,7,21,5
182,7,22,2
183,7,25,1
184,7,27,2
185,7,28,1
186,7,32,3
187,7,36,2
188,7,41,2
189,7,45,1
190,7,46,1
191,7,50,1
192,7,52,2
193,7,54,1
194,7,58,3
195,7,69,7
196,7,70,4
197,7,73,1
198,7,94,1
199,7,95,1
200,7,101,3
201,7,102,1
202,7,104,6
203,7,120,2
204,7,126,1
205,7,159,1
206,8,9,10
207,8,10,7
208,8,15,2
209,8,16,4
210,8,18,9
211,8,19,7
212,8,21,2
213,8,22,2
214,8,24,1
215,8,25,1
216,8,26,1
217,8,27,2
218,8,28,6
219,8,32,3
220,8,34,2
221,8,35,1
222,8,36,16
223,8,37,3
224,8,38,2
225,8,39,5
226,8,40,11
227,8,41,2
228,8,42,1
229,8,45,3
230,8,46,3
231,8,48,1
232,8,50,1
233,8,51,1
234,8,52,3
235,8,54,1
236,8,56,11
237,8,65,2
238,8,68,1
239,8,69,3
240,8,70,16
241,8,71,1
242,8,73,5
243,8,74,1
244,8,81,5
245,8,83,2
246,8,84,1
247,8,87,2
248,8,89,2
249,8,90,12
250,8,97,3
251,8,99,2
252,8,102,2
253,8,103,7
254,8,104,2
255,8,114,1
256,8,117,1
257,8,118,1
258,8,120,3
259,8,123,1
260,8,133,1
261,8,135,1
262,8,137,2
263,8,142,1
264,8,143,3
265,8,149,1
266,8,150,1
267,8,153,4
268,8,155,1
269,9,10,12
270,9,13,1
271,9,14,1
272,9,15,8
273,9,16,2
274,9,17,5
275,9,18,11
276,9,19,12
277,9,20,9
278,9,21,7
279,9,22,8
280,9,24,1
281,9,26,15
282,9,27,5
283,9,28,7
284,9,30,1
285,9,32,8
286,9,34,3
287,9,35,2
288,9,36,5
289,9,37,5
290,9,38,2
291,9,39,4
292,9,40,7
293,9,41,14
294,9,43,1
295,9,45,16
296,9,46,1
297,9,48,4
298,9,51,2
299,9,52,6
300,9,53,1
301,9,55,2
302,9,56,2
303,9,58,6
304,9,60,3
305,9,62,1
306,9,65,1
307,9,68,1
308,9,69,11
309,9,70,7
310,9,71,2
311,9,73,4
312,9,75,1
313,9,77,1
314,9,78,1
315,9,80,1
316,9,81,2
317,9,84,1
318,9,87,2
319,9,93,1
320,9,95,1
321,9,97,1
322,9,99,1
323,9,101,1
324,9,102,2
325,9,103,1
326,9,104,1
327,9,106,1
328,9,108,1
329,9,109,1
330,9,116,2
331,9,117,2
332,9,120,8
333,9,121,1
334,9,123,1
