,t1,t2,ct
0,1,2,2
1,1,3,8
2,1,4,5
3,1,6,4
4,1,7,1
5,1,10,8
6,1,14,1
7,1,18,2
8,1,19,2
9,1,25,1
10,1,28,1
11,1,38,2
12,1,39,2
13,1,41,3
14,1,43,1
15,1,49,2
16,1,66,1
17,1,67,1
18,1,82,1
19,1,85,1
20,1,89,1
21,1,96,2
22,1,119,2
23,1,176,1
24,2,3,5
25,2,4,4
26,2,6,3
27,2,8,2
28,2,9,2
29,2,10,7
30,2,12,2
31,2,14,6
32,2,20,1
33,2,23,1
34,2,25,1
35,2,26,3
36,2,28,10
37,2,29,1
38,2,38,2
39,2,39,2
40,2,41,6
41,2,43,2
42,2,50,1
43,2,57,1
44,2,58,1
45,2,62,1
46,2,63,1
47,2,64,1
48,2,65,1
49,2,80,3
50,2,85,2
51,2,89,1
52,2,92,1
53,2,122,1
54,2,133,1
55,2,135,1
56,2,147,1
57,2,177,2
58,2,201,1
59,3,4,5
60,3,7,1
61,3,10,6
62,3,14,3
63,3,19,1
64,3,28,2
65,3,29,1
66,3,32,1
67,3,39,6
68,3,41,1
69,3,43,2
70,3,49,1
71,3,50,1
72,3,58,1
73,3,73,1
74,3,82,1
75,3,85,1
76,3,89,1
77,3,96,1
78,3,107,1
79,3,124,1
80,3,135,1
81,3,137,1
82,3,177,1
83,4,5,2
84,4,6,9
85,4,7,4
86,4,8,2
87,4,9,11
88,4,10,69
89,4,11,17
90,4,12,17
91,4,13,8
92,4,14,23
93,4,15,1
94,4,16,3
95,4,18,3
96,4,20,14
97,4,21,3
98,4,22,1
99,4,25,11
100,4,28,4
101,4,29,2
102,4,30,8
103,4,31,1
104,4,35,4
105,4,37,3
106,4,38,1
107,4,40,3
108,4,41,19
109,4,43,8
110,4,45,2
111,4,46,1
112,4,48,3
113,4,50,4
114,4,51,1
115,4,53,1
116,4,55,1
117,4,56,6
118,4,58,2
119,4,59,1
120,4,60,3
121,4,61,2
122,4,64,1
123,4,65,1
124,4,66,10
125,4,67,8
126,4,70,4
127,4,74,2
128,4,75,1
129,4,77,1
130,4,78,1
131,4,79,1
132,4,82,7
133,4,85,1
134,4,87,10
135,4,89,1
136,4,97,1
137,4,100,2
138,4,101,5
139,4,102,5
140,4,104,4
141,4,107,3
142,4,110,2
143,4,111,1
144,4,116,1
145,4,119,1
146,4,121,1
147,4,122,1
148,4,123,1
149,4,127,3
150,4,128,2
151,4,133,12
152,4,134,1
153,4,137,1
154,4,139,1
155,4,142,1
156,4,145,1
157,4,153,1
158,4,154,6
159,4,160,1
160,4,171,2
161,4,176,2
162,4,177,8
163,4,181,1
164,4,190,1
165,4,195,2
166,5,6,4
167,5,7,2
168,5,8,1
169,5,10,25
170,5,11,6
171,5,12,1
172,5,14,21
173,5,16,3
174,5,17,1
175,5,18,1
176,5,19,2
177,5,20,4
178,5,21,5
179,5,23,2
180,5,25,10
181,5,26,1
182,5,28,2
183,5,30,2
184,5,37,4
185,5,38,1
186,5,41,13
187,5,46,1
188,5,51,2
189,5,53,1
190,5,54,5
191,5,55,8
192,5,56,3
193,5,61,3
194,5,65,4
195,5,67,4
196,5,82,3
197,5,88,2
198,5,97,1
199,5,100,1
200,5,107,1
201,5,108,2
202,5,110,5
203,5,112,1
204,5,115,1
205,5,119,1
206,5,128,5
207,5,131,1
208,5,135,1
209,5,141,1
210,5,147,5
211,5,148,1
212,5,153,2
213,5,155,2
214,5,156,1
215,5,177,2
216,5,193,1
217,6,7,4
218,6,8,4
219,6,9,2
220,6,10,42
221,6,11,2
222,6,12,9
223,6,14,16
224,6,15,1
225,6,16,1
226,6,18,3
227,6,19,8
228,6,21,3
229,6,23,1
230,6,25,4
231,6,26,2
232,6,28,5
233,6,30,7
234,6,31,1
235,6,33,1
236,6,36,2
237,6,37,2
238,6,38,1
239,6,41,13
240,6,43,2
241,6,44,1
242,6,45,1
243,6,46,1
244,6,47,1
245,6,48,1
246,6,50,5
247,6,52,1
248,6,55,2
249,6,56,6
250,6,57,2
251,6,65,1
252,6,69,1
253,6,70,1
254,6,77,1
255,6,80,1
256,6,82,5
257,6,83,1
258,6,84,1
259,6,85,2
260,6,87,1
261,6,88,1
262,6,89,2
263,6,96,1
264,6,111,1
265,6,113,1
266,6,117,1
267,6,121,1
268,6,124,1
269,6,127,1
270,6,128,1
271,6,129,1
272,6,132,1
273,6,134,1
274,6,137,1
275,6,138,1
276,6,149,1
277,6,153,1
278,6,162,1
279,6,169,1
280,6,171,1
281,6,177,4
282,6,184,1
283,6,191,1
284,6,205,1
285,7,8,2
286,7,9,1
287,7,10,20
288,7,12,3
289,7,14,3
290,7,18,3
291,7,19,2
292,7,21,1
293,7,26,1
294,7,27,1
295,7,28,6
296,7,29,1
297,7,37,2
298,7,38,3
299,7,41,7
300,7,42,1
301,7,43,3
302,7,50,3
303,7,53,1
304,7,63,1
305,7,76,1
306,7,77,1
307,7,78,1
308,7,80,1
309,7,82,8
310,7,96,3
311,7,109,1
312,7,110,1
313,7,122,1
314,7,126,1
315,7,133,1
316,7,153,1
317,7,179,1
318,7,194,1
319,8,9,1
320,8,10,15
321,8,14,1
322,8,16,1
323,8,19,2
324,8,21,1
325,8,23,1
326,8,25,3
327,8,26,2
328,8,28,4
329,8,29,3
330,8,30,1
331,8,41,9
332,8,42,1
333,8,43,2
334,8,49,1
335,8,53,2
336,8,56,5
337,8,58,1
338,8,62,1
339,8,67,1
340,8,71,1
341,8,80,3
342,8,87,1
343,8,99,1
344,8,100,1
345,8,116,1
346,8,119,4
347,8,123,1
348,8,128,1
349,8,134,1
350,8,138,1
351,8,155,1
352,8,158,1
353,8,165,1
354,8,177,1
355,8,179,1
356,8,183,1
357,8,207,1
358,9,10,26
359,9,11,5
360,9,12,8
361,9,13,2
362,9,14,10
363,9,18,1
364,9,19,3
365,9,20,10
366,9,23,1
367,9,25,7
368,9,28,1
369,9,30,4
370,9,31,1
371,9,37,1
372,9,38,1
373,9,40,1
374,9,41,2
375,9,43,2
376,9,46,1
377,9,51,1
378,9,57,1
379,9,58,1
380,9,61,5
381,9,70,4
382,9,74,1
383,9,82,1
384,9,87,1
385,9,102,2
386,9,106,3
387,9,110,5
388,9,113,1
389,9,121,4
390,9,125,1
391,9,131,1
392,9,132,1
393,9,133,1
394,9,146,2
395,9,154,3
396,9,190,1
397,10,11,26
398,10,12,31
399,10,13,4
400,10,14,63
401,10,15,2
402,10,16,3
403,10,18,14
404,10,19,27
405,10,20,25
406,10,21,14
407,10,23,17
408,10,25,38
409,10,26,8
410,10,28,10
411,10,29,4
