,t1,t2,ct
0,1,2,17
1,1,3,6
2,1,13,5
3,1,15,1
4,1,20,1
5,1,23,1
6,1,27,2
7,1,28,1
8,1,29,5
9,1,30,1
10,1,34,2
11,1,36,1
12,1,37,1
13,1,38,1
14,1,40,5
15,1,43,3
16,1,50,3
17,1,53,1
18,1,54,1
19,1,56,1
20,1,57,2
21,1,58,16
22,1,59,3
23,1,60,1
24,1,69,8
25,1,72,3
26,1,77,1
27,1,83,1
28,1,87,1
29,1,88,1
30,1,98,7
31,1,103,1
32,1,111,1
33,1,117,2
34,1,118,1
35,1,119,2
36,1,123,1
37,1,128,1
38,1,136,1
39,1,143,1
40,1,145,1
41,1,146,2
42,1,152,3
43,1,157,1
44,1,176,1
45,1,189,2
46,1,191,1
47,1,197,1
48,1,208,2
49,1,213,1
50,1,218,1
51,1,226,8
52,1,242,1
53,1,245,1
54,1,251,1
55,1,254,2
56,1,263,3
57,1,267,2
58,1,270,1
59,1,276,1
60,1,280,1
61,1,288,2
62,1,289,1
63,1,302,1
64,1,317,1
65,1,324,1
66,1,348,1
67,1,349,1
68,1,356,1
69,1,366,1
70,1,376,1
71,1,420,1
72,1,427,1
73,1,435,1
74,1,448,1
75,1,503,1
76,1,514,1
77,1,515,5
78,1,516,1
79,1,517,13
80,1,535,1
81,1,600,2
82,1,620,1
83,1,646,1
84,1,664,3
85,1,686,1
86,1,688,1
87,1,722,1
88,1,729,1
89,1,777,1
90,1,893,1
91,1,1049,1
92,1,1081,1
93,2,3,241
94,2,4,24
95,2,5,3
96,2,6,9
97,2,8,8
98,2,9,7
99,2,10,11
100,2,11,159
101,2,12,53
102,2,14,6
103,2,15,82
104,2,16,3
105,2,19,16
106,2,21,2
107,2,22,1
108,2,23,59
109,2,24,1
110,2,25,4
111,2,26,3
112,2,27,3
113,2,28,26
114,2,31,27
115,2,32,6
116,2,33,2
117,2,35,1
118,2,36,18
119,2,38,5
120,2,39,23
121,2,41,1
122,2,42,1
123,2,43,1
124,2,45,7
125,2,46,41
126,2,49,1
127,2,50,24
128,2,51,2
129,2,53,19
130,2,54,11
131,2,56,18
132,2,58,100
133,2,59,4
134,2,60,9
135,2,64,3
136,2,66,1
137,2,67,14
138,2,69,346
139,2,70,27
140,2,71,6
141,2,75,1
142,2,76,1
143,2,80,51
144,2,81,5
145,2,82,3
146,2,85,1
147,2,87,9
148,2,88,4
149,2,90,19
150,2,91,1
151,2,94,34
152,2,95,19
153,2,97,4
154,2,98,7
155,2,101,3
156,2,103,20
157,2,105,1
158,2,106,10
159,2,107,8
160,2,108,6
161,2,109,3
162,2,112,2
163,2,117,29
164,2,119,27
165,2,121,2
166,2,123,107
167,2,124,5
168,2,125,3
169,2,126,1
170,2,128,8
171,2,129,8
172,2,130,18
173,2,131,1
174,2,132,16
175,2,137,1
176,2,139,1
177,2,141,13
178,2,142,7
179,2,143,7
180,2,144,18
181,2,145,11
182,2,146,1
183,2,147,1
184,2,148,7
185,2,149,1
186,2,150,12
187,2,151,4
188,2,152,1
189,2,154,21
190,2,157,2
191,2,158,3
192,2,160,1
193,2,161,1
194,2,162,8
195,2,163,10
196,2,166,4
197,2,169,1
198,2,170,1
199,2,171,4
200,2,172,1
201,2,173,1
202,2,177,3
203,2,178,12
204,2,179,2
205,2,180,2
206,2,183,7
207,2,185,1
208,2,186,5
209,2,187,1
210,2,188,1
211,2,189,14
212,2,190,4
213,2,191,1
214,2,192,2
215,2,194,3
216,2,196,1
217,2,197,5
218,2,198,4
219,2,201,1
220,2,203,4
221,2,204,13
222,2,206,2
223,2,208,16
224,2,209,1
225,2,211,6
226,2,212,1
227,2,214,2
228,2,216,3
229,2,219,14
230,2,220,7
231,2,221,1
232,2,222,3
233,2,223,1
234,2,225,3
235,2,227,5
236,2,231,2
237,2,232,2
238,2,234,1
239,2,235,2
240,2,236,1
241,2,237,3
242,2,239,3
243,2,240,1
244,2,241,4
245,2,242,13
246,2,243,3
247,2,245,3
248,2,246,1
249,2,247,2
250,2,248,3
251,2,249,2
252,2,251,2
253,2,253,12
254,2,254,34
255,2,256,1
256,2,260,3
257,2,261,1
258,2,264,1
259,2,266,1
260,2,269,4
261,2,271,9
262,2,274,13
263,2,275,1
264,2,276,3
265,2,277,4
266,2,278,1
267,2,280,1
268,2,283,5
269,2,285,3
270,2,286,1
271,2,289,4
272,2,293,6
273,2,303,2
274,2,312,1
275,2,317,3
276,2,325,2
277,2,327,1
278,2,328,8
279,2,329,5
280,2,330,3
281,2,331,2
282,2,333,8
283,2,334,1
284,2,336,2
285,2,337,2
286,2,340,2
287,2,341,4
288,2,345,1
289,2,352,2
290,2,353,1
291,2,354,1
292,2,355,3
293,2,356,4
294,2,357,1
295,2,359,11
296,2,360,1
297,2,368,2
298,2,369,1
