,t1,t2,ct
0,1,2,1
1,1,3,2
2,1,10,1
3,1,11,1
4,1,15,1
5,1,25,1
6,1,27,1
7,1,37,1
8,1,59,1
9,2,3,10
10,2,4,1
11,2,6,2
12,2,7,1
13,2,8,9
14,2,9,8
15,2,10,13
16,2,13,13
17,2,14,1
18,2,15,4
19,2,16,2
20,2,17,1
21,2,23,1
22,2,24,2
23,2,25,2
24,2,28,1
25,2,30,1
26,2,31,3
27,2,32,3
28,2,33,1
29,2,35,3
30,2,36,3
31,2,38,5
32,2,41,3
33,2,42,1
34,2,43,1
35,2,44,1
36,2,49,3
37,2,51,4
38,2,52,1
39,2,53,1
40,2,56,1
41,2,58,1
42,2,59,1
43,2,61,5
44,2,64,2
45,3,4,1
46,3,8,4
47,3,9,3
48,3,10,5
49,3,11,1
50,3,13,1
51,3,14,2
52,3,15,1
53,3,19,1
54,3,24,2
55,3,25,1
56,3,26,2
57,3,28,1
58,3,30,2
59,3,31,2
60,3,32,1
61,3,33,2
62,3,34,2
63,3,35,1
64,3,36,3
65,3,37,1
66,3,39,2
67,3,44,9
68,3,45,2
69,3,49,2
70,3,51,1
71,3,58,2
72,3,59,1
73,3,60,2
74,3,61,1
75,3,62,1
76,3,70,1
77,3,72,1
78,4,5,1
79,4,10,3
80,4,14,2
81,4,15,3
82,4,16,1
83,4,18,2
84,4,19,2
85,4,24,2
86,4,25,1
87,4,28,1
88,4,29,2
89,4,30,3
90,4,31,2
91,4,33,2
92,4,35,1
93,4,36,1
94,4,39,1
95,4,43,1
96,4,44,1
97,4,45,1
98,4,50,1
99,4,51,1
100,4,54,1
101,4,56,2
102,4,62,1
103,4,63,2
104,4,66,1
105,4,69,1
106,5,13,1
107,6,7,1
108,6,10,1
109,6,23,1
110,6,52,1
111,6,55,1
112,6,58,1
113,6,61,1
114,7,10,2
115,8,9,1
116,8,10,7
117,8,13,4
118,8,15,2
119,8,16,3
120,8,24,1
121,8,25,1
122,8,26,1
123,8,35,3
124,8,38,3
125,8,39,2
126,8,43,3
127,8,49,1
128,8,51,2
129,8,56,1
130,8,57,1
131,8,58,3
132,8,59,1
133,8,61,2
134,8,64,2
135,8,71,2
136,9,10,4
137,9,13,10
138,9,14,5
139,9,15,1
140,9,25,1
141,9,31,7
142,9,32,1
143,9,33,2
144,9,39,3
145,9,44,1
146,9,49,1
147,9,51,2
148,9,57,1
149,9,58,2
150,9,61,2
151,9,63,1
152,10,13,2
153,10,14,5
154,10,15,13
155,10,16,1
156,10,18,3
157,10,20,4
158,10,24,4
159,10,25,7
160,10,26,2
161,10,28,1
162,10,29,2
163,10,31,6
164,10,32,2
165,10,33,4
166,10,34,1
167,10,35,3
168,10,36,5
169,10,37,2
170,10,38,2
171,10,39,2
172,10,43,1
173,10,44,2
174,10,45,1
175,10,47,1
176,10,49,2
177,10,51,2
178,10,53,2
179,10,55,1
180,10,58,2
181,10,59,2
182,10,61,2
183,10,63,2
184,10,65,1
185,10,66,2
186,10,71,1
187,11,16,1
188,11,24,1
189,11,33,1
190,11,61,1
191,12,13,1
192,12,14,2
193,12,26,2
194,13,16,1
195,13,23,1
196,13,26,1
197,13,31,2
198,13,33,2
199,13,35,1
200,13,38,1
201,13,39,2
202,13,41,3
203,13,43,2
204,13,49,2
205,13,51,2
206,13,52,1
207,13,57,1
208,13,58,1
209,13,64,1
210,13,72,1
211,14,18,2
212,14,19,2
213,14,20,1
214,14,24,5
215,14,25,9
216,14,26,3
217,14,31,3
218,14,33,2
219,14,36,1
220,14,39,2
221,14,44,1
222,14,45,1
223,14,47,1
224,14,48,1
225,14,51,1
226,14,52,1
227,14,53,1
228,14,54,2
229,14,57,1
230,14,58,5
231,14,61,4
232,14,63,1
233,14,66,3
234,14,69,1
235,14,72,1
236,15,18,3
237,15,19,1
238,15,20,1
239,15,24,2
240,15,25,2
241,15,31,2
242,15,32,1
243,15,33,2
244,15,35,1
245,15,36,3
246,15,38,1
247,15,51,1
248,15,54,1
249,15,59,2
250,15,61,1
251,15,63,2
252,16,17,1
253,16,24,1
254,16,43,1
255,16,49,1
256,16,64,1
257,17,31,1
258,17,64,1
259,18,19,2
260,18,23,1
261,18,24,3
262,18,25,1
263,18,26,1
264,18,31,4
265,18,32,2
266,18,33,6
267,18,37,1
268,18,45,1
269,18,51,2
270,18,52,1
271,18,61,1
272,19,24,7
273,19,25,2
274,19,30,2
275,19,31,2
276,19,33,4
277,19,36,1
278,19,52,1
279,19,58,1
280,19,61,1
281,19,62,1
282,19,64,1
283,20,21,1
284,20,24,3
285,20,25,2
286,20,26,1
287,20,31,1
288,20,32,1
289,20,33,1
290,20,34,1
291,20,38,1
292,20,44,1
293,20,48,1
294,20,51,1
295,20,58,1
296,20,63,1
297,20,66,1
298,22,23,2
299,23,24,1
300,23,25,1
301,23,31,1
302,23,36,1
303,23,41,1
304,24,25,7
305,24,26,1
306,24,31,3
307,24,33,5
308,24,34,1
309,24,36,2
310,24,37,1
311,24,44,6
312,24,45,2
313,24,48,1
314,24,50,1
315,24,51,5
316,24,54,1
317,24,58,4
318,24,62,1
319,24,64,1
320,24,65,1
321,24,66,3
322,24,70,2
323,25,26,3
324,25,31,3
325,25,32,1
326,25,33,7
327,25,34,2
328,25,36,2
329,25,37,1
330,25,39,1
331,25,44,3
332,25,46,1
333,25,51,3
334,25,52,1
335,25,53,1
336,25,54,3
337,25,57,2
338,25,58,3
339,25,59,1
340,25,61,2
341,25,62,1
342,25,63,2
343,25,64,3
344,25,66,5
345,25,67,2
346,25,69,1
347,26,34,1
348,26,51,1
349,26,56,1
350,26,58,1
351,26,65,1
352,28,33,1
353,28,44,1
354,28,58,1
355,29,30,1
356,29,39,1
357,29,50,1
358,29,51,1
359,29,63,1
360,30,31,1
361,30,34,1
362,30,51,1
363,30,54,1
364,30,56,1
