,t1,t2,ct
0,1,2,2
1,1,17,5
2,1,19,1
3,1,22,1
4,1,33,1
5,1,62,1
6,1,106,3
7,1,152,1
8,1,172,1
9,1,184,1
10,1,189,2
11,1,190,2
12,1,191,3
13,1,192,2
14,1,198,1
15,1,204,1
16,1,215,1
17,1,229,1
18,1,239,2
19,1,257,1
20,1,261,1
21,1,290,1
22,1,313,1
23,2,3,1
24,2,4,5
25,2,5,2
26,2,6,1
27,2,7,1
28,2,10,2
29,2,11,3
30,2,12,2
31,2,14,5
32,2,17,9
33,2,18,3
34,2,19,5
35,2,20,3
36,2,21,2
37,2,22,26
38,2,25,2
39,2,29,3
40,2,33,1
41,2,34,1
42,2,40,1
43,2,41,2
44,2,44,1
45,2,46,7
46,2,51,1
47,2,53,1
48,2,55,1
49,2,56,1
50,2,57,2
51,2,59,1
52,2,62,18
53,2,63,2
54,2,64,1
55,2,69,2
56,2,72,7
57,2,73,1
58,2,79,2
59,2,81,1
60,2,84,1
61,2,90,1
62,2,92,2
63,2,102,1
64,2,105,1
65,2,106,9
66,2,107,1
67,2,110,4
68,2,111,1
69,2,112,2
70,2,114,3
71,2,115,2
72,2,120,1
73,2,124,1
74,2,125,2
75,2,126,3
76,2,128,2
77,2,129,1
78,2,130,1
79,2,134,2
80,2,142,1
81,2,148,1
82,2,152,7
83,2,154,2
84,2,155,2
85,2,159,4
86,2,161,2
87,2,163,1
88,2,164,1
89,2,165,2
90,2,167,2
91,2,171,2
92,2,173,1
93,2,176,1
94,2,177,1
95,2,178,1
96,2,182,11
97,2,186,5
98,2,188,1
99,2,189,5
100,2,191,3
101,2,192,3
102,2,195,1
103,2,197,2
104,2,203,4
105,2,204,1
106,2,213,1
107,2,224,1
108,2,225,2
109,2,227,1
110,2,239,1
111,2,242,1
112,2,243,1
113,2,248,1
114,2,254,1
115,2,257,1
116,2,260,4
117,2,265,1
118,2,267,1
119,2,269,1
120,2,270,3
121,2,275,2
122,2,277,1
123,2,279,2
124,2,283,1
125,2,285,1
126,2,286,1
127,2,289,1
128,2,294,2
129,2,316,1
130,2,324,2
131,2,333,1
132,2,349,1
133,3,22,1
134,3,34,1
135,3,40,1
136,3,92,1
137,3,152,2
138,4,5,3
139,4,6,7
140,4,9,4
141,4,10,2
142,4,11,1
143,4,17,1
144,4,22,13
145,4,26,2
146,4,27,1
147,4,29,3
148,4,31,5
149,4,33,1
150,4,40,17
151,4,44,1
