,t1,t2,ct
0,1,2,3
1,1,4,3
2,1,5,1
3,1,7,1
4,1,12,1
5,1,14,1
6,1,17,1
7,1,26,1
8,1,27,1
9,1,32,1
10,1,33,1
11,1,38,2
12,1,40,1
13,1,43,1
14,1,46,1
15,1,50,1
16,1,51,1
17,1,53,4
18,1,54,2
19,1,55,1
20,1,58,1
21,1,68,1
22,1,71,1
23,1,73,2
24,1,93,1
25,1,94,1
26,1,111,1
27,1,114,2
28,1,117,1
29,1,118,1
30,1,121,1
31,1,126,2
32,1,127,1
33,1,133,1
34,1,155,1
35,1,175,1
36,2,4,2
37,2,6,1
38,2,7,4
39,2,11,4
40,2,13,6
41,2,16,1
42,2,17,2
43,2,23,2
44,2,24,1
45,2,33,1
46,2,39,1
47,2,44,1
48,2,45,2
49,2,47,1
50,2,52,1
51,2,54,1
52,2,59,1
53,2,68,1
54,2,71,1
55,2,73,1
56,2,94,1
57,2,103,2
58,2,104,1
59,2,115,1
60,2,117,1
61,2,127,2
62,2,161,1
63,4,5,2
64,4,11,1
65,4,13,2
66,4,17,1
67,4,23,1
68,4,29,1
69,4,32,1
70,4,59,1
71,4,71,3
72,4,73,1
73,4,117,3
74,4,127,2
75,4,147,1
76,5,7,6
77,5,11,1
78,5,12,1
79,5,13,1
80,5,17,2
81,5,20,1
82,5,21,1
83,5,22,1
84,5,23,1
85,5,30,1
86,5,32,1
87,5,36,1
88,5,37,1
89,5,38,1
90,5,39,1
91,5,43,1
92,5,45,1
93,5,49,1
94,5,54,8
95,5,56,3
96,5,59,2
97,5,66,1
98,5,77,1
99,5,94,2
100,5,103,1
101,5,104,1
102,5,115,3
103,5,117,1
104,5,118,1
105,5,126,1
106,5,127,1
107,5,130,1
108,5,132,1
109,5,133,1
110,5,139,1
111,5,142,1
112,5,145,2
113,5,147,1
114,5,149,1
115,5,160,1
116,5,164,1
117,5,174,1
118,5,200,1
119,6,13,1
120,6,20,1
121,6,21,1
122,6,129,1
123,7,8,2
124,7,11,3
125,7,12,7
126,7,13,8
127,7,17,1
128,7,18,1
129,7,20,1
130,7,21,1
131,7,22,1
132,7,23,5
133,7,29,1
134,7,30,5
135,7,31,2
136,7,32,2
137,7,33,4
138,7,38,3
139,7,40,1
140,7,43,1
141,7,47,3
142,7,50,1
143,7,52,1
144,7,54,17
145,7,55,3
146,7,58,3
147,7,64,1
148,7,71,1
149,7,73,2
150,7,82,1
151,7,90,1
152,7,91,1
153,7,93,1
154,7,94,1
155,7,103,1
156,7,104,2
157,7,115,3
158,7,117,2
159,7,118,2
160,7,121,1
161,7,122,3
162,7,125,2
163,7,126,1
164,7,127,1
165,7,129,1
166,7,130,1
167,7,132,1
168,7,135,1
169,7,147,3
170,7,152,1
171,7,154,2
172,7,166,1
173,7,172,1
174,7,174,1
175,7,176,1
176,7,190,1
177,7,191,1
178,7,195,1
179,7,199,2
180,7,200,3
181,7,212,2
182,8,10,1
183,8,13,3
184,8,117,1
185,11,12,1
186,11,13,3
187,11,17,1
188,11,21,1
189,11,22,3
190,11,23,2
191,11,24,5
192,11,34,1
193,11,38,1
194,11,40,5
195,11,42,1
196,11,44,2
197,11,50,1
198,11,51,1
199,11,52,4
200,11,54,7
201,11,55,1
202,11,56,1
203,11,63,1
204,11,68,1
205,11,69,1
206,11,70,2
207,11,71,1
208,11,73,2
209,11,84,1
210,11,89,1
211,11,90,3
212,11,100,4
213,11,118,79
214,11,119,1
215,11,120,1
216,11,122,2
217,11,124,1
218,11,129,3
219,11,132,1
220,11,145,1
221,11,147,2
222,11,155,4
223,11,160,5
224,11,173,1
225,11,175,1
226,11,176,2
227,11,184,1
228,11,186,1
229,11,206,1
230,11,207,1
231,11,211,1
232,11,223,1
233,12,13,7
234,12,15,1
235,12,16,1
236,12,20,4
237,12,21,2
238,12,22,3
239,12,24,3
240,12,27,1
241,12,30,5
242,12,31,1
243,12,40,11
244,12,42,3
245,12,43,2
246,12,44,8
247,12,46,1
248,12,47,3
249,12,52,6
250,12,53,3
251,12,54,2
252,12,55,3
253,12,58,2
254,12,61,2
255,12,64,1
256,12,70,1
257,12,73,10
258,12,77,1
259,12,90,2
260,12,93,1
261,12,94,1
262,12,100,5
263,12,103,1
264,12,111,1
265,12,115,1
266,12,117,1
267,12,118,23
268,12,121,3
269,12,122,3
270,12,124,2
271,12,126,8
272,12,129,2
273,12,142,1
274,12,147,1
275,12,152,1
276,12,155,1
277,12,156,1
278,12,157,4
279,12,159,4
280,12,163,7
281,12,173,1
282,12,175,1
283,12,184,2
284,12,187,1
285,12,189,1
286,12,190,4
287,12,192,1
288,12,195,4
289,12,197,1
290,12,208,1
291,12,211,1
292,12,216,1
293,12,217,1
294,12,220,1
295,13,15,3
296,13,20,1
297,13,21,4
298,13,22,8
299,13,23,8
300,13,24,10
301,13,32,1
302,13,34,4
303,13,39,2
304,13,40,1
305,13,42,2
306,13,44,1
307,13,51,1
308,13,52,4
309,13,54,1
310,13,55,1
311,13,59,1
312,13,73,4
313,13,94,1
314,13,111,1
315,13,112,1
316,13,115,1
317,13,117,1
318,13,118,1
319,13,125,2
320,13,126,4
321,13,135,10
322,13,136,2
323,13,144,1
324,13,148,2
325,13,151,1
326,13,161,1
327,13,176,1
328,13,177,1
