,t1,t2,ct
0,1,2,4
1,1,3,1
2,1,4,7
3,1,5,25
4,1,7,30
5,1,8,5
6,1,11,11
7,1,12,14
8,1,13,1
9,1,14,1
10,1,15,1
11,1,17,4
12,1,21,2
13,1,24,2
14,1,25,1
15,1,26,10
16,1,28,1
17,1,31,6
18,1,33,1
19,1,34,40
20,1,35,4
21,1,36,6
22,1,37,5
23,1,38,1
24,1,39,12
25,1,40,3
26,1,44,20
27,1,47,2
28,1,52,24
29,1,53,9
30,1,54,7
31,1,55,6
32,1,61,8
33,1,62,16
34,1,64,2
35,1,65,9
36,1,67,1
37,1,68,7
38,1,71,9
39,1,72,1
40,1,73,5
41,1,74,10
42,1,76,4
43,1,77,4
44,1,82,1
45,1,85,19
46,1,86,4
47,1,87,3
48,1,88,3
49,1,89,2
50,1,92,14
51,1,93,1
52,1,94,30
53,1,95,2
54,1,96,1
55,1,97,3
56,1,99,1
57,1,104,2
58,1,107,1
59,1,108,1
60,1,110,18
61,1,111,1
62,1,113,1
63,1,117,2
64,1,118,3
65,1,121,4
66,1,123,2
67,1,125,3
68,1,128,8
69,1,129,3
70,1,136,1
71,1,141,14
72,1,142,3
73,1,144,2
74,1,145,2
75,1,151,1
76,1,152,1
77,1,153,1
78,1,154,8
79,1,155,1
80,1,158,3
81,1,159,2
82,1,165,5
83,1,167,6
84,1,172,1
85,1,175,6
86,1,181,4
87,1,183,1
88,1,184,3
89,1,187,2
90,1,188,5
91,1,189,8
92,1,190,2
93,1,191,3
94,1,193,1
95,1,196,2
96,1,197,1
97,1,198,1
98,1,201,1
99,1,203,17
100,1,205,2
101,1,208,1
102,1,209,1
103,1,210,1
104,1,212,4
105,1,213,4
106,1,214,1
107,1,218,1
108,1,220,3
109,1,222,1
110,1,226,2
111,1,227,2
112,1,228,1
113,1,229,1
114,1,232,2
115,1,233,2
116,1,239,1
117,1,240,1
118,1,241,1
119,1,247,1
120,1,248,1
121,1,249,3
122,1,251,2
123,1,253,1
124,1,255,1
125,1,257,1
126,1,259,2
127,1,260,3
128,1,261,1
129,1,262,1
130,1,263,4
131,1,265,2
132,1,266,1
133,1,269,2
134,2,3,1
135,2,5,1
136,2,7,1
137,2,14,1
138,2,26,2
139,2,34,1
140,2,37,1
141,2,38,1
142,2,52,1
143,2,61,1
144,2,72,1
145,2,75,1
146,2,76,2
147,2,77,1
148,2,79,1
149,2,80,1
150,2,84,1
151,2,164,1
152,2,202,1
153,2,217,1
154,3,5,1
155,3,19,1
156,3,21,1
157,3,28,1
158,3,37,1
159,3,61,1
160,3,72,1
161,3,79,1
162,3,94,2
163,3,126,1
164,3,188,1
165,3,192,1
166,3,243,1
167,3,244,1
168,3,246,1
169,4,5,13
170,4,6,1
171,4,7,6
172,4,8,1
173,4,9,1
174,4,10,1
175,4,14,1
176,4,17,2
177,4,19,1
178,4,20,1
179,4,21,1
180,4,23,1
181,4,26,2
182,4,32,1
183,4,33,1
184,4,34,3
185,4,35,5
186,4,36,1
187,4,37,4
188,4,38,3
189,4,40,3
190,4,43,1
191,4,44,2
192,4,47,3
193,4,55,1
194,4,58,1
195,4,61,1
196,4,66,12
197,4,67,3
198,4,68,4
199,4,70,9
200,4,76,2
201,4,77,2
202,4,80,1
203,4,81,1
204,4,82,4
205,4,83,7
206,4,91,9
207,4,94,4
208,4,95,2
209,4,104,1
210,4,107,1
211,4,108,24
212,4,111,2
213,4,113,1
214,4,114,2
215,4,123,4
216,4,124,7
217,4,125,1
218,4,126,2
219,4,142,1
220,4,144,3
221,4,152,1
222,4,161,4
223,4,171,1
224,4,178,1
225,4,179,1
226,4,181,1
227,4,182,4
228,4,188,1
229,4,194,1
230,4,195,1
231,4,199,5
232,4,201,2
233,4,202,1
234,4,207,11
235,4,211,2
236,4,215,1
237,4,242,1
238,4,243,1
239,4,247,1
240,4,251,2
241,4,257,1
242,5,6,1
243,5,7,9
244,5,14,1
245,5,15,1
246,5,19,3
247,5,20,1
248,5,21,4
249,5,22,1
250,5,23,6
251,5,26,5
252,5,28,5
253,5,32,1
254,5,34,12
255,5,36,1
256,5,37,3
257,5,38,3
258,5,39,1
259,5,40,1
260,5,43,2
261,5,45,2
262,5,46,2
263,5,48,1
264,5,50,2
265,5,52,2
266,5,55,1
267,5,58,1
268,5,61,4
269,5,62,1
270,5,66,1
271,5,67,1
272,5,68,8
273,5,72,3
274,5,74,2
275,5,75,1
