,t1,t2,ct
0,1,2,11
1,1,3,120
2,1,4,2
3,1,6,2
4,1,8,1
5,1,9,9
6,1,10,1
7,1,12,51
8,1,16,74
9,1,22,9
10,1,23,1
11,1,26,1
12,1,29,1
13,1,30,2
14,1,36,2
15,1,37,1
16,1,45,7
17,1,46,1
18,1,59,5
19,1,70,11
20,1,72,1
21,1,75,5
22,1,76,4
23,1,77,3
24,1,78,1
25,1,79,3
26,1,83,3
27,1,85,20
28,1,86,11
29,1,96,1
30,1,102,6
31,1,104,2
32,1,105,1
33,1,106,4
34,1,107,8
35,1,108,13
36,1,110,1
37,1,112,1
38,1,116,4
39,1,122,2
40,1,123,1
41,1,135,1
42,1,142,1
43,1,146,1
44,1,148,1
45,1,155,4
46,1,157,2
47,1,158,1
48,1,164,1
49,1,165,5
50,1,167,1
51,1,182,6
52,1,183,1
53,1,187,4
54,1,189,1
55,1,190,1
56,1,192,2
57,1,195,1
58,1,197,1
59,1,198,2
60,1,199,1
61,1,202,4
62,1,204,1
63,1,205,1
64,1,210,1
65,1,211,2
66,1,222,1
67,1,233,1
68,1,234,1
69,1,238,1
70,1,239,1
71,1,241,1
72,1,246,1
73,1,248,1
74,1,251,1
75,1,263,2
76,1,274,6
77,1,280,1
78,1,296,1
79,1,308,1
80,1,310,1
81,1,320,1
82,1,324,1
83,1,333,2
84,1,342,2
85,1,346,1
86,1,356,1
87,1,390,1
88,2,3,7
89,2,6,1
90,2,9,1
91,2,12,6
92,2,16,6
93,2,22,1
94,2,76,1
95,2,79,1
96,2,85,2
97,2,108,1
98,2,110,1
99,2,116,1
100,2,123,1
101,2,182,1
102,2,187,1
103,2,192,1
104,2,199,1
105,2,211,1
106,2,263,1
107,2,333,1
108,3,4,3
109,3,6,9
110,3,7,6
111,3,8,9
112,3,9,8
113,3,10,2
114,3,12,124
115,3,14,3
116,3,16,139
117,3,18,1
118,3,19,2
119,3,20,1
120,3,21,9
121,3,22,14
122,3,23,2
123,3,26,8
124,3,30,4
125,3,31,2
126,3,33,1
127,3,36,3
128,3,37,9
129,3,38,1
130,3,40,5
131,3,41,1
132,3,42,1
133,3,44,2
134,3,45,5
135,3,46,2
136,3,52,4
137,3,58,4
138,3,59,3
139,3,61,1
140,3,66,5
141,3,67,1
142,3,69,1
143,3,70,56
144,3,72,2
145,3,75,4
146,3,76,7
147,3,77,2
148,3,79,2
149,3,83,5
150,3,85,22
151,3,86,4
152,3,88,1
153,3,89,5
154,3,94,3
155,3,96,1
156,3,99,1
157,3,102,6
158,3,105,2
159,3,106,5
160,3,107,13
161,3,108,33
162,3,112,7
163,3,116,22
164,3,117,1
165,3,120,6
166,3,122,1
167,3,123,4
168,3,129,1
169,3,131,1
170,3,133,1
171,3,134,2
172,3,135,5
173,3,142,2
174,3,145,1
175,3,148,2
176,3,151,10
177,3,153,1
178,3,155,24
179,3,157,4
180,3,160,2
181,3,164,1
182,3,165,31
183,3,167,4
184,3,170,1
185,3,171,1
186,3,172,2
187,3,175,1
188,3,180,2
189,3,182,8
190,3,183,1
191,3,184,2
192,3,187,5
193,3,189,1
194,3,192,2
195,3,195,1
196,3,197,5
197,3,198,9
198,3,199,1
199,3,200,1
200,3,202,10
201,3,203,3
202,3,204,2
203,3,210,1
204,3,211,1
205,3,217,1
206,3,219,2
207,3,222,1
208,3,224,1
209,3,226,1
210,3,227,1
211,3,230,5
212,3,231,1
213,3,232,1
214,3,233,1
215,3,236,1
216,3,238,1
217,3,239,1
218,3,240,1
219,3,241,8
220,3,246,2
221,3,247,1
222,3,248,5
223,3,251,5
224,3,253,1
225,3,262,2
226,3,263,3
227,3,266,6
228,3,274,8
229,3,276,1
230,3,277,1
231,3,280,6
232,3,294,1
233,3,295,2
234,3,296,2
235,3,307,3
236,3,308,1
237,3,310,2
238,3,315,4
239,3,319,1
240,3,321,2
241,3,323,6
242,3,324,4
243,3,329,1
244,3,333,1
245,3,334,2
246,3,336,1
247,3,342,2
248,3,346,1
249,3,361,3
250,3,367,2
251,3,369,2
252,3,375,1
253,3,390,1
254,4,5,11
255,4,7,1
256,4,8,1
257,4,9,4
258,4,10,8
259,4,12,5
260,4,13,4
261,4,14,3
262,4,16,69
263,4,18,3
264,4,19,1
265,4,22,10
266,4,23,3
267,4,26,2
268,4,28,5
269,4,36,1
270,4,37,8
271,4,38,6
272,4,40,1
273,4,44,2
274,4,45,1
275,4,46,1
276,4,49,1
277,4,53,2
278,4,59,3
279,4,60,1
280,4,61,2
281,4,62,9
282,4,63,2
283,4,64,1
284,4,66,16
285,4,70,10
286,4,73,2
287,4,74,1
288,4,75,2
289,4,79,2
290,4,83,1
291,4,86,2
292,4,90,2
293,4,102,1
294,4,107,2
295,4,109,2
296,4,115,1
297,4,116,18
298,4,123,3
299,4,132,6
300,4,133,1
301,4,135,1
302,4,141,1
303,4,145,15
304,4,146,2
305,4,147,2
306,4,155,2
307,4,157,12
308,4,158,1
309,4,165,4
310,4,179,1
311,4,180,5
312,4,185,1
313,4,187,2
314,4,189,1
315,4,190,1
316,4,194,1
317,4,196,2
318,4,202,1
319,4,204,1
320,4,209,1
321,4,222,1
322,4,223,1
323,4,230,1
324,4,233,3
325,4,237,3
326,4,241,1
327,4,251,4
328,4,252,1
329,4,263,1
330,4,266,1
331,4,269,1
332,4,271,1
333,4,273,1
334,4,282,1
335,4,283,1
336,4,286,1
337,4,297,1
338,4,324,4
339,4,356,1
340,4,362,2
341,4,363,2
342,4,364,3
343,4,377,2
344,4,378,1
345,4,381,3
346,5,6,2
347,5,7,1
348,5,8,3
349,5,10,4
350,5,12,2
351,5,15,6
352,5,16,144
353,5,17,1
354,5,18,9
355,5,22,37
356,5,23,2
357,5,24,4
358,5,26,1
359,5,29,1
360,5,30,1
361,5,31,3
362,5,33,9
363,5,37,31
364,5,38,7
365,5,40,6
366,5,42,1
367,5,44,2
368,5,45,1
369,5,49,2
370,5,50,2
371,5,51,1
372,5,59,5
373,5,60,8
374,5,61,1
375,5,62,1
376,5,66,62
377,5,69,7
378,5,70,17
379,5,74,1
380,5,75,4
381,5,76,1
382,5,78,3
383,5,81,1
384,5,82,1
385,5,83,3
386,5,84,1
387,5,85,1
388,5,91,1
389,5,92,5
390,5,94,2
391,5,95,3
392,5,99,1
393,5,102,6
394,5,105,1
395,5,108,1
396,5,113,2
397,5,115,6
398,5,116,2
399,5,119,3
400,5,120,4
401,5,121,1
402,5,123,15
403,5,126,1
404,5,131,1
405,5,135,4
406,5,136,1
407,5,137,2
408,5,138,2
409,5,139,2
410,5,141,3
411,5,142,6
412,5,143,1
413,5,145,1
414,5,147,1
415,5,148,1
416,5,151,1
417,5,152,3
418,5,154,1
419,5,155,1
420,5,157,1
421,5,159,2
422,5,162,1
423,5,163,1
424,5,165,1
425,5,167,4
426,5,168,1
427,5,169,1
428,5,171,3
429,5,175,8
430,5,180,16
431,5,182,1
432,5,183,1
433,5,185,1
434,5,187,2
435,5,192,1
436,5,194,1
437,5,195,1
438,5,199,1
439,5,200,1
440,5,201,2
441,5,202,2
442,5,203,1
443,5,204,1
444,5,208,7
445,5,209,7
446,5,211,2
447,5,215,3
448,5,218,1
449,5,219,2
450,5,221,1
451,5,229,2
452,5,233,8
453,5,236,1
454,5,237,7
455,5,248,1
456,5,252,5
457,5,259,2
458,5,260,1
459,5,261,1
460,5,264,1
461,5,266,1
462,5,273,1
463,5,276,1
464,5,277,6
465,5,279,1
466,5,290,2
467,5,297,2
468,5,299,1
469,5,303,1
470,5,304,1
471,5,308,1
472,5,312,1
473,5,318,1
474,5,326,1
475,5,332,2
476,5,339,3
477,5,341,1
478,5,342,2
479,5,350,1
480,5,354,1
481,5,365,1
482,5,378,1
483,5,381,2
484,6,7,40
485,6,8,2
486,6,9,12
487,6,12,2
488,6,16,86
489,6,18,2
490,6,22,7
491,6,23,2
492,6,26,15
493,6,30,2
494,6,31,6
495,6,36,14
496,6,37,2
497,6,40,2
498,6,43,2
499,6,45,10
500,6,46,1
501,6,52,5
502,6,53,8
503,6,54,2
504,6,55,6
505,6,59,1
506,6,66,6
507,6,67,3
508,6,69,2
509,6,70,155
510,6,74,1
511,6,75,1
512,6,76,2
513,6,77,2
514,6,79,5
515,6,83,13
516,6,85,2
517,6,89,5
518,6,96,5
519,6,98,6
520,6,99,2
521,6,107,1
522,6,108,5
523,6,109,7
524,6,110,2
525,6,111,1
526,6,116,32
527,6,118,1
528,6,120,4
529,6,123,3
530,6,128,10
531,6,130,2
532,6,131,1
533,6,132,1
534,6,133,2
535,6,134,1
536,6,135,2
537,6,136,1
538,6,137,3
539,6,140,1
540,6,142,1
541,6,143,1
542,6,149,1
543,6,151,4
544,6,153,1
545,6,154,1
546,6,155,1
547,6,157,1
548,6,160,5
549,6,165,2
550,6,170,7
551,6,179,1
552,6,187,3
553,6,190,1
554,6,197,3
555,6,199,1
556,6,202,6
557,6,204,7
558,6,205,1
559,6,210,2
560,6,211,10
561,6,213,1
562,6,223,1
563,6,226,1
564,6,227,8
565,6,230,8
566,6,231,1
567,6,232,1
568,6,233,4
569,6,234,1
570,6,238,5
571,6,241,11
572,6,242,1
573,6,243,3
574,6,246,2
575,6,249,2
576,6,250,5
577,6,251,20
578,6,253,3
579,6,254,1
580,6,262,1
581,6,267,4
582,6,268,1
583,6,269,1
584,6,270,1
585,6,280,1
586,6,284,2
587,6,296,13
588,6,297,2
589,6,300,1
590,6,301,1
591,6,310,2
592,6,311,2
593,6,320,6
594,6,321,1
595,6,324,3
596,6,327,8
597,6,330,1
598,6,331,1
599,6,334,1
600,6,352,1
601,6,361,1
602,6,380,1
603,6,381,2
604,6,382,1
605,6,385,1
606,7,8,3
607,7,9,8
608,7,11,1
609,7,12,9
610,7,16,91
611,7,22,12
612,7,26,8
613,7,29,1
614,7,31,5
615,7,33,2
616,7,36,1
617,7,37,7
618,7,38,1
619,7,40,2
620,7,41,2
621,7,42,2
622,7,43,1
623,7,45,6
624,7,46,1
625,7,52,12
626,7,53,2
627,7,54,4
628,7,55,1
629,7,59,1
630,7,61,1
631,7,66,8
632,7,69,1
633,7,70,140
634,7,76,1
635,7,83,11
636,7,85,2
637,7,86,3
638,7,88,2
639,7,89,5
640,7,96,6
641,7,97,1
642,7,99,1
643,7,102,3
644,7,104,1
645,7,105,3
646,7,106,1
647,7,107,1
648,7,108,4
649,7,110,1
650,7,116,45
651,7,119,1
652,7,120,3
653,7,121,2
654,7,122,2
655,7,123,2
656,7,133,1
657,7,135,2
658,7,136,1
659,7,137,1
660,7,140,1
661,7,143,1
662,7,151,3
663,7,152,1
664,7,157,1
665,7,160,2
666,7,170,10
667,7,172,1
668,7,180,3
669,7,182,2
670,7,187,1
671,7,202,9
672,7,203,2
673,7,204,3
674,7,205,1
675,7,208,1
676,7,209,2
677,7,210,1
678,7,211,3
679,7,213,2
680,7,217,2
681,7,223,1
682,7,226,3
683,7,227,8
684,7,230,2
685,7,232,1
686,7,233,5
687,7,241,1
688,7,242,2
689,7,243,3
690,7,247,1
691,7,248,1
692,7,251,2
693,7,252,4
694,7,259,1
695,7,267,1
696,7,268,2
697,7,276,1
698,7,284,1
699,7,295,5
700,7,296,5
701,7,297,2
702,7,306,1
703,7,308,1
704,7,311,1
705,7,313,1
706,7,315,3
707,7,319,1
708,7,320,2
709,7,323,1
710,7,324,3
711,7,327,4
712,7,330,4
713,7,334,1
714,7,342,1
715,7,350,1
716,7,381,1
717,7,382,1
718,7,384,1
719,7,385,1
720,8,9,1
721,8,12,21
722,8,13,13
723,8,14,6
724,8,16,72
725,8,18,2
726,8,19,1
727,8,22,9
728,8,23,3
729,8,26,1
730,8,33,2
731,8,36,3
732,8,37,19
733,8,38,8
734,8,40,1
735,8,44,5
736,8,45,9
737,8,46,1
738,8,47,3
739,8,52,1
740,8,59,1
741,8,61,1
742,8,63,2
743,8,66,21
744,8,70,21
745,8,75,2
746,8,76,1
747,8,78,1
748,8,83,7
749,8,85,2
750,8,88,2
751,8,89,4
752,8,95,2
753,8,98,1
754,8,100,1
755,8,103,2
756,8,104,2
757,8,106,1
758,8,107,3
759,8,108,11
760,8,113,1
761,8,116,17
762,8,117,1
763,8,119,1
764,8,120,3
765,8,122,3
766,8,123,4
767,8,128,1
768,8,133,2
769,8,135,13
770,8,138,1
771,8,141,1
772,8,142,5
773,8,150,1
774,8,151,6
775,8,155,1
776,8,157,1
777,8,165,39
778,8,167,4
779,8,169,1
780,8,170,1
781,8,171,2
782,8,175,5
783,8,180,2
784,8,184,2
785,8,185,1
786,8,192,1
787,8,195,5
788,8,197,1
789,8,199,6
790,8,200,5
791,8,202,8
792,8,204,3
793,8,209,1
794,8,211,1
795,8,214,3
796,8,215,1
797,8,219,3
798,8,221,1
799,8,227,1
800,8,229,1
801,8,230,1
802,8,233,1
803,8,235,2
804,8,240,4
805,8,241,2
806,8,244,2
807,8,247,1
808,8,248,1
809,8,251,1
810,8,252,1
811,8,254,1
812,8,262,1
813,8,263,4
814,8,266,6
815,8,276,1
816,8,277,10
817,8,298,2
818,8,299,1
819,8,308,1
820,8,310,1
821,8,316,1
822,8,323,6
823,8,324,5
824,8,326,1
825,8,329,1
826,8,333,2
827,8,334,1
828,9,10,3
829,9,11,34
830,9,12,3
831,9,16,29
832,9,18,3
833,9,22,1
834,9,23,3
835,9,25,1
836,9,26,11
837,9,27,1
838,9,28,2
839,9,30,3
840,9,31,3
841,9,33,4
842,9,36,99
843,9,37,22
844,9,38,2
845,9,40,4
846,9,41,4
847,9,42,1
848,9,44,3
849,9,45,6
850,9,50,1
851,9,53,3
852,9,54,1
853,9,56,1
854,9,62,1
855,9,63,2
856,9,66,11
857,9,67,20
858,9,70,31
859,9,73,1
860,9,76,36
861,9,77,23
862,9,78,2
863,9,82,1
864,9,83,5
865,9,84,1
866,9,86,1
867,9,88,1
868,9,89,1
869,9,90,1
870,9,97,6
871,9,99,5
872,9,105,2
873,9,106,1
874,9,107,2
875,9,108,4
876,9,111,1
877,9,112,2
878,9,116,17
879,9,117,1
880,9,120,6
881,9,126,3
882,9,133,1
883,9,135,1
884,9,137,2
885,9,141,1
886,9,142,7
887,9,143,1
888,9,148,4
889,9,151,1
890,9,154,1
891,9,155,3
892,9,157,1
893,9,159,2
894,9,160,5
895,9,164,1
896,9,165,11
897,9,166,1
898,9,167,3
899,9,171,1
900,9,175,4
901,9,180,8
902,9,187,2
903,9,192,2
904,9,195,1
905,9,197,3
906,9,200,4
907,9,202,3
908,9,204,1
909,9,208,4
910,9,209,2
911,9,210,1
912,9,211,3
913,9,218,1
914,9,219,1
915,9,221,1
916,9,226,2
917,9,228,1
918,9,229,2
919,9,230,1
920,9,231,1
921,9,233,2
922,9,239,5
923,9,242,1
924,9,247,1
925,9,248,2
926,9,255,1
927,9,256,1
928,9,258,1
929,9,259,4
930,9,260,1
931,9,262,1
932,9,266,1
933,9,268,1
934,9,274,1
935,9,279,1
936,9,284,1
937,9,285,1
938,9,287,1
939,9,291,1
940,9,297,1
941,9,312,1
942,9,320,1
943,9,324,1
944,9,325,1
945,9,328,1
946,9,331,1
947,9,332,4
948,9,333,1
949,9,390,1
950,10,11,1
951,10,12,2
952,10,16,6
953,10,36,2
954,10,59,1
955,10,62,2
956,10,70,1
957,10,109,1
958,10,132,1
959,10,147,1
960,10,155,1
961,10,164,1
962,10,165,1
963,10,175,1
964,10,248,1
965,10,266,1
966,11,16,1
967,11,18,2
968,11,23,1
969,11,26,1
970,11,28,1
971,11,29,1
972,11,33,4
973,11,36,27
974,11,37,14
975,11,41,2
976,11,43,1
977,11,45,1
978,11,46,1
979,11,61,1
980,11,66,3
981,11,67,2
982,11,70,6
983,11,76,3
984,11,90,1
985,11,120,4
986,11,126,2
987,11,142,5
988,11,148,1
989,11,157,1
990,11,159,1
991,11,187,1
992,11,195,1
993,11,200,1
994,11,209,1
995,11,215,1
996,11,255,1
997,11,259,2
998,11,273,1
999,11,287,1
1000,11,304,1
1001,11,336,1
1002,12,13,1
1003,12,14,1
1004,12,16,245
1005,12,18,2
1006,12,20,2
1007,12,21,14
1008,12,22,16
1009,12,23,3
1010,12,26,1
1011,12,30,18
1012,12,31,6
1013,12,37,18
1014,12,38,1
1015,12,42,1
1016,12,44,1
1017,12,45,2
1018,12,52,1
1019,12,54,1
1020,12,59,1
