,t1,t2,ct
0,1,2,16
1,1,3,8
2,1,4,2
3,1,5,1
4,1,6,16
5,1,7,37
6,1,8,6
7,1,9,1
8,1,10,9
9,1,11,6
10,1,13,4
11,1,15,2
12,1,16,22
13,1,17,2
14,1,18,2
15,1,19,1
16,1,21,2
17,1,25,2
18,1,26,1
19,1,27,1
20,1,33,17
21,1,37,3
22,1,45,1
23,1,46,4
24,1,47,2
25,1,48,2
26,1,49,1
27,1,51,1
28,1,58,1
29,1,59,1
30,1,62,1
31,1,63,8
32,1,69,7
33,1,72,3
34,1,73,3
35,1,74,15
36,1,76,1
37,1,80,6
38,1,81,3
39,1,83,4
40,1,85,15
41,1,86,1
42,1,87,1
43,1,88,1
44,1,89,1
45,1,90,2
46,1,91,1
47,1,94,2
48,1,98,2
49,1,101,2
50,1,104,1
51,1,107,1
52,1,108,1
53,1,109,1
54,1,111,1
55,1,115,3
56,1,117,1
57,1,120,2
58,1,124,1
59,1,125,1
60,1,129,1
61,1,131,2
62,1,133,1
63,1,136,5
64,1,137,1
65,1,138,2
66,1,144,1
67,1,147,5
68,1,151,1
69,1,152,1
70,1,155,1
71,1,156,1
72,1,157,2
73,1,165,2
74,1,166,1
75,1,173,1
76,1,175,1
77,1,178,1
78,1,179,1
79,1,180,1
80,1,182,1
81,1,186,1
82,1,189,1
83,1,190,2
84,1,191,1
85,1,192,1
86,1,194,1
87,1,198,6
88,1,199,1
89,1,200,1
90,1,201,7
91,1,212,2
92,1,215,1
93,1,219,3
94,1,222,1
95,1,232,1
96,1,235,1
97,1,237,1
98,1,239,1
99,1,240,1
100,1,241,1
101,1,242,1
102,1,244,1
103,1,245,1
104,1,246,1
105,1,247,1
106,1,249,1
107,1,250,1
108,1,251,1
109,1,252,1
110,1,254,1
111,1,257,2
112,1,258,2
113,1,259,1
114,1,260,5
115,1,261,1
116,1,262,1
117,1,263,2
118,1,264,1
119,1,266,1
120,1,269,1
121,1,272,6
122,1,273,1
123,1,277,1
124,1,283,1
125,1,286,1
126,1,288,1
127,1,294,1
128,1,295,1
129,1,296,1
130,1,297,1
131,1,299,1
132,1,300,1
133,1,301,1
134,1,306,1
135,1,309,7
136,1,310,1
137,1,312,1
138,1,316,1
139,1,317,1
140,1,319,1
141,1,320,1
142,1,323,1
143,1,327,1
144,1,334,1
145,1,335,1
146,1,340,2
147,1,346,1
148,1,349,1
149,1,350,1
150,1,354,2
151,1,367,4
152,1,370,1
153,1,372,1
154,1,377,1
155,1,395,1
156,1,410,1
157,1,418,3
158,1,421,1
159,1,429,1
160,1,438,1
161,1,445,1
162,1,459,1
163,1,466,1
164,1,470,1
165,1,494,1
166,1,501,1
167,1,502,1
168,1,503,1
169,1,504,1
170,1,538,1
171,1,566,1
172,1,581,1
173,1,607,2
174,1,623,1
175,1,632,1
176,1,646,1
177,1,650,1
178,1,664,1
179,1,675,1
180,1,681,1
181,1,696,1
182,1,705,1
183,1,709,2
184,1,720,1
185,1,729,1
186,1,743,1
187,1,748,1
188,1,765,1
189,1,787,5
190,1,820,1
191,1,829,2
192,1,854,1
193,1,866,1
194,1,867,1
195,1,879,1
196,1,887,1
197,1,895,1
198,1,896,2
199,1,928,1
200,1,943,1
201,1,955,1
202,1,958,2
203,1,966,1
204,1,974,1
205,1,980,1
206,1,1035,1
207,1,1047,1
208,1,1048,1
209,1,1052,1
210,1,1085,1
211,1,1087,1
212,1,1090,1
213,1,1093,1
214,1,1094,1
215,1,1095,1
216,1,1099,1
217,1,1110,1
218,1,1111,1
219,1,1112,1
220,1,1120,1
221,1,1121,1
222,1,1125,1
223,1,1147,1
224,1,1163,3
225,1,1174,1
226,1,1183,1
227,1,1184,1
228,1,1187,1
229,1,1191,1
230,1,1201,8
231,1,1207,1
232,1,1211,1
233,1,1215,1
234,1,1219,1
235,1,1222,1
236,1,1225,1
237,1,1240,1
238,1,1244,1
239,1,1245,1
240,1,1246,1
241,1,1280,1
242,1,1281,1
243,1,1284,1
244,1,1290,2
245,1,1293,1
246,1,1308,1
247,1,1312,1
248,1,1317,1
249,1,1357,1
250,1,1368,1
251,1,1377,5
252,1,1378,1
253,1,1379,1
254,1,1380,1
255,1,1381,1
256,1,1384,1
257,1,1392,1
258,1,1393,1
259,1,1440,1
260,1,1464,1
261,1,1465,1
262,1,1482,1
263,1,1483,1
264,1,1530,1
265,1,1570,1
266,1,1586,1
267,1,1606,1
268,1,1607,1
269,1,1661,1
270,1,1707,1
271,1,1708,2
272,1,1736,1
273,1,1741,3
274,1,1760,1
275,1,1761,1
276,1,1762,1
277,1,1772,1
278,1,1814,1
279,1,1832,3
280,1,1866,1
281,1,1889,1
282,1,1901,1
283,1,1920,1
284,1,1929,1
285,2,3,2
286,2,4,3
287,2,5,1
288,2,6,9
289,2,7,18
290,2,8,1
291,2,10,10
292,2,11,7
293,2,13,6
294,2,15,2
295,2,16,17
296,2,17,6
297,2,21,2
298,2,23,1
299,2,26,3
300,2,33,1
301,2,37,1
302,2,38,1
303,2,39,1
304,2,40,1
305,2,41,2
306,2,69,3
307,2,72,1
308,2,74,1
309,2,76,1
310,2,85,4
311,2,93,1
312,2,94,1
313,2,95,2
314,2,100,4
315,2,104,2
316,2,105,1
317,2,107,1
318,2,108,1
319,2,109,1
320,2,110,3
321,2,112,1
322,2,113,1
323,2,114,1
324,2,115,1
325,2,118,1
326,2,122,1
327,2,128,1
328,2,129,1
329,2,131,2
330,2,136,1
331,2,144,1
332,2,158,1
333,2,189,1
334,2,190,9
335,2,196,1
336,2,201,3
337,2,214,1
338,2,223,1
339,2,226,1
340,2,248,2
341,2,259,1
342,2,260,2
343,2,267,1
344,2,268,1
345,2,269,1
346,2,271,1
347,2,272,3
348,2,274,1
349,2,275,3
350,2,284,1
351,2,309,2
352,2,319,1
353,2,346,1
354,2,367,2
355,2,419,1
356,2,420,1
357,2,437,1
358,2,445,1
359,2,709,3
360,2,729,1
361,2,733,1
362,2,747,1
363,2,851,1
364,2,974,1
365,2,1065,1
366,2,1074,1
367,2,1313,1
368,2,1360,1
369,2,1485,1
370,2,1503,1
371,2,1522,1
372,2,1546,1
373,2,1654,1
374,2,1755,1
375,2,1756,1
376,2,1757,1
377,2,1758,1
378,3,4,2
379,3,5,1
380,3,6,4
381,3,7,2
382,3,8,5
383,3,9,3
384,3,10,5
385,3,11,4
386,3,13,11
387,3,14,1
388,3,15,1
389,3,16,4
390,3,17,1
391,3,18,1
392,3,21,1
393,3,27,1
394,3,33,1
395,3,41,4
396,3,73,1
397,3,85,4
398,3,91,1
399,3,100,1
400,3,101,2
401,3,102,1
402,3,103,1
403,3,106,1
404,3,115,3
405,3,136,1
406,3,137,1
407,3,144,1
408,3,148,1
409,3,161,1
410,3,198,1
411,3,201,8
412,3,210,1
413,3,219,3
414,3,235,4
415,3,260,6
416,3,263,2
417,3,266,1
418,3,269,1
419,3,271,1
420,3,272,4
421,3,274,1
422,3,275,1
423,3,294,2
424,3,309,5
425,3,315,1
426,3,319,1
427,3,354,2
428,3,367,7
429,3,402,1
430,3,403,2
431,3,405,3
432,3,415,3
433,3,416,1
434,3,438,1
435,3,466,2
436,3,472,1
437,3,494,1
438,3,509,2
439,3,576,1
440,3,636,1
441,3,709,1
442,3,739,1
443,3,757,1
444,3,787,1
445,3,852,1
446,3,865,1
447,3,958,2
448,3,1019,2
449,3,1030,1
450,3,1081,1
451,3,1082,1
452,3,1129,1
453,3,1154,1
454,3,1197,1
455,3,1224,1
456,3,1286,1
457,3,1318,2
458,3,1332,1
459,3,1421,1
460,3,1426,1
461,3,1438,1
462,3,1462,1
463,3,1488,2
464,3,1492,1
465,3,1493,1
466,3,1494,1
467,3,1544,1
468,3,1559,1
469,3,1648,1
470,3,1649,1
471,3,1654,1
472,3,1669,3
473,3,1685,1
474,3,1712,1
475,3,1813,1
476,3,1832,3
477,3,1847,1
478,3,1940,1
479,4,5,1
480,4,6,3
481,4,7,6
482,4,8,1
483,4,10,2
484,4,13,5
485,4,16,1
486,4,20,1
487,4,21,2
488,4,40,1
489,4,41,3
490,4,69,2
491,4,94,1
492,4,100,1
493,4,115,1
494,4,129,1
495,4,144,1
496,4,157,1
497,4,201,1
498,4,223,1
499,4,272,2
500,4,274,1
501,4,309,2
502,4,367,1
503,4,418,1
504,4,429,1
505,4,468,1
506,4,469,1
507,4,616,1
508,4,680,1
509,4,682,1
510,4,709,1
511,4,757,1
512,4,864,1
513,4,924,1
514,4,993,1
515,4,1085,1
516,4,1219,1
517,4,1429,1
518,4,1561,1
519,4,1674,1
520,4,1825,1
521,4,1826,1
522,4,1827,1
523,4,1828,1
524,5,6,1
525,5,7,2
526,5,33,8
527,5,49,1
528,5,69,1
529,5,120,4
530,5,147,2
531,5,270,1
532,5,413,3
533,5,414,1
534,5,443,1
535,5,577,1
536,5,579,1
537,5,587,1
538,5,590,1
539,5,648,1
540,5,706,1
541,5,707,1
542,5,1176,1
543,5,1177,1
544,5,1178,1
545,5,1775,1
546,5,1776,1
547,5,1898,1
548,6,7,47
549,6,8,2
550,6,10,7
551,6,11,11
552,6,12,2
553,6,13,6
554,6,16,41
555,6,17,2
556,6,18,2
557,6,23,2
558,6,25,6
559,6,26,4
560,6,27,2
561,6,28,1
562,6,29,1
563,6,30,1
564,6,33,27
565,6,34,1
566,6,35,1
567,6,36,1
568,6,38,7
569,6,39,4
570,6,41,3
571,6,47,2
572,6,48,7
573,6,53,1
574,6,54,1
575,6,62,1
576,6,63,3
577,6,68,1
578,6,69,1
579,6,70,1
580,6,71,1
581,6,72,3
582,6,73,1
583,6,74,1
584,6,80,1
585,6,81,2
586,6,82,3
587,6,83,8
588,6,84,1
589,6,85,13
590,6,93,1
591,6,95,3
592,6,101,9
593,6,104,2
594,6,106,1
595,6,110,3
596,6,114,1
597,6,115,1
598,6,120,5
599,6,126,1
600,6,127,1
601,6,128,1
602,6,129,6
603,6,132,1
604,6,135,1
605,6,136,2
606,6,138,1
607,6,139,1
608,6,140,1
609,6,144,1
610,6,147,8
611,6,148,2
612,6,150,1
613,6,156,1
614,6,157,2
615,6,158,1
616,6,160,2
617,6,171,2
618,6,174,1
619,6,175,1
620,6,176,1
621,6,177,1
622,6,181,1
623,6,182,2
624,6,185,1
625,6,186,3
626,6,190,1
627,6,196,1
628,6,197,1
629,6,198,3
630,6,201,9
631,6,204,1
632,6,206,1
633,6,209,1
634,6,211,1
635,6,212,1
636,6,213,1
637,6,219,2
638,6,236,1
639,6,241,1
640,6,243,1
641,6,253,1
642,6,259,1
643,6,261,1
644,6,266,2
645,6,270,5
646,6,272,9
647,6,274,1
648,6,275,1
649,6,277,2
650,6,294,1
651,6,309,8
652,6,314,2
653,6,315,1
654,6,318,1
655,6,319,1
656,6,320,2
657,6,321,1
658,6,324,1
659,6,325,1
660,6,326,1
661,6,362,1
662,6,367,1
663,6,415,1
664,6,416,1
665,6,418,1
666,6,429,1
667,6,438,1
668,6,445,6
669,6,454,1
670,6,457,1
671,6,463,1
672,6,468,1
673,6,494,1
674,6,495,1
675,6,537,1
