,t1,t2,ct
0,1,2,26
1,1,3,15
2,1,7,2
3,1,8,65
4,1,9,1
5,1,10,35
6,1,11,25
7,1,12,5
8,1,13,12
9,1,14,2
10,1,15,44
11,1,16,1
12,1,17,1
13,1,19,33
14,1,20,7
15,1,21,42
16,1,22,44
17,1,23,22
18,1,24,31
19,1,25,10
20,1,26,7
21,1,27,2
22,1,28,1
23,1,30,2
24,1,31,3
25,1,33,3
26,1,34,3
27,1,35,6
28,1,36,2
29,1,37,5
30,1,38,5
31,1,39,3
32,1,40,8
33,1,42,3
34,1,43,6
35,1,46,3
36,1,47,8
37,1,49,21
38,1,50,15
39,1,51,1
40,1,52,2
41,1,53,3
42,1,54,2
43,1,55,2
44,1,56,9
45,1,57,6
46,1,58,31
47,1,61,4
48,1,62,1
49,1,63,2
50,1,64,2
51,1,71,15
52,1,76,1
53,1,77,23
54,1,78,26
55,1,79,15
56,1,81,3
57,1,82,1
58,1,84,2
59,1,85,1
60,1,87,2
61,1,88,5
62,1,90,2
63,1,91,4
64,1,94,4
65,1,95,2
66,1,102,4
67,1,103,2
68,1,104,2
69,1,105,1
70,1,106,1
71,1,107,2
72,1,108,1
73,1,109,1
74,1,112,2
75,1,113,1
76,1,116,2
77,2,3,5
78,2,8,2
79,2,9,1
80,2,10,1
81,2,13,1
82,2,15,3
83,2,16,1
84,2,17,1
85,2,18,1
86,2,19,14
87,2,20,4
88,2,21,4
89,2,22,3
90,2,23,1
91,2,24,1
92,2,26,1
93,2,28,1
94,2,34,1
95,2,39,3
96,2,50,2
97,2,51,1
98,2,56,1
99,2,57,1
100,2,58,4
101,2,70,1
102,2,71,2
103,2,77,10
104,2,78,4
105,2,79,1
106,2,80,1
107,2,81,12
108,2,94,1
109,2,108,1
110,2,114,1
111,2,116,4
112,3,4,1
113,3,8,1
114,3,10,1
115,3,11,1
116,3,12,1
117,3,13,5
118,3,15,4
119,3,16,2
120,3,17,1
121,3,19,5
122,3,21,1
123,3,22,3
124,3,23,1
125,3,24,2
126,3,25,1
127,3,26,1
128,3,30,1
129,3,31,1
130,3,40,1
131,3,43,2
132,3,50,4
133,3,52,2
134,3,57,1
135,3,58,1
136,3,69,1
137,3,75,2
138,3,76,1
139,3,77,9
140,3,78,3
141,3,82,3
142,3,83,1
143,3,88,1
144,3,95,1
145,3,97,2
146,3,98,1
147,4,8,1
148,4,70,1
149,5,10,1
150,5,22,1
151,7,10,2
152,7,11,2
153,7,21,2
154,7,22,1
155,7,25,1
156,7,38,3
157,7,56,1
158,7,61,1
159,7,91,1
160,8,9,5
161,8,10,6
162,8,11,14
163,8,15,19
164,8,19,5
165,8,20,1
166,8,21,2
167,8,22,13
168,8,24,8
169,8,25,1
170,8,26,2
171,8,33,5
172,8,35,6
173,8,38,13
174,8,40,4
175,8,43,1
176,8,46,8
177,8,47,9
178,8,49,18
179,8,50,4
180,8,51,2
181,8,53,1
182,8,54,1
183,8,55,1
184,8,56,4
185,8,58,8
186,8,59,1
187,8,66,1
188,8,71,11
189,8,74,1
190,8,76,1
191,8,77,1
192,8,78,2
193,8,79,5
194,8,80,2
195,8,85,2
196,8,86,3
197,8,88,7
198,8,90,1
199,8,94,4
200,8,96,1
201,8,102,1
202,8,103,1
203,8,104,2
204,8,105,4
205,8,106,1
206,8,108,1
207,8,109,1
208,8,113,2
209,8,114,1
210,8,115,1
211,8,116,1
212,8,117,1
213,9,15,1
214,9,19,2
215,9,33,1
216,9,43,1
217,9,49,2
218,9,80,1
219,9,82,1
220,9,88,1
221,9,90,1
222,9,94,2
223,10,11,4
224,10,13,1
225,10,15,23
226,10,19,5
227,10,21,7
228,10,22,35
229,10,23,22
230,10,24,18
231,10,26,3
232,10,30,5
233,10,31,7
234,10,34,1
235,10,37,2
236,10,38,1
237,10,41,2
238,10,42,4
239,10,43,4
240,10,44,3
241,10,46,1
242,10,48,3
243,10,50,11
244,10,51,1
245,10,52,3
246,10,53,1
247,10,54,1
248,10,55,1
249,10,56,1
250,10,58,8
251,10,61,2
252,10,63,3
253,10,71,2
254,10,72,1
255,10,73,1
256,10,75,1
257,10,78,6
258,10,79,1
259,10,82,1
260,10,84,1
261,10,91,2
262,10,94,1
263,10,101,1
264,10,103,1
265,10,105,2
266,10,110,3
267,10,112,1
268,11,12,5
269,11,13,2
270,11,14,1
271,11,15,15
272,11,21,2
273,11,22,27
274,11,23,16
275,11,24,11
276,11,29,1
277,11,30,1
278,11,33,1
279,11,34,1
280,11,38,4
281,11,41,1
282,11,42,6
283,11,46,2
284,11,50,2
285,11,51,5
286,11,52,3
287,11,53,1
288,11,56,3
289,11,58,5
290,11,60,1
291,11,71,2
292,11,74,1
293,11,78,1
294,11,79,2
295,11,80,1
296,11,85,1
297,11,87,1
298,11,103,2
299,11,105,2
300,11,113,1
301,12,13,1
302,12,14,1
303,12,21,1
304,12,22,2
305,12,23,2
306,12,24,2
307,12,30,1
308,12,39,1
309,13,14,1
310,13,15,2
311,13,16,1
312,13,19,2
313,13,21,7
314,13,22,10
315,13,24,5
316,13,25,1
317,13,26,1
318,13,34,1
319,13,37,2
320,13,50,1
321,13,54,2
322,13,57,3
323,13,58,2
324,13,71,3
325,13,75,1
326,13,77,5
327,13,78,3
328,13,79,1
329,13,81,2
330,13,82,1
331,13,88,2
332,13,91,1
333,14,19,1
334,14,22,1
335,14,27,1
336,15,16,1
337,15,17,1
338,15,18,1
339,15,19,6
340,15,20,1
341,15,21,13
342,15,22,33
343,15,23,9
344,15,24,4
345,15,25,3
346,15,26,2
347,15,30,1
348,15,32,1
349,15,33,2
350,15,34,2
351,15,38,2
352,15,40,2
353,15,43,1
354,15,46,3
355,15,48,2
356,15,50,8
357,15,51,2
358,15,52,2
359,15,54,2
360,15,56,1
361,15,57,1
362,15,58,5
363,15,60,1
364,15,62,3
365,15,71,5
366,15,74,1
367,15,76,1
368,15,77,3
369,15,78,7
370,15,79,4
371,15,81,2
372,15,82,1
373,15,84,1
374,15,85,1
375,15,86,1
376,15,87,1
377,15,88,1
378,15,90,1
379,15,95,1
380,15,103,4
381,15,107,1
382,15,112,2
383,16,17,2
384,16,18,1
385,16,19,1
386,16,22,1
387,16,31,1
388,16,37,4
389,16,43,2
390,16,77,2
391,16,79,1
392,16,97,1
393,17,18,2
394,17,19,4
395,17,21,1
396,17,22,1
397,17,26,3
398,17,27,1
399,17,56,1
400,17,71,2
401,17,78,1
402,17,81,1
403,17,97,1
404,18,77,1
405,18,111,1
406,19,20,1
407,19,21,8
408,19,22,3
409,19,23,2
410,19,24,3
411,19,25,4
412,19,26,3
413,19,27,2
414,19,28,2
415,19,31,9
416,19,34,2
417,19,36,2
418,19,37,2
419,19,38,1
420,19,40,1
421,19,43,1
422,19,46,1
423,19,47,2
424,19,49,2
425,19,50,6
426,19,53,2
427,19,56,5
428,19,57,2
429,19,58,1
430,19,62,1
431,19,69,1
432,19,71,2
433,19,76,3
434,19,77,5
435,19,78,24
436,19,79,1
437,19,81,5
438,19,90,1
439,19,94,3
440,19,95,2
441,19,105,1
442,19,108,2
443,19,109,1
444,19,112,1
445,20,22,2
446,20,24,2
447,20,36,1
448,20,47,1
449,20,56,1
450,20,62,1
451,20,71,2
452,20,78,1
453,20,79,1
454,20,81,3
455,21,22,15
456,21,23,1
457,21,24,9
458,21,25,7
459,21,26,3
460,21,27,1
461,21,31,2
462,21,33,1
463,21,34,1
464,21,36,1
465,21,37,1
466,21,38,1
467,21,39,1
468,21,42,1
469,21,50,13
470,21,52,1
471,21,53,2
472,21,54,1
473,21,55,1
474,21,56,3
475,21,57,2
476,21,58,6
477,21,60,1
478,21,71,4
479,21,77,1
480,21,78,19
481,21,79,2
482,21,80,1
483,21,81,4
484,21,88,2
485,21,91,1
486,21,95,1
487,21,100,1
488,21,107,2
489,22,23,36
490,22,24,31
491,22,25,1
492,22,26,3
493,22,27,2
494,22,33,2
495,22,34,2
496,22,35,1
497,22,37,1
498,22,38,2
499,22,39,1
500,22,40,1
501,22,41,3
502,22,42,11
503,22,44,3
504,22,47,1
505,22,49,1
506,22,50,6
507,22,51,1
508,22,52,1
509,22,53,3
510,22,55,2
511,22,56,2
512,22,58,7
513,22,59,1
514,22,60,2
515,22,63,4
516,22,71,6
517,22,77,2
518,22,78,4
519,22,81,2
520,22,85,1
521,22,88,1
522,22,91,2
523,22,94,1
524,22,95,1
525,22,103,1
526,22,110,5
527,23,24,8
528,23,26,2
529,23,33,1
530,23,37,1
531,23,41,3
532,23,42,8
533,23,43,1
534,23,44,3
535,23,46,1
536,23,49,2
537,23,51,1
538,23,53,1
539,23,55,2
540,23,57,1
541,23,58,5
542,23,61,1
543,23,63,7
544,23,78,2
545,23,79,1
546,23,83,1
547,23,94,1
548,23,101,1
549,23,102,2
550,24,26,3
551,24,30,5
552,24,31,1
553,24,33,1
554,24,36,1
555,24,37,1
556,24,38,4
557,24,39,2
558,24,42,5
559,24,48,3
560,24,50,3
561,24,51,4
562,24,54,1
563,24,55,1
564,24,57,1
565,24,58,8
566,24,71,9
567,24,78,2
568,24,88,1
569,24,91,2
570,24,94,3
571,24,95,1
572,24,100,1
573,24,107,1
