,t1,t2,ct
0,1,2,8
1,1,3,7
2,1,4,1
3,1,5,1
4,1,6,6
5,1,7,9
6,1,8,4
7,1,9,1
8,1,10,15
9,1,11,1
10,1,12,5
11,1,13,14
12,1,15,2
13,1,16,3
14,1,19,4
15,1,20,10
16,1,21,1
17,1,22,8
18,1,23,1
19,1,26,3
20,1,27,6
21,1,30,14
22,1,31,6
23,1,32,9
24,1,33,5
25,1,34,1
26,1,35,4
27,1,36,2
28,1,37,3
29,1,39,2
30,1,40,1
31,1,41,1
32,1,43,2
33,1,44,1
34,1,45,1
35,1,49,7
36,1,51,4
37,1,52,1
38,1,53,2
39,1,54,2
40,1,55,1
41,1,59,1
42,1,60,2
43,1,69,1
44,1,71,2
45,1,72,2
46,1,73,1
47,1,79,8
48,1,80,2
49,1,84,2
50,1,88,1
51,1,96,2
52,1,97,3
53,1,102,1
54,1,105,3
55,1,110,1
56,1,111,1
57,1,116,1
58,1,120,1
59,2,3,7
60,2,7,5
61,2,8,1
62,2,10,29
63,2,12,19
64,2,13,13
65,2,16,3
66,2,19,1
67,2,20,7
68,2,21,1
69,2,23,1
70,2,24,1
71,2,27,3
72,2,32,8
73,2,33,2
74,2,34,1
75,2,35,1
76,2,36,1
77,2,37,1
78,2,40,1
79,2,42,1
80,2,44,1
81,2,48,2
82,2,51,8
83,2,54,3
84,2,55,1
85,2,59,1
86,2,60,3
87,2,68,1
88,2,69,3
89,2,70,3
90,2,71,1
91,2,72,2
92,2,73,1
93,2,74,3
94,2,75,1
95,2,76,1
96,2,79,1
97,2,80,1
98,2,81,1
99,2,82,3
100,2,84,1
101,2,85,6
102,2,99,1
103,2,111,2
104,2,119,1
105,2,121,1
106,2,130,1
107,2,132,1
108,2,134,2
109,2,135,1
110,2,136,1
111,2,137,1
112,2,138,1
113,2,142,1
114,3,4,1
115,3,7,6
116,3,10,7
117,3,13,3
118,3,15,3
119,3,20,1
120,3,21,1
121,3,22,1
122,3,23,1
123,3,24,1
124,3,27,3
125,3,30,3
126,3,32,12
127,3,35,1
128,3,36,1
129,3,37,1
130,3,44,1
131,3,48,1
132,3,51,2
133,3,52,2
134,3,54,3
135,3,76,1
136,3,79,5
137,3,80,2
138,3,82,5
139,3,101,1
140,3,105,3
141,3,106,1
142,3,121,1
143,3,124,1
144,3,125,1
145,3,131,1
146,3,132,1
147,3,138,1
148,3,145,1
149,4,35,1
150,4,36,1
151,4,52,1
152,4,106,1
153,5,6,1
154,5,7,1
155,5,12,1
156,5,13,1
157,5,16,4
158,5,17,3
159,5,18,6
160,5,19,1
161,5,20,3
162,5,23,1
163,5,34,1
164,5,70,1
165,5,71,1
166,5,74,1
167,5,136,2
168,6,12,2
169,6,16,1
170,6,20,2
171,6,22,1
172,6,30,2
173,6,49,2
174,6,97,1
175,7,8,2
176,7,9,4
177,7,10,47
178,7,11,1
179,7,12,2
180,7,13,26
181,7,14,6
182,7,15,19
183,7,16,2
184,7,19,1
185,7,20,1
186,7,21,2
187,7,22,40
188,7,25,1
189,7,27,19
190,7,32,6
191,7,33,5
192,7,34,2
193,7,35,1
194,7,38,1
195,7,42,1
196,7,44,1
197,7,48,3
198,7,51,1
199,7,53,2
200,7,54,1
201,7,55,4
202,7,57,1
203,7,60,2
204,7,68,1
205,7,69,2
206,7,70,2
207,7,72,1
208,7,76,1
209,7,77,1
210,7,79,1
211,7,80,2
212,7,82,20
213,7,85,1
214,7,88,1
215,7,90,1
216,7,91,1
217,7,99,2
218,7,100,1
219,7,102,1
220,7,103,2
221,7,104,4
222,7,105,2
223,7,109,2
224,7,111,3
225,7,113,1
226,7,115,1
227,7,117,1
228,7,119,1
229,7,120,1
230,7,129,2
