,t1,t2,ct
0,1,2,1
1,1,3,1
2,1,4,3
3,1,15,2
4,1,17,1
5,1,22,1
6,1,29,1
7,1,30,5
8,1,32,1
9,1,33,2
10,1,44,1
11,1,45,2
12,1,51,1
13,1,52,1
14,1,53,2
15,1,62,1
16,1,74,1
17,1,79,1
18,1,84,2
19,1,85,1
20,1,108,1
21,1,111,3
22,1,112,1
23,1,115,2
24,1,122,1
25,1,137,20
26,2,3,12
27,2,4,7
28,2,5,1
29,2,8,8
30,2,9,9
31,2,15,7
32,2,17,2
33,2,19,2
34,2,21,7
35,2,23,3
36,2,29,10
37,2,30,24
38,2,32,9
39,2,33,3
40,2,37,1
41,2,40,7
42,2,42,3
43,2,43,1
44,2,45,23
45,2,46,2
46,2,47,1
47,2,48,1
48,2,50,2
49,2,52,1
50,2,53,14
51,2,57,2
52,2,58,3
53,2,62,1
54,2,66,1
55,2,68,2
56,2,72,1
57,2,74,3
58,2,79,1
59,2,85,1
60,2,86,4
61,2,87,2
62,2,88,2
63,2,90,1
64,2,95,1
65,2,100,1
66,2,110,1
67,2,113,1
68,2,115,6
69,2,122,4
70,2,134,1
71,2,137,4
72,2,138,1
73,2,139,1
74,2,142,1
75,2,143,1
76,2,146,1
77,2,147,5
78,2,151,1
79,2,157,2
80,2,164,1
81,2,176,1
82,2,184,1
83,2,189,1
84,2,190,1
85,3,4,12
86,3,5,2
87,3,6,1
88,3,7,3
89,3,8,4
90,3,9,3
91,3,15,6
92,3,17,11
93,3,18,1
94,3,19,5
95,3,21,13
96,3,23,4
97,3,24,3
98,3,25,1
99,3,29,16
100,3,30,22
101,3,32,3
102,3,33,5
103,3,37,2
104,3,39,2
105,3,40,2
106,3,42,1
107,3,45,19
108,3,46,1
109,3,47,6
110,3,48,2
111,3,49,2
112,3,51,1
113,3,52,4
114,3,53,24
115,3,57,6
116,3,58,6
117,3,59,2
118,3,61,2
119,3,62,1
120,3,72,2
121,3,74,10
122,3,80,1
123,3,81,3
124,3,84,1
125,3,85,1
126,3,86,1
127,3,87,1
128,3,88,4
129,3,90,1
130,3,95,2
131,3,97,1
132,3,100,3
133,3,102,1
134,3,103,2
135,3,108,3
136,3,109,1
137,3,110,12
138,3,113,6
139,3,115,10
140,3,119,1
141,3,122,5
142,3,127,1
143,3,128,5
144,3,133,1
145,3,137,2
146,3,139,1
147,3,143,1
148,3,146,5
149,3,147,7
150,3,151,1
151,3,153,1
152,3,157,2
153,3,163,2
154,3,164,1
155,3,166,1
156,3,172,1
157,3,174,1
158,3,176,1
159,3,177,1
160,3,178,1
161,3,181,1
162,3,186,1
163,3,189,1
164,3,190,1
165,3,191,1
166,4,5,2
167,4,6,1
168,4,7,1
169,4,8,5
170,4,9,3
171,4,15,12
172,4,17,2
173,4,18,1
174,4,19,8
175,4,21,2
176,4,23,5
177,4,25,1
178,4,29,6
179,4,30,13
180,4,32,2
181,4,39,6
182,4,40,3
183,4,42,2
184,4,43,1
185,4,45,6
186,4,46,1
187,4,47,3
188,4,51,1
189,4,52,3
190,4,53,6
191,4,56,1
192,4,61,2
193,4,62,8
194,4,68,2
195,4,69,3
196,4,70,1
197,4,74,11
198,4,78,2
199,4,79,3
200,4,81,1
201,4,83,1
202,4,86,1
203,4,87,6
204,4,88,4
205,4,90,6
206,4,91,1
207,4,92,1
208,4,93,2
209,4,95,3
210,4,100,2
211,4,102,1
212,4,103,1
213,4,105,3
214,4,108,2
215,4,110,1
216,4,113,1
217,4,115,4
218,4,116,1
219,4,120,1
220,4,128,3
221,4,132,2
222,4,136,1
223,4,137,1
224,4,138,1
225,4,142,3
226,4,146,3
227,4,147,5
228,4,153,1
229,4,171,1
230,4,173,1
231,4,175,1
232,4,176,1
233,4,179,1
234,4,181,1
235,4,182,1
236,4,189,1
237,5,6,2
238,5,7,1
239,5,8,2
240,5,9,2
241,5,15,5
242,5,17,4
243,5,18,2
244,5,19,1
245,5,21,1
246,5,26,3
247,5,30,5
248,5,32,1
249,5,33,1
250,5,40,1
251,5,45,1
252,5,49,2
253,5,53,2
254,5,56,1
255,5,63,1
256,5,65,1
257,5,84,1
258,5,86,1
259,5,94,1
260,5,109,1
261,5,121,1
262,5,128,1
263,5,132,1
264,5,133,1
265,5,144,1
266,5,151,1
267,5,183,1
268,5,184,1
269,6,7,1
270,6,8,1
271,6,15,1
272,6,19,2
273,6,26,1
274,6,34,2
275,6,39,3
276,6,50,1
277,6,63,1
278,6,65,2
279,6,70,2
280,6,78,3
281,6,87,1
282,6,89,1
283,6,108,1
284,6,146,1
285,7,8,5
286,7,9,3
287,7,15,2
288,7,17,2
289,7,21,2
290,7,23,1
291,7,24,1
292,7,25,1
293,7,29,1
294,7,30,2
295,7,32,1
296,7,36,1
297,7,37,1
298,7,45,1
299,7,52,1
300,7,54,2
301,7,56,2
302,7,72,1
303,7,81,1
304,7,97,1
305,7,110,1
306,7,122,1
307,7,128,1
308,7,138,1
309,7,160,1
310,8,9,25
311,8,10,7
312,8,11,12
313,8,13,3
314,8,15,10
315,8,17,3
316,8,18,5
317,8,19,9
318,8,20,2
319,8,21,39
320,8,22,2
321,8,23,21
322,8,24,1
323,8,25,1
324,8,26,3
325,8,29,1
326,8,30,19
327,8,31,5
328,8,35,1
329,8,36,7
330,8,37,2
331,8,39,1
332,8,40,2
333,8,42,1
334,8,45,5
335,8,47,7
336,8,48,4
337,8,51,2
338,8,53,4
339,8,55,1
340,8,56,5
341,8,57,3
342,8,61,1
343,8,62,1
344,8,63,1
345,8,65,2
346,8,66,5
347,8,67,4
348,8,68,8
349,8,69,1
350,8,71,6
351,8,72,5
352,8,73,6
353,8,75,3
354,8,82,3
355,8,83,2
356,8,84,2
357,8,86,3
358,8,88,2
359,8,89,2
360,8,90,2
361,8,96,1
362,8,100,6
363,8,109,5
364,8,115,6
365,8,122,4
366,8,123,2
367,8,128,2
368,8,129,1
369,8,133,2
370,8,134,1
371,8,148,1
372,8,151,1
373,8,157,13
374,8,180,1
375,8,188,1
376,9,10,1
377,9,11,6
378,9,15,3
379,9,16,1
380,9,17,3
381,9,18,3
382,9,19,4
383,9,21,14
384,9,23,5
385,9,24,2
386,9,25,3
387,9,26,1
388,9,29,2
389,9,30,12
390,9,32,1
391,9,35,1
392,9,39,1
393,9,40,1
394,9,45,5
395,9,47,1
396,9,48,1
397,9,51,1
398,9,52,3
399,9,53,2
400,9,54,1
401,9,57,3
402,9,61,4
403,9,62,2
404,9,65,1
405,9,72,2
406,9,73,1
407,9,79,1
408,9,80,1
409,9,81,1
410,9,86,4
411,9,87,1
412,9,88,4
413,9,89,2
414,9,90,1
415,9,95,2
416,9,97,1
417,9,99,1
418,9,100,3
419,9,103,1
420,9,105,1
421,9,106,1
422,9,109,2
423,9,112,1
424,9,115,1
425,9,122,6
426,9,131,1
427,9,137,1
428,9,142,1
429,9,146,2
430,9,153,2
431,9,154,1
432,10,11,1
433,10,15,3
434,10,16,3
435,10,19,4
436,10,20,4
437,10,21,1
438,10,23,1
439,10,24,1
440,10,30,1
441,10,31,2
442,10,65,4
443,10,67,1
444,10,88,1
445,10,91,1
446,10,93,1
447,10,115,1
448,10,122,1
449,10,142,1
450,10,147,1
451,10,156,1
452,10,157,2
453,11,20,1
454,11,23,1
455,11,25,1
456,11,35,1
457,11,56,1
458,11,100,2
459,11,109,1
460,11,157,1
461,12,19,2
462,12,24,2
463,12,30,2
464,12,50,1
465,12,86,1
466,12,98,1
467,12,122,1
468,12,127,2
469,13,14,1
470,13,19,1
471,13,21,1
472,13,23,3
473,13,65,1
474,13,66,1
475,14,15,3
476,14,19,1
477,14,65,2
478,14,90,1
479,14,100,1
480,14,106,1
481,15,16,5
482,15,17,3
483,15,18,3
484,15,19,11
485,15,21,17
486,15,23,14
487,15,25,4
488,15,26,7
489,15,30,31
490,15,31,2
491,15,33,1
492,15,34,1
493,15,37,1
494,15,38,1
495,15,39,1
496,15,40,2
497,15,43,1
498,15,45,6
499,15,46,1
500,15,49,4
501,15,51,2
502,15,52,2
503,15,53,5
504,15,54,1
505,15,56,5
506,15,57,1
507,15,61,2
508,15,62,5
509,15,63,4
510,15,65,6
511,15,68,7
512,15,69,1
513,15,71,4
514,15,72,1
515,15,73,2
516,15,74,11
517,15,80,3
518,15,81,1
519,15,87,4
520,15,88,2
521,15,90,4
522,15,93,3
523,15,95,1
524,15,96,2
525,15,97,1
526,15,98,1
527,15,99,1
528,15,100,4
529,15,106,2
530,15,109,1
531,15,115,3
532,15,119,1
533,15,120,1
534,15,122,6
535,15,124,1
536,15,144,1
537,15,146,2
538,15,147,5
539,15,153,1
540,15,155,1
541,15,157,3
542,15,165,1
543,15,166,1
544,15,173,1
545,15,175,1
546,16,17,1
547,16,19,1
548,16,20,2
549,16,21,1
550,16,26,1
551,16,27,1
552,16,28,1
553,16,29,2
554,16,60,1
555,16,65,7
556,16,66,1
557,16,68,2
558,16,71,1
559,16,106,1
560,16,115,1
561,16,157,1
562,16,170,1
563,17,18,2
564,17,19,4
565,17,21,9
566,17,22,1
567,17,23,5
568,17,26,3
569,17,29,5
570,17,30,18
571,17,32,2
572,17,33,2
573,17,34,1
574,17,37,1
575,17,40,3
576,17,45,12
577,17,46,6
578,17,49,3
579,17,51,2
580,17,52,4
581,17,53,16
582,17,54,1
583,17,56,2
584,17,58,2
585,17,60,1
586,17,61,1
587,17,67,1
588,17,68,1
589,17,69,1
590,17,72,1
591,17,74,2
592,17,76,3
593,17,77,1
594,17,80,2
595,17,84,2
596,17,85,3
597,17,87,1
598,17,88,4
599,17,95,1
600,17,108,3
601,17,110,5
602,17,113,1
603,17,115,2
604,17,118,1
605,17,122,2
606,17,137,6
607,17,138,1
608,17,143,1
609,17,144,1
610,17,146,2
611,17,147,3
612,17,153,1
613,17,157,2
614,17,158,3
615,17,160,1
616,17,164,2
617,17,170,1
618,17,172,2
619,17,189,1
620,18,21,2
621,18,26,1
622,18,30,1
623,18,39,1
624,18,43,1
625,18,47,1
626,18,49,1
627,18,61,1
628,18,62,2
629,18,87,1
630,18,116,1
631,18,142,1
632,18,146,1
633,19,20,3
634,19,21,15
635,19,23,23
636,19,24,5
637,19,25,1
638,19,26,5
639,19,27,1
640,19,30,11
641,19,31,1
642,19,32,1
643,19,33,1
644,19,34,1
645,19,39,4
646,19,40,2
647,19,43,1
648,19,44,1
649,19,45,3
650,19,47,5
651,19,51,1
652,19,52,1
653,19,53,1
654,19,54,1
655,19,56,2
656,19,57,2
657,19,58,1
658,19,62,2
659,19,64,1
660,19,65,9
661,19,66,2
662,19,67,1
663,19,68,1
664,19,71,1
665,19,73,1
666,19,74,4
667,19,77,1
668,19,80,3
669,19,81,1
670,19,86,6
671,19,87,3
672,19,88,5
673,19,89,2
674,19,95,1
675,19,96,1
676,19,97,2
677,19,99,1
678,19,100,2
679,19,101,1
680,19,105,1
681,19,106,1
682,19,107,2
683,19,122,3
684,19,127,2
685,19,128,1
686,19,130,1
687,19,146,1
688,19,153,2
689,19,156,1
690,19,157,1
691,19,170,1
692,20,21,1
693,20,31,1
694,20,65,3
695,21,23,23
696,21,24,3
697,21,26,2
698,21,29,6
699,21,30,38
700,21,37,2
701,21,39,1
702,21,40,5
703,21,42,1
704,21,45,7
705,21,47,6
706,21,48,5
707,21,49,1
708,21,51,2
709,21,52,1
710,21,53,14
711,21,55,1
712,21,56,3
713,21,57,9
714,21,60,1
715,21,61,7
716,21,62,1
717,21,65,2
718,21,66,7
719,21,67,3
720,21,68,1
721,21,71,7
722,21,72,7
723,21,73,3
724,21,74,6
725,21,79,2
726,21,81,2
727,21,82,1
728,21,83,1
729,21,85,1
730,21,86,4
731,21,87,2
732,21,88,4
733,21,89,1
734,21,90,1
735,21,99,4
736,21,100,6
737,21,103,2
738,21,104,1
739,21,107,2
740,21,109,5
741,21,110,1
742,21,112,1
743,21,115,2
744,21,122,6
745,21,128,1
746,21,133,2
747,21,134,4
748,21,137,2
749,21,147,2
750,21,151,1
751,21,153,3
752,21,154,6
753,21,157,16
754,21,171,1
755,21,176,4
756,21,180,1
757,21,183,1
758,21,188,2
759,21,189,1
760,22,30,1
761,22,40,1
762,22,42,1
763,22,52,1
764,22,71,1
765,22,108,1
766,22,115,1
767,22,146,1
768,23,24,3
769,23,25,4
770,23,30,18
771,23,31,2
772,23,32,2
773,23,36,1
774,23,39,4
775,23,40,3
776,23,43,2
777,23,45,4
778,23,47,9
779,23,49,1
780,23,51,1
781,23,52,3
782,23,53,2
783,23,55,1
784,23,56,5
785,23,57,1
786,23,58,3
787,23,61,2
788,23,62,3
789,23,65,6
790,23,66,3
791,23,67,1
792,23,68,3
793,23,71,1
794,23,72,1
795,23,73,1
796,23,74,6
797,23,78,1
798,23,79,1
799,23,80,1
800,23,81,3
801,23,86,9
802,23,87,8
803,23,88,5
804,23,90,1
805,23,93,2
806,23,94,2
807,23,95,1
808,23,99,1
809,23,100,1
810,23,101,1
811,23,105,2
812,23,107,2
813,23,108,1
814,23,109,1
815,23,115,3
816,23,121,1
817,23,122,2
818,23,130,1
819,23,131,2
820,23,134,1
821,23,136,1
822,23,142,1
823,23,146,1
824,23,147,1
825,23,150,1
826,23,153,1
827,23,157,7
828,23,162,1
829,23,170,1
830,24,30,4
831,24,32,1
832,24,45,1
833,24,47,1
834,24,52,1
835,24,57,2
836,24,66,2
837,24,72,1
838,24,86,4
839,24,87,1
840,24,91,1
841,24,92,1
842,24,93,1
843,24,108,2
844,24,109,1
845,24,115,2
846,24,121,1
847,24,122,2
848,24,127,2
849,25,26,1
850,25,27,1
851,25,30,3
852,25,45,2
853,25,71,2
854,25,74,1
855,25,86,1
856,25,90,1
857,25,96,1
858,25,122,3
859,26,27,3
860,26,30,3
861,26,34,1
862,26,39,1
863,26,49,1
864,26,62,1
865,26,63,1
866,26,65,5
867,26,74,1
868,26,77,1
869,26,89,1
870,26,129,1
871,26,146,2
872,26,157,3
873,26,169,1
874,26,170,2
875,26,192,1
876,26,193,1
877,27,65,1
878,28,29,1
879,28,79,1
880,29,30,7
881,29,32,11
882,29,33,1
883,29,37,1
884,29,40,4
885,29,45,11
886,29,46,2
887,29,48,1
888,29,51,2
889,29,52,1
890,29,53,9
891,29,56,1
892,29,57,1
893,29,61,1
894,29,63,1
895,29,66,1
896,29,74,3
897,29,86,1
898,29,88,2
899,29,90,2
900,29,95,1
901,29,98,1
902,29,103,2
903,29,108,2
904,29,110,5
905,29,113,1
906,29,115,6
907,29,122,1
908,29,128,1
909,29,134,1
910,29,137,2
911,29,142,2
912,29,143,1
913,29,145,2
914,29,146,6
915,29,147,1
916,29,153,3
917,29,157,1
918,29,166,1
919,29,168,1
920,29,174,1
921,29,184,1
922,30,31,1
923,30,32,7
924,30,33,5
925,30,37,3
926,30,39,6
927,30,40,4
928,30,42,2
929,30,45,16
930,30,46,8
931,30,47,10
932,30,48,4
933,30,49,1
934,30,50,1
935,30,52,5
936,30,53,25
937,30,54,1
938,30,56,5
939,30,57,6
940,30,58,4
941,30,60,5
942,30,61,10
943,30,62,3
944,30,65,1
945,30,68,5
946,30,69,2
947,30,71,7
948,30,73,1
949,30,74,8
950,30,76,1
951,30,77,2
952,30,79,2
953,30,81,2
954,30,84,3
955,30,86,23
956,30,87,4
957,30,88,4
958,30,90,2
959,30,91,2
960,30,92,2
961,30,93,5
962,30,95,1
963,30,96,2
964,30,98,1
965,30,99,1
966,30,100,4
967,30,105,3
968,30,108,2
969,30,109,2
970,30,110,4
971,30,112,1
972,30,114,1
973,30,115,7
974,30,120,1
975,30,122,13
976,30,124,1
977,30,127,1
978,30,128,1
979,30,129,2
980,30,131,1
981,30,132,2
982,30,133,1
983,30,134,3
984,30,137,10
985,30,140,1
986,30,141,1
987,30,142,3
988,30,143,2
989,30,144,4
990,30,146,10
991,30,147,20
992,30,149,1
993,30,151,2
994,30,153,4
995,30,154,2
996,30,157,9
997,30,158,2
998,30,159,1
999,30,160,1
1000,30,163,3
1001,30,166,5
1002,30,171,3
1003,30,172,1
1004,30,176,1
1005,30,178,1
1006,30,180,1
1007,30,181,2
1008,30,186,1
1009,30,188,1
1010,31,32,1
1011,31,36,3
1012,31,65,1
1013,31,68,6
1014,31,73,3
1015,31,75,1
1016,31,92,1
1017,31,148,1
1018,32,33,2
1019,32,39,4
1020,32,40,15
1021,32,41,1
1022,32,42,1
1023,32,45,5
1024,32,46,2
1025,32,47,2
1026,32,49,1
1027,32,50,1
1028,32,52,2
1029,32,53,17
1030,32,54,1
1031,32,58,2
1032,32,62,1
1033,32,66,1
1034,32,68,1
1035,32,72,1
1036,32,74,3
1037,32,81,2
1038,32,84,1
1039,32,85,1
1040,32,87,1
1041,32,93,2
1042,32,100,1
1043,32,102,1
1044,32,115,1
1045,32,122,1
1046,32,128,1
1047,32,132,1
1048,32,140,1
1049,32,142,1
1050,32,146,1
1051,32,147,5
1052,32,157,1
1053,32,172,1
1054,33,40,2
1055,33,42,3
1056,33,45,7
1057,33,52,4
1058,33,53,1
1059,33,56,1
1060,33,57,1
1061,33,58,4
1062,33,60,1
1063,33,74,2
1064,33,84,2
1065,33,87,1
1066,33,97,2
1067,33,100,1
1068,33,102,1
1069,33,108,1
1070,33,113,1
1071,33,115,1
1072,33,116,1
1073,33,125,1
1074,33,128,2
1075,33,139,1
1076,33,142,1
1077,33,143,2
1078,33,147,1
1079,33,151,1
1080,33,157,1
1081,33,160,1
1082,33,166,4
1083,33,174,2
1084,33,177,1
1085,33,178,1
1086,34,39,1
1087,34,49,6
1088,34,52,1
1089,34,53,3
1090,34,70,1
1091,34,77,1
1092,34,78,2
1093,34,87,5
1094,34,94,3
1095,34,108,2
1096,34,117,1
1097,34,173,2
1098,35,43,1
1099,36,37,1
1100,36,68,2
1101,36,73,2
1102,36,92,1
1103,36,133,1
1104,37,40,1
1105,37,45,2
1106,37,58,1
1107,37,82,1
1108,37,87,1
1109,37,98,1
1110,37,115,1
1111,37,133,1
1112,37,157,1
1113,37,166,1
1114,39,40,7
1115,39,45,1
1116,39,46,2
1117,39,52,4
1118,39,53,13
1119,39,56,2
1120,39,57,1
1121,39,61,1
1122,39,62,5
1123,39,65,3
1124,39,66,2
1125,39,69,8
1126,39,74,10
1127,39,79,1
1128,39,87,1
1129,39,90,1
1130,39,91,1
1131,39,92,1
1132,39,93,1
1133,39,95,1
1134,39,102,4
1135,39,105,19
1136,39,110,1
1137,39,115,3
1138,39,116,1
1139,39,118,1
1140,39,131,1
1141,39,137,2
1142,39,138,1
1143,39,147,5
1144,39,157,1
1145,39,172,1
1146,39,182,1
1147,39,186,1
1148,40,41,1
1149,40,42,1
1150,40,45,4
1151,40,47,3
1152,40,50,2
1153,40,52,1
1154,40,53,23
1155,40,56,1
1156,40,57,2
1157,40,61,2
1158,40,62,1
1159,40,69,2
1160,40,71,1
1161,40,74,3
1162,40,76,1
1163,40,87,1
1164,40,90,1
1165,40,95,1
1166,40,98,1
1167,40,102,1
1168,40,103,1
1169,40,108,1
1170,40,118,1
1171,40,128,2
1172,40,132,1
1173,40,133,1
1174,40,137,1
1175,40,138,1
1176,40,140,2
1177,40,142,2
1178,40,146,1
1179,40,147,2
1180,40,157,1
1181,40,164,1
1182,40,167,1
1183,41,45,1
1184,41,51,1
1185,41,62,1
1186,41,74,1
1187,42,45,3
1188,42,52,1
1189,42,53,2
1190,42,54,2
1191,42,58,1
1192,42,59,1
1193,42,62,3
1194,42,71,1
1195,42,74,2
1196,42,97,3
1197,42,108,1
1198,42,113,2
1199,42,115,1
1200,42,125,1
1201,42,143,1
1202,42,151,1
1203,42,159,1
1204,42,166,1
1205,43,44,2
1206,43,62,1
1207,43,65,1
1208,43,74,1
1209,43,116,1
1210,43,150,1
1211,43,157,1
1212,44,95,1
1213,44,111,1
1214,44,112,1
1215,44,114,1
1216,44,170,1
1217,45,46,2
1218,45,48,2
1219,45,52,3
1220,45,53,24
1221,45,57,13
1222,45,58,5
1223,45,62,2
1224,45,66,2
1225,45,74,6
1226,45,85,1
1227,45,86,4
1228,45,87,1
1229,45,95,3
1230,45,97,1
1231,45,99,1
1232,45,107,1
1233,45,108,1
1234,45,110,1
1235,45,112,2
1236,45,113,1
1237,45,115,5
1238,45,117,1
1239,45,122,2
1240,45,128,3
1241,45,132,1
1242,45,137,3
1243,45,143,3
1244,45,146,3
1245,45,147,13
1246,45,151,2
1247,45,154,1
1248,45,157,1
1249,45,162,1
1250,45,163,1
1251,45,164,7
1252,45,166,3
1253,45,167,2
1254,45,171,1
1255,45,172,1
1256,45,178,2
1257,45,184,2
1258,45,189,1
1259,46,47,4
1260,46,53,2
1261,46,60,1
1262,46,65,1
1263,46,71,2
1264,46,74,1
1265,46,87,1
1266,46,108,1
1267,46,115,1
1268,46,122,1
1269,46,137,1
1270,46,146,1
1271,46,147,2
1272,46,163,2
1273,46,176,1
1274,47,50,5
1275,47,52,2
1276,47,53,1
1277,47,54,1
1278,47,57,1
1279,47,58,1
1280,47,60,2
1281,47,68,1
1282,47,72,1
1283,47,82,1
1284,47,83,1
1285,47,84,1
1286,47,86,5
1287,47,88,2
1288,47,100,1
1289,47,109,1
1290,47,112,1
1291,47,115,2
1292,47,122,3
1293,47,131,1
1294,47,139,1
1295,47,147,3
1296,47,162,1
1297,47,176,1
1298,48,57,3
1299,48,71,1
1300,48,74,1
1301,48,79,1
1302,48,99,1
1303,48,100,2
1304,48,122,2
1305,48,146,1
1306,48,157,1
1307,49,50,1
1308,49,53,3
1309,49,60,1
1310,49,63,3
1311,49,77,1
1312,49,81,1
1313,49,87,1
1314,49,88,1
1315,49,94,3
1316,49,96,1
1317,49,97,1
1318,49,102,2
1319,49,108,1
1320,49,110,1
1321,49,135,1
1322,49,147,1
1323,49,173,1
1324,50,60,1
1325,50,88,1
1326,50,98,2
1327,50,113,1
1328,50,115,1
1329,51,71,1
1330,51,95,1
1331,51,99,1
1332,51,115,2
1333,51,132,1
1334,51,137,1
1335,51,145,2
1336,51,157,1
1337,51,178,1
1338,51,188,1
1339,52,53,7
1340,52,54,1
1341,52,58,1
1342,52,61,1
1343,52,69,1
1344,52,74,5
1345,52,79,1
1346,52,85,1
1347,52,86,1
1348,52,87,1
1349,52,105,5
1350,52,108,1
1351,52,113,1
1352,52,115,1
1353,52,120,1
1354,52,121,1
1355,52,122,1
1356,52,128,1
1357,52,132,1
1358,52,136,1
1359,52,137,1
1360,52,142,1
1361,52,143,2
1362,52,146,3
1363,52,147,2
1364,52,151,1
1365,52,163,2
1366,52,166,1
1367,53,57,4
1368,53,58,3
1369,53,61,7
1370,53,62,8
1371,53,74,24
1372,53,76,2
1373,53,84,1
1374,53,85,2
1375,53,86,2
1376,53,87,4
1377,53,88,1
1378,53,91,1
1379,53,95,6
1380,53,97,2
1381,53,101,1
1382,53,102,4
1383,53,103,3
1384,53,105,1
1385,53,107,1
1386,53,108,4
1387,53,110,1
1388,53,112,2
1389,53,113,1
1390,53,114,1
1391,53,115,7
1392,53,128,2
1393,53,132,2
1394,53,134,2
1395,53,136,2
1396,53,137,8
1397,53,139,5
1398,53,140,3
1399,53,142,1
1400,53,143,2
1401,53,144,2
1402,53,146,3
1403,53,147,12
1404,53,151,1
1405,53,153,1
1406,53,154,1
1407,53,159,1
1408,53,161,1
1409,53,162,1
1410,53,163,2
1411,53,164,2
1412,53,166,1
1413,53,171,1
1414,53,172,7
1415,53,186,1
1416,53,189,2
1417,54,56,1
1418,54,57,1
1419,54,58,1
1420,54,68,1
1421,54,71,1
1422,54,74,1
1423,54,86,1
1424,54,97,1
1425,54,109,1
1426,55,79,1
1427,55,157,1
1428,56,57,1
1429,56,62,1
