,t1,t2,ct
0,1,2,5
1,1,3,9
2,1,4,1
3,1,5,1
4,1,7,12
5,1,13,4
6,1,14,5
7,1,16,1
8,1,17,7
9,1,19,19
10,1,20,2
11,1,23,1
12,1,25,1
13,1,26,3
14,1,27,1
15,1,28,4
16,1,30,6
17,1,31,15
18,1,33,1
19,1,35,2
20,1,36,1
21,1,37,3
22,1,38,1
23,1,40,1
24,1,42,1
25,1,44,8
26,1,45,1
27,1,46,1
28,1,47,2
29,1,48,1
30,1,50,2
31,1,51,4
32,1,52,1
33,1,53,6
34,1,55,2
35,1,57,1
36,1,61,4
37,1,62,1
38,1,64,3
39,1,65,1
40,1,67,1
41,1,69,3
42,1,71,5
43,1,74,3
44,1,78,1
45,1,79,2
46,1,80,4
47,1,81,1
48,1,83,1
49,1,87,1
50,1,89,1
51,1,90,4
52,1,91,2
53,1,92,1
54,1,94,2
55,1,96,1
56,1,97,2
57,1,98,1
58,1,99,2
59,1,102,4
60,1,104,1
61,1,105,2
62,1,106,1
63,1,108,4
64,1,110,1
65,1,114,2
66,1,117,1
67,1,119,3
68,1,121,2
69,1,123,4
70,1,127,1
71,1,128,1
72,1,132,1
73,1,135,1
74,1,152,1
75,1,154,1
76,1,155,1
77,1,161,1
78,1,163,1
79,1,174,3
80,2,3,2
81,2,8,1
82,2,13,1
83,2,14,1
84,2,19,3
85,2,20,1
86,2,23,12
87,2,24,5
88,2,30,1
89,2,31,5
90,2,35,1
91,2,37,1
92,2,41,4
93,2,44,4
94,2,45,1
95,2,47,1
96,2,49,1
97,2,56,1
98,2,59,1
99,2,69,5
100,2,70,1
101,2,74,1
102,2,78,19
103,2,80,20
104,2,89,1
105,2,90,8
106,2,91,1
107,2,96,2
108,2,102,2
109,2,105,2
110,2,108,1
111,2,109,1
112,2,114,11
113,2,117,3
114,2,119,6
115,2,120,1
116,2,122,1
117,2,123,2
118,2,127,1
119,2,140,2
120,2,155,2
121,2,157,2
122,2,161,1
123,2,162,16
124,2,170,1
125,2,172,2
126,2,173,1
127,2,176,2
128,2,181,1
129,3,4,5
130,3,6,7
131,3,7,9
132,3,9,2
133,3,14,1
