,t1,t2,ct
0,1,2,3
1,1,3,2
2,1,4,2
3,1,5,1
4,1,8,1
5,1,24,1
6,1,27,1
7,1,35,1
8,1,39,2
9,1,42,1
10,1,48,1
11,1,49,1
12,1,51,1
13,1,61,2
14,1,72,1
15,1,78,1
16,1,155,1
17,1,268,2
18,1,348,1
19,2,3,2
20,2,4,18
21,2,5,3
22,2,6,11
23,2,7,2
24,2,8,29
25,2,10,3
26,2,11,25
27,2,12,1
28,2,14,2
29,2,15,2
30,2,16,5
31,2,19,1
32,2,20,10
33,2,21,4
34,2,22,9
35,2,23,2
36,2,24,1
37,2,25,1
38,2,26,3
39,2,27,15
40,2,28,2
41,2,29,1
42,2,30,3
43,2,32,8
44,2,34,3
45,2,35,2
46,2,36,2
47,2,37,1
48,2,40,3
49,2,42,8
50,2,49,6
51,2,50,2
52,2,51,7
53,2,53,19
54,2,54,1
55,2,55,1
56,2,57,2
57,2,58,4
58,2,59,5
59,2,60,4
60,2,61,12
61,2,62,7
62,2,63,1
63,2,64,8
64,2,68,10
65,2,69,1
66,2,70,10
67,2,72,5
68,2,75,12
69,2,79,1
70,2,80,1
71,2,82,2
72,2,83,13
73,2,84,4
74,2,85,12
75,2,86,2
76,2,92,2
77,2,94,3
78,2,96,2
79,2,98,8
80,2,99,8
81,2,100,1
82,2,103,11
83,2,105,5
84,2,107,7
85,2,110,2
86,2,111,2
87,2,116,8
88,2,117,1
89,2,119,1
90,2,120,3
91,2,121,1
92,2,130,3
93,2,131,5
94,2,137,11
95,2,139,1
96,2,141,6
97,2,144,1
98,2,145,2
99,2,146,10
100,2,147,1
101,2,148,1
102,2,149,12
103,2,150,5
104,2,151,3
105,2,152,12
106,2,153,3
107,2,154,1
108,2,156,1
109,2,157,1
110,2,159,1
111,2,161,1
112,2,163,3
113,2,164,1
114,2,166,1
115,2,170,1
116,2,171,2
117,2,172,2
118,2,173,4
119,2,175,1
120,2,177,1
121,2,178,1
122,2,187,1
123,2,191,1
124,2,196,1
125,2,198,1
126,2,199,1
127,2,205,1
128,2,206,6
129,2,207,1
130,2,208,8
131,2,212,2
132,2,215,1
133,2,216,1
134,2,220,7
135,2,223,4
136,2,226,8
137,2,228,1
138,2,231,1
139,2,234,6
140,2,236,1
141,2,239,14
142,2,242,1
143,2,243,4
144,2,245,2
145,2,249,10
146,2,252,1
147,2,254,7
148,2,257,1
149,2,258,1
150,2,259,2
151,2,264,3
152,2,266,2
153,2,269,1
154,2,270,1
155,2,271,3
156,2,272,1
157,2,274,3
158,2,277,2
159,2,280,1
160,2,283,3
161,2,295,1
162,2,296,2
163,2,301,1
164,2,303,1
165,2,306,7
166,2,310,3
167,2,313,2
168,2,314,1
169,2,318,1
170,2,325,1
171,2,326,1
172,2,328,1
173,2,334,1
174,2,335,2
175,2,340,1
176,2,341,1
177,2,342,1
178,2,345,1
179,2,346,3
180,2,347,1
181,2,357,1
182,2,360,2
183,2,366,2
184,2,370,1
185,2,372,2
186,2,373,1
187,2,380,1
188,2,390,2
189,2,391,1
190,2,392,1
191,2,401,2
192,2,404,1
193,2,406,2
194,2,407,1
195,2,410,1
196,2,415,2
197,2,416,1
198,2,420,2
199,2,421,1
200,2,442,1
201,2,446,1
202,2,450,1
203,2,453,1
204,2,454,1
205,2,461,1
206,2,463,2
207,2,464,1
208,2,466,2
209,2,471,5
210,2,472,2
211,2,474,2
212,2,477,1
213,2,479,1
214,2,482,1
215,2,486,6
216,2,494,2
217,2,497,1
218,2,501,1
219,2,505,2
220,2,509,30
221,2,512,1
222,2,514,6
223,2,522,1
224,2,529,1
225,2,549,1
226,2,565,1
227,2,589,1
228,3,4,3
229,3,5,1
230,3,11,3
231,3,12,2
232,3,16,1
233,3,20,1
234,3,28,1
235,3,29,1
236,3,32,1
237,3,34,1
238,3,40,1
239,3,50,1
240,3,51,1
241,3,61,3
242,3,64,2
243,3,70,1
244,3,81,1
245,3,83,1
246,3,84,1
247,3,85,1
248,3,92,1
249,3,94,7
250,3,99,1
251,3,120,2
252,3,131,2
253,3,137,1
254,3,150,1
255,3,151,1
256,3,155,3
257,3,156,1
258,3,206,1
259,3,237,1
260,3,248,1
261,3,254,1
262,3,259,1
263,3,296,1
264,3,322,1
265,3,373,1
266,3,505,1
267,3,509,2
268,4,5,3
269,4,6,3
270,4,8,2
271,4,10,1
272,4,11,1
273,4,16,2
274,4,18,1
275,4,20,4
276,4,21,1
277,4,22,1
278,4,23,1
279,4,26,3
280,4,32,2
281,4,35,1
282,4,39,1
283,4,40,1
284,4,42,3
285,4,44,1
286,4,50,2
287,4,51,2
288,4,52,1
289,4,53,8
290,4,54,1
291,4,59,3
292,4,60,2
293,4,61,4
294,4,62,7
295,4,64,1
296,4,65,1
297,4,68,1
298,4,70,4
299,4,72,2
300,4,75,6
301,4,83,2
302,4,85,4
303,4,86,1
304,4,87,1
305,4,91,1
306,4,92,1
307,4,94,2
308,4,96,1
309,4,98,11
310,4,99,1
311,4,103,5
312,4,105,7
313,4,107,3
314,4,108,2
315,4,116,1
316,4,119,1
317,4,131,1
318,4,137,3
319,4,140,1
320,4,141,1
321,4,143,2
322,4,146,2
323,4,148,1
324,4,149,5
325,4,150,2
326,4,151,2
327,4,152,3
328,4,153,1
329,4,156,2
330,4,163,1
331,4,178,1
332,4,179,1
333,4,197,1
334,4,202,1
335,4,206,1
336,4,207,1
337,4,208,1
338,4,212,1
339,4,215,1
340,4,220,1
341,4,223,6
342,4,224,1
343,4,234,1
344,4,239,5
345,4,249,1
346,4,252,1
347,4,254,3
348,4,255,1
349,4,258,1
350,4,259,3
351,4,281,2
352,4,285,1
353,4,286,1
354,4,293,2
355,4,297,1
356,4,306,2
357,4,308,1
358,4,313,4
359,4,324,1
360,4,341,1
361,4,346,1
362,4,348,1
363,4,372,1
364,4,388,1
365,4,389,1
366,4,440,1
367,4,448,1
368,4,454,1
369,4,460,1
370,4,483,1
371,4,489,1
372,4,490,1
373,4,509,8
374,4,549,1
375,4,566,1
376,5,8,4
377,5,11,2
378,5,12,1
379,5,18,1
380,5,20,1
381,5,22,1
382,5,27,4
383,5,32,2
384,5,36,1
385,5,37,1
386,5,40,2
387,5,49,2
388,5,50,1
389,5,51,1
390,5,62,2
391,5,65,1
392,5,72,1
393,5,75,2
394,5,82,1
395,5,85,1
396,5,88,1
397,5,107,1
398,5,110,1
399,5,116,2
400,5,119,1
401,5,137,1
402,5,145,1
403,5,148,1
404,5,149,1
405,5,150,1
406,5,151,1
407,5,152,1
408,5,156,2
409,5,172,1
410,5,177,1
411,5,203,3
412,5,205,1
413,5,207,1
414,5,214,1
415,5,220,1
416,5,228,1
417,5,248,1
418,5,257,1
419,5,259,1
420,5,275,1
421,5,306,1
422,5,440,1
423,5,443,1
424,5,486,1
425,5,489,1
426,6,7,10
427,6,8,12
428,6,9,1
429,6,10,4
430,6,11,18
431,6,12,1
432,6,13,24
433,6,14,4
434,6,16,4
435,6,18,1
436,6,19,2
437,6,20,5
438,6,21,7
439,6,22,14
440,6,23,9
441,6,24,6
442,6,25,3
443,6,26,4
444,6,27,4
445,6,29,1
446,6,30,2
447,6,32,18
448,6,34,1
449,6,35,17
450,6,36,2
451,6,37,5
452,6,38,5
453,6,39,1
454,6,40,82
455,6,41,2
456,6,42,4
457,6,43,1
458,6,45,3
459,6,46,2
460,6,47,2
461,6,49,8
462,6,50,6
463,6,51,4
464,6,52,2
465,6,53,9
466,6,56,10
467,6,60,2
468,6,61,2
469,6,62,12
470,6,63,7
471,6,64,6
472,6,68,3
473,6,71,1
474,6,72,8
475,6,74,1
476,6,75,8
477,6,80,1
478,6,83,6
479,6,84,3
480,6,85,7
481,6,89,2
482,6,92,1
483,6,94,2
484,6,95,3
485,6,96,34
486,6,97,1
487,6,98,6
488,6,99,14
489,6,100,1
490,6,105,1
491,6,107,5
492,6,114,1
493,6,115,2
494,6,116,8
495,6,119,8
496,6,130,1
497,6,131,2
498,6,134,2
499,6,135,1
500,6,139,1
501,6,141,1
502,6,142,2
503,6,144,3
504,6,146,2
505,6,149,2
506,6,150,5
507,6,152,31
508,6,153,7
509,6,155,3
510,6,156,9
511,6,157,2
512,6,159,1
513,6,161,4
514,6,162,3
515,6,163,8
516,6,164,4
517,6,168,2
518,6,169,1
519,6,170,1
520,6,171,1
521,6,172,2
522,6,174,2
523,6,177,5
524,6,178,3
525,6,179,1
526,6,184,4
527,6,186,2
528,6,187,2
529,6,191,2
530,6,196,1
531,6,197,2
532,6,202,2
533,6,205,7
534,6,206,2
535,6,207,1
536,6,208,4
537,6,209,1
538,6,212,1
539,6,213,4
540,6,215,2
541,6,218,1
542,6,220,7
543,6,221,1
544,6,223,5
545,6,225,4
546,6,234,9
547,6,239,1
548,6,240,2
549,6,242,4
550,6,243,2
551,6,245,2
552,6,246,1
553,6,249,2
554,6,250,2
555,6,253,7
556,6,254,1
557,6,261,1
558,6,262,1
559,6,263,1
560,6,264,18
561,6,265,3
562,6,266,2
563,6,271,2
564,6,274,1
565,6,277,2
566,6,283,1
567,6,289,1
568,6,291,2
569,6,296,18
570,6,297,2
571,6,301,1
572,6,302,1
573,6,308,3
574,6,314,1
575,6,315,1
576,6,320,1
577,6,326,1
578,6,328,1
579,6,341,5
580,6,342,1
581,6,346,1
582,6,347,3
583,6,360,1
584,6,366,3
585,6,370,4
586,6,389,1
587,6,395,1
588,6,396,1
589,6,404,4
590,6,416,5
591,6,421,2
592,6,444,1
593,6,449,1
594,6,450,4
595,6,451,1
596,6,453,2
597,6,454,1
598,6,468,5
599,6,472,2
600,6,483,2
601,6,486,1
602,6,490,1
603,6,497,1
604,6,498,3
605,6,505,2
606,6,506,1
607,6,509,2
608,6,518,1
609,6,523,1
610,6,529,1
611,6,539,1
612,6,551,2
613,7,8,1
614,7,10,3
615,7,11,1
616,7,12,1
617,7,18,1
618,7,27,2
619,7,29,1
620,7,30,2
621,7,32,1
622,7,34,2
623,7,40,3
624,7,45,1
625,7,49,1
626,7,51,5
627,7,54,1
628,7,68,1
629,7,72,1
630,7,75,1
631,7,83,9
632,7,85,5
633,7,89,1
634,7,95,1
635,7,96,2
636,7,98,1
637,7,103,1
638,7,113,1
639,7,124,1
640,7,130,1
641,7,132,1
642,7,142,15
643,7,146,2
644,7,152,2
645,7,153,1
646,7,154,1
647,7,162,4
648,7,163,1
649,7,164,3
650,7,165,1
651,7,172,1
652,7,197,7
653,7,210,1
654,7,212,1
655,7,215,8
656,7,217,1
657,7,219,1
658,7,239,1
659,7,249,4
660,7,266,1
661,7,271,2
662,7,277,1
663,7,283,1
664,7,296,10
665,7,313,1
666,7,325,1
667,7,326,2
668,7,372,1
669,7,374,1
670,7,416,4
671,7,429,1
672,7,446,1
673,7,468,2
674,7,472,1
675,7,490,1
676,7,506,1
677,7,518,5
678,7,529,1
679,7,543,1
680,7,546,1
681,8,9,4
682,8,10,8
683,8,11,45
684,8,12,2
685,8,13,3
686,8,14,9
687,8,15,2
688,8,16,11
689,8,18,1
690,8,19,8
691,8,20,21
692,8,21,7
693,8,22,11
694,8,23,5
695,8,24,14
696,8,25,8
697,8,26,13
698,8,27,44
699,8,28,14
700,8,30,16
701,8,32,25
702,8,33,1
703,8,34,2
704,8,35,2
705,8,37,1
706,8,38,1
707,8,39,13
708,8,40,6
709,8,42,17
710,8,43,1
711,8,45,3
712,8,46,1
713,8,47,3
714,8,49,5
715,8,50,2
716,8,51,7
717,8,52,3
718,8,53,22
719,8,54,2
720,8,59,6
721,8,60,11
722,8,62,23
723,8,63,1
724,8,64,10
725,8,65,6
726,8,68,2
727,8,69,1
728,8,70,4
729,8,72,21
730,8,73,8
731,8,75,25
732,8,78,2
733,8,79,4
734,8,80,2
735,8,82,5
736,8,83,11
737,8,84,7
738,8,85,8
739,8,86,5
740,8,87,1
741,8,88,1
742,8,89,6
743,8,91,2
744,8,92,21
745,8,93,1
746,8,94,12
747,8,95,4
748,8,96,3
749,8,98,25
750,8,99,3
751,8,100,3
752,8,102,1
753,8,103,8
754,8,104,2
755,8,107,10
756,8,108,2
757,8,111,2
758,8,115,2
759,8,116,28
760,8,117,1
761,8,119,3
762,8,122,3
763,8,129,1
764,8,130,15
765,8,131,12
766,8,134,5
767,8,135,1
768,8,137,2
769,8,139,1
770,8,141,5
771,8,142,1
772,8,143,12
773,8,144,1
774,8,145,11
775,8,146,48
776,8,147,1
777,8,148,1
778,8,149,16
779,8,150,5
780,8,151,12
781,8,152,29
782,8,153,2
783,8,154,2
784,8,156,6
785,8,157,8
786,8,159,1
787,8,161,2
788,8,163,11
789,8,165,2
790,8,166,1
791,8,172,3
792,8,173,4
793,8,174,3
794,8,175,3
795,8,177,3
796,8,178,2
797,8,179,2
798,8,180,2
799,8,181,1
800,8,184,4
801,8,185,2
802,8,187,4
803,8,190,1
804,8,191,4
805,8,197,2
806,8,198,1
807,8,202,1
808,8,203,6
809,8,205,1
810,8,206,8
811,8,208,10
812,8,209,2
813,8,210,1
814,8,212,1
815,8,213,2
816,8,214,3
817,8,215,1
818,8,216,9
819,8,219,1
820,8,220,6
821,8,222,1
822,8,223,1
823,8,224,3
824,8,226,2
825,8,227,4
826,8,228,3
827,8,231,1
828,8,233,2
829,8,234,5
830,8,235,6
831,8,236,1
832,8,237,1
833,8,239,2
834,8,240,1
835,8,242,1
836,8,243,8
837,8,244,1
838,8,245,10
839,8,248,1
840,8,249,6
841,8,252,3
842,8,253,1
843,8,254,7
844,8,256,1
845,8,258,4
846,8,259,10
847,8,260,2
848,8,261,5
849,8,266,5
850,8,269,4
851,8,274,6
852,8,275,6
853,8,277,2
854,8,278,1
855,8,279,1
856,8,280,2
857,8,283,1
858,8,284,9
859,8,285,1
860,8,286,1
861,8,288,1
862,8,293,1
863,8,294,1
864,8,300,2
865,8,303,1
866,8,306,34
867,8,311,2
868,8,318,3
869,8,320,1
870,8,321,1
871,8,328,1
872,8,329,1
873,8,332,1
874,8,336,4
875,8,340,2
876,8,342,8
877,8,343,1
878,8,345,2
879,8,346,3
880,8,354,3
881,8,355,2
882,8,364,2
883,8,365,1
884,8,372,1
885,8,374,1
886,8,380,2
887,8,385,1
888,8,386,1
889,8,387,1
890,8,389,2
891,8,391,1
892,8,392,3
893,8,399,3
894,8,401,3
895,8,406,1
896,8,408,2
897,8,410,4
898,8,412,1
899,8,418,2
900,8,421,2
901,8,429,3
902,8,435,2
903,8,440,2
904,8,446,2
905,8,450,1
906,8,454,4
907,8,455,1
908,8,459,1
909,8,461,5
910,8,466,1
911,8,471,3
912,8,473,2
913,8,474,2
914,8,477,2
915,8,479,1
916,8,482,1
917,8,486,5
918,8,489,5
919,8,492,4
920,8,501,1
921,8,509,5
922,8,510,1
923,8,511,1
924,8,512,2
925,8,514,3
926,8,517,1
927,8,522,1
928,8,523,4
929,8,527,2
930,8,528,1
931,8,532,1
932,8,548,1
933,8,601,1
934,9,10,6
935,9,11,15
936,9,12,3
937,9,14,2
938,9,16,2
939,9,17,1
940,9,18,1
941,9,19,18
942,9,20,3
943,9,21,1
944,9,23,4
945,9,24,2
946,9,25,1
947,9,26,1
948,9,27,1
949,9,32,32
950,9,40,1
951,9,50,3
952,9,53,2
953,9,60,1
954,9,64,16
955,9,67,1
956,9,72,2
957,9,84,1
958,9,92,2
959,9,94,1
960,9,95,1
961,9,96,1
962,9,100,1
963,9,130,1
964,9,146,2
965,9,149,1
966,9,151,1
967,9,152,1
968,9,153,2
969,9,157,7
970,9,184,1
971,9,206,1
972,9,212,1
973,9,223,1
974,9,227,10
975,9,235,1
976,9,255,1
977,9,266,1
978,9,273,2
979,9,306,1
980,9,313,1
981,9,328,2
982,9,331,2
983,9,332,1
984,9,359,2
985,9,393,1
986,9,509,1
987,10,11,41
988,10,12,6
989,10,13,1
990,10,14,1
991,10,16,18
