,t1,t2,ct
0,1,2,1
1,1,4,1
2,1,6,2
3,1,7,3
4,1,8,2
5,1,9,5
6,1,11,4
7,1,12,1
8,1,13,1
9,1,21,2
10,1,24,1
11,1,32,1
12,1,35,1
13,1,36,1
14,1,37,1
15,1,42,3
16,1,55,1
17,1,58,1
18,1,65,1
19,1,66,1
20,1,85,1
21,1,108,1
22,1,110,1
23,1,126,1
24,1,138,1
25,2,9,2
26,2,18,1
27,2,24,1
28,2,37,1
29,3,4,3
30,3,5,9
31,3,6,1
32,3,7,1
33,3,9,1
34,3,24,2
35,3,25,1
36,3,26,1
37,3,32,1
38,3,42,5
39,3,44,1
40,3,62,5
41,3,63,1
42,3,75,1
43,3,93,1
44,4,5,3
45,4,9,2
46,4,15,1
47,4,24,2
48,4,32,8
49,4,34,1
50,4,35,5
51,4,36,1
52,4,39,1
53,4,41,1
54,4,42,15
55,4,65,1
56,4,68,2
57,4,85,1
58,4,88,1
59,4,93,2
60,4,94,2
61,4,110,1
62,4,114,1
63,5,7,1
64,5,24,1
65,5,32,1
66,5,42,2
67,5,62,2
68,5,75,1
69,5,93,1
70,6,7,16
71,6,9,16
72,6,15,8
73,6,16,2
74,6,17,1
75,6,18,7
76,6,19,3
77,6,21,1
78,6,23,1
79,6,24,1
80,6,27,2
81,6,28,1
82,6,29,18
83,6,30,3
84,6,32,1
85,6,36,4
86,6,38,3
87,6,40,1
88,6,41,4
89,6,42,4
90,6,44,6
91,6,45,2
92,6,50,1
93,6,58,1
94,6,59,1
95,6,60,2
96,6,61,1
97,6,64,5
98,6,65,1
99,6,66,2
100,6,67,2
101,6,69,2
102,6,76,1
103,6,77,3
104,6,78,1
105,6,79,1
106,6,84,1
107,6,89,1
108,6,91,1
109,6,97,1
110,6,109,1
111,6,116,1
112,6,123,1
113,6,126,2
114,7,9,11
115,7,15,4
116,7,16,1
117,7,17,1
118,7,18,5
119,7,19,2
120,7,27,1
121,7,29,5
122,7,32,1
123,7,38,2
124,7,39,3
125,7,41,9
126,7,42,15
127,7,43,4
128,7,44,2
129,7,48,1
130,7,49,1
131,7,50,11
132,7,55,18
133,7,58,3
134,7,59,3
135,7,61,1
136,7,64,5
137,7,65,1
138,7,66,3
139,7,67,1
140,7,68,1
141,7,75,1
142,7,76,2
143,7,77,1
144,7,78,1
145,7,81,2
146,7,84,2
147,7,86,1
148,7,101,1
149,7,110,3
150,7,112,8
151,7,113,1
152,7,116,3
153,7,123,5
154,7,126,4
155,7,127,1
156,7,128,2
157,7,133,2
158,7,135,1
159,7,138,1
160,7,144,2
161,7,152,1
162,8,9,1
163,8,24,1
164,8,40,1
165,9,10,3
166,9,11,3
167,9,12,2
168,9,13,1
169,9,14,1
170,9,15,7
171,9,16,7
172,9,17,2
173,9,18,22
174,9,19,5
175,9,21,6
176,9,22,2
177,9,23,7
178,9,24,10
179,9,27,3
180,9,29,1
181,9,30,2
182,9,32,5
183,9,33,1
184,9,36,2
185,9,37,8
186,9,39,7
187,9,40,4
188,9,41,1
189,9,42,19
190,9,44,1
191,9,47,1
192,9,48,4
193,9,50,1
194,9,53,1
195,9,54,1
196,9,55,1
197,9,57,3
198,9,58,3
199,9,59,1
200,9,65,6
201,9,66,3
202,9,67,3
203,9,68,1
204,9,69,2
205,9,71,2
206,9,72,2
207,9,73,3
208,9,74,2
209,9,75,1
210,9,77,2
211,9,85,1
212,9,87,2
213,9,89,2
214,9,90,2
215,9,92,1
216,9,95,2
217,9,97,1
218,9,102,3
219,9,103,1
220,9,105,1
221,9,110,1
222,9,121,1
223,9,124,1
224,9,127,1
225,9,131,1
226,9,144,2
227,9,148,1
228,10,24,1
229,10,32,1
230,10,42,1
231,10,57,1
232,10,102,1
233,10,126,1
234,11,12,1
235,11,58,1
236,11,59,1
237,11,66,1
238,11,109,1
239,11,116,1
240,12,15,1
241,12,16,1
242,12,61,1
243,12,77,1
244,13,18,1
245,13,21,1
246,13,42,1
247,13,65,1
248,13,77,2
249,13,124,1
250,13,125,1
251,14,15,1
252,15,16,1
253,15,18,3
254,15,29,5
255,15,32,2
256,15,36,1
257,15,39,1
258,15,40,1
259,15,42,4
260,15,44,1
261,15,48,3
262,15,52,1
263,15,57,1
264,15,61,2
265,15,64,4
266,15,65,1
267,15,67,2
268,15,71,1
269,15,74,1
270,15,76,1
271,15,77,5
272,15,78,2
273,15,80,1
274,15,83,1
275,15,89,2
276,15,93,1
277,15,97,1
278,15,103,1
279,15,104,1
280,15,123,1
281,15,132,1
282,16,17,5
283,16,18,1
284,16,30,2
285,16,32,1
286,16,36,2
287,16,38,1
288,16,39,1
289,16,47,2
290,16,48,3
291,16,51,1
292,16,52,1
293,16,58,2
294,16,65,4
295,16,67,1
296,16,74,1
297,16,77,1
298,16,79,1
299,16,82,1
300,16,89,1
301,16,92,10
302,16,113,1
303,17,18,1
304,17,30,2
305,17,32,1
306,17,50,1
307,17,55,1
308,17,74,1
309,17,105,1
310,17,111,1
311,18,19,5
312,18,20,1
313,18,21,2
314,18,23,4
315,18,27,1
316,18,30,1
317,18,37,1
318,18,39,11
319,18,40,2
320,18,42,4
321,18,44,1
322,18,50,1
323,18,55,1
324,18,60,1
325,18,65,1
326,18,67,6
327,18,69,1
328,18,72,2
329,18,73,1
330,18,74,1
331,18,77,1
332,18,84,1
333,18,89,7
334,18,90,1
335,18,94,1
336,18,95,1
337,18,103,1
338,18,105,1
339,18,111,1
340,18,121,2
341,18,124,1
342,18,125,1
343,18,131,1
344,18,148,1
345,19,20,2
346,19,23,2
347,19,27,1
348,19,37,1
349,19,39,2
350,19,50,1
351,19,67,1
352,20,23,1
353,21,22,2
354,21,23,4
355,21,24,3
356,21,32,2
357,21,39,1
358,21,42,3
359,21,58,1
360,21,77,1
361,22,23,6
362,22,24,2
363,22,32,4
364,22,37,1
365,22,39,1
366,22,41,1
367,22,42,5
368,22,53,1
369,22,66,1
370,22,80,1
371,22,85,1
372,22,87,6
373,23,24,1
374,23,32,1
375,23,39,1
376,23,41,2
377,23,42,1
378,23,50,2
379,23,58,1
380,23,66,1
381,23,80,1
382,23,87,1
383,23,121,2
384,23,131,1
385,24,27,1
386,24,32,3
387,24,37,2
388,24,39,2
389,24,40,1
390,24,42,5
391,24,48,3
392,24,57,2
393,24,66,2
394,24,73,2
395,24,75,1
396,24,87,1
397,24,93,1
398,24,102,1
399,24,119,1
400,24,120,1
401,25,26,1
402,27,28,2
403,27,29,1
404,27,39,2
405,27,48,1
406,27,84,1
407,27,102,1
408,27,119,1
409,27,120,1
410,28,29,1
411,28,39,1
412,29,30,1
413,29,32,1
414,29,38,2
415,29,41,1
416,29,42,1
417,29,44,6
418,29,48,1
419,29,53,1
420,29,60,3
421,29,61,2
422,29,64,6
423,29,76,2
424,29,77,2
425,29,80,1
426,29,97,1
427,29,98,1
428,29,101,1
429,29,103,1
430,29,104,1
431,29,109,3
432,29,115,1
433,29,116,1
434,29,123,1
435,29,126,1
436,29,133,1
437,30,42,1
438,30,44,2
439,30,45,1
440,30,50,1
441,30,55,1
442,30,60,1
443,30,71,1
444,30,89,1
445,30,98,1
