,t1,t2,ct
0,2,3,1
1,2,18,1
2,2,20,3
3,2,68,1
4,2,182,1
5,4,5,69
6,4,6,20
7,4,7,3
8,4,8,39
9,4,9,3
10,4,12,3
11,4,13,29
12,4,15,2
13,4,18,14
14,4,20,14
15,4,21,1
16,4,23,49
17,4,24,4
18,4,25,1
19,4,26,1
20,4,27,3
21,4,28,16
22,4,30,14
23,4,32,16
24,4,33,3
25,4,34,6
26,4,35,49
27,4,36,37
28,4,37,8
29,4,39,8
30,4,40,26
31,4,41,2
32,4,42,1
33,4,44,2
34,4,45,1
35,4,47,8
36,4,48,8
37,4,49,2
38,4,50,1
39,4,51,26
40,4,52,3
41,4,53,3
42,4,54,5
43,4,56,6
44,4,60,1
45,4,63,7
46,4,65,2
47,4,67,22
48,4,68,3
49,4,69,5
50,4,70,2
51,4,72,6
52,4,75,4
53,4,77,11
54,4,78,1
55,4,80,2
56,4,82,1
57,4,83,14
58,4,84,4
59,4,88,1
60,4,89,1
61,4,92,5
62,4,93,26
63,4,98,2
64,4,99,3
65,4,102,1
66,4,103,22
67,4,104,42
68,4,105,4
69,4,106,1
70,4,107,3
71,4,109,2
72,4,111,1
73,4,113,1
74,4,114,9
75,4,115,2
76,4,116,6
77,4,118,5
78,4,119,4
79,4,120,1
80,4,122,3
81,4,124,4
82,4,125,1
83,4,126,9
84,4,127,39
85,4,128,1
86,4,129,1
87,4,133,5
88,4,134,1
89,4,136,1
90,4,137,4
91,4,139,3
92,4,140,1
93,4,142,2
94,4,146,2
95,4,147,6
96,4,149,54
97,4,152,5
98,4,158,3
99,4,160,3
100,4,163,1
101,4,165,2
102,4,166,3
103,4,167,2
104,4,168,7
105,4,169,25
106,4,173,3
107,4,174,4
108,4,175,1
109,4,179,1
110,4,180,1
111,4,182,1
112,4,183,1
113,4,184,2
114,4,188,6
115,4,189,2
116,4,190,2
117,4,194,7
118,4,197,3
119,4,201,1
120,4,203,3
121,4,205,2
122,4,206,1
123,4,207,6
124,4,211,7
125,4,213,3
126,4,215,6
127,4,216,1
128,4,217,1
129,4,219,2
130,4,220,4
131,4,225,1
132,4,226,1
133,4,228,2
134,4,231,1
135,4,233,3
136,4,234,1
137,4,237,2
138,4,239,5
139,4,241,1
140,4,245,1
141,4,249,1
142,4,250,4
143,4,251,4
144,4,253,3
145,4,254,1
146,4,258,1
147,4,262,1
148,4,266,6
149,4,267,1
150,4,268,1
151,4,275,9
152,4,279,1
153,4,283,3
154,4,284,1
155,4,292,3
156,4,293,1
157,4,295,1
158,5,6,72
159,5,7,21
160,5,8,44
161,5,9,6
162,5,12,2
163,5,13,18
164,5,16,1
165,5,18,6
166,5,20,54
167,5,21,4
168,5,22,1
169,5,23,16
170,5,24,4
171,5,25,36
172,5,27,4
173,5,28,14
174,5,29,4
175,5,30,31
176,5,32,16
177,5,33,167
178,5,34,11
179,5,35,215
180,5,36,18
181,5,37,1
182,5,39,25
183,5,40,42
184,5,41,8
185,5,42,6
186,5,44,8
187,5,45,27
188,5,46,12
189,5,47,14
190,5,48,13
191,5,49,1
192,5,51,8
193,5,52,8
194,5,53,9
195,5,54,1
196,5,56,3
197,5,60,2
198,5,62,1
199,5,63,25
200,5,67,24
201,5,68,11
202,5,69,1
203,5,70,5
204,5,72,5
205,5,74,1
206,5,77,13
207,5,79,51
208,5,80,3
209,5,81,3
210,5,82,2
211,5,83,32
212,5,84,5
213,5,86,5
214,5,88,9
215,5,89,2
216,5,91,15
217,5,92,1
218,5,93,7
219,5,96,7
220,5,97,1
221,5,98,2
222,5,99,5
223,5,101,12
224,5,102,1
225,5,103,6
226,5,104,53
227,5,105,4
228,5,106,8
229,5,107,1
230,5,109,6
231,5,111,22
232,5,113,3
233,5,114,5
234,5,115,11
235,5,118,6
236,5,122,28
237,5,123,90
238,5,124,3
239,5,125,1
240,5,126,15
241,5,127,20
242,5,128,4
243,5,132,36
244,5,136,2
245,5,137,1
246,5,138,3
247,5,139,1
248,5,140,3
249,5,142,17
250,5,143,2
251,5,144,8
252,5,146,3
253,5,147,2
254,5,148,3
255,5,149,93
256,5,150,6
257,5,152,2
258,5,155,16
259,5,156,1
260,5,158,19
261,5,159,5
262,5,160,3
263,5,162,5
264,5,163,3
265,5,165,57
266,5,166,4
267,5,167,3
268,5,168,2
269,5,169,15
270,5,172,1
271,5,173,29
272,5,174,4
273,5,175,1
274,5,176,4
275,5,177,2
276,5,178,1
277,5,181,3
278,5,183,3
279,5,184,6
280,5,185,9
281,5,188,6
282,5,190,2
283,5,192,2
284,5,193,2
285,5,194,9
286,5,196,3
287,5,197,1
288,5,199,1
289,5,200,2
290,5,201,3
291,5,203,10
292,5,204,2
293,5,205,1
294,5,206,7
295,5,207,2
296,5,208,1
297,5,209,5
298,5,210,5
299,5,211,4
300,5,212,5
301,5,213,3
302,5,215,2
303,5,216,5
304,5,217,1
305,5,220,6
306,5,222,4
307,5,226,8
308,5,227,4
309,5,228,3
310,5,229,3
311,5,231,4
312,5,232,1
313,5,233,1
314,5,235,3
315,5,239,10
316,5,240,1
317,5,241,3
318,5,242,2
319,5,244,1
320,5,247,3
321,5,248,7
322,5,249,2
323,5,250,4
324,5,251,2
325,5,253,2
326,5,254,5
327,5,255,1
328,5,256,2
329,5,257,2
330,5,259,1
331,5,260,1
332,5,262,4
333,5,263,2
334,5,266,6
335,5,267,1
336,5,268,5
337,5,272,3
338,5,275,3
339,5,276,1
340,5,279,1
341,5,286,2
342,5,288,3
343,5,292,2
344,5,293,1
345,5,301,1
346,5,302,1
347,5,305,1
348,6,7,4
349,6,8,90
350,6,9,8
351,6,10,1
352,6,11,1
353,6,13,11
354,6,15,1
355,6,20,20
356,6,21,1
357,6,23,4
358,6,24,2
359,6,25,4
360,6,26,5
361,6,27,5
362,6,28,6
363,6,30,45
364,6,32,1
365,6,33,5
366,6,34,1
367,6,35,135
368,6,36,5
369,6,37,2
370,6,39,6
371,6,40,17
372,6,45,10
373,6,47,11
374,6,48,3
375,6,49,5
376,6,51,3
377,6,52,1
378,6,54,1
379,6,59,1
380,6,60,6
381,6,63,4
382,6,67,5
383,6,68,1
384,6,69,1
385,6,70,5
386,6,77,13
387,6,79,27
388,6,80,1
389,6,81,2
390,6,83,17
391,6,88,2
392,6,91,1
393,6,93,1
394,6,97,1
395,6,98,1
396,6,99,2
397,6,101,4
398,6,102,1
399,6,103,5
400,6,104,33
401,6,105,3
402,6,106,3
403,6,107,6
404,6,109,9
405,6,111,10
406,6,114,2
407,6,115,7
408,6,116,1
409,6,118,1
410,6,120,1
411,6,122,11
412,6,124,7
413,6,126,4
414,6,127,4
415,6,128,2
416,6,132,1
417,6,138,1
418,6,142,2
419,6,143,4
420,6,144,6
421,6,146,4
422,6,147,5
423,6,148,2
424,6,149,7
425,6,150,1
426,6,152,2
427,6,155,6
428,6,158,5
429,6,159,2
430,6,160,9
431,6,161,1
432,6,162,8
433,6,163,3
434,6,165,3
435,6,168,2
436,6,169,15
437,6,173,4
438,6,174,3
439,6,176,2
440,6,177,2
441,6,180,1
442,6,183,1
443,6,184,3
444,6,187,1
445,6,188,6
446,6,190,7
447,6,194,4
448,6,196,2
449,6,197,1
450,6,201,3
451,6,202,3
452,6,203,5
453,6,204,3
454,6,205,1
455,6,206,1
456,6,207,2
457,6,208,2
458,6,209,1
459,6,210,3
460,6,211,1
461,6,212,7
462,6,213,3
463,6,214,1
464,6,216,3
465,6,219,1
466,6,220,4
467,6,221,1
468,6,222,4
469,6,225,2
470,6,226,6
471,6,227,1
472,6,237,2
473,6,239,2
474,6,240,1
475,6,241,5
476,6,242,1
477,6,248,1
478,6,249,1
479,6,250,1
480,6,251,2
481,6,253,1
482,6,256,1
483,6,264,2
484,6,266,2
485,6,267,1
486,6,269,1
487,6,272,4
488,6,286,1
489,6,288,1
490,6,302,1
491,6,303,1
492,6,304,1
493,6,305,1
494,6,306,2
495,7,13,1
496,7,20,2
497,7,30,3
498,7,33,2
499,7,35,5
500,7,40,1
501,7,41,1
502,7,48,1
503,7,53,1
504,7,63,1
505,7,67,1
506,7,70,2
507,7,72,1
508,7,83,3
509,7,104,1
510,7,122,1
511,7,123,2
512,7,149,2
513,7,169,3
514,7,173,1
515,7,197,1
516,7,201,4
517,7,209,1
518,7,211,1
519,7,266,1
520,8,12,1
521,8,13,6
522,8,15,2
523,8,20,11
524,8,23,7
525,8,27,3
526,8,28,5
527,8,30,16
528,8,32,7
529,8,33,1
530,8,34,1
531,8,35,74
532,8,36,2
533,8,39,6
534,8,40,16
535,8,44,5
536,8,45,2
537,8,47,14
538,8,48,2
539,8,49,6
540,8,51,3
541,8,54,1
542,8,60,1
543,8,63,3
544,8,67,4
545,8,68,2
546,8,69,1
547,8,77,18
548,8,79,4
549,8,81,1
550,8,82,1
551,8,83,17
552,8,88,1
553,8,91,1
554,8,93,1
555,8,94,1
556,8,98,3
557,8,99,4
558,8,104,12
559,8,105,2
560,8,106,6
561,8,107,7
562,8,109,6
563,8,111,8
564,8,113,1
565,8,114,1
566,8,115,2
567,8,120,3
568,8,122,2
569,8,124,7
570,8,125,2
571,8,126,5
572,8,127,5
573,8,128,1
574,8,133,2
575,8,140,1
576,8,143,3
577,8,144,2
578,8,146,1
579,8,147,7
580,8,149,15
581,8,152,1
582,8,155,2
583,8,160,3
584,8,162,3
585,8,163,6
586,8,168,2
587,8,169,8
588,8,173,1
589,8,176,2
590,8,179,2
591,8,184,2
592,8,185,1
593,8,187,1
594,8,188,3
595,8,189,1
596,8,190,3
597,8,192,1
598,8,194,2
599,8,202,1
600,8,203,5
601,8,206,1
602,8,207,6
603,8,212,4
604,8,216,2
605,8,220,1
606,8,222,1
607,8,223,1
608,8,226,6
609,8,236,1
610,8,237,2
611,8,239,2
612,8,248,1
613,8,249,2
614,8,251,4
615,8,257,3
616,8,259,2
617,8,266,2
618,8,268,1
619,8,272,4
620,8,275,1
621,8,279,2
622,8,286,1
623,8,306,1
624,9,10,1
625,9,11,1
626,9,20,4
627,9,21,2
628,9,23,3
629,9,25,2
630,9,26,1
631,9,27,1
632,9,30,5
633,9,33,2
634,9,34,1
635,9,35,12
636,9,36,2
637,9,39,2
638,9,40,9
639,9,51,1
640,9,52,2
641,9,53,1
642,9,57,1
643,9,60,1
644,9,63,1
645,9,67,4
646,9,70,1
647,9,72,1
648,9,82,1
649,9,83,4
650,9,84,1
651,9,104,1
652,9,111,1
653,9,120,1
654,9,126,1
655,9,140,1
656,9,142,1
657,9,146,1
658,9,149,2
659,9,155,1
660,9,169,1
661,9,173,3
662,9,174,1
663,9,175,1
664,9,190,3
665,9,194,1
666,9,197,2
667,9,203,1
668,9,219,1
669,9,220,1
670,9,283,1
671,10,11,1
672,10,30,1
673,10,47,1
674,10,53,1
675,10,111,1
676,11,30,1
677,11,47,1
678,11,51,1
679,12,13,4
680,12,14,3
681,12,15,1
682,12,18,2
683,12,20,1
684,12,24,1
685,12,25,1
686,12,28,2
687,12,34,1
688,12,48,1
689,12,67,1
690,12,83,2
691,12,88,1
692,12,93,3
693,12,97,2
694,12,104,1
695,12,127,4
696,12,149,8
697,12,218,1
698,12,247,1
699,12,248,1
700,12,266,1
701,12,275,1
702,12,293,1
703,13,14,5
704,13,15,3
705,13,18,1
706,13,20,4
707,13,23,14
708,13,25,2
709,13,26,1
710,13,27,8
711,13,28,9
712,13,30,2
713,13,31,3
714,13,32,9
715,13,33,1
716,13,34,16
717,13,35,20
718,13,36,8
719,13,37,6
720,13,39,17
721,13,40,1
722,13,43,3
723,13,47,3
724,13,48,12
725,13,50,2
726,13,51,2
727,13,53,1
728,13,56,3
729,13,63,1
730,13,64,1
731,13,67,6
732,13,68,1
733,13,72,4
734,13,80,3
735,13,83,13
736,13,86,2
737,13,88,4
738,13,92,1
739,13,93,4
740,13,97,1
741,13,99,1
742,13,101,1
743,13,103,4
744,13,104,31
745,13,105,1
746,13,107,2
747,13,111,4
748,13,113,1
749,13,114,4
750,13,115,1
751,13,116,5
752,13,118,4
753,13,120,1
754,13,122,1
755,13,123,3
756,13,127,3
757,13,137,1
758,13,139,2
759,13,141,1
760,13,145,1
761,13,146,1
762,13,147,2
763,13,149,11
764,13,152,1
765,13,158,1
766,13,160,2
767,13,161,1
768,13,163,3
769,13,166,1
770,13,167,1
771,13,169,1
772,13,174,1
773,13,175,2
774,13,177,7
775,13,188,2
776,13,194,1
777,13,197,1
778,13,205,1
779,13,207,1
780,13,208,1
781,13,213,2
782,13,224,2
783,13,226,1
784,13,228,1
785,13,239,1
786,13,241,2
787,13,242,1
788,13,245,3
789,13,255,1
790,13,258,1
791,13,265,2
792,13,268,1
793,13,284,1
794,13,285,1
795,13,287,1
796,14,15,1
797,14,31,1
798,14,48,1
799,14,83,1
800,14,88,1
801,15,23,1
802,15,24,4
803,15,25,1
804,15,27,1
805,15,29,1
806,15,31,1
807,15,32,1
808,15,37,1
809,15,43,1
810,15,53,1
811,15,54,1
812,15,56,1
813,15,57,1
814,15,68,1
815,15,75,1
816,15,78,1
817,15,91,1
818,15,107,1
819,15,121,1
820,15,130,1
821,15,147,1
822,15,149,1
823,15,169,1
824,15,175,2
825,15,177,1
826,15,217,1
827,16,17,2
828,16,18,2
829,16,19,1
830,16,27,1
831,16,35,1
832,16,83,1
833,16,100,1
834,16,113,1
835,16,286,1
836,17,18,2
837,17,19,1
838,17,100,1
839,18,19,1
840,18,24,1
841,18,30,4
842,18,33,1
843,18,34,1
844,18,35,1
845,18,39,1
846,18,40,1
847,18,44,1
848,18,47,5
849,18,54,1
850,18,63,1
851,18,72,1
852,18,75,2
853,18,77,1
854,18,83,2
855,18,91,1
856,18,93,10
857,18,100,1
858,18,104,1
859,18,111,1
860,18,113,1
861,18,114,2
862,18,119,4
863,18,126,1
864,18,127,5
865,18,142,1
866,18,149,7
867,18,165,1
868,18,182,1
869,18,195,1
870,18,228,1
871,18,272,1
872,20,21,16
873,20,22,6
874,20,23,6
875,20,25,17
876,20,26,9
877,20,27,6
878,20,29,1
879,20,30,25
880,20,32,6
881,20,33,3
882,20,34,12
883,20,35,52
884,20,36,12
885,20,37,14
886,20,39,6
887,20,40,14
888,20,41,1
889,20,42,1
890,20,44,1
891,20,45,3
892,20,47,7
893,20,50,1
894,20,51,9
895,20,52,1
896,20,53,1
897,20,55,2
898,20,56,1
899,20,58,3
900,20,59,3
901,20,60,1
902,20,61,1
903,20,63,3
904,20,67,5
905,20,68,9
906,20,70,2
907,20,72,4
908,20,77,2
909,20,79,6
910,20,81,6
911,20,82,1
912,20,83,14
913,20,84,1
914,20,86,1
915,20,88,10
916,20,91,4
917,20,92,1
918,20,94,1
919,20,98,1
920,20,99,1
921,20,101,6
922,20,102,2
923,20,104,4
924,20,110,1
925,20,111,1
926,20,113,1
927,20,115,6
928,20,116,1
929,20,122,2
930,20,123,1
931,20,124,1
932,20,125,2
933,20,126,2
934,20,129,1
935,20,132,1
936,20,137,1
937,20,140,1
938,20,141,1
939,20,142,11
940,20,144,4
941,20,146,1
942,20,147,2
943,20,149,8
944,20,150,4
945,20,155,1
946,20,163,4
947,20,165,11
948,20,166,1
949,20,169,2
950,20,173,2
951,20,174,7
952,20,175,2
953,20,177,1
954,20,178,1
955,20,184,1
956,20,188,4
957,20,189,1
958,20,202,2
959,20,204,1
960,20,205,1
961,20,206,1
962,20,209,1
963,20,210,1
964,20,211,1
965,20,215,3
966,20,218,2
967,20,220,1
968,20,248,1
969,20,249,1
970,20,253,1
971,20,261,1
972,20,262,2
973,20,298,1
974,20,302,1
975,21,22,9
976,21,23,1
977,21,25,30
978,21,26,22
979,21,27,5
980,21,30,2
981,21,31,2
982,21,32,2
983,21,35,13
984,21,39,1
985,21,40,1
986,21,48,2
987,21,51,1
988,21,53,1
989,21,63,2
990,21,67,1
991,21,68,1
992,21,70,3
993,21,80,2
994,21,83,1
995,21,88,8
996,21,92,1
997,21,103,1
998,21,105,2
999,21,109,1
1000,21,113,1
1001,21,115,2
1002,21,120,1
1003,21,122,1
1004,21,126,5
1005,21,128,1
1006,21,137,2
1007,21,140,2
1008,21,142,1
1009,21,144,3
1010,21,147,3
1011,21,149,4
1012,21,150,11
1013,21,158,3
1014,21,174,1
1015,21,175,1
1016,21,193,3
1017,21,194,3
1018,21,195,1
1019,21,198,1
1020,21,217,1
1021,21,251,1
1022,22,23,1
1023,22,25,1
1024,22,26,2
1025,22,27,1
1026,22,32,1
1027,22,35,1
1028,22,51,1
1029,22,70,1
1030,22,88,1
1031,22,115,1
1032,22,126,1
1033,22,142,1
1034,22,144,1
1035,22,149,1
1036,22,174,1
1037,22,215,1
1038,23,28,1
1039,23,30,5
1040,23,32,3
1041,23,34,6
1042,23,35,16
1043,23,36,10
1044,23,37,1
1045,23,39,6
1046,23,40,7
1047,23,47,3
1048,23,48,1
1049,23,51,11
1050,23,52,1
1051,23,53,1
1052,23,54,1
1053,23,63,4
1054,23,64,1
1055,23,67,1
1056,23,68,1
1057,23,69,3
1058,23,70,2
1059,23,72,5
1060,23,77,2
1061,23,79,1
1062,23,82,2
1063,23,83,8
1064,23,84,2
1065,23,93,1
1066,23,98,2
1067,23,99,1
1068,23,103,1
1069,23,104,11
1070,23,113,1
1071,23,118,3
1072,23,122,1
1073,23,124,3
1074,23,126,3
1075,23,127,1
1076,23,133,1
1077,23,146,1
1078,23,148,1
1079,23,149,2
1080,23,158,1
1081,23,163,1
1082,23,167,2
1083,23,169,3
1084,23,173,2
1085,23,177,1
1086,23,180,1
1087,23,188,4
1088,23,189,2
1089,23,190,1
1090,23,194,2
1091,23,197,6
1092,23,210,1
1093,23,212,1
1094,23,213,1
1095,23,215,1
1096,23,218,1
1097,23,219,6
1098,23,220,2
1099,23,222,1
1100,23,225,1
1101,23,228,2
1102,23,231,1
1103,23,233,1
1104,23,237,1
1105,23,241,1
1106,23,250,2
1107,23,253,1
1108,23,261,1
1109,23,265,1
1110,23,279,1
1111,23,284,1
1112,23,290,2
1113,23,292,1
1114,23,309,1
1115,24,25,1
1116,24,27,2
1117,24,29,1
1118,24,32,2
1119,24,35,5
1120,24,38,2
1121,24,45,1
1122,24,47,5
1123,24,48,1
1124,24,50,1
1125,24,54,1
1126,24,56,4
1127,24,57,1
1128,24,63,1
1129,24,66,5
1130,24,67,1
1131,24,68,1
1132,24,70,2
1133,24,74,3
1134,24,75,12
1135,24,76,4
1136,24,79,3
1137,24,80,1
1138,24,83,1
1139,24,88,1
1140,24,89,11
1141,24,90,3
1142,24,91,15
1143,24,97,1
1144,24,100,1
1145,24,110,1
1146,24,115,1
1147,24,116,2
1148,24,119,4
1149,24,130,5
1150,24,131,3
1151,24,138,6
1152,24,139,2
1153,24,141,2
1154,24,142,1
1155,24,147,1
1156,24,149,3
1157,24,153,5
1158,24,155,4
1159,24,165,1
1160,24,169,4
1161,24,170,1
1162,24,175,1
1163,24,186,1
1164,24,188,2
1165,24,195,5
1166,24,197,1
1167,24,229,1
1168,24,230,1
1169,24,231,1
1170,24,239,2
1171,24,246,2
1172,24,250,2
1173,24,277,1
1174,24,284,1
1175,24,297,1
1176,25,26,5
1177,25,27,7
1178,25,28,2
1179,25,30,4
1180,25,31,2
1181,25,32,2
1182,25,34,2
1183,25,35,15
1184,25,36,3
1185,25,37,2
1186,25,39,5
1187,25,40,8
1188,25,42,2
1189,25,45,7
1190,25,47,3
1191,25,48,2
1192,25,50,2
1193,25,53,1
1194,25,59,1
1195,25,67,2
1196,25,68,3
1197,25,70,2
1198,25,72,2
1199,25,75,1
1200,25,79,24
1201,25,83,3
1202,25,87,1
1203,25,88,5
1204,25,91,1
1205,25,101,3
1206,25,105,2
1207,25,109,1
1208,25,110,1
1209,25,111,5
1210,25,113,2
1211,25,115,4
1212,25,118,1
1213,25,120,2
1214,25,122,1
1215,25,126,2
1216,25,134,3
1217,25,135,1
1218,25,137,3
1219,25,139,2
1220,25,140,8
1221,25,142,1
1222,25,144,10
1223,25,146,1
1224,25,147,1
1225,25,149,14
1226,25,150,47
1227,25,155,1
1228,25,163,1
1229,25,165,1
1230,25,169,2
1231,25,173,1
1232,25,175,3
1233,25,183,1
1234,25,188,1
1235,25,189,1
1236,25,191,3
1237,25,192,1
1238,25,193,6
1239,25,194,6
1240,25,195,1
1241,25,198,4
1242,25,205,1
1243,25,210,1
1244,25,213,1
1245,25,251,1
1246,25,254,9
1247,25,274,1
1248,25,275,1
1249,25,279,1
1250,25,308,1
1251,25,309,2
1252,26,27,2
1253,26,29,1
1254,26,30,1
1255,26,32,1
1256,26,35,9
1257,26,40,1
1258,26,51,1
1259,26,53,1
1260,26,59,2
1261,26,60,1
1262,26,63,1
1263,26,67,1
1264,26,72,1
1265,26,77,1
1266,26,78,1
1267,26,83,1
1268,26,88,1
1269,26,109,1
1270,26,115,1
1271,26,120,1
1272,26,126,2
1273,26,142,1
1274,26,143,2
1275,26,144,3
1276,26,150,2
1277,26,152,1
1278,26,158,2
1279,26,160,1
1280,26,177,1
1281,26,198,1
1282,26,205,1
1283,26,213,2
1284,27,28,2
1285,27,29,3
1286,27,30,1
1287,27,31,14
1288,27,32,5
1289,27,34,5
1290,27,35,11
1291,27,37,3
1292,27,39,4
1293,27,40,5
1294,27,43,1
1295,27,47,1
1296,27,48,1
1297,27,51,2
1298,27,52,1
1299,27,53,1
1300,27,54,1
1301,27,63,2
1302,27,66,1
1303,27,68,5
1304,27,72,2
1305,27,75,1
1306,27,77,1
1307,27,79,3
1308,27,81,1
1309,27,83,5
1310,27,88,26
1311,27,91,1
1312,27,97,2
1313,27,99,2
1314,27,103,1
1315,27,104,2
1316,27,111,2
1317,27,113,1
1318,27,115,8
1319,27,118,1
1320,27,119,1
1321,27,126,1
1322,27,138,2
1323,27,141,1
1324,27,144,2
1325,27,147,1
1326,27,150,2
1327,27,151,1
1328,27,157,2
1329,27,163,2
1330,27,173,2
1331,27,174,1
1332,27,189,1
1333,27,203,1
1334,27,205,1
1335,27,208,1
1336,27,218,2
1337,27,228,1
1338,27,241,1
1339,27,248,2
1340,28,30,1
1341,28,34,3
1342,28,35,5
1343,28,39,2
1344,28,40,1
1345,28,45,6
1346,28,47,6
1347,28,48,1
1348,28,51,1
1349,28,58,1
1350,28,63,1
1351,28,67,6
1352,28,77,1
1353,28,81,1
1354,28,83,2
1355,28,88,1
1356,28,99,1
1357,28,103,1
1358,28,104,20
1359,28,110,1
1360,28,114,4
1361,28,115,1
1362,28,116,1
1363,28,118,2
1364,28,122,1
1365,28,124,1
1366,28,127,3
1367,28,140,1
1368,28,146,1
1369,28,149,13
1370,28,151,1
1371,28,168,2
1372,28,169,2
1373,28,177,1
1374,28,189,3
1375,28,194,1
1376,28,207,2
1377,28,211,2
1378,28,228,1
1379,28,235,1
1380,28,239,2
1381,28,255,2
1382,28,266,2
1383,28,289,1
1384,29,30,1
1385,29,32,1
1386,29,35,4
1387,29,39,4
1388,29,46,1
1389,29,53,1
1390,29,68,7
