,t1,t2,ct
0,1,2,1
1,1,17,1
2,1,19,1
3,1,25,1
4,1,140,1
5,1,184,1
6,1,188,1
7,2,3,3
8,2,6,23
9,2,7,34
10,2,8,14
11,2,9,23
12,2,10,1
13,2,11,5
14,2,13,3
15,2,15,5
16,2,16,11
17,2,17,5
18,2,18,7
19,2,19,14
20,2,20,54
21,2,21,2
22,2,22,37
23,2,24,1
24,2,25,1
25,2,26,4
26,2,27,5
27,2,28,3
28,2,29,9
29,2,32,1
30,2,33,4
31,2,41,21
32,2,43,39
33,2,44,15
34,2,45,3
35,2,46,1
36,2,48,6
37,2,49,1
38,2,50,10
39,2,51,4
40,2,52,8
41,2,56,1
42,2,58,2
43,2,62,2
44,2,64,2
45,2,65,7
46,2,66,1
47,2,70,3
48,2,71,6
49,2,72,6
50,2,74,74
51,2,75,10
52,2,76,1
53,2,77,4
54,2,78,2
55,2,79,2
56,2,81,1
57,2,82,1
58,2,83,1
59,2,84,5
60,2,85,7
61,2,87,3
62,2,88,27
63,2,89,1
64,2,90,50
65,2,91,3
66,2,92,4
67,2,93,12
68,2,94,4
69,2,95,2
70,2,96,2
71,2,97,2
72,2,98,3
73,2,99,1
74,2,102,1
75,2,103,4
76,2,106,4
77,2,107,5
78,2,108,5
79,2,110,1
80,2,111,3
81,2,114,1
82,2,116,6
83,2,117,2
84,2,119,9
85,2,121,5
86,2,122,1
87,2,124,1
88,2,125,10
89,2,126,2
90,2,127,3
91,2,128,3
92,2,130,2
93,2,132,4
94,2,137,8
95,2,138,1
96,2,139,1
97,2,141,2
98,2,142,1
99,2,145,1
100,2,146,7
101,2,147,1
102,2,148,1
103,2,150,2
104,2,151,3
105,2,152,1
106,2,154,1
107,2,155,1
108,2,161,1
109,2,163,5
110,2,164,3
111,2,166,2
112,2,167,2
113,2,170,3
114,2,171,1
115,2,173,1
116,2,177,1
117,2,180,1
118,2,184,20
119,2,186,2
120,2,188,9
121,2,189,2
122,2,191,1
123,2,198,1
124,2,203,2
125,2,205,3
126,2,207,1
127,2,209,1
128,2,223,2
129,2,229,2
130,2,238,1
131,2,248,1
132,3,6,2
133,3,7,16
134,3,8,5
135,3,17,2
136,3,20,1
137,3,22,7
138,3,25,1
139,3,29,1
140,3,32,1
141,3,41,3
142,3,43,5
143,3,46,1
144,3,48,6
145,3,50,1
146,3,56,1
147,3,61,1
148,3,72,1
149,3,74,1
150,3,79,2
151,3,81,1
152,3,84,8
153,3,87,2
154,3,88,1
155,3,90,6
156,3,93,2
157,3,96,1
158,3,98,3
159,3,107,1
160,3,108,1
161,3,111,2
162,3,116,3
163,3,117,1
164,3,130,1
165,3,135,1
166,3,139,1
167,3,146,1
168,3,151,1
169,3,152,2
170,3,154,1
171,3,169,1
172,3,170,1
173,3,172,1
174,3,195,1
175,3,197,1
176,3,214,1
177,4,5,1
178,4,19,1
179,4,43,1
180,4,98,1
181,5,6,1
182,5,17,1
183,5,22,1
184,5,66,1
185,5,97,1
186,5,125,1
187,5,152,1
188,5,154,1
189,6,7,38
190,6,8,4
191,6,9,1
192,6,11,4
193,6,13,2
194,6,15,2
195,6,16,3
196,6,17,2
197,6,18,3
198,6,19,9
199,6,20,11
200,6,21,1
201,6,22,8
202,6,23,2
203,6,24,1
204,6,26,1
205,6,27,1
206,6,29,3
207,6,30,1
208,6,32,1
209,6,33,8
210,6,35,1
211,6,41,6
212,6,43,17
213,6,44,1
214,6,45,1
215,6,46,1
216,6,48,2
217,6,49,2
218,6,52,1
219,6,54,3
220,6,55,3
221,6,58,4
222,6,60,1
223,6,62,3
224,6,63,2
225,6,64,2
226,6,65,3
227,6,70,5
228,6,71,3
229,6,74,6
230,6,78,4
231,6,79,1
232,6,81,4
233,6,82,1
234,6,84,3
235,6,85,2
236,6,87,3
237,6,88,1
238,6,90,8
239,6,91,2
240,6,95,2
241,6,96,2
242,6,97,8
243,6,98,1
244,6,102,1
245,6,106,1
